;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;4.0;2.0;1.0;0.0;;0.0;4.0;;;;;;0.0;-1.0;6.0;6.0;0.0;3.0;36.36;1.0;;;;;1.0;4.0;;;0.0;11.36;6.82;0.0;;;2.27;-0.03;-0.03;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;-0.0;;;;;;-0.0;;;;-0.0;;7.0;;;-0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;6.0;2.0;-1.0;-1.0;;-1.0;9.0;;;;;;;-5.0;-2.0;;-4.0;3.0;39.29;3.0;;2.0;2.0;;1.0;6.0;;;1.0;-16.07;-12.5;0.0;;;-25.0;-0.18;-0.18;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;1.0;;;;;;;;1.0;-4.0;;;;-1.0;;2.0;-2.0;;-2.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;6.0;2.0;-6.0;-2.0;-8.0;-6.0;10.0;12.0;26.0;12.0;17.0;10.0;-1.0;-11.0;13.0;;-2.0;4.0;28.57;4.0;;3.0;3.0;;1.0;8.0;;;1.0;-112.5;-41.07;-5.0;-133.93;-2.0;-100.0;-0.56;-0.56;10.0;;1.0;;1.0;11.0;0.0;0.0;7.0;;3.0;3.0;;;4.0;14.0;;0.0;11.0;;;1.0;5.0;;;;5.0;;;;;-7.0;-2.0;18.0;26.0;;26.0;;-6.0;1.0;-2.0;;0.0;;;;0.0;5.0;-0.0;;;;-11.0;;;;;13.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;8.0;4.0;-0.0;1.0;;-1.0;11.0;3.0;17.0;2.0;8.0;9.0;-1.0;10.0;-8.0;1.0;-1.0;4.0;49.35;3.0;;2.0;2.0;;1.0;7.0;;;1.0;-3.9;11.69;-1.0;;;-10.39;-0.09;-0.09;11.0;;1.0;;1.0;1.0;0.0;1.0;;;2.0;2.0;;;12.0;14.0;;0.0;1.0;;;1.0;6.0;;;;6.0;;;;;-8.0;;17.0;17.0;;17.0;;-1.0;1.0;;;1.0;;;;1.0;-1.0;;;;;10.0;;;;;-8.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;8.0;5.0;2.0;2.0;1.0;1.0;11.0;4.0;18.0;1.0;8.0;10.0;2.0;-1.0;-0.0;;2.0;3.0;59.04;3.0;;3.0;3.0;;1.0;7.0;;;1.0;22.89;21.69;-1.0;15.66;0.0;12.05;0.08;0.08;11.0;;2.0;;2.0;1.0;0.0;1.0;;;2.0;2.0;;;12.0;13.0;;0.0;1.0;;;1.0;6.0;;;;6.0;;;;;-7.0;;17.0;18.0;;18.0;;1.0;1.0;;;2.0;;;;3.0;-2.0;;;;;-1.0;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;5.0;4.0;2.0;1.0;1.0;1.0;11.0;1.0;16.0;1.0;4.0;11.0;2.0;0.0;-4.0;;-2.0;1.0;84.78;3.0;;2.0;2.0;;1.0;4.0;;;1.0;39.13;21.74;;21.74;0.0;15.22;0.05;0.05;11.0;;1.0;;1.0;;;0.0;;;1.0;1.0;;;13.0;14.0;;;;;;1.0;3.0;;0.0;0.0;3.0;;;;;-6.0;;17.0;16.0;;16.0;;1.0;1.0;0.0;;-3.0;;;;0.0;4.0;-4.0;;;;4.0;;;;;-4.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4.0;3.0;-1.0;-1.0;-1.0;-2.0;11.0;1.0;14.0;0.0;4.0;10.0;-1.0;-0.0;1.0;-1.0;-1.0;0.0;91.67;5.0;2.0;2.0;2.0;;1.0;5.0;;;1.0;-30.56;-33.33;-0.0;-36.11;-0.0;-41.67;-0.16;-0.16;11.0;;0.0;;0.0;;;0.0;0.0;;1.0;1.0;;;12.0;13.0;;;;;;0.0;4.0;;;-0.0;4.0;;;;;-8.0;-0.0;18.0;14.0;;14.0;;-2.0;1.0;-1.0;;;;;;0.0;;;;;;-0.0;;;;;1.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4.0;3.0;2.0;1.0;1.0;0.0;11.0;1.0;13.0;0.0;3.0;10.0;2.0;-1.0;-1.0;0.0;2.0;1.0;86.52;2.0;;2.0;2.0;;1.0;3.0;0.0;0.0;1.0;39.77;24.53;-0.0;16.45;0.0;3.95;-0.01;-0.01;11.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;;12.0;13.0;;0.0;;;;0.0;3.0;;;;3.0;;;;0.0;-7.0;-0.0;18.0;13.0;;13.0;;0.0;1.0;0.0;;0.0;;;;0.0;0.0;-0.0;;;;-1.0;;;;;-1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5.0;5.0;-3.0;-3.0;-3.0;-2.0;11.0;1.0;11.0;3.0;4.0;8.0;2.0;-2.0;0.0;0.0;2.0;0.0;97.55;8.0;1.0;2.0;2.0;;5.0;8.0;;;1.0;-54.53;-60.43;-0.0;-65.99;-1.0;-49.05;-0.25;-0.25;11.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;1.0;9.0;10.0;;0.0;3.0;;;0.0;1.0;;;;1.0;;;;0.0;-10.0;-0.0;18.0;11.0;;11.0;;-2.0;1.0;-1.0;;-2.0;;;;-2.0;7.0;;;-2.0;;-0.0;;;;;0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;5.0;;2.0;2.0;2.0;1.0;11.0;1.0;11.0;3.0;3.0;9.0;2.0;-0.0;-1.0;0.0;2.0;;;3.0;1.0;;;;2.0;3.0;;;0.0;42.47;38.84;-0.0;37.97;1.0;19.84;0.07;0.07;11.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;1.0;9.0;10.0;;0.0;2.0;;;0.0;;;;2.0;2.0;;;0.0;0.0;-9.0;-0.0;18.0;11.0;;11.0;;1.0;0.0;;;1.0;;;;-1.0;-0.0;-0.0;;;;-0.0;;;;;-1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
