;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;10054.0;;268.0;;280.0;268.0;167.0;1797.0;3952.0;1646.0;2282.0;1670.0;407.0;;;;407.0;;;;;;;;;;;;;2.67;;-9774.0;2.79;;2.67;1.62;1.6;165.0;;;;;;;1797.0;1678.0;;;;;;477.0;2155.0;;;;;;1646.0;3.0;;;634.0;637.0;;;;;;;1670.0;3952.0;;3952.0;;268.0;;;;;;;;151.0;139.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;13218.0;;146.0;;119.0;146.0;167.0;2213.0;4685.0;1978.0;2944.0;1741.0;329.0;;;;329.0;;;;;;;;;;;;;1.11;;-13098.0;0.9;;1.11;0.88;0.88;166.0;;;;;;;2213.0;1939.0;;;;;;533.0;2472.0;;;;;;1978.0;301.0;;;666.0;966.0;;;;;;;1741.0;4685.0;;4685.0;;146.0;;;;84.0;;;;235.0;99.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;11858.0;;235.0;;194.0;235.0;158.0;;5019.0;;3494.0;1526.0;698.0;;;;698.0;;;;;;;;;;;;;1.98;;-11664.0;1.63;;1.98;1.5;1.49;157.0;;;;;;;;513.0;;;;;;;;5019.0;;;;;;;;;;;3494.0;;;;;;1526.0;5019.0;;5019.0;;235.0;;;;-235.0;;;;;698.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;10752.0;;104.0;;89.0;104.0;152.0;;4886.0;;3305.0;1581.0;573.0;;;;573.0;;;;;;;;;;;;;0.97;;-10664.0;0.82;;0.97;0.69;0.69;151.0;;;;;;;;515.0;;;;;;;;4886.0;;;;;;;;;;;3305.0;;;;;;1581.0;4886.0;;4886.0;;104.0;;;;;;;;;468.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1867.0;40.0;16.0;-7.0;-7.0;-4.0;148.0;1382.0;2701.0;1648.0;2067.0;633.0;-55.0;-18.0;25.0;-48.0;-91.0;1827.0;2.14;47.0;;42.0;42.0;;5.0;1874.0;;;23.0;0.84;-0.37;;-0.37;-3.0;-0.21;-0.03;-0.03;148.0;;22.0;;22.0;1047.0;117.0;197.0;761.0;;;;;;557.0;1318.0;;483.0;381.0;;;784.0;18.0;;;402.0;419.0;;;;1.0;540.0;-451.0;543.0;2701.0;;2701.0;;-4.0;23.0;-5.0;;-93.0;-16.0;180.0;47.0;-266.0;24.0;-36.0;;;;18.0;;;-101.0;;127.0;;22.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;8972.0;353.0;174.0;186.0;185.0;19.0;158.0;1851.0;3091.0;1811.0;2302.0;789.0;678.0;-157.0;30.0;551.0;678.0;8619.0;3.94;167.0;;167.0;167.0;;;8786.0;;25.0;72.0;1.94;2.08;-1.0;2.07;58.0;0.22;0.13;0.13;156.0;;573.0;;573.0;566.0;393.0;320.0;508.0;;22.0;22.0;;67.0;643.0;1240.0;;383.0;38.0;;;1390.0;18.0;;;473.0;490.0;;;;1.0;508.0;-293.0;574.0;3091.0;;3091.0;;19.0;72.0;-17.0;;306.0;;;;40.0;298.0;;;;28.0;-185.0;;145.0;-1.0;-51.0;-62.0;;573.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;9959.0;414.0;341.0;254.0;261.0;164.0;160.0;1941.0;3142.0;1756.0;2258.0;884.0;207.0;69.0;-95.0;181.0;128.0;9545.0;4.16;160.0;;;;;160.0;9705.0;;9.0;78.0;3.42;2.55;6.0;2.62;91.0;1.64;1.03;1.02;159.0;;753.0;;753.0;503.0;450.0;235.0;467.0;;21.0;21.0;;114.0;599.0;1201.0;;453.0;;;;1304.0;18.0;;;485.0;502.0;;;;1.0;620.0;-95.0;357.0;3142.0;;3142.0;;164.0;78.0;45.0;;145.0;;-20.0;;185.0;-225.0;-79.0;;;32.0;116.0;;15.0;-19.0;-51.0;-39.0;;753.0;573.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;8806.0;406.0;336.0;265.0;268.0;157.0;161.0;2214.0;3449.0;1829.0;2368.0;1082.0;-301.0;-91.0;90.0;-257.0;-382.0;8399.0;4.61;141.0;;;;;141.0;8541.0;;10.0;80.0;3.81;3.01;3.0;3.04;89.0;1.79;0.98;0.97;160.0;;497.0;;497.0;636.0;827.0;254.0;569.0;;54.0;54.0;;66.0;546.0;1236.0;;572.0;221.0;;;1036.0;45.0;;;494.0;539.0;;;;1.0;725.0;-60.0;415.0;3449.0;;3449.0;;157.0;80.0;48.0;;199.0;;-396.0;;385.0;-785.0;-82.0;-55.0;-14.0;;59.0;;29.0;-3.0;-52.0;116.0;45.0;497.0;753.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;9380.0;420.0;388.0;278.0;281.0;187.0;166.0;2723.0;3970.0;1764.0;2634.0;1336.0;-82.0;-60.0;210.0;108.0;-186.0;8960.0;4.48;142.0;;;;;142.0;9103.0;;15.0;92.0;4.14;2.96;4.0;3.0;94.0;1.99;1.15;1.13;163.0;;605.0;;605.0;761.0;1077.0;281.0;528.0;;77.0;77.0;;32.0;610.0;1246.0;;723.0;130.0;;;911.0;348.0;;;522.0;870.0;;;;1.0;859.0;-31.0;507.0;3970.0;;3970.0;;187.0;92.0;4.0;;575.0;;-263.0;;959.0;-939.0;-104.0;-33.0;;0.0;77.0;;62.0;;-53.0;202.0;40.0;605.0;497.0;;;;;;;;;;;;;;;;;;;;;;;;;;
