;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;25.0;16.0;2.0;;;4.0;15.0;63.0;180.0;13.0;71.0;109.0;11.0;-85.0;79.0;79.0;-19.0;9.0;65.6;9.0;;4.0;4.0;;6.0;18.0;;3.0;-6.0;8.4;;0.0;;;16.8;0.27;0.27;15.0;;6.0;;6.0;1.0;1.0;55.0;105.0;;;;;;13.0;117.0;;1.0;;;;13.0;57.0;;;;57.0;115.0;;;;12.0;-11.0;108.0;180.0;;180.0;;4.0;-6.0;;;1.0;0.0;;-0.0;;11.0;-30.0;;;;-55.0;-69.0;;;-1.0;148.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;29.0;19.0;5.0;;;8.0;15.0;;;;;;19.0;20.0;-13.0;-13.0;19.0;10.0;66.1;10.0;;4.0;;;7.0;20.0;;3.0;-7.0;16.44;;2.0;;;28.77;0.55;0.55;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;-7.0;;;4.0;0.0;0.0;0.0;;13.0;-0.0;;-31.0;86.0;-34.0;-12.0;;;-1.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;182.0;35.0;-37.0;8.0;-14.0;-15.0;3.0;13.0;134.0;12.0;86.0;48.0;13.0;-417.0;389.0;-15.0;-440.0;148.0;18.98;27.0;;;;;27.0;175.0;;-22.0;;-20.13;4.11;-22.0;-7.9;;-7.95;-4.68;-4.68;3.0;;8.0;;8.0;2.0;1.0;2.0;120.0;0.0;0.0;0.0;;;1.0;121.0;;1.0;;;;12.0;74.0;;;0.0;74.0;;;;25.0;23.0;-23.0;23.0;134.0;-0.0;134.0;;-15.0;;;;13.0;;2.0;0.0;;15.0;-453.0;;;;36.0;;;;;389.0;;53.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;260.0;149.0;8.0;;17.0;17.0;15.0;16.0;172.0;8.0;47.0;125.0;10.0;49.0;-68.0;-68.0;10.0;111.0;57.41;14.0;;4.0;37.0;;10.0;204.0;;;-10.0;3.04;;-38.0;6.7;;6.7;0.68;0.68;15.0;;12.0;;12.0;2.0;1.0;0.0;156.0;;;;;;0.0;157.0;;2.0;1.0;;;5.0;39.0;;;492.0;531.0;;;;;29.0;-2.0;98.0;172.0;;172.0;;17.0;-10.0;;;1.0;2.0;1.0;2.0;;1.0;-0.0;;;;50.0;;;;;-68.0;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;270.0;148.0;141.0;126.0;27.0;27.0;9.0;106.0;1380.0;199.0;922.0;458.0;75.0;-149.0;62.0;-13.0;-277.0;122.0;54.84;78.0;;8.0;23.0;;70.0;198.0;3.0;59.0;55.0;52.14;46.46;-99.0;9.99;;9.99;2.95;2.95;9.0;;74.0;;74.0;13.0;7.0;12.0;1155.0;;;;;;118.0;1273.0;;8.0;171.0;;;20.0;712.0;;;11.0;723.0;;;;115.0;;;342.0;1380.0;;1380.0;;27.0;55.0;;;-6.0;;-1.0;;;-0.0;-352.0;;-10.0;0.0;213.0;-265.0;;;;327.0;;74.0;87.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;370.0;161.0;5.0;117.0;-91.0;-87.0;10.0;138.0;1727.0;169.0;1132.0;595.0;46.0;176.0;-231.0;-9.0;-160.0;209.0;43.39;136.0;;12.0;44.0;;124.0;382.0;;;91.0;1.23;31.63;-208.0;-24.66;;-23.49;-8.8;-8.8;10.0;;65.0;11.0;76.0;28.0;14.0;19.0;1556.0;12.0;;12.0;;;21.0;1589.0;;8.0;117.0;;;44.0;963.0;;;-1.0;962.0;;;;152.0;;;443.0;1727.0;;1727.0;;-87.0;91.0;;;-5.0;;-5.0;;;47.0;-207.0;-126.0;;3.0;500.0;-679.0;;;-5.0;453.0;;65.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;697.0;512.0;503.0;468.0;314.0;314.0;15.0;293.0;2781.0;290.0;1745.0;1036.0;272.0;-497.0;263.0;38.0;-164.0;186.0;73.35;132.0;;9.0;44.0;;123.0;321.0;7.0;96.0;93.0;72.13;67.09;-154.0;45.02;;45.02;21.4;21.35;15.0;;104.0;4.0;107.0;131.0;11.0;43.0;2363.0;14.0;;14.0;;;111.0;2488.0;;11.0;213.0;;3.0;64.0;1331.0;;;124.0;1455.0;;;;195.0;254.0;-431.0;1018.0;2781.0;;2781.0;;314.0;93.0;;;-96.0;-100.0;4.0;-8.0;;-40.0;-436.0;-42.0;-1.0;;-18.0;-212.0;105.0;;;371.0;;104.0;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;736.0;526.0;564.0;471.0;351.0;350.0;15.0;278.0;3034.0;315.0;1775.0;1259.0;478.0;-104.0;-299.0;75.0;91.0;210.0;71.49;176.0;;13.0;55.0;;163.0;351.0;13.0;92.0;122.0;76.72;64.01;-120.0;47.69;0.0;47.63;24.95;24.9;15.0;;178.0;1.0;179.0;64.0;11.0;23.0;2514.0;14.0;;14.0;;;228.0;2756.0;;7.0;228.0;;2.0;79.0;1164.0;;;295.0;1459.0;;;;191.0;521.0;-502.0;1049.0;3034.0;;3034.0;;350.0;122.0;;;82.0;67.0;-0.0;1.0;;-77.0;-386.0;-65.0;;;347.0;-471.0;8.0;-45.0;-115.0;323.0;;178.0;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;
