;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;;;-0.0;-0.0;;-0.0;2.0;;;;;;-0.0;;0.0;0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;;;-inf;-0.03;-0.03;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;;;;0.0;;;;;-0.0;;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;-0.0;-0.0;;-0.0;2.0;;;;;;-0.0;;0.0;-0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;;;-inf;-0.02;-0.02;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;;;;0.0;;;;;-0.0;;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;-0.0;-0.0;;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;-0.0;;;;;;;;;0.0;;;;-inf;-inf;;;;-inf;-0.04;-0.04;2.0;;0.0;;0.0;0.0;;-0.0;0.0;;;;;;;0.0;;0.0;0.0;;;-0.0;;;;;;;;;;-2.0;;2.0;0.0;-0.0;0.0;;-0.0;;;;0.0;;;;;-0.0;-0.0;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;;-0.0;2.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;;;;;;;0.0;;;;-inf;-inf;;;;-inf;-0.05;-0.05;2.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;0.0;;0.0;;;;;;;;;;;;;;-3.0;;3.0;0.0;;0.0;;-0.0;;;;0.0;;;;;-0.0;-0.0;;;;;;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-1.0;-1.0;;-1.0;7.0;5.0;21.0;5.0;8.0;13.0;0.0;-1.0;6.0;5.0;-1.0;;;;;;;;;1.0;;;0.0;-inf;-inf;0.0;;;-inf;-0.07;-0.07;7.0;;5.0;;5.0;0.0;;0.0;16.0;;;;;;;16.0;;1.0;5.0;;;0.0;;;1.0;1.0;2.0;;;;;-3.0;6.0;16.0;21.0;;21.0;;-1.0;0.0;;;1.0;;;;;0.0;-1.0;;;;;;9.0;;;-3.0;;5.0;0.0;;;;-0.07;-0.14;;0.18;4.92;7.0;;;;;-inf;0.0;-1.0;;-inf;-1.0;0.0;35.0;;-inf;-1.5;100.0;
2006.0;;;;;;;;6.0;;7.0;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;4.0;45.0;;;;;;1.0;;;;5.0;;;2.0;0.0;;4.0;;4.0;;;;;-7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;32.0;13.0;7.0;0.0;1.0;-3.0;72.0;58.0;126.0;6.0;17.0;102.0;13.0;-17.0;50.0;46.0;-3.0;19.0;41.75;13.0;;13.0;;;0.0;32.0;2.0;;6.0;22.46;0.34;1.0;4.36;4.0;-8.81;-0.04;-0.04;72.0;;48.0;;48.0;7.0;2.0;2.0;67.0;;;;;;1.0;68.0;;6.0;0.0;;;0.0;0.0;;8.0;2.0;11.0;;1.0;;;-11.0;0.0;;119.0;7.0;126.0;;-3.0;6.0;4.0;;2.0;;-1.0;;;5.0;-16.0;;;;-1.0;;56.0;;;-6.0;;48.0;2.0;;;0.45;-0.04;-0.04;;0.23;1.43;72.0;-72.0;-4.1;;32.0;0.3;6.0;-3.0;308.8;-8.8;52.0;0.0;102.0;-2.8;1.2;-2.8;100.0;
2008.0;22.0;3.0;1.0;-5.0;1.0;-1.0;84.0;40.0;116.0;6.0;17.0;89.0;7.0;-23.0;6.0;-9.0;-16.0;18.0;15.68;8.0;;8.0;8.0;;;26.0;1.0;0.0;;3.56;-22.5;5.0;2.76;1.0;-3.66;-0.01;-0.01;84.0;;30.0;;30.0;5.0;2.0;3.0;73.0;;;;3.0;;0.0;76.0;;0.0;1.0;;;5.0;;;9.0;2.0;12.0;;1.0;;;-10.0;-1.0;111.0;107.0;9.0;116.0;;-1.0;;1.0;1.0;-0.0;0.0;-0.0;-0.0;;6.0;-23.0;;;;0.0;-0.0;7.0;;;0.0;;30.0;39.0;;;0.26;-0.01;-0.18;;0.27;1.06;84.0;-170.5;-7.9;;22.0;-22.5;;-1.0;247.5;-3.7;34.0;;89.0;-1.1;0.7;-0.9;100.0;
2009.0;51.0;28.0;7.0;14.0;6.0;1.0;92.0;48.0;140.0;12.0;27.0;113.0;14.0;-17.0;0.0;1.0;-0.0;24.0;53.92;12.0;;12.0;12.0;;0.0;36.0;0.0;0.0;0.0;13.06;27.97;-8.0;12.27;6.0;1.21;0.01;0.01;92.0;;31.0;6.0;37.0;1.0;2.0;9.0;91.0;;;;0.0;;;91.0;;0.0;1.0;;;11.0;;;11.0;4.0;15.0;;2.0;;;-9.0;3.0;127.0;140.0;;140.0;;1.0;0.0;1.0;3.0;-2.0;-5.0;-0.0;3.0;;12.0;-14.0;;-6.0;0.0;3.0;-1.0;1.0;;;;5.0;31.0;29.0;;;0.56;0.01;-0.0;;0.15;1.23;92.0;157.7;2.2;;51.0;28.0;0.0;1.0;93.0;1.2;36.0;;113.0;0.4;4.8;0.6;100.0;235.6
2010.0;74.0;45.0;28.0;30.0;27.0;13.0;111.0;112.0;243.0;15.0;37.0;206.0;21.0;-57.0;74.0;40.0;-15.0;29.0;60.67;14.0;;14.0;14.0;;;44.0;;1.0;;37.16;40.66;-3.0;36.43;14.0;17.49;0.12;0.12;108.0;;70.0;21.0;91.0;16.0;4.0;1.0;127.0;;;;;;5.0;131.0;;4.0;1.0;4.0;;10.0;;;14.0;8.0;22.0;;4.0;;;4.0;11.0;211.0;243.0;;243.0;;13.0;;3.0;-0.0;-1.0;-5.0;-2.0;;;7.0;-36.0;;-14.0;;-7.0;-1.0;75.0;;;;2.0;70.0;31.0;;;0.68;0.12;-0.14;;0.34;1.91;108.0;23.0;1.1;;74.0;40.7;;13.0;52.0;17.5;97.0;;206.0;5.8;11.3;6.3;100.0;489.6
