;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;0.0;-1.0;-3.0;-3.0;;-3.0;10.0;;;;;;-2.0;-1.0;;;-2.0;1.0;-800.0;2.0;;2.0;;;;3.0;;;;-3000.0;-3100.0;0.0;;;-3000.0;-0.29;-0.29;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;;;;0.0;;;;;1.0;;;;;-1.0;;0.0;-0.0;;-0.0;-0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;0.0;-1.0;-2.0;-2.0;;-2.0;11.0;;;;;;-2.0;-2.0;11.0;11.0;-2.0;1.0;-500.0;2.0;;2.0;;;;3.0;;;;-2300.0;-2400.0;0.0;;;-2300.0;-0.21;-0.21;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;;;;;;;;;0.0;;;;;-2.0;;6.0;;;5.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;0.0;0.0;-2.0;-3.0;;-2.0;12.0;;;;;;-2.0;-0.0;;;-2.0;;100.0;3.0;;3.0;;;;3.0;;;;-1200.0;-1300.0;0.0;;;-1200.0;-0.2;-0.2;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;;;;;;;;;0.0;-0.0;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;0.0;0.0;-3.0;-3.0;;-3.0;13.0;;;;;;-4.0;2.0;;;-4.0;;100.0;3.0;1.0;3.0;;;;3.0;;;;-1450.0;-1600.0;0.0;;;-1450.0;-0.23;-0.23;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;;;;;;;;;-1.0;;;;;2.0;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;0.0;0.0;-2.0;-1.0;;-2.0;12.0;;;;;;-2.0;-2.0;;;-2.0;;100.0;2.0;;2.0;;;;2.0;;;;-900.0;-650.0;-1.0;;;-900.0;-0.15;-0.15;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;;;;;;;;;0.0;;;-2.0;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;;-3.0;-3.0;;-3.0;12.0;;;;;;-1.0;2.0;;;-1.0;;;3.0;;3.0;;;;3.0;;;;-2600.0;-2500.0;-0.0;;;-2600.0;-0.21;-0.21;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;;;;;;;;;1.0;;;;2.0;0.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;26.0;12.0;3.0;3.0;2.0;1.0;17.0;;;;;;-1.0;1.0;3.0;4.0;-1.0;14.0;45.95;9.0;1.0;8.0;;;0.0;23.0;;0.0;0.0;9.65;10.04;-1.0;7.34;1.0;1.93;0.03;0.03;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;0.0;;;-1.0;-0.0;;;;2.0;;3.0;;;;0.0;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;33.0;15.0;5.0;5.0;4.0;3.0;19.0;;;;;;5.0;-3.0;1.0;3.0;2.0;18.0;45.95;11.0;1.0;9.0;;;1.0;29.0;;;1.0;15.32;14.41;-1.0;12.91;1.0;9.01;0.17;0.16;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;1.0;;;13.0;;0.0;;13.0;-11.0;-3.0;;;;;;0.0;;;1.0;-0.0;9.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;22.0;11.0;2.0;1.0;;0.0;20.0;18.0;23.0;5.0;9.0;15.0;1.0;-1.0;-0.0;0.0;1.0;11.0;50.82;10.0;1.0;8.0;8.0;;1.0;21.0;;0.0;1.0;8.0;6.26;-1.0;;;1.89;0.02;0.02;18.0;;9.0;;9.0;8.0;0.0;1.0;2.0;;3.0;3.0;;;1.0;5.0;;2.0;1.0;;;2.0;3.0;;;1.0;3.0;;;;0.0;-75.0;-4.0;93.0;23.0;;23.0;;0.0;1.0;;;-4.0;;-0.0;;9.0;4.0;-1.0;;;;-0.0;;0.0;;;-1.0;-0.0;9.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;9.0;-0.0;-1.0;-2.0;-2.0;19.0;16.0;20.0;7.0;7.0;13.0;2.0;-1.0;-1.0;0.0;1.0;9.0;49.09;10.0;1.0;9.0;9.0;;;19.0;;0.0;1.0;-2.03;-6.77;-1.0;-9.89;-0.0;-9.24;-0.09;-0.09;19.0;;9.0;;9.0;5.0;0.0;1.0;2.0;2.0;0.0;3.0;;;0.0;5.0;;2.0;3.0;;0.0;2.0;;;;0.0;0.0;;;;0.0;-76.0;-4.0;93.0;20.0;;20.0;;-2.0;1.0;;;5.0;;0.0;;14.0;-3.0;-1.0;;;;-0.0;;0.0;-0.0;;-1.0;-0.0;9.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
