;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2004.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;492.0;188.0;92.0;17.0;11.0;17.0;0.0;187.0;970.0;175.0;378.0;592.0;107.0;-85.0;-26.0;-5.0;68.0;304.0;38.21;171.0;;117.0;;;54.0;475.0;;;81.0;18.63;3.43;-6.0;2.18;-6.0;3.48;-4.0;-4.0;0.0;;45.0;;45.0;80.0;;63.0;114.0;477.0;172.0;649.0;;0.0;20.0;783.0;;7.0;22.0;;4.0;142.0;137.0;;28.0;38.0;203.0;;2.0;189.0;12.0;1.0;-53.0;444.0;970.0;;970.0;;17.0;81.0;-13.0;;-2.0;;;;12.0;24.0;-38.0;-11.0;;;-35.0;;2.0;;;-29.0;-1.0;45.0;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;613.0;252.0;115.0;43.0;34.0;40.0;0.0;243.0;1081.0;264.0;457.0;625.0;37.0;-49.0;3.0;-9.0;-43.0;361.0;41.13;209.0;;159.0;;;50.0;570.0;;;81.0;18.79;7.04;-9.0;5.53;-6.0;6.49;-26.93;-26.93;0.0;;35.0;;35.0;145.0;;62.0;158.0;493.0;132.0;625.0;;2.0;54.0;838.0;;9.0;105.0;;13.0;136.0;123.0;;20.0;50.0;193.0;;3.0;189.0;12.0;6.0;-15.0;433.0;1081.0;;1081.0;;40.0;81.0;-9.0;;-33.0;;;;-21.0;-43.0;-79.0;-10.0;;;39.0;;0.0;-50.0;;52.0;1.0;35.0;45.0;;;1562.26;101.35;-108.68;;201.87;1591.94;0.0;;;;613.0;7.0;81.0;40.0;-17.2;6.5;-21.0;123.0;625.0;4.9;3.1;6.4;100.0;-116.6
2007.0;823.0;307.0;173.0;87.0;81.0;56.0;143.0;672.0;1743.0;271.0;490.0;1251.0;150.0;-115.0;181.0;244.0;84.0;515.0;37.34;264.0;;221.0;221.0;;43.0;779.0;7.0;14.0;86.0;20.99;10.55;-5.0;9.89;17.0;6.86;0.13;0.12;136.0;;279.0;;279.0;202.0;;191.0;196.0;601.0;110.0;711.0;0.0;2.0;163.0;1072.0;;12.0;23.0;7.0;;236.0;106.0;;41.0;72.0;218.0;;0.0;;2.0;26.0;222.0;1000.0;1740.0;3.0;1743.0;;56.0;86.0;-5.0;13.0;421.0;-39.0;;-3.0;400.0;-422.0;-66.0;-20.0;;;-29.0;-24.0;306.0;-2.0;;-99.0;28.0;279.0;35.0;;;6.07;0.42;0.62;;0.49;9.23;136.0;37.0;2.1;;823.0;10.6;86.0;56.0;20.3;6.9;400.0;106.0;1251.0;4.7;5.0;4.5;100.0;-361.9
2008.0;1041.0;422.0;226.0;134.0;135.0;125.0;218.0;744.0;1696.0;427.0;852.0;842.0;211.0;-239.0;0.0;-95.0;142.0;619.0;40.51;288.0;;243.0;243.0;;45.0;907.0;;;92.0;21.72;12.85;1.0;12.96;9.0;12.02;0.59;0.57;213.0;;184.0;201.0;385.0;229.0;;130.0;174.0;532.0;62.0;594.0;1.0;111.0;72.0;952.0;;8.0;57.0;;55.0;307.0;70.0;;10.0;346.0;425.0;;4.0;;2.0;152.0;-342.0;1030.0;1694.0;3.0;1696.0;;125.0;92.0;-24.0;;-83.0;;;;318.0;101.0;-69.0;;-467.0;289.0;7.0;;13.0;;;-13.0;-67.0;184.0;279.0;;;4.88;0.59;0.66;;0.33;3.94;213.0;20.9;1.0;;1041.0;12.8;92.0;125.0;6.5;12.0;318.0;70.0;842.0;9.9;7.9;14.9;100.0;-9.3
2009.0;1120.0;447.0;237.0;162.0;161.0;127.0;220.0;847.0;1748.0;396.0;548.0;1197.0;158.0;-14.0;-52.0;105.0;106.0;673.0;39.95;285.0;;265.0;265.0;;20.0;958.0;7.0;4.0;80.0;21.13;14.48;-1.0;14.39;25.0;11.37;0.59;0.58;216.0;;289.0;142.0;431.0;254.0;;162.0;189.0;549.0;36.0;585.0;1.0;37.0;89.0;900.0;;24.0;47.0;2.0;;325.0;35.0;;4.0;112.0;152.0;;5.0;;2.0;279.0;-147.0;1063.0;1745.0;2.0;1748.0;;127.0;80.0;-21.0;19.0;134.0;-23.0;;4.0;452.0;-181.0;-53.0;-20.0;-358.0;416.0;1.0;-57.0;14.0;;-8.0;;12.0;289.0;184.0;;;5.2;0.59;0.49;0.04;0.24;5.56;216.0;18.6;0.3;0.3;1120.0;14.5;80.0;127.0;15.8;11.4;452.0;35.0;1197.0;9.8;9.0;10.6;93.8;-5.6
2010.0;1259.0;470.0;253.0;178.0;183.0;142.0;225.0;936.0;1893.0;323.0;412.0;1479.0;163.0;-33.0;-32.0;115.0;108.0;789.0;37.37;298.0;;282.0;282.0;;16.0;1087.0;6.0;3.0;74.0;20.12;14.13;5.0;14.55;34.0;11.29;0.65;0.63;219.0;;404.0;77.0;481.0;306.0;;149.0;197.0;570.0;33.0;604.0;2.0;35.0;120.0;958.0;;12.0;27.0;8.0;;284.0;;;3.0;87.0;90.0;;3.0;;2.0;421.0;-50.0;1106.0;1891.0;3.0;1893.0;;142.0;74.0;-5.0;18.0;162.0;-50.0;;-3.0;613.0;-227.0;-55.0;-45.0;-107.0;163.0;11.0;-50.0;25.0;;-7.0;-0.0;18.0;404.0;289.0;;;5.74;0.65;0.49;0.03;0.25;6.74;219.0;24.0;1.2;0.2;1259.0;14.1;74.0;142.0;18.7;11.3;613.0;;1479.0;9.3;9.5;9.6;95.0;-16.5
2011.0;1600.0;596.0;343.0;216.0;262.0;184.0;226.0;985.0;2403.0;662.0;968.0;1433.0;267.0;-535.0;326.0;4.0;231.0;1005.0;37.21;379.0;;349.0;349.0;;30.0;1384.0;15.0;9.0;78.0;21.41;13.51;45.0;16.35;71.0;11.52;0.83;0.81;222.0;;408.0;;408.0;402.0;;175.0;181.0;925.0;113.0;1039.0;;92.0;107.0;1418.0;;21.0;283.0;20.0;;358.0;74.0;;2.0;230.0;306.0;;3.0;;2.0;605.0;-321.0;1146.0;2401.0;3.0;2403.0;;184.0;78.0;-8.0;28.0;-290.0;-46.0;;7.0;323.0;274.0;-36.0;-577.0;-129.0;206.0;1.0;209.0;13.0;;;104.0;-54.0;408.0;404.0;;;7.22;0.83;1.04;;0.16;6.47;222.0;18.7;1.1;;1600.0;13.5;78.0;184.0;27.0;11.5;323.0;74.0;1433.0;11.1;11.0;12.9;100.0;-5.6
2012.0;1902.0;744.0;371.0;264.0;263.0;185.0;230.0;1129.0;2606.0;518.0;1434.0;1168.0;311.0;-158.0;-105.0;51.0;227.0;1158.0;39.13;477.0;;448.0;448.0;;29.0;1634.0;12.0;28.0;79.0;19.48;13.9;-1.0;13.83;78.0;9.71;0.8;0.78;224.0;;459.0;;459.0;452.0;;218.0;200.0;956.0;112.0;1068.0;0.0;91.0;117.0;1477.0;;19.0;86.0;22.0;62.0;351.0;657.0;74.0;6.0;179.0;916.0;;4.0;;2.0;282.0;-318.0;1202.0;2603.0;3.0;2606.0;;185.0;79.0;-10.0;32.0;288.0;-36.0;;-4.0;611.0;-263.0;-83.0;-57.0;-44.0;26.0;1.0;-362.0;;;-502.0;758.0;4.0;459.0;408.0;;;8.5;0.83;1.02;2.24;0.37;5.22;224.0;19.9;1.3;13.7;1902.0;13.9;79.0;185.0;29.8;9.7;611.0;657.0;1168.0;9.8;11.2;15.8;-171.7;220.7
2013.0;2132.0;812.0;421.0;310.0;306.0;235.0;236.0;1276.0;2689.0;462.0;1365.0;1323.0;312.0;-78.0;-65.0;112.0;263.0;1320.0;38.11;509.0;;476.0;476.0;;32.0;1828.0;16.0;39.0;76.0;19.77;14.52;-3.0;14.36;71.0;11.02;1.0;0.97;229.0;;571.0;;571.0;505.0;;200.0;173.0;954.0;99.0;1053.0;0.0;89.0;97.0;1413.0;;18.0;6.0;15.0;65.0;372.0;654.0;55.0;4.0;190.0;904.0;;4.0;;2.0;512.0;-460.0;1268.0;2688.0;1.0;2689.0;;235.0;76.0;-1.0;31.0;204.0;-61.0;;2.0;814.0;-233.0;-49.0;-47.0;-55.0;69.0;3.0;-480.0;;;;415.0;-56.0;571.0;459.0;;;9.3;1.02;1.15;;0.21;5.77;229.0;18.2;1.1;;2132.0;14.5;76.0;235.0;23.2;11.0;814.0;654.0;1323.0;11.9;12.8;17.8;100.0;
