;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;863.0;505.0;-219.0;-270.0;-271.0;-270.0;129.0;;;;;;148.0;-74.0;-71.0;3.0;77.0;358.0;58.57;776.0;213.0;398.0;281.0;118.0;165.0;1133.0;;3.0;49.0;-25.33;-31.33;-0.0;-31.37;-0.0;-31.34;-2.1;-2.1;129.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-270.0;49.0;;259.0;111.0;-3.0;;6.0;153.0;-1.0;-71.0;;-12.0;9.0;0.0;-14.0;;-58.0;;-0.0;;47.0;44.0;;;6.71;-2.1;0.6;;0.55;;129.0;;;;863.0;-31.3;49.0;-270.0;0.1;-31.3;;;;;;;100.0;
2012.0;911.0;481.0;-62.0;-203.0;-279.0;-279.0;126.0;334.0;3028.0;675.0;2014.0;1014.0;106.0;-59.0;-35.0;12.0;62.0;430.0;52.76;683.0;175.0;237.0;106.0;130.0;271.0;1113.0;;79.0;139.0;-6.76;-22.23;-77.0;-30.66;-0.0;-30.63;-2.21;-2.21;126.0;;59.0;3.0;63.0;2.0;;268.0;160.0;1515.0;867.0;2382.0;;;153.0;2694.0;;20.0;2.0;;592.0;61.0;988.0;317.0;;35.0;1339.0;;;;;-333.0;-78.0;1424.0;3028.0;;3028.0;;-279.0;139.0;-1.0;12.0;-494.0;0.0;;2.0;-341.0;730.0;-44.0;-18.0;-18.0;20.0;0.0;-8.0;;-18.0;;-9.0;;59.0;48.0;;;7.22;-2.21;0.49;;0.35;8.04;126.0;;;;911.0;-22.2;139.0;-279.0;0.1;-30.6;-341.0;988.0;1014.0;-8.5;-6.6;-27.5;100.0;
2013.0;1131.0;657.0;11.0;-132.0;-201.0;-200.0;129.0;406.0;3213.0;859.0;2401.0;813.0;153.0;-208.0;91.0;36.0;101.0;474.0;58.1;789.0;208.0;289.0;144.0;145.0;291.0;1263.0;;71.0;141.0;0.93;-11.67;-69.0;-17.78;-1.0;-17.68;-1.55;-1.55;129.0;;95.0;3.0;99.0;5.0;;302.0;183.0;1628.0;836.0;2464.0;;;160.0;2807.0;;24.0;2.0;;702.0;131.0;1084.0;384.0;;74.0;1542.0;;;;;-533.0;-127.0;1472.0;3213.0;;3213.0;;-200.0;141.0;;16.0;-111.0;-2.0;;2.0;-453.0;307.0;-52.0;-157.0;-13.0;13.0;0.0;-8.0;3.0;-0.0;;96.0;;95.0;59.0;;;8.8;-1.55;0.79;;0.41;6.32;129.0;;;;1131.0;-11.7;141.0;-200.0;0.6;-17.7;-453.0;1084.0;813.0;-5.5;-4.0;-24.6;100.0;
2014.0;1387.0;869.0;92.0;-62.0;-146.0;-143.0;129.0;461.0;3265.0;973.0;2854.0;410.0;181.0;-107.0;-30.0;44.0;113.0;518.0;62.63;931.0;254.0;333.0;168.0;165.0;343.0;1449.0;;85.0;153.0;6.6;-4.46;-84.0;-10.53;-3.0;-10.33;-1.11;-1.11;129.0;;139.0;3.0;142.0;4.0;;315.0;221.0;1661.0;750.0;2411.0;;2.0;171.0;2804.0;;32.0;5.0;;823.0;113.0;1414.0;429.0;;38.0;1882.0;;;;;-676.0;-178.0;1265.0;3265.0;;3265.0;;-143.0;153.0;-7.0;30.0;-59.0;2.0;;9.0;-512.0;207.0;-68.0;-41.0;-9.0;9.0;1.0;-8.0;;-2.0;-349.0;329.0;;139.0;95.0;;;10.79;-1.11;0.88;2.71;0.53;3.19;129.0;;;;1387.0;-4.5;153.0;-143.0;1.9;-10.3;-512.0;1414.0;410.0;-2.6;-1.9;-34.9;343.5;
2015.0;1607.0;1041.0;152.0;-31.0;-121.0;-76.0;59.0;694.0;3499.0;1114.0;2818.0;426.0;259.0;-146.0;96.0;209.0;180.0;566.0;64.79;1072.0;270.0;422.0;220.0;202.0;380.0;1638.0;;69.0;159.0;9.47;-1.93;-90.0;-7.5;-0.0;-4.7;-0.81;-0.81;59.0;;348.0;5.0;353.0;5.0;;337.0;225.0;1663.0;735.0;2399.0;;5.0;176.0;2805.0;;39.0;16.0;11.0;938.0;120.0;1040.0;479.0;;186.0;1704.0;;12.0;;0.0;-32.0;3.0;455.0;3244.0;255.0;3499.0;;-76.0;159.0;-3.0;40.0;92.0;-1.0;;14.0;-420.0;47.0;-79.0;-66.0;-7.0;6.0;-22.0;-386.0;482.0;;-1.0;0.0;-0.0;348.0;139.0;;;27.39;-1.29;3.07;0.01;1.35;7.26;59.0;-20.9;-1.0;0.1;1607.0;-1.9;159.0;-76.0;0.2;-4.7;-420.0;1040.0;426.0;-0.3;-0.2;-17.8;101.1;
2016.0;1848.0;1190.0;201.0;50.0;-22.0;-17.0;80.0;933.0;3787.0;1262.0;3073.0;563.0;387.0;-183.0;15.0;218.0;324.0;658.0;64.4;1153.0;288.0;450.0;221.0;229.0;415.0;1810.0;;57.0;160.0;10.89;2.71;-72.0;-1.16;0.0;-0.89;-0.21;-0.21;80.0;;566.0;7.0;573.0;8.0;;352.0;231.0;1718.0;717.0;2435.0;;5.0;183.0;2854.0;;62.0;11.0;13.0;1044.0;146.0;1036.0;533.0;;242.0;1811.0;;7.0;;0.0;-49.0;3.0;608.0;3635.0;152.0;3787.0;;-17.0;160.0;-4.0;57.0;90.0;;;20.0;-329.0;100.0;-63.0;-119.0;-11.0;8.0;-1.0;-11.0;;;-19.0;45.0;-0.0;566.0;348.0;;;23.15;-0.21;4.05;0.24;0.79;7.05;80.0;-154.7;-7.0;0.7;1848.0;2.7;160.0;-17.0;-1.9;-0.9;-329.0;1036.0;563.0;1.8;1.1;-2.9;213.9;
2017.0;2232.0;1456.0;406.0;67.0;107.0;136.0;177.0;1060.0;5738.0;1811.0;5192.0;487.0;476.0;-1570.0;1108.0;17.0;340.0;776.0;65.25;1266.0;356.0;536.0;282.0;253.0;375.0;2042.0;;83.0;206.0;18.2;3.0;40.0;4.79;-19.0;6.11;1.25;0.79;109.0;;583.0;12.0;595.0;18.0;;446.0;298.0;2860.0;1326.0;4186.0;;;195.0;4679.0;;60.0;22.0;79.0;1265.0;465.0;2411.0;597.0;146.0;228.0;3381.0;;5.0;;0.0;88.0;-86.0;484.0;5678.0;60.0;5738.0;;136.0;206.0;-35.0;76.0;-422.0;;;-8.0;-751.0;513.0;-135.0;-1429.0;-28.0;23.0;-52.0;-612.0;23.0;-285.0;;1982.0;4.0;583.0;566.0;;;20.52;1.25;3.13;;1.24;4.47;109.0;33.2;1.4;;2232.0;3.0;206.0;136.0;-17.7;6.1;-751.0;2411.0;487.0;6.1;3.5;28.0;100.0;77.0
2018.0;2660.0;1766.0;401.0;150.0;73.0;77.0;181.0;1427.0;6083.0;1886.0;5259.0;793.0;560.0;-255.0;47.0;350.0;463.0;894.0;66.4;1602.0;434.0;625.0;334.0;291.0;542.0;2496.0;;98.0;234.0;15.06;5.62;-77.0;2.74;-9.0;2.9;0.5;0.45;155.0;;932.0;19.0;951.0;26.0;;450.0;299.0;2948.0;1212.0;4160.0;;;198.0;4656.0;;62.0;17.0;38.0;1394.0;414.0;2394.0;624.0;117.0;238.0;3373.0;;;;0.0;165.0;-72.0;700.0;6052.0;32.0;6083.0;;77.0;234.0;-26.0;126.0;292.0;;;-3.0;-459.0;-143.0;-97.0;-152.0;-25.0;19.0;-9.0;-25.0;;;;72.0;-2.0;932.0;583.0;;;17.14;0.5;2.98;;0.62;5.11;155.0;135.8;5.4;;2660.0;5.6;234.0;77.0;-12.3;2.9;-459.0;2394.0;793.0;4.5;2.8;9.7;100.0;
2019.0;2988.0;1961.0;427.0;203.0;126.0;137.0;182.0;1575.0;6301.0;2001.0;5519.0;772.0;723.0;-135.0;-457.0;130.0;631.0;1027.0;65.64;1750.0;493.0;708.0;362.0;346.0;550.0;2777.0;;92.0;210.0;14.28;6.78;-76.0;4.23;-12.0;4.58;0.79;0.76;173.0;;1063.0;24.0;1086.0;30.0;;459.0;455.0;2977.0;1098.0;4074.0;;;197.0;4726.0;;72.0;58.0;31.0;1544.0;327.0;2377.0;654.0;101.0;386.0;3518.0;;232.0;;0.0;-154.0;-78.0;1004.0;6291.0;10.0;6301.0;;137.0;210.0;;147.0;33.0;;;14.0;-426.0;197.0;-92.0;-40.0;-64.0;60.0;-3.0;-625.0;;-459.0;;627.0;-1.0;1063.0;932.0;;;17.23;0.79;3.64;;0.53;4.45;173.0;88.9;3.7;;2988.0;6.8;210.0;137.0;-9.5;4.6;-426.0;2377.0;772.0;5.5;3.5;17.7;100.0;72.7
2020.0;3317.0;2158.0;-202.0;272.0;-495.0;-495.0;169.0;1291.0;6433.0;2314.0;6445.0;-13.0;765.0;-482.0;-582.0;-298.0;683.0;1159.0;65.07;2517.0;560.0;762.0;324.0;439.0;1194.0;3676.0;;91.0;203.0;-6.1;8.21;-768.0;-14.94;-1.0;-14.93;-2.94;-2.94;169.0;;765.0;;765.0;42.0;;484.0;399.0;3275.0;1255.0;4530.0;;;212.0;5142.0;;51.0;66.0;38.0;1711.0;486.0;3257.0;725.0;92.0;57.0;4131.0;;208.0;;0.0;-1191.0;-131.0;1309.0;6432.0;1.0;6433.0;;-495.0;203.0;;192.0;-597.0;;;-21.0;-1023.0;1463.0;-82.0;-425.0;;24.0;-15.0;-29.0;;-542.0;;-11.0;2.0;765.0;1063.0;;;19.67;-2.94;4.05;;0.48;-0.08;169.0;-24.7;-0.7;;3317.0;8.2;203.0;-495.0;0.3;-14.9;-1023.0;3257.0;-13.0;-9.8;-6.3;3838.0;100.0;
