;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;41.0;18.0;12.0;11.0;11.0;7.0;8.0;25.0;35.0;9.0;10.0;25.0;10.0;-6.0;-3.0;;4.0;23.0;44.63;8.0;2.0;;;;5.0;31.0;;;2.0;29.51;25.61;0.0;25.85;4.0;16.1;0.83;0.83;8.0;;3.0;;3.0;7.0;15.0;1.0;6.0;;1.0;1.0;;;3.0;10.0;;3.0;;;;6.0;;;1.0;;1.0;;;;;16.0;-6.0;15.0;35.0;;35.0;;7.0;2.0;2.0;;0.0;;-2.0;;16.0;0.0;-6.0;;;;1.0;;;;;-3.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;66.0;30.0;13.0;10.0;10.0;7.0;10.0;38.0;63.0;11.0;14.0;49.0;2.0;-14.0;13.0;;-12.0;36.0;45.9;20.0;6.0;12.0;12.0;;3.0;56.0;;;3.0;19.91;15.2;0.0;15.65;4.0;10.18;0.66;0.65;10.0;;4.0;;4.0;12.0;20.0;3.0;19.0;;5.0;5.0;;;1.0;25.0;;6.0;;;;6.0;1.0;;2.0;;3.0;;;;;22.0;-9.0;36.0;63.0;;63.0;;7.0;3.0;-1.0;;11.0;;-3.0;;27.0;-17.0;-15.0;;;;0.0;;;;;13.0;0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;42.0;21.0;5.0;1.0;1.0;1.0;11.0;38.0;63.0;6.0;12.0;51.0;3.0;-3.0;2.0;1.0;-2.0;21.0;49.52;20.0;6.0;10.0;10.0;;4.0;41.0;;;4.0;11.67;1.43;;1.43;-0.0;1.9;0.08;0.07;11.0;;5.0;;5.0;8.0;22.0;3.0;19.0;;6.0;6.0;;;1.0;25.0;;3.0;0.0;;;3.0;4.0;;2.0;;6.0;;;;0.0;23.0;-11.0;39.0;63.0;;63.0;;1.0;4.0;0.0;;5.0;;-1.0;;32.0;-8.0;-5.0;;;;2.0;;;;;2.0;0.0;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;53.0;18.0;2.0;-2.0;-2.0;-1.0;11.0;38.0;65.0;9.0;14.0;51.0;5.0;-6.0;0.0;-1.0;-1.0;35.0;34.5;20.0;6.0;10.0;10.0;;4.0;55.0;;;4.0;4.21;-3.37;0.0;-3.3;-1.0;-2.23;-0.11;-0.11;11.0;;4.0;;4.0;9.0;22.0;3.0;21.0;;5.0;5.0;;;1.0;27.0;;6.0;0.0;;;3.0;4.0;;2.0;;6.0;;;;0.0;22.0;-13.0;42.0;65.0;;65.0;;-1.0;4.0;0.0;;-3.0;;-0.0;;29.0;5.0;-6.0;;;;0.0;;0.0;;;-0.0;-0.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;64.0;21.0;6.0;2.0;2.0;1.0;11.0;44.0;73.0;15.0;20.0;53.0;3.0;-7.0;1.0;-3.0;-2.0;43.0;32.48;19.0;6.0;13.0;13.0;;;62.0;;;4.0;9.55;2.92;-0.0;2.56;0.0;2.1;0.12;0.12;11.0;;1.0;;1.0;12.0;29.0;2.0;20.0;3.0;2.0;5.0;;0.0;4.0;29.0;;5.0;1.0;;5.0;4.0;4.0;;1.0;;5.0;;;;0.0;23.0;-12.0;41.0;73.0;;73.0;;1.0;4.0;0.0;;-0.0;;-7.0;;28.0;-3.0;-5.0;-2.0;;;0.0;;0.0;;;1.0;-0.0;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;65.0;19.0;5.0;0.0;-0.0;1.0;11.0;38.0;68.0;10.0;14.0;54.0;7.0;-5.0;-0.0;1.0;2.0;46.0;28.54;18.0;5.0;12.0;12.0;;1.0;65.0;;;5.0;7.86;0.67;-1.0;-0.52;-1.0;1.72;0.1;0.1;11.0;;2.0;;2.0;13.0;22.0;2.0;20.0;2.0;5.0;6.0;;1.0;2.0;30.0;;4.0;1.0;;0.0;5.0;4.0;;;;4.0;;;;0.0;24.0;-14.0;44.0;68.0;;68.0;;1.0;5.0;-1.0;;-0.0;;8.0;;28.0;2.0;-5.0;1.0;;;-2.0;;0.0;;;-1.0;0.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;51.0;13.0;0.0;-4.0;-4.0;-3.0;11.0;38.0;71.0;13.0;19.0;52.0;-3.0;-6.0;8.0;-1.0;-9.0;38.0;24.61;16.0;5.0;11.0;11.0;;;55.0;;;4.0;0.66;-7.83;0.0;-7.73;-1.0;-4.98;-0.23;-0.23;11.0;;1.0;;1.0;10.0;23.0;4.0;22.0;;6.0;6.0;;2.0;4.0;34.0;;3.0;6.0;;0.0;4.0;6.0;;;;6.0;;;;0.0;22.0;-0.0;31.0;71.0;0.0;71.0;;-3.0;4.0;-1.0;;-3.0;;-1.0;;25.0;-0.0;-6.0;-0.0;;;0.0;;0.0;;;8.0;0.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;64.0;23.0;11.0;6.0;6.0;6.0;11.0;45.0;78.0;13.0;18.0;59.0;8.0;-1.0;-5.0;2.0;6.0;41.0;35.81;17.0;5.0;12.0;12.0;;;58.0;;;5.0;17.1;9.24;0.0;9.3;-0.0;9.37;0.54;0.53;11.0;;3.0;;3.0;13.0;25.0;4.0;21.0;;5.0;5.0;;3.0;3.0;32.0;;5.0;1.0;;0.0;6.0;6.0;;;;6.0;;;;0.0;28.0;0.0;31.0;78.0;0.0;78.0;;6.0;5.0;-1.0;;8.0;;-3.0;;33.0;-9.0;-3.0;;;;1.0;;0.0;;;-5.0;0.0;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;73.0;22.0;7.0;3.0;3.0;3.0;11.0;51.0;84.0;11.0;22.0;63.0;-2.0;-5.0;5.0;-1.0;-8.0;51.0;30.05;18.0;5.0;14.0;14.0;;;69.0;;;4.0;10.26;4.68;-0.0;4.62;1.0;3.44;0.23;0.22;11.0;;2.0;;2.0;13.0;33.0;4.0;22.0;;4.0;4.0;;3.0;3.0;33.0;;5.0;0.0;;0.0;6.0;11.0;;;;11.0;;;;0.0;30.0;1.0;32.0;84.0;0.0;84.0;;3.0;4.0;-1.0;;8.0;;-8.0;;41.0;-15.0;-6.0;;;;1.0;;1.0;;;4.0;0.0;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;104.0;36.0;18.0;14.0;14.0;10.0;12.0;77.0;109.0;26.0;33.0;76.0;5.0;-5.0;-1.0;0.0;1.0;67.0;34.96;22.0;7.0;15.0;15.0;;;89.0;;;4.0;17.49;13.94;-0.0;13.74;4.0;9.42;0.86;0.82;11.0;;2.0;;2.0;22.0;49.0;3.0;25.0;2.0;2.0;4.0;;1.0;3.0;33.0;;7.0;0.0;;9.0;10.0;7.0;;;;7.0;;;;0.0;40.0;1.0;35.0;109.0;;109.0;;10.0;4.0;2.0;;10.0;;-16.0;;51.0;-20.0;-5.0;-0.0;;;0.0;;1.0;;;-2.0;1.0;2.0;2.0;;;9.12;0.86;0.05;;0.42;6.66;11.0;31.1;1.7;;104.0;13.9;4.0;10.0;31.4;9.4;51.0;7.0;76.0;11.7;13.0;12.9;100.0;-238.7
