;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
1998.0;1885.0;665.0;341.0;293.0;246.0;194.0;1328.0;973.0;2559.0;469.0;1340.0;1219.0;269.0;-459.0;196.0;7.0;-76.0;1220.0;35.26;372.0;;;;;372.0;1592.0;;;95.0;18.08;15.55;-47.0;13.06;52.0;10.28;0.28;0.26;1328.0;;11.0;339.0;350.0;217.0;292.0;114.0;1279.0;;;;;;308.0;1587.0;;92.0;278.0;;;99.0;603.0;;69.0;199.0;871.0;;;;278.0;445.0;-851.0;1348.0;2559.0;;2559.0;;194.0;95.0;14.0;;-13.0;;-17.0;;;-20.0;-345.0;;-995.0;957.0;-76.0;;;-0.0;-45.0;242.0;-0.0;11.0;4.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1833.0;708.0;326.0;353.0;216.0;195.0;66267043.0;1272.0;3524.0;1055.0;2319.0;1205.0;299.0;-648.0;495.0;146.0;-9.0;1125.0;38.62;355.0;;;;;355.0;1480.0;;;110.0;17.79;19.25;-137.0;11.8;21.0;10.66;0.0;0.0;66267043.0;;10.0;375.0;385.0;354.0;494.0;40.0;2012.0;;;;;;240.0;2252.0;;172.0;717.0;;;165.0;915.0;;139.0;210.0;1264.0;;;;729.0;310.0;-1015.0;1181.0;3524.0;;3524.0;;195.0;110.0;;;-110.0;;;;-110.0;104.0;-309.0;;-338.0;;-1.0;;3.0;;-38.0;530.0;;385.0;239.0;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2676.0;853.0;375.0;387.0;234.0;189.0;1115033.0;1167.0;3231.0;970.0;2124.0;1108.0;225.0;-231.0;7.0;3.0;-39.0;1823.0;31.88;466.0;;;;;466.0;2289.0;;;141.0;14.01;14.46;-153.0;8.75;46.0;7.04;0.0;0.0;1115033.0;;12.0;290.0;303.0;332.0;458.0;74.0;1542.0;;;;;63.0;460.0;2065.0;;208.0;691.0;;;71.0;831.0;;144.0;178.0;1154.0;;;;279.0;676.0;-860.0;1012.0;3231.0;;3231.0;;189.0;141.0;15.0;;-115.0;;-42.0;;-22.0;-4.0;-265.0;;-368.0;405.0;-3.0;;;;-66.0;73.0;1.0;12.0;10.0;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2332.0;682.0;360.0;394.0;223.0;168.0;1327853.0;1137.0;2967.0;885.0;1897.0;1070.0;314.0;-141.0;-155.0;15.0;69.0;1650.0;29.26;288.0;;;;;288.0;1938.0;;;137.0;15.42;16.89;-171.0;9.57;55.0;7.21;0.0;0.0;1327853.0;;28.0;308.0;336.0;290.0;446.0;65.0;1391.0;;;;;44.0;395.0;1830.0;;138.0;572.0;;;175.0;729.0;;152.0;131.0;1012.0;;;;281.0;766.0;-837.0;861.0;2967.0;;2967.0;;168.0;137.0;29.0;;-52.0;;-58.0;;;33.0;-245.0;15.0;-284.0;225.0;148.0;;;;-71.0;-84.0;-2.0;28.0;12.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3265.0;915.0;417.0;581.0;238.0;232.0;1332.0;1524.0;4086.0;1588.0;2913.0;865.0;350.0;-573.0;283.0;13.0;165.0;2350.0;28.03;335.0;;;;;335.0;2684.0;;;179.0;12.78;17.79;-342.0;7.3;7.0;7.1;0.17;0.17;1332.0;;40.0;368.0;408.0;362.0;633.0;121.0;2085.0;;114.0;114.0;;98.0;265.0;2562.0;;282.0;1105.0;;;201.0;995.0;;128.0;201.0;1325.0;;;563.0;281.0;937.0;-918.0;2.0;3778.0;309.0;4086.0;;232.0;179.0;-21.0;;-271.0;;-94.0;;;231.0;-186.0;-392.0;-848.0;847.0;6.0;;2.0;;-74.0;355.0;-48.0;40.0;28.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4521.0;1083.0;657.0;696.0;524.0;509.0;1336.0;1756.0;4760.0;1456.0;3096.0;1400.0;467.0;-165.0;-249.0;52.0;170.0;3438.0;23.96;387.0;;;;;387.0;3825.0;;;182.0;14.53;15.39;-171.0;11.6;-34.0;11.26;0.38;0.38;1335.0;;92.0;236.0;328.0;465.0;796.0;167.0;2299.0;;119.0;119.0;;231.0;355.0;3004.0;;372.0;797.0;;;287.0;1285.0;;72.0;283.0;1640.0;;;;980.0;1159.0;-737.0;-3.0;4495.0;264.0;4760.0;;509.0;182.0;-122.0;;-93.0;;-74.0;;-40.0;-8.0;-297.0;-15.0;-957.0;1100.0;4.0;;;-6.0;-122.0;-121.0;-2.0;92.0;40.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6952.0;2113.0;1834.0;1628.0;1722.0;1158.0;1333.0;3323.0;6852.0;1712.0;3688.0;2523.0;1147.0;-901.0;-77.0;156.0;706.0;4839.0;30.4;485.0;;;;;485.0;5324.0;;;269.0;26.38;23.42;94.0;24.77;407.0;16.66;0.87;0.87;1328.0;;249.0;405.0;653.0;835.0;1594.0;240.0;2790.0;;141.0;141.0;;153.0;444.0;3529.0;;628.0;673.0;;;411.0;1625.0;;59.0;291.0;1975.0;;;;1539.0;1510.0;-515.0;-12.0;6210.0;642.0;6852.0;;1158.0;269.0;77.0;;-521.0;;-533.0;;182.0;163.0;-441.0;-316.0;-500.0;424.0;-68.0;;181.0;-9.0;-276.0;26.0;-12.0;249.0;93.0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;8883.0;2327.0;1882.0;1650.0;1759.0;1116.0;1335.0;4969.0;9289.0;1679.0;4831.0;3539.0;345.0;-760.0;624.0;283.0;-352.0;6556.0;26.2;677.0;;;;;677.0;7232.0;;;301.0;21.19;18.58;109.0;19.81;465.0;12.56;0.84;0.84;1328.0;;532.0;1759.0;2291.0;778.0;1660.0;240.0;3513.0;148.0;;148.0;;181.0;478.0;4320.0;;675.0;566.0;;;438.0;2644.0;;141.0;366.0;3152.0;;;;2209.0;1429.0;-212.0;112.0;8369.0;920.0;9289.0;;1116.0;301.0;118.0;;-1382.0;;0.0;;-69.0;192.0;-697.0;-70.0;-141.0;141.0;6.0;;221.0;-7.0;-395.0;805.0;74.0;532.0;249.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;11823.0;3061.0;2889.0;2093.0;2358.0;1511.0;1342.0;7072.0;14463.0;2919.0;9541.0;4922.0;1452.0;-1694.0;176.0;-47.0;417.0;8762.0;25.89;1076.0;;1076.0;820.0;256.0;;9838.0;458.0;436.0;503.0;24.43;17.7;265.0;19.94;438.0;12.78;1.14;1.13;1328.0;;485.0;2230.0;2714.0;1534.0;2377.0;447.0;5980.0;336.0;;336.0;209.0;187.0;679.0;7391.0;;1111.0;1063.0;224.0;;745.0;442.0;;415.0;5764.0;6622.0;;;;;1457.0;74.0;;14463.0;;14463.0;;1511.0;503.0;-3.0;;-842.0;-44.0;-179.0;;-660.0;283.0;-1035.0;-659.0;-1529.0;1406.0;124.0;-1465.0;;-33.0;-444.0;2118.0;20.0;485.0;531.0;;0.47;19.02;2.43;0.67;0.72;1.67;7.92;1328.0;3.0;0.2;9.7;25258.0;17.7;1075.0;3228.0;18.6;12.8;8871.0;945.0;10515.0;16.8;16.5;30.7;70.6;114.6;0.468
2007.0;15819.0;3933.0;2836.0;2535.0;2680.0;1617.0;1337.0;8682.0;22977.0;3782.0;13166.0;7005.0;3319.0;-5570.0;2860.0;652.0;1990.0;11886.0;24.86;1398.0;;;;;1398.0;13284.0;;;688.0;17.93;16.02;145.0;16.94;531.0;10.22;1.22;1.21;1325.0;;1138.0;1758.0;2896.0;1782.0;3418.0;587.0;8622.0;3536.0;609.0;4146.0;;138.0;1389.0;14294.0;;1455.0;1418.0;;;908.0;7566.0;;853.0;965.0;9384.0;;;;;2570.0;912.0;;20171.0;2806.0;22977.0;;1617.0;688.0;111.0;;544.0;;-442.0;;1005.0;358.0;-1329.0;-4273.0;-662.0;784.0;-90.0;;515.0;;-538.0;2883.0;43.0;1138.0;486.0;;0.56;21.25;2.17;2.67;0.72;1.79;9.41;1325.0;5.3;0.3;6.3;28157.0;16.0;1226.0;2878.0;19.8;10.2;8723.0;13467.0;12470.0;10.5;10.6;23.1;66.7;1.2;0.562
