;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2008.0;148979.0;-278.0;-16449.0;-21230.0;-29471.0;-30943.0;579.0;44267.0;91039.0;75608.0;176115.0;-85560.0;-12065.0;-1764.0;3843.0;-10764.0;-19595.0;149257.0;-0.19;20342.0;;14253.0;14253.0;;6089.0;169599.0;424.0;2525.0;10203.0;-11.04;-14.25;-8241.0;-19.78;1766.0;-20.77;-53.47;-53.47;579.0;;14053.0;141.0;14194.0;7918.0;13195.0;8960.0;39665.0;;265.0;265.0;4063.0;98.0;2681.0;46772.0;;22259.0;16920.0;;;36429.0;29018.0;;17392.0;54097.0;100507.0;;;;1017.0;-70727.0;-32339.0;16489.0;90555.0;484.0;91039.0;;-30943.0;10203.0;1163.0;;94.0;1315.0;77.0;-4556.0;-31341.0;7418.0;-7530.0;231.0;-3771.0;5866.0;-4090.0;-4100.0;;;-283.0;8226.0;-778.0;14053.0;24817.0;;;257.3;-53.44;-33.84;0.49;13.01;-147.77;579.0;;;;148979.0;-14.3;10203.0;-30943.0;-6.0;-20.8;-31341.0;29018.0;-85560.0;-189.0;-29.4;36.2;100.9;
2009.0;104589.0;-7606.0;123928.0;-21023.0;102493.0;104821.0;925.0;59247.0;136295.0;52435.0;114338.0;21249.0;-17239.0;-18978.0;44574.0;9017.0;-22618.0;112195.0;-7.27;13329.0;;12167.0;12167.0;;1162.0;125524.0;1292.0;6122.0;15151.0;118.49;-20.1;123516.0;98.0;-2166.0;100.22;113.18;113.18;925.0;;22679.0;134.0;22813.0;7518.0;10107.0;18809.0;18687.0;30672.0;14547.0;45219.0;9425.0;564.0;3153.0;77048.0;;18725.0;10221.0;;;23489.0;5562.0;;13279.0;43062.0;61903.0;;;;15.0;-4394.0;1588.0;24040.0;135587.0;708.0;136295.0;;104821.0;15151.0;-2027.0;;38153.0;392.0;3194.0;-3483.0;6812.0;-173337.0;-5379.0;-2122.0;-1269.0;356.0;-15943.0;-2716.0;;;-97.0;47387.0;660.0;22679.0;13662.0;;;113.07;113.32;-24.45;0.1;5.82;22.97;925.0;;;;104589.0;-20.1;15151.0;104821.0;-2.1;100.2;6812.0;5562.0;21249.0;133.6;80.2;493.3;99.9;-0.4
2010.0;135592.0;16800.0;14865.0;5084.0;5737.0;6172.0;1624.0;53053.0;138898.0;47157.0;101739.0;36180.0;6780.0;1233.0;-9770.0;-1814.0;2580.0;118792.0;12.39;11716.0;;11716.0;11716.0;;;130508.0;1555.0;1098.0;6923.0;10.96;3.75;653.0;4.23;672.0;4.55;3.11;2.89;1500.0;;21061.0;5555.0;26616.0;8699.0;12125.0;5613.0;19235.0;31778.0;11882.0;43660.0;8529.0;308.0;14113.0;85845.0;;21497.0;1616.0;;;24044.0;9142.0;;13021.0;32419.0;54582.0;;;10391.0;15.0;266.0;1251.0;24257.0;137919.0;979.0;138898.0;;6172.0;6923.0;242.0;;-916.0;-641.0;-2229.0;2259.0;5896.0;-5641.0;-4200.0;-3263.0;-12317.0;6871.0;9942.0;-13052.0;4857.0;-1462.0;-1572.0;1459.0;-57.0;21256.0;23070.0;;;90.39;4.11;1.72;1.05;2.8;24.12;1500.0;8.5;0.4;3.0;135592.0;3.7;6923.0;6172.0;11.7;4.6;5896.0;9142.0;36180.0;7.7;5.8;17.1;74.5;-70.7
2011.0;150276.0;19105.0;17184.0;5656.0;5985.0;9190.0;1668.0;60247.0;144603.0;48932.0;105612.0;38120.0;8166.0;-12740.0;-358.0;-5185.0;1088.0;131171.0;12.71;12163.0;;12163.0;12163.0;;;143334.0;851.0;540.0;7344.0;11.43;3.76;329.0;3.98;110.0;6.12;4.94;4.58;1536.0;;15499.0;16148.0;31647.0;9949.0;14324.0;4327.0;22957.0;29019.0;10013.0;39032.0;6790.0;2900.0;12677.0;84356.0;;24494.0;1682.0;;;22756.0;11650.0;;12336.0;32694.0;56680.0;;;10391.0;16.0;7183.0;-5861.0;26391.0;143732.0;871.0;144603.0;;9190.0;7344.0;-311.0;;5419.0;-1572.0;-2760.0;2095.0;11315.0;-13476.0;-7078.0;4768.0;-16176.0;5613.0;-6108.0;-8468.0;11.0;-100.0;-916.0;9115.0;-253.0;16071.0;21256.0;;;97.84;5.98;0.71;0.6;4.61;24.82;1536.0;4.7;0.3;2.1;150276.0;3.8;7344.0;9190.0;1.8;6.1;11315.0;11650.0;38120.0;10.2;6.8;24.1;90.0;92.4
2012.0;152256.0;10813.0;10608.0;-30363.0;-30257.0;6188.0;1675.0;69996.0;149422.0;53992.0;112422.0;36244.0;10605.0;-3505.0;-4741.0;2351.0;1487.0;141443.0;7.1;14031.0;;13593.0;13593.0;;438.0;155474.0;343.0;489.0;38762.0;6.97;-19.94;106.0;-19.87;-34831.0;4.06;3.1;2.92;1566.0;;18422.0;8988.0;27410.0;14439.0;14714.0;13433.0;25845.0;1973.0;6809.0;8782.0;6883.0;27922.0;9994.0;79426.0;;25166.0;5051.0;;1326.0;22449.0;9677.0;1169.0;;47584.0;58430.0;;1038.0;10391.0;14.0;10057.0;-8052.0;23834.0;148666.0;756.0;149422.0;;6188.0;38762.0;-35561.0;;4689.0;-460.0;-326.0;162.0;16004.0;-3473.0;-9118.0;-26.0;-10884.0;17786.0;-1263.0;-7377.0;4.0;-5098.0;-939.0;8669.0;-8.0;18422.0;16071.0;;;97.23;3.95;0.95;0.6;5.82;23.14;1566.0;6.0;0.4;2.5;152256.0;-19.9;38762.0;6188.0;115.1;4.1;16004.0;9677.0;36244.0;4.5;-18.9;17.1;84.8;405.7
2013.0;155427.0;18054.0;15848.0;5131.0;7458.0;5346.0;1676.0;81501.0;166344.0;62412.0;123170.0;42607.0;12630.0;-14362.0;3731.0;1599.0;2811.0;137373.0;11.62;12382.0;;12382.0;12382.0;;;149755.0;246.0;334.0;8041.0;10.2;3.3;2327.0;4.8;2127.0;3.44;2.71;2.38;1393.0;;20021.0;8972.0;28993.0;22813.0;14039.0;15656.0;29250.0;1560.0;5668.0;7228.0;8094.0;22736.0;17535.0;84843.0;;23621.0;14158.0;;1276.0;23357.0;22025.0;1249.0;;37484.0;60758.0;;;3109.0;15.0;13816.0;-3113.0;28780.0;165777.0;567.0;166344.0;;5346.0;8041.0;1561.0;;3085.0;8.0;59.0;-485.0;19089.0;-5403.0;-9819.0;-1727.0;-9968.0;10104.0;-2952.0;-20191.0;;-2438.0;-1687.0;28047.0;-400.0;20021.0;18422.0;;;111.58;3.84;2.02;1.21;7.05;30.59;1393.0;8.7;0.5;3.6;155427.0;3.3;8041.0;5346.0;28.5;3.4;19089.0;22025.0;42607.0;5.4;4.7;12.5;68.4;146.7
2014.0;155929.0;13808.0;11818.0;1530.0;4246.0;3949.0;1687.0;83670.0;177677.0;65701.0;141653.0;35457.0;10058.0;-15698.0;5675.0;-1067.0;-1809.0;142121.0;8.86;12158.0;;12158.0;12158.0;;;154279.0;211.0;403.0;7238.0;7.58;0.98;2716.0;2.72;228.0;2.53;1.75;1.65;1605.0;;18954.0;9222.0;28176.0;25606.0;13642.0;16246.0;34803.0;1427.0;4983.0;6410.0;8350.0;25414.0;19030.0;94007.0;;22529.0;14988.0;;1622.0;26562.0;31853.0;1556.0;;42543.0;75952.0;;;;16.0;14577.0;-8073.0;28937.0;177110.0;567.0;177677.0;;3949.0;7238.0;-574.0;;-1120.0;-1248.0;-309.0;19.0;17969.0;565.0;-11867.0;-53.0;-9154.0;8755.0;-3379.0;-19524.0;;-3277.0;-3165.0;31641.0;-1102.0;18954.0;20021.0;;;97.15;2.46;-1.13;1.97;7.39;22.09;1605.0;14.0;0.8;5.7;155929.0;1.0;7238.0;3949.0;5.4;2.5;17969.0;31853.0;35457.0;3.9;2.6;11.1;19.9;-356.1
2015.0;152356.0;18302.0;16250.0;4897.0;7718.0;9687.0;1640.0;78007.0;194520.0;71466.0;154197.0;39871.0;11978.0;-28035.0;13686.0;-3716.0;-11054.0;134054.0;12.01;13405.0;;13405.0;13405.0;;;147459.0;169.0;443.0;8017.0;10.67;3.21;2821.0;5.07;-1897.0;6.36;6.11;5.91;1586.0;;15238.0;8163.0;23401.0;26388.0;13764.0;14454.0;51401.0;1371.0;4576.0;5947.0;9201.0;28443.0;21521.0;116513.0;;24062.0;19562.0;;2227.0;25615.0;43549.0;2007.0;;37175.0;82731.0;;;;15.0;20285.0;-8036.0;27607.0;194068.0;452.0;194520.0;;9687.0;8017.0;-2757.0;;-11428.0;-254.0;-1350.0;1953.0;6541.0;8459.0;-23032.0;-928.0;-9363.0;10221.0;-4933.0;-17256.0;;-3520.0;-2242.0;36704.0;-1345.0;15238.0;18954.0;;;96.06;6.11;-6.97;1.41;14.52;25.14;1586.0;5.6;0.3;4.2;152356.0;3.2;8017.0;9687.0;-24.6;6.4;6541.0;43549.0;39871.0;8.4;4.2;24.3;76.9;-52.1
2016.0;166380.0;21255.0;22823.0;9545.0;11684.0;9427.0;1570.0;76203.0;221690.0;85181.0;177615.0;43836.0;16545.0;-35643.0;17139.0;-2172.0;-12621.0;145125.0;12.77;11710.0;;11710.0;11710.0;;;156835.0;185.0;572.0;10408.0;13.72;5.74;2139.0;7.02;2416.0;5.67;6.12;6.0;1540.0;;12960.0;11841.0;24801.0;31703.0;13788.0;5911.0;70346.0;1868.0;4391.0;6259.0;8996.0;35092.0;24794.0;145487.0;;26961.0;29028.0;;2755.0;26437.0;55600.0;2362.0;;34472.0;92434.0;;;;15.0;26168.0;-9330.0;26983.0;221451.0;239.0;221690.0;;9427.0;10408.0;1886.0;;-15519.0;-1285.0;-320.0;3469.0;-8978.0;10343.0;-29166.0;-809.0;-15444.0;11743.0;-1967.0;-23815.0;;-2500.0;-2368.0;45822.0;-213.0;15160.0;17332.0;;;108.04;6.12;-8.2;1.54;18.94;28.46;1540.0;5.1;0.2;4.9;166380.0;5.7;10408.0;9427.0;20.7;5.7;-8978.0;55600.0;43836.0;7.2;5.6;21.5;74.9;-38.6
2017.0;145588.0;19591.0;20505.0;10016.0;11863.0;-3864.0;1492.0;68744.0;212482.0;76890.0;176282.0;35001.0;17328.0;-24072.0;12584.0;2688.0;-10305.0;125997.0;13.46;9575.0;;9575.0;9575.0;;;135572.0;290.0;575.0;12261.0;14.08;6.88;1847.0;8.15;11533.0;-2.65;-2.65;-2.65;1465.0;;15512.0;8313.0;23825.0;28685.0;10663.0;5571.0;79135.0;1857.0;3992.0;5849.0;9073.0;23544.0;26137.0;143738.0;;23929.0;26965.0;;3400.0;22596.0;67254.0;2887.0;;29251.0;99392.0;;;;14.0;17627.0;-8011.0;25371.0;211283.0;1199.0;212482.0;;-3864.0;12261.0;10880.0;;832.0;1402.0;440.0;-362.0;-8146.0;-2781.0;-27633.0;-41.0;-5503.0;9007.0;98.0;-33592.0;;-4492.0;-2233.0;52901.0;348.0;17848.0;15160.0;;;99.38;-2.64;-7.03;1.52;18.86;23.89;1465.0;-14.2;-0.6;4.1;145588.0;6.9;12261.0;-3864.0;97.2;-2.7;-8146.0;67254.0;35001.0;0.2;3.9;-11.0;157.8;
