;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;556.0;222.0;169.0;95.0;-10.0;-10.0;66.0;218.0;1909.0;95.0;2150.0;-241.0;39.0;-13.0;-9.0;17.0;25.0;333.0;40.0;127.0;10.0;70.0;18.0;53.0;48.0;461.0;;125.0;54.0;30.39;17.07;-105.0;-1.85;-1.0;-1.75;-4.19;-4.19;20.0;;71.0;;71.0;46.0;98.0;3.0;79.0;1029.0;559.0;1589.0;;;23.0;1691.0;;20.0;10.0;;;65.0;1281.0;;;775.0;2055.0;;;;;-26.0;-16.0;;1909.0;;1909.0;;-10.0;54.0;;0.0;8.0;5.0;21.0;-3.0;123.0;-14.0;-13.0;;;;0.0;-10.0;2.0;-1.0;;-0.0;;71.0;54.0;;;27.91;-0.49;1.27;;0.66;-12.12;20.0;;;;556.0;17.1;54.0;-10.0;5.6;-1.7;123.0;1281.0;-241.0;6.0;6.0;4.0;100.0;
2008.0;574.0;202.0;-393.0;71.0;-556.0;-556.0;20.0;275.0;1326.0;128.0;2136.0;-810.0;10.0;-5.0;5.0;10.0;5.0;372.0;35.18;131.0;10.0;73.0;16.0;57.0;48.0;503.0;;108.0;55.0;-68.4;12.4;-627.0;-96.75;0.0;-96.82;-32.52;-32.52;20.0;;81.0;;81.0;66.0;124.0;4.0;77.0;526.0;432.0;957.0;;;17.0;1051.0;;55.0;10.0;;;64.0;1121.0;;;887.0;2008.0;;;;;-582.0;-29.0;;1326.0;;1326.0;;-556.0;55.0;;0.0;24.0;-21.0;-26.0;34.0;147.0;487.0;-5.0;;;;0.0;-10.0;;-0.0;;16.0;;81.0;71.0;;;28.84;-27.93;0.25;;0.26;-40.7;20.0;;;;574.0;12.4;55.0;-556.0;-0.1;-96.8;147.0;1121.0;-810.0;-37.4;-33.7;68.6;100.0;
2009.0;588.0;236.0;174.0;99.0;43.0;43.0;20.0;345.0;1337.0;132.0;2080.0;-743.0;75.0;-4.0;10.0;80.0;70.0;352.0;40.09;137.0;11.0;75.0;15.0;60.0;52.0;490.0;;71.0;60.0;29.57;16.75;-55.0;7.38;0.0;7.32;-3.58;-3.58;20.0;;161.0;;161.0;54.0;124.0;6.0;73.0;526.0;380.0;906.0;;;13.0;992.0;;34.0;39.0;;;59.0;1052.0;;;896.0;1948.0;;;;;-539.0;-4.0;;1337.0;;1337.0;;43.0;60.0;;0.0;66.0;12.0;0.0;-21.0;213.0;-94.0;-5.0;;;;0.0;-10.0;;;;19.0;;161.0;81.0;;;29.55;2.16;3.52;;0.23;-37.31;20.0;;;;588.0;16.7;60.0;43.0;0.8;7.3;213.0;1052.0;-743.0;9.4;8.5;-5.8;100.0;
2010.0;593.0;237.0;144.0;90.0;57.0;57.0;59.0;273.0;1210.0;87.0;769.0;441.0;114.0;-11.0;-186.0;-83.0;105.0;356.0;40.03;147.0;15.0;81.0;23.0;58.0;52.0;503.0;0.0;27.0;59.0;24.3;15.23;-33.0;9.65;0.0;9.6;-1.65;-1.65;59.0;;79.0;;79.0;63.0;127.0;4.0;75.0;527.0;328.0;856.0;;;7.0;937.0;;42.0;;;;45.0;657.0;;;25.0;682.0;;;;1.0;-482.0;-10.0;932.0;1210.0;;1210.0;;57.0;59.0;;6.0;-27.0;-9.0;-3.0;8.0;186.0;19.0;-10.0;-2.0;;;0.0;-434.0;248.0;;;;;79.0;161.0;;;9.99;0.96;1.77;;0.16;7.43;59.0;9.6;0.5;;593.0;15.2;59.0;57.0;0.5;9.6;186.0;657.0;441.0;7.5;7.0;12.9;100.0;-236.8
2011.0;792.0;295.0;167.0;113.0;87.0;325.0;68.0;383.0;1553.0;165.0;784.0;769.0;170.0;-96.0;-59.0;15.0;158.0;497.0;37.2;182.0;16.0;108.0;30.0;78.0;57.0;679.0;0.0;24.0;56.0;21.06;14.27;-26.0;10.98;-238.0;40.99;4.84;4.79;67.0;;93.0;;93.0;110.0;162.0;18.0;84.0;547.0;234.0;781.0;;227.0;76.0;1170.0;;81.0;23.0;;;61.0;575.0;;;44.0;619.0;;;;1.0;-157.0;-15.0;941.0;1553.0;;1553.0;;325.0;56.0;-238.0;9.0;32.0;-22.0;-11.0;19.0;218.0;-14.0;-12.0;-84.0;;;0.0;-59.0;;;;0.0;;93.0;79.0;;;11.8;4.84;2.35;;0.18;11.45;67.0;2.7;0.2;;792.0;14.3;56.0;325.0;-273.3;41.0;218.0;575.0;769.0;29.8;7.1;42.2;100.0;
2012.0;1176.0;440.0;260.0;224.0;156.0;93.0;69.0;523.0;1604.0;295.0;1140.0;464.0;236.0;-69.0;-151.0;15.0;213.0;736.0;37.44;217.0;23.0;147.0;46.0;101.0;46.0;953.0;;49.0;54.0;22.07;19.0;-67.0;13.29;63.0;7.93;1.38;1.35;67.0;;108.0;;108.0;135.0;226.0;54.0;105.0;553.0;273.0;826.0;;137.0;14.0;1081.0;;95.0;95.0;;7.0;99.0;799.0;;;46.0;845.0;;;;1.0;-64.0;-14.0;541.0;1604.0;;1604.0;;93.0;54.0;62.0;11.0;10.0;-0.0;-32.0;-4.0;228.0;5.0;-22.0;-47.0;;;0.0;-1198.0;;;-404.0;1451.0;;108.0;93.0;;;17.46;1.38;3.17;6.0;0.33;6.88;67.0;15.0;1.0;28.9;1176.0;19.0;54.0;93.0;40.4;7.9;228.0;799.0;464.0;9.4;12.8;20.1;-333.7;189.6
2013.0;1486.0;570.0;370.0;351.0;279.0;175.0;70.0;654.0;1798.0;251.0;1481.0;317.0;260.0;-145.0;-73.0;42.0;229.0;916.0;38.33;218.0;29.0;163.0;55.0;108.0;26.0;1134.0;;54.0;37.0;24.9;23.66;-73.0;18.76;104.0;11.75;2.56;2.51;68.0;;150.0;;150.0;165.0;300.0;39.0;146.0;608.0;283.0;891.0;;85.0;21.0;1144.0;;109.0;22.0;;7.0;113.0;1175.0;;;55.0;1230.0;;;;1.0;106.0;-2.0;213.0;1798.0;;1798.0;;175.0;37.0;83.0;12.0;176.0;-5.0;-52.0;-6.0;403.0;-222.0;-31.0;-114.0;;;0.0;-920.0;;;-343.0;1190.0;0.0;150.0;108.0;;;21.82;2.56;3.37;5.04;0.45;4.66;68.0;15.2;0.9;13.0;1486.0;23.7;37.0;175.0;37.4;11.7;403.0;1175.0;317.0;13.5;18.5;55.0;-96.8;149.9
2014.0;1461.0;516.0;340.0;293.0;258.0;175.0;70.0;730.0;1883.0;241.0;1393.0;490.0;253.0;-95.0;-116.0;40.0;218.0;945.0;35.34;228.0;31.0;175.0;55.0;120.0;21.0;1172.0;;47.0;35.0;23.29;20.08;-35.0;17.68;84.0;11.95;2.55;2.49;69.0;;190.0;;190.0;189.0;319.0;32.0;169.0;636.0;285.0;920.0;;47.0;16.0;1152.0;;132.0;6.0;;;102.0;1082.0;;;70.0;1152.0;;;;1.0;280.0;-16.0;224.0;1883.0;;1883.0;;175.0;35.0;38.0;13.0;87.0;-3.0;4.0;15.0;490.0;-93.0;-35.0;-61.0;;;0.0;-120.0;;;-1.0;5.0;-2.0;190.0;150.0;;;21.32;2.55;3.19;0.01;0.51;7.15;69.0;19.1;1.1;0.0;1461.0;20.1;35.0;175.0;32.4;12.0;490.0;1082.0;490.0;12.6;16.2;35.6;99.5;0.4
2015.0;1317.0;460.0;206.0;180.0;123.0;78.0;69.0;661.0;1793.0;213.0;1327.0;466.0;189.0;-104.0;-154.0;-74.0;158.0;857.0;34.92;240.0;33.0;183.0;53.0;130.0;24.0;1097.0;;43.0;40.0;15.65;13.63;-57.0;9.34;45.0;5.9;1.14;1.12;68.0;;116.0;;116.0;182.0;325.0;38.0;184.0;670.0;257.0;927.0;;7.0;14.0;1131.0;;108.0;9.0;;;96.0;1050.0;;6.0;57.0;1114.0;;;;1.0;358.0;-22.0;129.0;1793.0;;1793.0;;78.0;40.0;27.0;8.0;-42.0;10.0;9.0;-28.0;448.0;77.0;-31.0;-74.0;;;0.0;-174.0;;-100.0;-1.0;121.0;-4.0;116.0;190.0;;;19.34;1.14;2.32;0.02;0.45;6.84;68.0;33.5;1.7;0.1;1317.0;13.6;40.0;78.0;36.8;5.9;448.0;1050.0;466.0;6.6;9.2;16.7;98.2;64.2
2016.0;1444.0;514.0;255.0;205.0;156.0;99.0;65.0;684.0;1862.0;342.0;1461.0;401.0;253.0;-106.0;-196.0;-49.0;223.0;930.0;35.59;309.0;37.0;239.0;75.0;165.0;33.0;1240.0;;45.0;54.0;17.68;14.17;-48.0;10.83;58.0;6.84;1.51;1.5;65.0;;67.0;;67.0;242.0;350.0;25.0;213.0;705.0;255.0;960.0;;3.0;2.0;1178.0;;182.0;46.0;;;114.0;1007.0;;17.0;95.0;1119.0;;;;1.0;456.0;-40.0;-15.0;1862.0;-0.0;1862.0;;99.0;54.0;39.0;9.0;-107.0;-9.0;16.0;33.0;342.0;158.0;-30.0;-77.0;;;1.0;-65.0;;-150.0;-0.0;20.0;-0.0;67.0;116.0;;;22.25;1.52;3.43;0.0;0.47;6.18;65.0;23.7;1.1;0.0;1444.0;14.2;54.0;99.0;36.8;6.8;342.0;1007.0;401.0;8.4;10.8;24.6;99.9;67.3
