;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;1.0;0.0;-0.0;-1.0;;-1.0;7.0;1.0;2.0;0.0;0.0;1.0;-1.0;-0.0;1.0;1.0;-1.0;1.0;14.62;1.0;0.0;1.0;1.0;;;2.0;;;0.0;-52.05;-62.16;;;;-60.03;-0.08;-0.08;7.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;0.0;-2.0;;3.0;2.0;;2.0;;-1.0;0.0;;;-0.0;;-0.0;;1.0;-0.0;-0.0;;;;-0.0;-0.0;0.0;;;1.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1.0;0.0;-2.0;-2.0;;-2.0;9.0;4.0;4.0;0.0;1.0;4.0;-2.0;-0.0;5.0;3.0;-2.0;1.0;16.33;2.0;1.0;2.0;2.0;;;3.0;;;0.0;-211.54;-209.31;0.0;;;-221.66;-0.3;-0.3;9.0;;3.0;0.0;3.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;0.0;;;;0.0;;;;0.0;-4.0;;8.0;4.0;;4.0;;-2.0;0.0;;;3.0;;0.0;;4.0;-2.0;-0.0;;;;-0.0;;0.0;;;4.0;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;0.0;-0.0;-5.0;-4.0;;-5.0;11.0;1.0;2.0;0.0;0.0;1.0;-3.0;-0.0;0.0;-2.0;-3.0;0.0;-50.0;4.0;1.0;3.0;3.0;;0.0;4.0;;;0.0;-2250.0;-1950.0;0.0;;;-2300.0;-0.42;-0.42;11.0;;1.0;;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-9.0;-0.0;11.0;2.0;;2.0;;-5.0;0.0;;;-3.0;;-0.0;;1.0;5.0;-0.0;;;;-0.0;;0.0;;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1.0;0.0;-3.0;-3.0;;-3.0;11.0;2.0;2.0;0.0;1.0;2.0;-3.0;-0.0;3.0;-0.0;-3.0;1.0;37.5;3.0;1.0;2.0;2.0;;0.0;4.0;;;0.0;-362.5;-387.5;;;;-375.0;-0.33;-0.33;11.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;1.0;1.0;;;0.0;1.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-12.0;-1.0;14.0;2.0;;2.0;;-3.0;0.0;;;0.0;;-0.0;;1.0;-0.0;-0.0;;;;-0.0;;3.0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1.0;1.0;-3.0;-4.0;;-3.0;12.0;5.0;7.0;0.0;0.0;7.0;-4.0;0.0;7.0;4.0;-4.0;1.0;42.51;5.0;2.0;3.0;3.0;;0.0;6.0;;;0.0;-198.25;-297.76;1.0;;;-214.09;-0.67;-0.67;12.0;;5.0;;5.0;0.0;0.0;0.0;0.0;;1.0;1.0;;;1.0;2.0;;0.0;;;;0.0;;;;;;;;;0.0;-15.0;-1.0;22.0;7.0;;7.0;;-3.0;0.0;;;4.0;;0.0;;5.0;-5.0;-0.0;;;1.0;-0.0;;7.0;;;;;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1.0;0.0;-4.0;-5.0;;-5.0;14.0;2.0;4.0;1.0;1.0;3.0;-4.0;-1.0;1.0;-3.0;-4.0;1.0;32.39;5.0;3.0;2.0;2.0;;;6.0;;;1.0;-517.25;-605.46;0.0;;;-589.97;-0.38;-0.38;14.0;;1.0;;1.0;0.0;0.0;0.0;1.0;;2.0;2.0;;;;2.0;;0.0;;;;1.0;;;;;;;;;0.0;-20.0;-1.0;24.0;4.0;;4.0;;-5.0;1.0;;;-4.0;;-0.0;;1.0;5.0;-0.0;;;;-0.0;;0.0;;;1.0;;1.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1.0;0.0;-6.0;-6.0;;-8.0;14.0;2.0;4.0;2.0;5.0;-1.0;-4.0;-0.0;5.0;0.0;-4.0;1.0;32.34;7.0;4.0;3.0;3.0;;0.0;7.0;;;2.0;-580.05;-629.47;-0.0;;;-813.27;-0.6;-0.6;14.0;;2.0;;2.0;0.0;0.0;0.0;0.0;;1.0;1.0;;;;2.0;;1.0;0.0;;;1.0;3.0;;;0.0;3.0;;;;0.0;-28.0;-1.0;28.0;4.0;;4.0;;-8.0;2.0;;;-0.0;;0.0;;1.0;2.0;-0.0;;;;-0.0;;2.0;;;3.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;-0.0;-7.0;-8.0;;-8.0;16.0;10.0;12.0;2.0;2.0;10.0;-5.0;-0.0;14.0;8.0;-6.0;2.0;-17.38;7.0;2.0;5.0;5.0;;-0.0;9.0;;;1.0;-552.86;-574.81;0.0;;;-625.43;-0.67;-0.67;16.0;;10.0;;10.0;0.0;0.0;0.0;0.0;;1.0;1.0;;;;1.0;;1.0;0.0;;;1.0;;;;0.0;0.0;;0.0;0.0;0.0;-36.0;-1.0;47.0;12.0;;12.0;;-8.0;1.0;;;8.0;;-0.0;;8.0;-6.0;-0.0;;;;-0.0;;14.0;;;-1.0;;10.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6.0;2.0;-6.0;-6.0;;-6.0;20.0;6.0;8.0;2.0;2.0;5.0;-6.0;-1.0;1.0;-6.0;-6.0;3.0;39.68;8.0;3.0;5.0;5.0;;;12.0;;;0.0;-99.44;-104.57;;;;-103.61;-0.37;-0.37;20.0;;4.0;;4.0;1.0;1.0;0.0;0.0;;1.0;1.0;;;;2.0;;1.0;0.0;;;1.0;;;;0.0;0.0;;0.0;0.0;0.0;-42.0;-1.0;49.0;8.0;;8.0;;-6.0;0.0;;;-5.0;;-0.0;;3.0;5.0;-0.0;;;;-0.0;;1.0;;;-0.0;;4.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;10.0;5.0;-8.0;-9.0;;-9.0;22.0;13.0;15.0;4.0;5.0;10.0;-9.0;-1.0;16.0;6.0;-9.0;6.0;44.84;14.0;5.0;9.0;9.0;;;20.0;;;1.0;-77.67;-92.04;1.0;;;-89.12;-0.5;-0.5;22.0;;10.0;;10.0;1.0;2.0;0.0;1.0;;1.0;1.0;;;;2.0;;2.0;0.0;;0.0;1.0;;;;2.0;2.0;;;;0.0;-51.0;-1.0;62.0;15.0;;15.0;;-9.0;1.0;;;6.0;;-2.0;;10.0;-7.0;-0.0;;;;-0.0;;17.0;;;-1.0;;10.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
