;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;902.0;127.0;20.0;25.0;19.0;11.0;15.0;162.0;213.0;112.0;124.0;89.0;-27.0;11.0;39.0;;-29.0;775.0;14.11;102.0;;101.0;101.0;;1.0;877.0;;;1.0;2.26;2.82;-6.0;2.15;8.0;1.26;0.39;0.38;15.0;;35.0;;35.0;10.0;105.0;12.0;22.0;;27.0;27.0;;;3.0;51.0;;59.0;2.0;;;51.0;11.0;;;1.0;12.0;;;;;-3.0;-3.0;95.0;213.0;;213.0;;11.0;1.0;;;-36.0;;6.0;;50.0;-3.0;-2.0;;;;13.0;;52.0;-0.0;-12.0;-0.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1630.0;237.0;42.0;52.0;35.0;21.0;18.0;327.0;478.0;279.0;342.0;136.0;24.0;-58.0;65.0;;-54.0;1394.0;14.51;184.0;;178.0;178.0;;6.0;1578.0;;;6.0;2.55;3.2;-17.0;2.16;15.0;1.27;1.2;1.16;17.0;;66.0;;66.0;21.0;219.0;20.0;22.0;;124.0;124.0;;;5.0;151.0;;82.0;196.0;;;;43.0;;;20.0;63.0;;;;;18.0;-6.0;124.0;478.0;;478.0;;21.0;6.0;-4.0;;-2.0;;;;48.0;3.0;-78.0;;;;20.0;;2.0;-3.0;;66.0;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2508.0;376.0;66.0;86.0;56.0;34.0;22.0;553.0;843.0;473.0;611.0;232.0;73.0;-127.0;106.0;52.0;-64.0;2132.0;15.0;290.0;;280.0;280.0;;11.0;2422.0;;;11.0;2.64;3.42;-30.0;2.22;22.0;1.34;1.62;1.55;21.0;;119.0;;119.0;35.0;386.0;13.0;47.0;;235.0;235.0;;;8.0;290.0;;109.0;365.0;;;;113.0;;3.0;21.0;138.0;;;;0.0;52.0;-11.0;191.0;843.0;;843.0;;34.0;11.0;4.0;;32.0;;-49.0;;80.0;-7.0;-137.0;;;;10.0;;47.0;-6.0;;65.0;;119.0;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3586.0;527.0;82.0;118.0;66.0;41.0;22.0;721.0;1100.0;666.0;852.0;247.0;96.0;-73.0;-1.0;22.0;78.0;3059.0;14.71;410.0;;394.0;394.0;;16.0;3468.0;;;16.0;2.28;3.28;-52.0;1.84;25.0;1.14;1.91;1.88;21.0;;141.0;;141.0;40.0;527.0;13.0;71.0;;286.0;286.0;;;22.0;379.0;;58.0;538.0;;;70.0;140.0;;9.0;37.0;186.0;;;;0.0;93.0;-18.0;173.0;1100.0;;1100.0;;41.0;16.0;6.0;;-25.0;;-78.0;;55.0;58.0;-17.0;-65.0;;;10.0;;4.0;-21.0;;16.0;;141.0;119.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3996.0;607.0;107.0;131.0;89.0;55.0;21.0;662.0;1054.0;507.0;662.0;392.0;87.0;-27.0;-53.0;6.0;66.0;3389.0;15.2;476.0;;459.0;459.0;;17.0;3865.0;;;17.0;2.67;3.29;-42.0;2.24;34.0;1.39;2.75;2.59;20.0;;147.0;;147.0;44.0;455.0;16.0;83.0;;283.0;283.0;;;27.0;392.0;;73.0;367.0;;;67.0;95.0;;10.0;49.0;155.0;;;;0.0;148.0;-25.0;269.0;1054.0;;1054.0;;55.0;17.0;-1.0;;100.0;;68.0;;155.0;-85.0;-21.0;-11.0;;;5.0;;104.0;-28.0;;-129.0;;147.0;141.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4214.0;652.0;119.0;138.0;107.0;67.0;24.0;903.0;1424.0;809.0;980.0;443.0;74.0;-122.0;56.0;7.0;30.0;3562.0;15.48;515.0;;503.0;503.0;;12.0;4077.0;;;12.0;2.83;3.27;-30.0;2.55;40.0;1.59;2.93;2.8;23.0;;24.0;;24.0;237.0;622.0;20.0;116.0;;369.0;369.0;;;36.0;521.0;;91.0;654.0;;;65.0;83.0;;8.0;80.0;171.0;;;;0.0;215.0;-3.0;232.0;1424.0;;1424.0;;67.0;12.0;7.0;;-61.0;;-107.0;;94.0;49.0;-43.0;-81.0;;;3.0;;10.0;;;46.0;;24.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4519.0;723.0;127.0;147.0;113.0;76.0;23.0;931.0;1488.0;654.0;970.0;518.0;80.0;-53.0;-27.0;1.0;46.0;3795.0;16.01;576.0;;562.0;562.0;;14.0;4371.0;;;14.0;2.82;3.26;-34.0;2.5;37.0;1.68;3.38;3.26;23.0;;25.0;;25.0;207.0;671.0;27.0;132.0;;391.0;391.0;;;35.0;557.0;;88.0;494.0;;;72.0;230.0;;20.0;66.0;316.0;;;;0.0;291.0;-1.0;228.0;1488.0;;1488.0;;76.0;14.0;12.0;;183.0;;5.0;;277.0;-205.0;-35.0;-35.0;;;17.0;;11.0;-14.0;;-23.0;;25.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5435.0;832.0;66.0;144.0;48.0;28.0;23.0;1205.0;1947.0;1050.0;1380.0;567.0;82.0;-250.0;179.0;11.0;35.0;4603.0;15.3;688.0;;672.0;672.0;;16.0;5291.0;;;18.0;1.21;2.65;-96.0;0.88;20.0;0.51;1.22;1.18;23.0;;38.0;;38.0;249.0;878.0;41.0;160.0;;554.0;554.0;;;28.0;742.0;;109.0;849.0;;;92.0;157.0;;33.0;140.0;330.0;;;;0.0;319.0;-0.0;248.0;1947.0;;1947.0;;28.0;18.0;-5.0;;-121.0;;-64.0;;155.0;163.0;-47.0;-222.0;-2.0;8.0;12.0;;12.0;-7.0;;175.0;;38.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5970.0;932.0;115.0;172.0;108.0;54.0;24.0;1106.0;1834.0;969.0;1207.0;627.0;365.0;-50.0;-315.0;-0.0;307.0;5037.0;15.62;760.0;;741.0;741.0;;19.0;5798.0;;;22.0;1.92;2.88;-64.0;1.82;38.0;0.91;2.27;2.24;24.0;;38.0;;38.0;269.0;757.0;42.0;161.0;;537.0;537.0;;;29.0;728.0;;125.0;724.0;;;119.0;158.0;;29.0;51.0;238.0;;;;0.0;373.0;-6.0;260.0;1834.0;;1834.0;;54.0;22.0;4.0;;-18.0;;131.0;;137.0;303.0;-59.0;-36.0;-2.0;1.0;45.0;;19.0;-19.0;;-315.0;;38.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6083.0;965.0;159.0;205.0;139.0;88.0;24.0;1178.0;2114.0;941.0;1421.0;693.0;53.0;-269.0;217.0;2.0;-18.0;5119.0;15.86;760.0;;740.0;740.0;;20.0;5879.0;;;20.0;2.62;3.36;-65.0;2.29;51.0;1.45;3.66;3.62;24.0;;39.0;;39.0;266.0;831.0;42.0;230.0;426.0;250.0;676.0;;;29.0;936.0;;118.0;726.0;;;97.0;429.0;;3.0;49.0;480.0;;;;0.0;448.0;1.0;244.0;2114.0;;2114.0;;88.0;20.0;20.0;;100.0;;-33.0;;237.0;-175.0;-72.0;-246.0;;;49.0;;24.0;-66.0;-13.0;273.0;;39.0;38.0;;;251.95;3.66;-0.75;0.56;2.96;28.69;24.0;13.5;0.7;1.1;6083.0;3.4;20.0;88.0;36.6;1.5;237.0;429.0;693.0;7.5;6.6;12.8;84.8;-306.7
