;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;340.0;159.0;74.0;63.0;54.0;33.0;107.0;;;;;;41.0;-11.0;-29.0;1.0;35.0;181.0;46.63;95.0;;;;;95.0;277.0;;;20.0;21.7;18.59;-9.0;15.81;21.0;9.72;0.31;0.31;107.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.0;20.0;2.0;;-20.0;;-2.0;;-22.0;7.0;-6.0;;-5.0;;-6.0;-9.0;;;-4.0;-15.0;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;353.0;161.0;60.0;53.0;38.0;24.0;115.0;136.0;459.0;132.0;149.0;310.0;79.0;-33.0;-42.0;3.0;65.0;192.0;45.53;103.0;;103.0;103.0;;;295.0;;;22.0;17.06;15.02;-15.0;10.9;15.0;6.7;0.21;0.2;114.0;;6.0;;6.0;116.0;3.0;11.0;44.0;;277.0;277.0;;;0.0;322.0;;48.0;76.0;;;9.0;;;7.0;9.0;16.0;;;;;2.0;;308.0;459.0;;459.0;;24.0;22.0;-4.0;;26.0;;1.0;;4.0;11.0;-14.0;-23.0;;;4.0;;0.0;;-1.0;-41.0;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;463.0;211.0;78.0;82.0;64.0;24.0;151.0;79.0;431.0;97.0;110.0;322.0;160.0;-88.0;-60.0;13.0;138.0;252.0;45.52;117.0;;128.0;128.0;;-11.0;369.0;;;30.0;16.86;17.81;-18.0;13.93;25.0;5.15;0.16;0.16;147.0;;19.0;;19.0;48.0;3.0;10.0;54.0;;293.0;293.0;;;5.0;352.0;;63.0;25.0;;;9.0;;;2.0;11.0;13.0;;;;;20.0;-64.0;365.0;431.0;;431.0;;24.0;30.0;-7.0;;-22.0;;1.0;;-18.0;135.0;-22.0;-60.0;;;-5.0;;7.0;;-6.0;-61.0;;19.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;516.0;256.0;117.0;93.0;85.0;53.0;151.0;128.0;484.0;63.0;95.0;366.0;36.0;-19.0;2.0;19.0;18.0;260.0;49.56;161.0;;161.0;161.0;;;422.0;;;32.0;22.71;18.07;-8.0;16.5;32.0;10.33;0.36;0.35;148.0;;38.0;;38.0;80.0;1.0;9.0;52.0;;299.0;299.0;;;5.0;356.0;;59.0;1.0;;;3.0;;;19.0;12.0;32.0;;3.0;;;68.0;12.0;391.0;461.0;23.0;484.0;;53.0;32.0;11.0;;83.0;;1.0;;65.0;-144.0;-18.0;-1.0;;;;;6.0;;-6.0;2.0;;38.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;629.0;340.0;135.0;113.0;100.0;62.0;156.0;203.0;833.0;286.0;360.0;449.0;92.0;-147.0;50.0;-4.0;68.0;289.0;54.02;217.0;;217.0;217.0;;;507.0;;;36.0;21.5;17.94;-13.0;15.85;37.0;9.92;0.41;0.4;150.0;;34.0;;34.0;143.0;3.0;22.0;97.0;;525.0;525.0;;;8.0;630.0;;80.0;206.0;;;;11.0;;47.0;17.0;74.0;;2.0;;;124.0;11.0;437.0;810.0;23.0;833.0;;62.0;36.0;-2.0;;-148.0;;-0.0;;-83.0;144.0;-25.0;-122.0;;;;;11.0;;-6.0;45.0;1.0;34.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;784.0;447.0;192.0;160.0;154.0;93.0;159.0;190.0;854.0;183.0;259.0;578.0;230.0;-65.0;-152.0;15.0;195.0;337.0;57.0;283.0;;283.0;283.0;;;621.0;;;45.0;24.42;20.41;-6.0;19.62;53.0;11.84;0.6;0.58;154.0;;49.0;;49.0;56.0;3.0;83.0;104.0;;548.0;548.0;;;12.0;664.0;;88.0;67.0;;;28.0;;;59.0;17.0;76.0;;1.0;;;211.0;20.0;362.0;837.0;16.0;854.0;;93.0;45.0;9.0;;90.0;;0.0;;7.0;-8.0;-34.0;-31.0;;;;;15.0;;;-167.0;2.0;49.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;908.0;550.0;234.0;201.0;202.0;126.0;164.0;348.0;1019.0;150.0;235.0;770.0;235.0;-30.0;-54.0;169.0;210.0;358.0;60.57;347.0;;347.0;347.0;;;705.0;;;40.0;25.72;22.14;0.0;22.19;68.0;13.82;0.8;0.77;158.0;;218.0;;218.0;68.0;3.0;58.0;108.0;387.0;167.0;554.0;;;8.0;670.0;;26.0;1.0;;;123.0;;;69.0;17.0;86.0;;;;;330.0;51.0;400.0;1006.0;13.0;1019.0;;126.0;40.0;1.0;;192.0;;-1.0;;199.0;-124.0;-25.0;-5.0;;;;;24.0;;-6.0;-72.0;19.0;218.0;49.0;;;5.75;0.79;1.33;0.04;0.16;4.88;158.0;28.9;1.6;0.2;908.0;22.1;40.0;126.0;33.5;13.8;199.0;;770.0;15.0;19.2;16.3;95.0;-8.4
2007.0;1062.0;647.0;257.0;218.0;226.0;143.0;163.0;444.0;1201.0;143.0;228.0;958.0;191.0;-117.0;11.0;90.0;156.0;415.0;60.92;426.0;;426.0;426.0;;;840.0;;;40.0;24.19;20.54;8.0;21.32;73.0;13.47;0.89;0.88;161.0;;309.0;;309.0;80.0;3.0;52.0;118.0;451.0;176.0;627.0;;;11.0;756.0;;22.0;;;;121.0;;;71.0;14.0;85.0;;;;;466.0;61.0;445.0;1186.0;15.0;1201.0;;143.0;40.0;-2.0;;103.0;;-0.0;;302.0;-93.0;-35.0;-81.0;;;;;19.0;;-6.0;-2.0;5.0;309.0;218.0;;;6.61;0.89;0.97;0.04;0.22;5.96;161.0;22.8;1.3;0.2;1062.0;20.5;40.0;143.0;32.4;13.5;302.0;;958.0;14.0;18.3;14.9;95.5;-8.3
2008.0;1274.0;799.0;297.0;251.0;261.0;163.0;162.0;617.0;1446.0;218.0;304.0;1127.0;272.0;-63.0;-76.0;147.0;227.0;476.0;62.67;546.0;;546.0;546.0;;;1022.0;;;44.0;23.34;19.73;10.0;20.51;91.0;12.77;1.02;1.0;159.0;;456.0;;456.0;102.0;4.0;56.0;141.0;497.0;176.0;673.0;;;14.0;828.0;;138.0;2.0;;;78.0;;;75.0;12.0;87.0;;;;;622.0;124.0;396.0;1431.0;15.0;1446.0;;163.0;44.0;-1.0;;98.0;;-1.0;;400.0;-31.0;-45.0;-18.0;;;;;17.0;-87.0;-6.0;-0.0;14.0;456.0;309.0;;;8.02;1.03;1.43;0.04;0.28;7.1;159.0;20.5;1.0;0.2;1274.0;19.7;44.0;163.0;34.7;12.8;400.0;;1127.0;13.6;17.7;14.4;96.1;33.4
2009.0;1602.0;1003.0;198.0;161.0;161.0;37.0;162.0;595.0;1677.0;336.0;630.0;1047.0;383.0;-559.0;161.0;-29.0;342.0;599.0;62.61;694.0;;694.0;694.0;;;1292.0;7.0;7.0;66.0;12.36;10.08;-0.0;10.08;87.0;2.32;0.23;0.23;159.0;;427.0;;427.0;123.0;6.0;39.0;176.0;625.0;258.0;883.0;;;22.0;1082.0;;180.0;40.0;10.0;;117.0;168.0;;76.0;50.0;294.0;;;;;653.0;-11.0;405.0;1677.0;;1677.0;;37.0;66.0;5.0;15.0;-141.0;-25.0;-2.0;;259.0;400.0;-41.0;-525.0;;7.0;-41.0;-17.0;9.0;;-6.0;176.0;-14.0;427.0;456.0;;;10.04;0.23;2.15;0.04;0.26;6.57;159.0;85.7;1.2;0.2;1602.0;10.1;66.0;37.0;54.0;2.3;259.0;168.0;1047.0;4.5;7.9;3.6;82.8;-0.8
