;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;9585.0;2251.0;868.0;480.0;457.0;412.0;214.0;2558.0;6954.0;1607.0;3446.0;3507.0;;;;;;7335.0;23.48;1770.0;;1470.0;;;301.0;9105.0;;;301.0;9.06;5.01;-24.0;4.76;155.0;4.3;1.93;1.93;214.0;;139.0;;139.0;957.0;1379.0;83.0;4025.0;;;;;;370.0;4395.0;;;;;;1607.0;998.0;;475.0;366.0;1839.0;;;;;3172.0;-2894.0;3230.0;6954.0;;6954.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;9103.0;2488.0;640.0;508.0;238.0;124.0;214.0;3040.0;8610.0;2143.0;5607.0;3003.0;;;;;;6615.0;27.33;1980.0;;1601.0;;;379.0;8595.0;;;379.0;7.03;5.58;-270.0;2.62;138.0;1.36;0.58;0.58;214.0;;131.0;;131.0;1367.0;1352.0;191.0;4583.0;;;;;;986.0;5569.0;;;;;;2143.0;2488.0;;586.0;390.0;3464.0;;;;;3122.0;-2999.0;2879.0;8610.0;;8610.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;9905.0;2881.0;1479.0;896.0;872.0;771.0;121.0;3305.0;8396.0;2140.0;6562.0;1834.0;;;;;;7025.0;29.08;1985.0;;1635.0;;;350.0;9010.0;;;350.0;14.93;9.04;-23.0;8.81;359.0;7.78;6.37;6.37;121.0;;201.0;;201.0;1501.0;1501.0;101.0;4128.0;;;;;;963.0;5091.0;;;;;;2140.0;3282.0;;679.0;460.0;4422.0;;;;;1923.0;-3130.0;3042.0;8396.0;;8396.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;10810.0;2877.0;895.0;774.0;538.0;350.0;114.0;3558.0;8618.0;2459.0;6591.0;2027.0;;;;;;7934.0;26.61;2102.0;;1745.0;;;357.0;10036.0;;;357.0;8.28;7.16;-237.0;4.97;187.0;3.24;3.06;3.06;114.0;;234.0;;234.0;1578.0;1636.0;110.0;4427.0;;;;;;633.0;5060.0;;;;;;2459.0;3045.0;;555.0;533.0;4133.0;;;;;2175.0;-3254.0;3106.0;8618.0;;8618.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;10869.0;3018.0;854.0;771.0;471.0;189.0;115.0;3272.0;8460.0;2200.0;6210.0;2250.0;818.0;-703.0;-205.0;-205.0;42.0;7851.0;27.77;2247.0;;1864.0;;;384.0;10098.0;;;384.0;7.86;7.09;-300.0;4.33;282.0;1.74;1.64;1.64;115.0;;123.0;;123.0;1245.0;1642.0;263.0;4615.0;;;;;;573.0;5188.0;;924.0;;;;1276.0;2963.0;;682.0;365.0;4010.0;;;;;2278.0;-3435.0;3407.0;8460.0;;8460.0;;189.0;384.0;38.0;;80.0;;-120.0;;1072.0;127.0;-776.0;;-126.0;44.0;155.0;;18.0;;-104.0;-119.0;-22.0;;234.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;11273.0;2882.0;471.0;218.0;56.0;-38.0;116.0;3324.0;8964.0;2294.0;6753.0;2211.0;574.0;-525.0;52.0;52.0;-0.0;8390.0;25.57;2665.0;;2250.0;;;415.0;11055.0;;;415.0;4.18;1.93;-162.0;0.5;94.0;-0.34;-0.33;-0.33;116.0;;220.0;;220.0;1495.0;1346.0;263.0;4808.0;;;;;;831.0;5639.0;;987.0;;;;1307.0;3286.0;;623.0;550.0;4459.0;;;;;2135.0;-3810.0;3885.0;8964.0;;8964.0;;-38.0;415.0;-57.0;;-41.0;;341.0;;1031.0;295.0;-575.0;;-75.0;110.0;15.0;;19.0;;-105.0;137.0;-3.0;;123.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;10907.0;2943.0;712.0;525.0;271.0;75.0;120.0;3119.0;8511.0;2393.0;5660.0;2851.0;572.0;-249.0;-373.0;-373.0;227.0;7964.0;26.98;2418.0;;1977.0;;;442.0;10382.0;;;442.0;6.53;4.81;-254.0;2.48;196.0;0.68;0.62;0.62;120.0;;163.0;;163.0;1315.0;1313.0;328.0;4637.0;;;;;;755.0;5392.0;;840.0;;;;1553.0;2038.0;;599.0;630.0;3267.0;;;;;2209.0;-4042.0;4685.0;8511.0;;8511.0;;75.0;442.0;-39.0;;-305.0;;6.0;;726.0;399.0;-345.0;;-118.0;102.0;113.0;;586.0;;-24.0;-935.0;-8.0;;220.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;11785.0;3259.0;50.0;739.0;630.0;-659.0;143.0;3310.0;8564.0;2646.0;6505.0;2059.0;617.0;44.0;-612.0;-612.0;250.0;8526.0;27.65;2520.0;;2074.0;;;446.0;11046.0;;;446.0;0.42;6.27;-109.0;5.34;263.0;-5.59;-4.62;-4.62;143.0;;208.0;;208.0;1450.0;1288.0;364.0;4364.0;;;;;;891.0;5254.0;;922.0;;;;1724.0;1471.0;;;2388.0;3859.0;;;;;1511.0;-4121.0;4669.0;8564.0;;8564.0;;-659.0;446.0;;;-63.0;;-72.0;;664.0;892.0;-367.0;;-121.0;96.0;436.0;;51.0;;-39.0;-623.0;-5.0;;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;11643.0;3323.0;1077.0;895.0;785.0;388.0;147.0;3263.0;8436.0;2524.0;6013.0;2424.0;703.0;-282.0;-432.0;-432.0;271.0;8320.0;28.54;2428.0;;2035.0;;;393.0;10748.0;;;393.0;9.25;7.69;-110.0;6.74;296.0;3.33;2.64;2.64;147.0;;189.0;;189.0;1314.0;1350.0;410.0;4288.0;;;;;;885.0;5173.0;;870.0;;;;1654.0;1066.0;;;2423.0;3489.0;;;;;1741.0;-4276.0;4958.0;8436.0;;8436.0;;388.0;393.0;-36.0;;75.0;;-100.0;;739.0;-117.0;-432.0;;-158.0;214.0;93.0;;195.0;;-85.0;-542.0;-8.0;;208.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;12288.0;3427.0;1276.0;1059.0;866.0;567.0;151.0;3623.0;9123.0;2572.0;6176.0;2947.0;765.0;-496.0;-196.0;-196.0;242.0;8861.0;27.89;2369.0;;1958.0;;;410.0;11230.0;;;410.0;10.38;8.61;-193.0;7.04;299.0;4.61;3.75;3.75;151.0;;251.0;;251.0;1525.0;1425.0;422.0;4383.0;;;;;;1118.0;5501.0;;1014.0;;;;1558.0;1109.0;;;2496.0;3604.0;;;;;2195.0;-4486.0;5239.0;9123.0;;9123.0;;567.0;410.0;100.0;;312.0;;-64.0;;1051.0;-624.0;-523.0;;-287.0;311.0;3.0;;41.0;;-113.0;-124.0;-10.0;;189.0;;;;;;;;;;;;;;;;;;;;;;;;;;
