;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;3.0;-3.0;1.0;-0.0;-0.0;0.0;1.0;1.0;54.55;0.0;;0.0;;;0.0;1.0;0.0;;-0.0;5.43;11.22;-0.0;9.09;;9.09;3.8;3.09;0.0;;1.0;;1.0;;;;;;;;;;0.0;0.0;;;2.0;;;1.0;;;;;;;;;;-14.0;-7.0;18.0;1.0;0.0;1.0;;0.0;-0.0;;;-4.0;;;;-3.0;4.0;-0.0;;;;0.0;;;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1.0;0.0;-0.0;-0.0;;;0.0;0.0;0.0;3.0;3.0;-3.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;50.0;0.0;;0.0;;;0.0;1.0;0.0;;-0.0;-11.25;-6.2;0.0;;;;0.69;0.56;0.0;;0.0;;0.0;;;;;;;;;;0.0;0.0;;;2.0;;;1.0;;;;;;;;;;-14.0;-7.0;18.0;0.0;0.0;0.0;;;-0.0;;;;;;;-3.0;0.0;-0.0;;;;0.0;;;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1.0;1.0;0.0;0.0;;;0.0;;0.0;3.0;3.0;-3.0;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;70.0;1.0;;1.0;;;0.0;1.0;0.0;;-0.0;21.0;17.18;0.0;;;;-1.25;-1.25;0.0;;;;;;;;;;;;0.0;;0.0;0.0;;;2.0;;;1.0;;;;0.0;0.0;;;;;-14.0;-6.0;18.0;0.0;-0.0;0.0;;;-0.0;;;-0.0;;;;-3.0;0.0;;;-0.0;;0.0;;0.0;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;18.0;7.0;2.0;2.0;2.0;1.0;5.0;7.0;10.0;6.0;6.0;4.0;3.0;-1.0;-2.0;1.0;3.0;10.0;41.2;6.0;;6.0;;;0.0;16.0;0.0;;0.0;10.93;9.7;0.0;9.73;1.0;6.52;0.2;0.2;5.0;;4.0;;4.0;3.0;0.0;0.0;3.0;;;;;;1.0;3.0;;6.0;;;;0.0;;;;;;;;;0.0;2.0;0.0;;10.0;;10.0;;1.0;0.0;;;3.0;;0.0;;0.0;-1.0;-1.0;;;;;;;;-2.0;1.0;0.0;4.0;2.0;;;3.3;0.22;0.53;0.46;0.11;0.66;5.0;81.8;4.5;2.6;18.0;9.7;0.0;1.0;33.0;6.5;0.0;;4.0;32.8;17.5;32.8;-112.8;85.7
2007.0;54.0;22.0;22.0;20.0;20.0;12.0;5.0;16.0;46.0;14.0;20.0;26.0;16.0;-23.0;11.0;5.0;-7.0;32.0;40.77;2.0;0.0;2.0;;;-0.0;34.0;0.0;;2.0;40.67;36.95;-0.0;36.9;8.0;22.51;2.6;2.6;5.0;;11.0;;11.0;4.0;0.0;0.0;30.0;;;;;;1.0;31.0;;;10.0;;;4.0;6.0;;;;6.0;;;;;13.0;2.0;12.0;46.0;-0.0;46.0;;12.0;2.0;;;1.0;;0.0;;1.0;1.0;-23.0;;;;;;;;-5.0;16.0;0.0;11.0;6.0;;;11.21;2.52;-1.39;0.98;4.69;5.47;5.0;11.4;0.7;3.4;54.0;36.9;2.0;12.0;39.0;22.5;1.0;6.0;26.0;38.2;43.1;46.1;61.2;-70.6
2008.0;88.0;35.0;36.0;31.0;31.0;22.0;5.0;43.0;89.0;19.0;37.0;52.0;25.0;-17.0;11.0;20.0;8.0;52.0;40.23;5.0;1.0;4.0;4.0;;0.0;57.0;0.0;0.0;5.0;40.61;34.95;0.0;34.97;8.0;25.6;4.4;4.4;5.0;;31.0;;31.0;12.0;0.0;0.0;45.0;;;;;;1.0;46.0;;1.0;9.0;4.0;;9.0;18.0;;;;18.0;;;;;35.0;4.0;13.0;89.0;0.0;89.0;;22.0;5.0;;;24.0;-7.0;0.0;;25.0;-26.0;-17.0;;;;;-4.0;;;;15.0;1.0;31.0;11.0;;;17.56;4.49;1.51;;3.48;10.53;5.0;5.9;0.3;;88.0;34.9;5.0;22.0;26.8;25.6;25.0;18.0;52.0;31.7;34.3;42.7;100.0;
2009.0;110.0;49.0;49.0;42.0;42.0;31.0;6.0;64.0;146.0;12.0;12.0;134.0;40.0;-38.0;13.0;15.0;1.0;61.0;44.33;7.0;1.0;6.0;6.0;;0.0;68.0;0.0;0.0;7.0;44.49;38.3;-0.0;37.9;11.0;27.74;5.0;5.0;6.0;;46.0;;46.0;17.0;1.0;0.0;82.0;;;;;;1.0;83.0;;5.0;;6.0;;7.0;;;;;;;;;;66.0;4.0;65.0;146.0;0.0;146.0;;31.0;7.0;;2.0;27.0;-3.0;-0.0;1.0;52.0;-27.0;-39.0;;;;1.0;-2.0;;;;15.0;0.0;46.0;31.0;;;17.96;4.98;0.15;;6.33;21.89;6.0;4.5;0.1;;110.0;38.3;7.0;31.0;26.8;27.7;52.0;;134.0;22.8;28.6;22.8;100.0;
2010.0;158.0;78.0;80.0;69.0;69.0;51.0;7.0;94.0;207.0;14.0;14.0;193.0;58.0;-39.0;2.0;23.0;19.0;80.0;49.27;9.0;2.0;-129.0;7.0;-136.0;137.0;90.0;0.0;0.0;11.0;50.85;43.51;0.0;43.78;18.0;32.41;7.4;7.4;7.0;;69.0;;69.0;22.0;3.0;1.0;112.0;;;;;;1.0;113.0;;6.0;;7.0;;8.0;;;;;;;;;;117.0;9.0;67.0;207.0;0.0;207.0;;51.0;11.0;-0.0;1.0;28.0;-6.0;-2.0;0.0;80.0;-34.0;-39.0;;;;0.0;;0.0;;;2.0;2.0;68.0;46.0;;;22.87;7.41;2.68;;5.7;27.83;7.0;6.6;0.3;;158.0;43.5;11.0;51.0;26.1;32.4;80.0;;193.0;26.6;33.6;26.6;100.0;-0.1
