;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;21.0;4.0;3.0;2.0;3.0;2.0;40.0;14.0;19.0;5.0;5.0;14.0;;;;;;17.0;19.23;2.0;;2.0;;;0.0;19.0;;;0.0;13.94;10.58;1.0;12.98;1.0;7.21;0.04;0.04;40.0;;8.0;;8.0;6.0;1.0;1.0;1.0;;3.0;3.0;;;0.0;5.0;;;;;;5.0;;;;0.0;0.0;;;;;4.0;-1.0;11.0;19.0;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;29.0;5.0;3.0;2.0;3.0;1.0;44.0;15.0;20.0;5.0;5.0;15.0;;;;;;24.0;16.78;3.0;;2.0;;;1.0;27.0;;;1.0;10.96;7.19;1.0;9.25;1.0;4.79;0.03;0.03;44.0;;6.0;;6.0;7.0;1.0;1.0;1.0;;3.0;3.0;;;1.0;5.0;;;;;;5.0;;;0.0;-0.0;0.0;;;;;5.0;-1.0;11.0;20.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;33.0;9.0;6.0;3.0;3.0;2.0;44.0;19.0;24.0;5.0;7.0;17.0;;;;;;24.0;27.33;6.0;;3.0;;;3.0;30.0;;;3.0;19.22;9.01;0.0;10.21;1.0;6.01;0.05;0.05;44.0;;7.0;;7.0;9.0;1.0;1.0;1.0;;3.0;3.0;;;1.0;5.0;;;;;;5.0;;;;2.0;2.0;;;;;7.0;-1.0;11.0;24.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;38.0;7.0;4.0;3.0;3.0;2.0;46.0;19.0;40.0;4.0;13.0;27.0;;;;;;31.0;19.31;4.0;;4.0;;;1.0;35.0;;;1.0;10.32;7.67;0.0;8.47;1.0;5.56;0.05;0.05;46.0;;5.0;;5.0;12.0;1.0;2.0;1.0;;19.0;19.0;;;1.0;21.0;;;;;;4.0;9.0;;1.0;0.0;10.0;;;;;9.0;-2.0;20.0;40.0;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;55.0;12.0;8.0;6.0;7.0;4.0;56.0;22.0;44.0;3.0;12.0;32.0;-2.0;-0.0;0.0;0.0;-3.0;44.0;21.3;6.0;;5.0;;;1.0;49.0;;;1.0;13.9;11.19;1.0;12.09;3.0;7.58;0.08;0.08;56.0;;2.0;;2.0;17.0;2.0;1.0;1.0;;15.0;15.0;;;6.0;22.0;;0.0;;;;3.0;9.0;;0.0;;9.0;;;;;13.0;-2.0;20.0;44.0;;44.0;;4.0;1.0;-1.0;;-7.0;;-0.0;;19.0;1.0;-1.0;;;0.0;0.0;;1.0;;-0.0;-0.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;66.0;15.0;10.0;8.0;9.0;5.0;58.0;36.0;54.0;5.0;5.0;49.0;-7.0;-9.0;21.0;21.0;-12.0;51.0;22.19;6.0;;6.0;;;1.0;58.0;;;1.0;14.89;12.46;1.0;13.53;4.0;8.21;0.09;0.09;58.0;;7.0;;7.0;22.0;6.0;1.0;5.0;;4.0;4.0;;;8.0;18.0;;0.0;;;;5.0;;;;;;;;;;18.0;-3.0;33.0;54.0;;54.0;;5.0;1.0;-1.0;;12.0;;-1.0;;31.0;-24.0;-5.0;;-3.0;;-2.0;;22.0;;-0.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;83.0;9.0;-0.0;0.0;-2.0;-1.0;55.0;43.0;59.0;12.0;14.0;45.0;2.0;1.0;0.0;0.0;-1.0;74.0;11.34;9.0;;8.0;;;2.0;83.0;;;2.0;-0.24;0.24;-2.0;-2.29;-1.0;-1.45;-0.02;-0.02;55.0;;10.0;;10.0;24.0;4.0;6.0;6.0;;4.0;4.0;;;7.0;17.0;;1.0;;;;11.0;;;;2.0;2.0;;;;;14.0;-4.0;35.0;59.0;;59.0;;-1.0;2.0;-3.0;;-0.0;;-1.0;;31.0;4.0;-2.0;;;4.0;-1.0;;1.0;;-1.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;99.0;16.0;10.0;7.0;8.0;5.0;59.0;43.0;61.0;10.0;11.0;50.0;0.0;-4.0;0.0;0.0;-4.0;83.0;16.41;9.0;;7.0;;;2.0;92.0;;;2.0;10.47;6.95;1.0;8.26;3.0;4.83;0.08;0.08;59.0;;6.0;;6.0;27.0;4.0;6.0;8.0;;4.0;4.0;;;7.0;18.0;;3.0;;;;7.0;;;;1.0;1.0;;;;;19.0;-6.0;38.0;61.0;;61.0;;5.0;2.0;0.0;;3.0;;-1.0;;33.0;-10.0;-4.0;;;0.0;0.0;;0.0;-0.0;;0.0;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;114.0;20.0;10.0;9.0;9.0;4.0;59.0;49.0;69.0;8.0;14.0;55.0;3.0;-2.0;1.0;1.0;1.0;94.0;17.59;11.0;;9.0;;;3.0;105.0;;;3.0;9.1;7.79;0.0;7.96;4.0;3.67;0.07;0.07;59.0;;8.0;;8.0;31.0;5.0;5.0;7.0;;4.0;4.0;;;9.0;20.0;;3.0;;;;4.0;;;;6.0;6.0;;;;;23.0;-8.0;40.0;69.0;;69.0;;4.0;3.0;-0.0;;8.0;;-1.0;;41.0;-11.0;-2.0;;;0.0;;;1.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;136.0;24.0;14.0;10.0;11.0;6.0;61.0;55.0;76.0;8.0;14.0;62.0;4.0;-1.0;1.0;1.0;2.0;112.0;17.67;14.0;;11.0;;;3.0;126.0;;;3.0;9.9;7.62;1.0;7.99;5.0;4.69;0.1;0.1;61.0;;11.0;;11.0;33.0;6.0;4.0;6.0;;4.0;4.0;;;12.0;21.0;;4.0;;;;5.0;;;;5.0;5.0;;;;;29.0;-10.0;43.0;76.0;;76.0;;6.0;3.0;1.0;;5.0;;-1.0;;46.0;-11.0;-2.0;;;;1.0;;1.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;149.0;24.0;10.0;10.0;7.0;4.0;64.0;61.0;80.0;10.0;12.0;69.0;6.0;-1.0;0.0;0.0;3.0;125.0;16.14;15.0;;12.0;12.0;;3.0;139.0;;;3.0;6.59;6.39;-2.0;4.84;3.0;2.62;0.06;0.06;62.0;;16.0;;16.0;33.0;7.0;5.0;6.0;;2.0;2.0;;;11.0;20.0;;4.0;;;;6.0;;;;2.0;2.0;;;;;33.0;-12.0;47.0;80.0;;80.0;;4.0;3.0;1.0;;5.0;;-1.0;;51.0;-7.0;-3.0;;;;2.0;;1.0;;-0.0;;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;163.0;26.0;14.0;10.0;12.0;7.0;62.0;66.0;86.0;9.0;12.0;75.0;9.0;-2.0;-0.0;-0.0;7.0;137.0;15.69;15.0;;13.0;13.0;;2.0;152.0;;;2.0;8.43;6.34;1.0;7.08;5.0;4.25;0.11;0.11;62.0;;23.0;;23.0;33.0;7.0;3.0;6.0;;2.0;2.0;;;12.0;20.0;;4.0;;;;5.0;;;;3.0;3.0;;;;;40.0;-13.0;47.0;86.0;;86.0;;7.0;2.0;1.0;;6.0;;-0.0;;57.0;-7.0;-2.0;;;;0.0;;0.0;-1.0;;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;181.0;29.0;13.0;9.0;11.0;6.0;59.0;66.0;85.0;10.0;13.0;72.0;5.0;-2.0;-9.0;-9.0;4.0;152.0;16.04;20.0;;18.0;18.0;;2.0;172.0;;;2.0;7.06;5.13;1.0;5.9;5.0;3.25;0.1;0.1;57.0;;18.0;;18.0;37.0;7.0;4.0;6.0;;2.0;2.0;;;12.0;19.0;;4.0;;;;6.0;;;;3.0;3.0;;;;;46.0;-14.0;40.0;85.0;;85.0;;6.0;2.0;0.0;;-2.0;;0.0;;56.0;-1.0;-2.0;;;;0.0;;2.0;-11.0;;;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;205.0;33.0;17.0;13.0;14.0;9.0;59.0;73.0;93.0;11.0;13.0;80.0;3.0;-2.0;-2.0;-2.0;1.0;172.0;15.91;20.0;;17.0;17.0;;2.0;192.0;;;2.0;8.05;6.39;1.0;7.03;6.0;4.34;0.16;0.15;57.0;;17.0;;17.0;45.0;8.0;3.0;6.0;;2.0;2.0;;;12.0;20.0;;4.0;;;;6.0;;;;2.0;2.0;;;;;55.0;-11.0;37.0;93.0;;93.0;;9.0;2.0;-1.0;;6.0;;-1.0;;62.0;-13.0;-3.0;;;;0.0;;2.0;-4.0;;;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;232.0;29.0;11.0;8.0;9.0;6.0;57.0;79.0;98.0;9.0;12.0;86.0;2.0;-2.0;0.0;;-1.0;204.0;12.39;21.0;;19.0;19.0;;2.0;225.0;;;2.0;4.65;3.4;1.0;3.74;3.0;2.37;0.1;0.1;56.0;;17.0;;17.0;49.0;9.0;5.0;6.0;;2.0;2.0;;;11.0;19.0;;3.0;;;;7.0;;;;3.0;3.0;;;;0.0;61.0;-11.0;36.0;98.0;;98.0;;6.0;2.0;;;8.0;;-1.0;;70.0;-14.0;-3.0;;;;1.0;;0.0;-0.0;;;;17.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;255.0;28.0;11.0;8.0;9.0;6.0;55.0;88.0;108.0;14.0;18.0;91.0;8.0;-1.0;-1.0;6.0;6.0;227.0;10.9;20.0;;20.0;20.0;;;247.0;;;2.0;4.46;3.2;1.0;3.59;4.0;2.19;0.1;0.1;55.0;;23.0;;23.0;53.0;8.0;4.0;5.0;;2.0;2.0;;;13.0;20.0;;5.0;;;;9.0;;;;3.0;3.0;;;;0.0;66.0;-12.0;36.0;108.0;;108.0;;6.0;2.0;0.0;;4.0;;0.0;;74.0;-4.0;-2.0;;;;0.0;;0.0;-1.0;;;;23.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;284.0;32.0;14.0;10.0;12.0;7.0;56.0;101.0;121.0;17.0;22.0;99.0;12.0;-2.0;1.0;11.0;10.0;252.0;11.32;22.0;;22.0;22.0;;;274.0;;;2.0;4.85;3.62;1.0;4.06;5.0;2.48;0.13;0.13;56.0;;34.0;;34.0;54.0;8.0;4.0;5.0;2.0;;2.0;;2.0;12.0;20.0;;6.0;;;;11.0;;;;4.0;4.0;;;;0.0;73.0;-13.0;38.0;121.0;;121.0;;7.0;2.0;-1.0;;9.0;;0.0;;83.0;-4.0;-2.0;;;;0.0;;1.0;-1.0;;;;34.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;328.0;39.0;16.0;13.0;14.0;9.0;59.0;115.0;134.0;21.0;26.0;108.0;16.0;-2.0;-0.0;14.0;14.0;290.0;11.76;25.0;;25.0;25.0;;;315.0;;;2.0;4.96;4.11;1.0;4.34;6.0;2.63;0.15;0.15;57.0;;48.0;;48.0;52.0;9.0;6.0;4.0;2.0;;2.0;;2.0;12.0;20.0;;7.0;;;;13.0;;;;6.0;6.0;;;;0.0;82.0;-14.0;40.0;134.0;;134.0;;9.0;2.0;-1.0;;11.0;;-1.0;;94.0;-4.0;-2.0;;;;0.0;;2.0;-2.0;;;;48.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;380.0;45.0;19.0;16.0;18.0;11.0;60.0;138.0;158.0;25.0;37.0;121.0;17.0;-2.0;1.0;16.0;14.0;335.0;11.88;29.0;;29.0;29.0;;;364.0;;;2.0;5.12;4.23;1.0;4.61;7.0;2.86;0.19;0.18;58.0;;64.0;;64.0;58.0;10.0;5.0;5.0;;;;;3.0;12.0;20.0;;7.0;;;;18.0;;;;12.0;12.0;;;;0.0;91.0;-10.0;40.0;158.0;;158.0;;11.0;2.0;-0.0;;19.0;;-2.0;;113.0;-15.0;-2.0;;;;0.0;;3.0;-0.0;-1.0;;;64.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;443.0;54.0;26.0;22.0;24.0;15.0;62.0;145.0;167.0;20.0;36.0;131.0;19.0;-2.0;-7.0;11.0;17.0;389.0;12.17;32.0;;32.0;32.0;;;420.0;;;2.0;5.78;5.04;1.0;5.36;9.0;3.32;0.25;0.24;59.0;;75.0;;75.0;56.0;11.0;4.0;5.0;;;;;6.0;11.0;22.0;;7.0;;;;13.0;;;;15.0;15.0;;;;0.0;101.0;-12.0;42.0;167.0;;167.0;;15.0;2.0;-1.0;;12.0;;-1.0;;125.0;-8.0;-2.0;;;;0.0;;4.0;-6.0;-5.0;;;75.0;64.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;466.0;60.0;33.0;28.0;31.0;19.0;64.0;166.0;188.0;23.0;40.0;148.0;24.0;-2.0;-7.0;16.0;23.0;406.0;12.91;33.0;;33.0;33.0;;;439.0;;;2.0;7.01;5.92;3.0;6.61;12.0;4.1;0.32;0.3;61.0;;91.0;;91.0;59.0;12.0;4.0;5.0;2.0;;2.0;;6.0;10.0;23.0;;9.0;;;;14.0;;;;17.0;17.0;;;;0.0;112.0;-13.0;48.0;188.0;;188.0;;19.0;2.0;-0.0;;18.0;;-1.0;;143.0;-14.0;-2.0;;;;0.0;;6.0;-4.0;-8.0;;;91.0;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;512.0;73.0;43.0;36.0;41.0;25.0;65.0;168.0;216.0;28.0;50.0;165.0;16.0;-11.0;-23.0;-18.0;14.0;439.0;14.27;37.0;;37.0;37.0;;;476.0;;;2.0;8.41;7.0;5.0;7.96;15.0;4.97;0.41;0.4;62.0;;73.0;;73.0;78.0;13.0;5.0;5.0;15.0;7.0;22.0;;5.0;15.0;47.0;;10.0;;;;17.0;;;;22.0;22.0;;;;0.0;124.0;-13.0;54.0;216.0;;216.0;;25.0;2.0;-1.0;;-2.0;;-1.0;;141.0;-8.0;-2.0;-10.0;;;0.0;;3.0;-8.0;-13.0;-5.0;;73.0;91.0;;;8.28;0.41;0.23;0.2;0.03;2.68;62.0;24.0;1.3;2.1;512.0;7.0;2.0;25.0;37.5;5.0;141.0;;165.0;13.5;18.9;15.4;50.4;124.6
2007.0;578.0;84.0;51.0;44.0;48.0;30.0;66.0;195.0;243.0;28.0;49.0;195.0;26.0;-2.0;-4.0;19.0;24.0;493.0;14.6;40.0;;40.0;40.0;;;534.0;;;3.0;8.84;7.63;4.0;8.32;19.0;5.12;0.47;0.45;63.0;;92.0;;92.0;83.0;15.0;5.0;4.0;15.0;6.0;21.0;;6.0;17.0;48.0;;9.0;;;;19.0;;;;21.0;21.0;;;;0.0;136.0;-14.0;72.0;243.0;;243.0;;30.0;3.0;-1.0;;27.0;;-2.0;;167.0;-33.0;-2.0;-0.0;;;0.0;;5.0;;-18.0;8.0;;92.0;73.0;;;9.11;0.47;0.38;0.28;0.02;3.07;63.0;28.7;1.7;2.1;578.0;7.6;3.0;30.0;38.5;5.1;167.0;;195.0;13.7;19.8;15.2;40.0;50.6
