;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;41.0;20.0;-1.0;-1.0;-2.0;-1.0;18.0;22.0;25.0;13.0;13.0;12.0;;;;;;21.0;49.51;21.0;;20.0;;;1.0;41.0;;;1.0;-1.23;-1.23;-1.0;-3.68;-0.0;-3.43;-0.08;-0.08;18.0;;2.0;;2.0;9.0;11.0;1.0;1.0;;1.0;1.0;;;0.0;3.0;;;;;;13.0;;;;0.0;0.0;;;;;1.0;-1.0;11.0;25.0;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;52.0;28.0;7.0;7.0;6.0;4.0;19.0;27.0;32.0;14.0;15.0;16.0;;;;;;25.0;52.87;21.0;;20.0;;;1.0;45.0;;;1.0;12.45;13.03;-1.0;10.73;2.0;6.7;0.18;0.18;19.0;;5.0;;5.0;10.0;12.0;;1.0;;4.0;4.0;;;0.0;5.0;;;;;;14.0;1.0;;;-0.0;1.0;;;;;6.0;-1.0;12.0;32.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;68.0;34.0;9.0;10.0;8.0;5.0;24.0;45.0;54.0;10.0;32.0;22.0;;;;;;34.0;49.48;24.0;;23.0;;;1.0;58.0;;;1.0;13.11;14.14;-2.0;11.49;3.0;7.51;0.25;0.21;20.0;;7.0;;7.0;15.0;22.0;1.0;3.0;;3.0;3.0;;;2.0;8.0;;;;;;10.0;22.0;;;0.0;22.0;;;;;11.0;-1.0;12.0;54.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;97.0;45.0;13.0;14.0;12.0;9.0;28.0;66.0;74.0;22.0;24.0;51.0;;;;;;53.0;45.89;31.0;;29.0;;;1.0;84.0;;;1.0;13.76;14.27;-2.0;12.32;3.0;8.83;0.39;0.31;22.0;;12.0;;12.0;21.0;29.0;3.0;4.0;;3.0;3.0;;;2.0;9.0;;;;;;22.0;1.0;;;;1.0;;;;;19.0;-1.0;33.0;74.0;;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;119.0;52.0;15.0;15.0;13.0;11.0;33.0;84.0;99.0;37.0;38.0;62.0;;;;;;67.0;43.77;38.0;;36.0;;;2.0;104.0;;;2.0;12.46;12.21;-1.0;11.11;2.0;9.18;0.33;0.33;33.0;;13.0;;13.0;22.0;45.0;3.0;6.0;;3.0;3.0;;;7.0;16.0;;;;;;37.0;1.0;;;;1.0;;;;;30.0;-2.0;33.0;99.0;;99.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;117.0;49.0;8.0;9.0;6.0;5.0;29.0;100.0;117.0;58.0;58.0;59.0;;;;;;68.0;41.49;40.0;;38.0;;;2.0;108.0;;;2.0;7.19;7.36;-3.0;5.22;2.0;3.93;0.16;0.16;29.0;;17.0;;17.0;18.0;62.0;3.0;7.0;;2.0;2.0;;;7.0;17.0;;;;;;58.0;0.0;;;;0.0;;;;;35.0;-3.0;27.0;117.0;;117.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;120.0;50.0;12.0;11.0;10.0;7.0;28.0;96.0;112.0;46.0;46.0;66.0;24.0;-2.0;-14.0;-14.0;24.0;71.0;41.18;38.0;;36.0;;;2.0;109.0;;;2.0;9.57;9.32;-2.0;7.9;2.0;5.99;0.26;0.26;28.0;;26.0;;26.0;18.0;49.0;2.0;7.0;;2.0;2.0;;;8.0;16.0;;3.0;;;;43.0;0.0;;;;0.0;;;;;42.0;-3.0;27.0;112.0;;112.0;;7.0;2.0;;;14.0;;13.0;;50.0;2.0;-0.0;;;;-1.0;;0.0;;;-14.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;132.0;53.0;18.0;14.0;16.0;13.0;29.0;95.0;123.0;43.0;43.0;80.0;17.0;-12.0;-2.0;-2.0;1.0;79.0;40.08;39.0;;37.0;;;2.0;118.0;;;2.0;13.71;10.76;2.0;12.27;3.0;9.77;0.45;0.45;29.0;;30.0;;30.0;22.0;41.0;2.0;13.0;;9.0;9.0;;;6.0;28.0;;3.0;;;;39.0;;;;;;;;;;55.0;-3.0;29.0;123.0;;123.0;;13.0;2.0;-0.0;;3.0;;8.0;;52.0;0.0;-16.0;;;0.0;4.0;;1.0;;;-3.0;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;123.0;47.0;11.0;10.0;9.0;8.0;29.0;95.0;123.0;37.0;37.0;86.0;14.0;-1.0;-8.0;-8.0;12.0;76.0;38.07;37.0;;36.0;;;2.0;113.0;;;2.0;8.6;7.95;-0.0;7.63;2.0;6.09;0.28;0.26;27.0;;35.0;;35.0;19.0;40.0;1.0;12.0;;10.0;10.0;;;7.0;28.0;;3.0;;;;34.0;;;;;;;;;;58.0;-3.0;31.0;123.0;;123.0;;8.0;2.0;;;5.0;;2.0;;58.0;-1.0;-2.0;;;;1.0;;1.0;;;-8.0;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;138.0;54.0;17.0;15.0;15.0;11.0;27.0;104.0;133.0;45.0;45.0;89.0;-0.0;-2.0;-1.0;-1.0;-1.0;84.0;38.88;39.0;;37.0;;;2.0;124.0;;;2.0;11.95;10.57;-0.0;10.5;3.0;8.11;0.44;0.41;25.0;;32.0;;32.0;25.0;46.0;1.0;12.0;;9.0;9.0;;;9.0;30.0;;2.0;;;;42.0;;;;;;;;;;62.0;-3.0;30.0;133.0;;133.0;;11.0;2.0;0.0;;2.0;;-8.0;;59.0;-15.0;-1.0;;;;-2.0;;1.0;-9.0;;8.0;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;167.0;67.0;19.0;17.0;17.0;13.0;27.0;123.0;155.0;12.0;53.0;102.0;3.0;-4.0;13.0;13.0;-1.0;100.0;40.1;50.0;;47.0;;;2.0;150.0;;;2.0;11.43;10.41;-1.0;10.11;4.0;7.84;0.51;0.49;26.0;;44.0;;44.0;29.0;49.0;1.0;16.0;;8.0;8.0;;;8.0;32.0;;1.0;;;;11.0;41.0;;;0.0;41.0;;;;;75.0;-3.0;30.0;155.0;;155.0;;13.0;2.0;-0.0;;52.0;;-3.0;;111.0;-63.0;-5.0;;;;0.0;;0.0;;;13.0;;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;213.0;80.0;25.0;23.0;22.0;17.0;28.0;133.0;182.0;21.0;62.0;121.0;2.0;-23.0;3.0;3.0;-11.0;133.0;37.61;60.0;;57.0;57.0;;3.0;190.0;;;3.0;11.69;10.66;-1.0;10.38;5.0;8.08;1.24;1.24;14.0;;26.0;;26.0;37.0;68.0;2.0;26.0;;10.0;10.0;;;13.0;49.0;;3.0;4.0;;;15.0;41.0;;;-0.0;40.0;;;;1.0;93.0;-4.0;31.0;182.0;;182.0;;17.0;3.0;-1.0;;1.0;;-20.0;;112.0;-19.0;-13.0;;;;-10.0;;1.0;;;2.0;;;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;248.0;95.0;33.0;30.0;29.0;22.0;29.0;177.0;228.0;23.0;78.0;150.0;18.0;-5.0;18.0;18.0;14.0;153.0;38.29;69.0;;65.0;65.0;;4.0;218.0;;;4.0;13.22;12.13;-1.0;11.61;7.0;8.99;0.83;0.77;27.0;;56.0;;56.0;45.0;71.0;5.0;26.0;11.0;9.0;20.0;;;5.0;51.0;;1.0;;;;21.0;56.0;;;;56.0;;;;3.0;115.0;-5.0;37.0;228.0;;228.0;;22.0;4.0;-0.0;;42.0;;-3.0;;154.0;-51.0;-3.0;;;;-2.0;;7.0;;;11.0;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;295.0;119.0;40.0;36.0;35.0;28.0;30.0;190.0;294.0;39.0;94.0;200.0;12.0;-36.0;3.0;3.0;-6.0;175.0;40.48;88.0;;83.0;83.0;;5.0;258.0;;;5.0;13.72;12.33;-1.0;12.02;7.0;9.61;1.0;0.96;28.0;;34.0;;34.0;60.0;90.0;6.0;43.0;39.0;8.0;47.0;;;15.0;104.0;;2.0;10.0;;;27.0;56.0;;;;56.0;;;;3.0;143.0;-7.0;61.0;294.0;;294.0;;28.0;5.0;-1.0;;-3.0;;-16.0;;151.0;-18.0;-18.0;;;;-19.0;;1.0;;;2.0;;;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;300.0;114.0;20.0;9.0;13.0;13.0;30.0;194.0;304.0;40.0;95.0;210.0;29.0;-15.0;-13.0;1.0;20.0;186.0;38.0;111.0;;104.0;104.0;;7.0;290.0;;;7.0;6.68;3.14;4.0;4.37;;4.37;0.45;0.44;29.0;;34.0;1.0;35.0;53.0;97.0;9.0;48.0;41.0;6.0;46.0;;;16.0;110.0;;6.0;0.0;;;33.0;55.0;;;;55.0;;;;3.0;153.0;-6.0;60.0;304.0;0.0;304.0;;13.0;7.0;-1.0;;3.0;;-7.0;;154.0;6.0;-8.0;-2.0;;;-5.0;;1.0;-4.0;;-10.0;;34.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;357.0;137.0;29.0;23.0;21.0;17.0;29.0;220.0;337.0;63.0;118.0;220.0;-0.0;-13.0;5.0;-8.0;-3.0;221.0;38.27;118.0;;118.0;114.0;;;334.0;;;8.0;8.13;6.32;-2.0;5.85;4.0;4.84;0.61;0.6;28.0;;26.0;2.0;28.0;64.0;119.0;10.0;48.0;43.0;8.0;51.0;;;18.0;117.0;;21.0;10.0;;;32.0;55.0;;;;55.0;;;;3.0;170.0;-10.0;57.0;337.0;-0.0;337.0;;17.0;8.0;-2.0;;3.0;;-20.0;;158.0;-27.0;-3.0;-2.0;;;-8.0;;0.0;-5.0;;10.0;;26.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;339.0;128.0;43.0;42.0;28.0;29.0;29.0;244.0;358.0;52.0;107.0;250.0;53.0;-6.0;-8.0;38.0;52.0;211.0;37.68;171.0;;171.0;98.0;;;309.0;;;9.0;12.8;12.3;-14.0;8.12;6.0;8.62;1.04;1.0;28.0;;64.0;0.0;64.0;70.0;100.0;9.0;46.0;41.0;7.0;48.0;;;21.0;114.0;;12.0;;;;41.0;55.0;;;;55.0;;;;3.0;196.0;-3.0;55.0;358.0;0.0;358.0;;29.0;9.0;1.0;;34.0;;18.0;;192.0;-20.0;-1.0;;;;-5.0;;1.0;;;-9.0;;64.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
