;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;23.0;5.0;7.0;0.0;;2.0;28.0;;;;;;2.0;-2.0;;;2.0;18.0;23.49;22.0;;;;;22.0;40.0;;;5.0;30.77;1.89;;;;9.18;0.07;0.07;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;5.0;;;;;;;;-5.0;;;;;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;21.0;;6.0;-0.0;;2.0;28.0;;;;;;10.0;-10.0;;;10.0;;;21.0;;;;;21.0;21.0;;;4.0;29.85;-2.33;;;;11.74;0.09;0.09;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;4.0;;;;;;;;4.0;;;;;-10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;24.0;4.0;7.0;-0.0;;3.0;28.0;23.0;88.0;20.0;20.0;;4.0;-4.0;;;-2.0;19.0;17.55;4.0;;;;;4.0;24.0;;;4.0;30.3;-1.42;3.0;;;11.32;0.1;0.1;28.0;;;;;23.0;0.0;;60.0;;;;5.0;;;65.0;;18.0;;;;2.0;;;;;;;;;;;;68.0;88.0;;88.0;;3.0;4.0;;;3.0;;-0.0;;3.0;-6.0;-7.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;31.0;7.0;7.0;0.0;;1.0;28.0;38.0;140.0;56.0;57.0;;6.0;-29.0;30.0;30.0;-1.0;24.0;21.45;6.0;;;;;6.0;31.0;;;6.0;22.84;0.5;1.0;;;1.89;0.02;0.02;28.0;;7.0;;7.0;31.0;0.0;;96.0;;;7.0;;;;103.0;;24.0;30.0;;;2.0;;;;1.0;1.0;;;;;;;;57.0;83.0;140.0;;1.0;6.0;;;-21.0;;0.0;;-18.0;20.0;-7.0;;;;-23.0;;;;;30.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;68.0;44.0;40.0;35.0;35.0;33.0;28.0;23.0;104.0;3.0;42.0;62.0;16.0;-6.0;3.0;12.0;13.0;24.0;65.19;9.0;;2.0;2.0;;7.0;33.0;;;7.0;58.59;51.68;-1.0;50.88;;47.94;0.4;0.4;28.0;;19.0;;19.0;3.0;1.0;-0.0;75.0;;5.0;5.0;;;2.0;81.0;;2.0;;;;2.0;25.0;;;14.0;39.0;;;;85.0;;-23.0;0.0;104.0;0.0;104.0;;33.0;7.0;;;37.0;;;;19.0;-61.0;-3.0;;;;-3.0;;145.0;-0.0;;-142.0;;19.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;80.0;55.0;41.0;37.0;28.0;27.0;31.0;29.0;255.0;9.0;203.0;52.0;43.0;-132.0;91.0;1.0;-89.0;25.0;68.41;18.0;;4.0;4.0;;14.0;44.0;;;14.0;51.45;45.62;-9.0;34.46;;33.46;0.85;0.85;31.0;;21.0;;21.0;7.0;;1.0;162.0;;61.0;61.0;;;3.0;226.0;;3.0;;;1.0;5.0;181.0;;;13.0;193.0;;;;146.0;;-94.0;0.0;255.0;0.0;255.0;;27.0;14.0;;;0.0;;;;19.0;1.0;-132.0;;;;;;45.0;-1.0;;46.0;;21.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;89.0;61.0;44.0;40.0;28.0;28.0;32.0;24.0;244.0;14.0;207.0;36.0;46.0;-9.0;-46.0;-9.0;37.0;29.0;67.94;20.0;;5.0;5.0;;15.0;49.0;;;16.0;49.05;45.27;-12.0;31.61;;30.83;0.8;0.8;32.0;;12.0;;12.0;11.0;;1.0;161.0;;57.0;57.0;;;3.0;220.0;;4.0;;;5.0;5.0;181.0;;;12.0;193.0;;;;130.0;;36.0;-130.0;244.0;0.0;244.0;;28.0;16.0;;;-10.0;;;;9.0;12.0;-9.0;;;;;;;-1.0;-44.0;-1.0;;12.0;21.0;;;2.77;0.85;1.14;1.36;0.28;1.12;32.0;23.2;1.3;6.8;89.0;45.3;16.0;28.0;;30.8;9.0;181.0;36.0;12.0;11.3;75.9;-58.8;120.6
2007.0;105.0;73.0;55.0;53.0;41.0;39.0;32.0;23.0;239.0;18.0;211.0;28.0;59.0;-10.0;-51.0;-1.0;49.0;33.0;68.79;19.0;;5.0;5.0;;14.0;52.0;;;16.0;52.52;50.35;-12.0;38.52;0.0;37.29;1.13;1.13;32.0;;10.0;;10.0;12.0;;1.0;159.0;;54.0;54.0;;;3.0;216.0;;9.0;;;4.0;5.0;181.0;;;12.0;193.0;;;;122.0;;-94.0;-0.0;239.0;-0.0;239.0;;39.0;16.0;;;-4.0;;;;6.0;8.0;-10.0;;;;0.0;;;-1.0;-48.0;-2.0;;10.0;12.0;;;3.27;1.22;1.52;1.49;0.31;0.86;32.0;19.5;1.1;6.3;105.0;50.4;16.0;39.0;0.7;37.3;6.0;181.0;28.0;17.8;16.6;141.3;-22.1;99.9
2008.0;118.0;77.0;70.0;48.0;26.0;25.0;33.0;20.0;440.0;58.0;442.0;-11.0;64.0;-213.0;145.0;-5.0;-150.0;41.0;65.03;29.0;;6.0;6.0;;23.0;71.0;0.0;22.0;23.0;59.57;40.26;-22.0;21.76;0.0;21.51;0.67;0.67;33.0;;5.0;;5.0;15.0;;1.0;290.0;;122.0;122.0;;;7.0;419.0;;8.0;29.0;;16.0;6.0;356.0;;;28.0;384.0;;;;106.0;;-13.0;-103.0;431.0;9.0;440.0;;25.0;23.0;;;-43.0;-2.0;;3.0;-38.0;59.0;-213.0;;;;0.0;;0.0;-1.0;-54.0;199.0;;5.0;10.0;;;3.62;0.78;-4.59;1.66;6.55;-0.33;33.0;21.9;1.0;9.7;118.0;40.3;23.0;25.0;1.2;21.5;-38.0;356.0;-11.0;12.6;11.0;-233.7;-113.5;-36.7
2009.0;147.0;103.0;115.0;68.0;46.0;66.0;37.0;24.0;617.0;20.0;423.0;;68.0;-147.0;76.0;-3.0;-86.0;44.0;69.99;34.0;;8.0;8.0;;27.0;81.0;0.0;22.0;28.0;78.51;46.56;-22.0;31.58;;45.02;1.59;1.59;37.0;;3.0;26.0;28.0;19.0;;-23.0;398.0;49.0;115.0;165.0;26.0;;4.0;593.0;;6.0;;;8.0;5.0;391.0;;;12.0;403.0;;;;297.0;;-9.0;;617.0;-0.0;617.0;;66.0;28.0;;;42.0;-4.0;;-2.0;4.0;-68.0;-154.0;32.0;-26.0;;;-233.0;133.0;-1.0;-63.0;240.0;;3.0;5.0;;;4.01;1.81;-2.34;1.72;4.21;;37.0;8.9;0.1;10.6;147.0;46.6;28.0;66.0;;45.0;4.0;391.0;;14.7;14.2;inf;5.0;81.5
