;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;10.0;6.0;1.0;0.0;0.0;1.0;0.0;;;;;;0.0;-1.0;0.0;0.0;;4.0;62.75;6.0;1.0;4.0;;;1.0;10.0;;;1.0;8.82;3.92;;3.92;-0.0;6.86;3.0;2.8;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;-0.0;;-1.0;;-0.0;;;0.0;-0.0;;;;-0.0;;;;;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;13.0;8.0;-5.0;-2.0;-6.0;-6.0;0.0;;;;;;-1.0;-3.0;3.0;3.0;-2.0;5.0;62.2;10.0;3.0;7.0;;;1.0;15.0;;0.0;1.0;-39.37;-18.11;-4.0;-45.67;0.0;-47.24;-21.8;-21.8;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.0;1.0;0.0;;1.0;;-1.0;;;4.0;-2.0;;;;-1.0;;1.0;;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;23.0;14.0;-1.0;-5.0;-5.0;-5.0;1.0;;;;;;-5.0;-2.0;18.0;10.0;-6.0;8.0;62.9;19.0;4.0;11.0;;;4.0;28.0;0.0;0.0;4.0;-3.83;-22.44;0.0;-22.04;0.0;-23.2;-8.8;-8.8;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.0;4.0;0.0;;-4.0;;0.0;;;1.0;-1.0;;;;-1.0;;20.0;;;-2.0;;10.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;12.0;4.0;-13.0;-17.0;-17.0;-17.0;1.0;;;;;;-7.0;-3.0;5.0;-5.0;-8.0;7.0;38.47;18.0;3.0;11.0;;;4.0;25.0;0.0;0.0;4.0;-110.3;-145.68;0.0;-142.76;0.0;-142.82;-19.6;-19.6;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17.0;4.0;;;1.0;;-1.0;;;5.0;-0.0;;;;-3.0;;5.0;;;-0.0;;5.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;7.0;4.0;-5.0;-7.0;-7.0;-7.0;1.0;3.0;4.0;3.0;3.0;1.0;-5.0;1.0;3.0;-1.0;-5.0;3.0;52.35;11.0;1.0;8.0;;;2.0;14.0;0.0;0.0;2.0;-68.67;-99.18;0.0;-94.43;0.0;-94.76;-7.4;-7.4;1.0;;1.0;;1.0;1.0;1.0;0.0;0.0;;;;;;1.0;1.0;;1.0;0.0;;0.0;1.0;0.0;;;;0.0;;;0.0;0.0;-43.0;-0.0;45.0;4.0;;4.0;;-7.0;2.0;;;1.0;;1.0;;;-0.0;-0.0;;;;1.0;;3.0;;;-0.0;-0.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3.0;2.0;-0.0;-1.0;-1.0;-1.0;1.0;2.0;2.0;1.0;1.0;1.0;-0.0;-0.0;-0.0;-1.0;-0.0;1.0;73.3;4.0;1.0;2.0;;;1.0;5.0;0.0;0.0;1.0;-2.38;-25.02;0.0;-24.86;-0.0;-18.06;-0.6;-0.6;1.0;;0.0;;0.0;0.0;1.0;0.0;0.0;;;;;;0.0;1.0;;0.0;0.0;;0.0;1.0;0.0;;;;0.0;;;0.0;0.0;-43.0;-0.0;45.0;2.0;;2.0;;-1.0;1.0;;;0.0;;1.0;;;-1.0;;;;;-0.0;;;;;-0.0;0.0;0.0;1.0;;;2.8;-0.51;-0.32;;;0.67;1.0;;;;3.0;-25.0;1.0;-1.0;27.3;-18.1;0.0;0.0;1.0;-73.5;-38.8;-75.7;100.0;
2004.0;4.0;3.0;-0.0;-1.0;-1.0;-0.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;-0.0;0.0;-0.0;-0.0;1.0;70.54;3.0;1.0;2.0;;;0.0;4.0;0.0;0.0;0.0;-4.31;-16.34;0.0;-15.84;-0.0;-6.91;-0.2;-0.2;1.0;;0.0;;0.0;1.0;1.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;0.0;1.0;0.0;;;;0.0;;;0.0;0.0;-44.0;;44.0;2.0;;2.0;;-0.0;0.0;;;0.0;;0.0;;;-0.0;-0.0;;;;;;0.0;;;0.0;;0.0;0.0;;;3.1;-0.21;-0.18;;0.28;0.51;1.0;;;;4.0;-16.3;0.0;-0.0;56.4;-6.9;0.0;0.0;1.0;-30.7;-30.0;-42.1;100.0;
2005.0;5.0;3.0;0.0;-0.0;-0.0;0.0;2.0;2.0;3.0;1.0;1.0;1.0;-0.0;-1.0;1.0;-0.0;-1.0;2.0;66.16;3.0;1.0;3.0;;;0.0;5.0;0.0;0.0;0.0;0.82;-2.45;-0.0;-2.56;-0.0;4.0;0.2;0.2;1.0;;0.0;;0.0;1.0;1.0;0.0;0.0;;1.0;1.0;;;0.0;1.0;;0.0;0.0;;0.0;1.0;0.0;;;;0.0;;;0.0;0.0;-44.0;-0.0;46.0;3.0;;3.0;;0.0;0.0;;;-0.0;;0.0;;;-0.0;-1.0;;;;;;1.0;;;-0.0;;0.0;0.0;;;3.51;0.14;-0.55;;0.48;1.12;1.0;;;;5.0;-2.4;0.0;0.0;256.1;4.0;1.0;0.0;1.0;8.9;-3.4;12.5;100.0;92.7
2006.0;3.0;2.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;3.0;1.0;1.0;2.0;-0.0;-1.0;1.0;0.0;-1.0;1.0;59.04;3.0;1.0;3.0;;;0.0;5.0;;0.0;0.0;-25.62;-34.43;-0.0;-36.03;-0.0;-22.28;-0.4;-0.4;2.0;;0.0;;0.0;0.0;1.0;0.0;0.0;;1.0;1.0;;;0.0;1.0;;0.0;0.0;;;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;-44.0;;46.0;3.0;;3.0;;-1.0;0.0;;;0.0;;-0.0;;-0.0;0.0;-1.0;;;;;;0.0;;;0.0;;0.0;0.0;;;2.15;-0.48;-0.43;;0.38;1.0;2.0;;;;3.0;-34.4;0.0;-1.0;38.2;-22.3;0.0;0.0;2.0;-45.3;-44.9;-47.9;100.0;
2007.0;3.0;2.0;0.0;-2.0;-0.0;0.0;2.0;3.0;3.0;1.0;1.0;2.0;-0.0;2.0;0.0;2.0;-1.0;2.0;54.2;4.0;0.0;3.0;;;0.0;5.0;;0.0;0.0;2.8;-53.57;1.0;-11.94;-0.0;2.82;0.06;0.05;2.0;;3.0;;3.0;1.0;;0.0;;;;;;;;;;0.0;;;;1.0;;;;;;;;0.0;0.0;-44.0;;46.0;3.0;;3.0;;0.0;0.0;;;1.0;;0.0;;0.0;-1.0;-1.0;;;;3.0;;0.0;;;0.0;;3.0;0.0;;;2.02;0.06;-0.42;;0.33;1.12;2.0;;;;3.0;-53.6;0.0;0.0;123.6;2.8;2.0;;2.0;4.1;-9.8;5.1;100.0;2.3
