;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;423.0;115.0;34.0;47.0;11.0;2.0;5.0;;;;;;24.0;-10.0;-13.0;-13.0;17.0;308.0;27.21;69.0;;45.0;;;24.0;377.0;;;24.0;8.13;11.01;-36.0;2.55;9.0;0.54;0.47;0.47;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;24.0;-1.0;;-9.0;;4.0;;;8.0;-7.0;;;;-3.0;;;-2.0;;-11.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;464.0;123.0;-21.0;-4.0;-35.0;-53.0;6.0;;;;;;26.0;-35.0;9.0;9.0;5.0;341.0;26.52;127.0;;105.0;;;22.0;467.0;;;22.0;-4.49;-0.8;-31.0;-7.57;10.0;-11.41;-9.07;-9.07;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-53.0;22.0;-1.0;;;;;;;58.0;-22.0;;;;-13.0;;95.0;;;-86.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;514.0;144.0;72.0;64.0;46.0;24.0;9.0;106.0;497.0;71.0;389.0;108.0;49.0;-24.0;-25.0;-25.0;35.0;369.0;28.1;80.0;;54.0;;;26.0;450.0;;;26.0;14.0;12.44;-18.0;8.88;22.0;4.63;2.78;2.67;9.0;;4.0;;4.0;71.0;14.0;17.0;91.0;;290.0;290.0;;;10.0;391.0;;31.0;;;;40.0;293.0;;9.0;16.0;318.0;;;;;-53.0;-104.0;265.0;497.0;;497.0;;24.0;26.0;-2.0;;34.0;;-6.0;;34.0;-33.0;-14.0;;;;-10.0;;2.0;;;-27.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;533.0;347.0;97.0;74.0;70.0;34.0;9.0;113.0;478.0;70.0;313.0;165.0;37.0;18.0;-52.0;-52.0;19.0;186.0;65.15;273.0;;246.0;;;27.0;459.0;;;27.0;18.24;13.91;-4.0;13.19;36.0;6.38;3.73;3.67;9.0;;7.0;;7.0;70.0;21.0;15.0;88.0;;272.0;272.0;;;5.0;365.0;;32.0;;;;38.0;220.0;;10.0;12.0;242.0;;;;;-21.0;-98.0;285.0;478.0;;478.0;;34.0;27.0;-0.0;;8.0;;-9.0;;43.0;-33.0;-17.0;;;;35.0;;3.0;;-2.0;-53.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;666.0;428.0;106.0;100.0;75.0;41.0;12.0;153.0;592.0;98.0;340.0;253.0;73.0;-61.0;-18.0;-18.0;45.0;238.0;64.3;328.0;;297.0;;;31.0;566.0;;;31.0;15.98;15.05;-25.0;11.31;35.0;6.1;3.5;3.5;12.0;;12.0;;12.0;108.0;14.0;20.0;113.0;;319.0;319.0;;;7.0;439.0;;41.0;;;;57.0;218.0;;11.0;13.0;242.0;;;;;29.0;-122.0;345.0;592.0;;592.0;;41.0;31.0;1.0;;13.0;;12.0;;55.0;-12.0;-27.0;;;;-34.0;;8.0;;-2.0;-23.0;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;638.0;396.0;390.0;77.0;75.0;336.0;12.0;613.0;955.0;371.0;389.0;566.0;93.0;232.0;-253.0;-253.0;-55.0;243.0;61.99;319.0;;295.0;;;23.0;561.0;;;23.0;61.07;12.08;-2.0;11.77;31.0;52.61;30.27;29.07;11.0;;84.0;;84.0;109.0;8.0;412.0;89.0;;250.0;250.0;;;2.0;342.0;;50.0;;;;321.0;;;10.0;8.0;17.0;;;;;362.0;-91.0;295.0;955.0;;955.0;;336.0;23.0;3.0;;186.0;;2.0;;242.0;-455.0;-148.0;;-387.0;;766.0;;14.0;-47.0;-3.0;-217.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;749.0;465.0;146.0;102.0;116.0;68.0;11.0;326.0;715.0;117.0;138.0;577.0;-170.0;185.0;-68.0;-68.0;-242.0;284.0;62.06;363.0;;333.0;;;30.0;647.0;;;30.0;19.48;13.61;14.0;15.52;48.0;9.14;6.27;6.0;11.0;;30.0;;30.0;128.0;7.0;161.0;92.0;;291.0;291.0;;;6.0;389.0;;56.0;;;;60.0;;;10.0;12.0;22.0;;;;;426.0;-98.0;249.0;715.0;;715.0;;68.0;30.0;4.0;;-33.0;;1.0;;209.0;-240.0;-72.0;;;250.0;7.0;;8.0;-71.0;-4.0;;;;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;830.0;524.0;158.0;118.0;123.0;73.0;11.0;220.0;769.0;154.0;192.0;578.0;115.0;-30.0;-81.0;5.0;-50.0;306.0;63.14;406.0;;370.0;;;35.0;712.0;;;35.0;19.04;14.26;5.0;14.8;50.0;8.79;6.93;6.73;10.0;;35.0;;35.0;154.0;7.0;24.0;106.0;;410.0;410.0;;;33.0;549.0;;65.0;;;;89.0;5.0;;20.0;13.0;38.0;;;;76.0;493.0;-113.0;121.0;769.0;;769.0;;73.0;35.0;11.0;;-143.0;;-1.0;;66.0;140.0;-165.0;;;139.0;-3.0;;7.0;-88.0;-6.0;5.0;;35.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;961.0;625.0;181.0;138.0;137.0;82.0;10.0;236.0;807.0;150.0;256.0;551.0;111.0;-80.0;-44.0;-12.0;74.0;336.0;65.03;487.0;;442.0;;;44.0;823.0;2.0;;44.0;18.84;14.39;-1.0;14.24;55.0;8.52;8.07;7.87;10.0;;23.0;;23.0;180.0;6.0;27.0;112.0;;439.0;439.0;;;20.0;571.0;;60.0;;;;90.0;65.0;;26.0;15.0;106.0;;;;77.0;569.0;-131.0;36.0;807.0;;807.0;;82.0;44.0;6.0;;20.0;;1.0;;86.0;-41.0;-36.0;-44.0;;;1.0;;7.0;-97.0;-7.0;53.0;;23.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;918.0;268.0;182.0;140.0;132.0;80.0;10.0;203.0;771.0;122.0;219.0;552.0;153.0;-53.0;-92.0;8.0;126.0;650.0;29.24;129.0;;80.0;;;49.0;778.0;0.0;;49.0;19.78;15.21;-7.0;14.43;53.0;8.68;8.4;8.2;9.0;;30.0;;30.0;138.0;6.0;28.0;109.0;;438.0;438.0;;;20.0;568.0;;43.0;;;;79.0;48.0;;;49.0;97.0;;;;78.0;641.0;-153.0;;771.0;;771.0;;80.0;49.0;2.0;;-5.0;;0.0;;81.0;27.0;-26.0;-28.0;;;1.0;;9.0;-84.0;-8.0;-10.0;;30.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
