;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;18.0;5.0;2.0;2.0;1.0;1.0;2.0;;;;;;1.0;-1.0;4.0;4.0;0.0;13.0;25.84;3.0;;3.0;;;1.0;16.0;;;1.0;10.67;8.99;-0.0;7.87;0.0;6.74;0.55;0.55;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.0;;-1.0;;-1.0;;;1.0;-1.0;;;;-1.0;;4.0;;-0.0;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;25.0;7.0;2.0;1.0;2.0;1.0;3.0;;;;;;-0.0;-2.0;1.0;1.0;-1.0;19.0;25.79;5.0;;4.0;;;1.0;24.0;;;1.0;9.52;5.56;0.0;5.95;0.0;5.16;0.44;0.41;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.0;;-3.0;;-2.0;;;;-1.0;;;;-1.0;;;;;1.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;23.0;6.0;2.0;1.0;1.0;1.0;3.0;;;;;;3.0;-2.0;-2.0;-0.0;3.0;17.0;26.67;5.0;;4.0;;;1.0;21.0;;;1.0;10.22;5.78;0.0;6.22;0.0;5.78;0.46;0.44;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;1.0;;1.0;;;0.0;-1.0;;;;-1.0;;;;-0.0;-2.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;18.0;4.0;1.0;-0.0;-0.0;-0.0;3.0;;;;;;-1.0;-1.0;0.0;-1.0;-1.0;14.0;23.96;4.0;;3.0;;;1.0;18.0;;;1.0;4.19;-0.58;-0.0;-1.37;0.0;-1.46;-0.09;-0.09;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;1.0;-0.0;;-2.0;;-1.0;;;0.0;-0.0;;;;-0.0;;0.0;-0.0;-0.0;0.0;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;2.0;-1.0;-1.0;-1.0;-1.0;3.0;;;;;;;;;;;15.0;14.21;4.0;;4.0;;;;19.0;;;;-6.94;-5.87;-0.0;-6.94;0.0;-7.14;-0.43;-0.43;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;19.0;3.0;1.0;-0.0;-0.0;-0.0;3.0;11.0;16.0;4.0;4.0;11.0;0.0;-0.0;-0.0;-0.0;-0.0;16.0;17.4;4.0;;4.0;4.0;;;20.0;;;1.0;4.63;-1.24;0.0;-0.87;0.0;-1.18;-0.08;-0.08;3.0;;2.0;;2.0;3.0;4.0;1.0;4.0;;1.0;1.0;;0.0;-0.0;5.0;;2.0;1.0;;;1.0;0.0;;;0.0;0.0;;;;0.0;3.0;-0.0;9.0;16.0;-0.0;16.0;;-0.0;1.0;;;-0.0;-1.0;-0.0;;;-0.0;-0.0;;;;-0.0;;;;;-0.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;20.0;4.0;2.0;0.0;1.0;0.0;3.0;12.0;16.0;4.0;5.0;12.0;1.0;-0.0;-0.0;1.0;1.0;16.0;19.05;4.0;;4.0;4.0;;;20.0;;;1.0;8.2;0.78;0.0;2.65;0.0;2.41;0.17;0.17;3.0;;3.0;;3.0;3.0;5.0;1.0;4.0;;1.0;1.0;0.0;0.0;-0.0;4.0;;2.0;1.0;;0.0;1.0;0.0;;;0.0;0.0;;;;0.0;3.0;-0.0;9.0;16.0;-0.0;16.0;;0.0;1.0;;;-0.0;-0.0;-0.0;;;0.0;-0.0;;;;-0.0;;;;;-0.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;25.0;5.0;2.0;1.0;1.0;1.0;3.0;14.0;19.0;5.0;6.0;13.0;2.0;-1.0;1.0;1.0;1.0;20.0;20.11;4.0;;4.0;4.0;;;25.0;;;1.0;8.64;3.45;0.0;4.26;0.0;3.86;0.32;0.3;3.0;;4.0;0.0;4.0;4.0;4.0;2.0;4.0;;1.0;1.0;0.0;0.0;-0.0;4.0;;2.0;2.0;;0.0;1.0;0.0;;;0.0;0.0;;0.0;;0.0;4.0;-0.0;9.0;19.0;-0.0;19.0;;1.0;1.0;-0.0;;-1.0;-1.0;0.0;;;0.0;-1.0;-0.0;;;-0.0;;;0.0;-0.0;1.0;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;28.0;5.0;1.0;-0.0;-0.0;-0.0;3.0;16.0;20.0;6.0;7.0;13.0;1.0;-0.0;-1.0;-0.0;0.0;23.0;18.53;5.0;;5.0;5.0;;;28.0;;;1.0;3.94;-0.97;0.0;-0.25;0.0;-0.54;-0.05;-0.05;3.0;;4.0;0.0;4.0;5.0;5.0;2.0;3.0;;0.0;0.0;;0.0;-0.0;4.0;;3.0;2.0;;0.0;1.0;1.0;;;0.0;1.0;;1.0;;0.0;3.0;-0.0;10.0;20.0;0.0;20.0;;-0.0;1.0;;0.0;-1.0;-1.0;-1.0;;;1.0;0.0;;;;0.0;;;0.0;-0.0;-1.0;;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;26.0;4.0;1.0;1.0;0.0;0.0;4.0;16.0;19.0;6.0;7.0;12.0;1.0;2.0;-1.0;2.0;1.0;22.0;16.41;3.0;;5.0;5.0;;-2.0;25.0;;;1.0;4.64;2.33;-0.0;0.46;0.0;0.15;0.01;0.01;3.0;;6.0;0.0;7.0;4.0;4.0;2.0;3.0;;;;;0.0;-0.0;3.0;;3.0;2.0;;0.0;1.0;0.0;;;0.0;0.0;;0.0;;0.0;2.0;-0.0;10.0;19.0;-0.0;19.0;;0.0;1.0;-0.0;0.0;2.0;1.0;1.0;;;-2.0;0.0;0.0;;;2.0;;;0.0;-1.0;0.0;0.0;6.0;4.0;;;7.46;0.01;0.28;0.4;-0.06;3.54;3.0;327.4;18.1;10.6;26.0;2.3;1.0;0.0;58.3;0.2;10.0;0.0;12.0;0.4;0.6;0.3;-3375.0;114.3
