;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;1159.0;924.0;128.0;107.0;66.0;37.0;214.0;278.0;904.0;276.0;666.0;238.0;95.0;3.0;-19.0;86.0;81.0;236.0;79.66;817.0;;;;;817.0;1052.0;;;63.0;11.06;9.23;-41.0;5.66;29.0;3.18;0.17;0.17;214.0;;151.0;;151.0;32.0;59.0;36.0;45.0;;491.0;491.0;;;90.0;626.0;;23.0;72.0;;;181.0;253.0;;112.0;25.0;390.0;;;0.0;;51.0;3.0;205.0;904.0;;904.0;;37.0;63.0;-12.0;;-1.0;;1.0;;2.0;9.0;-14.0;;;1.0;15.0;;4.0;;;-23.0;8.0;151.0;64.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1310.0;1040.0;66.0;139.0;15.0;-14.0;212.0;370.0;949.0;371.0;884.0;64.0;80.0;-9.0;-22.0;51.0;57.0;270.0;79.39;901.0;;;;;901.0;1171.0;;;51.0;5.05;10.59;-123.0;1.18;30.0;-1.09;-0.07;-0.07;212.0;;202.0;;202.0;30.0;71.0;68.0;55.0;;497.0;497.0;;;27.0;579.0;;24.0;120.0;;;227.0;366.0;;130.0;17.0;513.0;;;;0.0;-14.0;4.0;75.0;949.0;;949.0;;-14.0;51.0;4.0;;-3.0;;-8.0;;-2.0;43.0;-23.0;;;;14.0;;203.0;;-185.0;-41.0;2.0;202.0;151.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1567.0;1251.0;212.0;219.0;175.0;93.0;290.0;300.0;838.0;285.0;669.0;169.0;143.0;-33.0;-226.0;-113.0;112.0;316.0;79.85;1032.0;;;;;1032.0;1348.0;;;37.0;13.53;13.98;-44.0;11.18;82.0;5.94;0.34;0.32;276.0;;88.0;;88.0;37.0;110.0;64.0;65.0;;449.0;449.0;;;24.0;538.0;;39.0;10.0;;;236.0;253.0;;113.0;17.0;383.0;;;;0.0;79.0;1.0;89.0;838.0;;838.0;;93.0;37.0;-12.0;;16.0;;-40.0;;14.0;10.0;-32.0;;;;-1.0;;2.0;;;-228.0;2.0;88.0;202.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1886.0;1505.0;248.0;257.0;217.0;143.0;298.0;456.0;1017.0;323.0;663.0;354.0;184.0;-67.0;-55.0;66.0;122.0;380.0;79.83;1248.0;;;;;1248.0;1629.0;;;30.0;13.14;13.63;-40.0;11.53;74.0;7.59;0.51;0.48;283.0;;154.0;;154.0;52.0;146.0;104.0;105.0;113.0;312.0;425.0;;;31.0;561.0;;40.0;6.0;;;278.0;180.0;;126.0;34.0;340.0;;;;0.0;222.0;-1.0;133.0;1017.0;;1017.0;;143.0;30.0;-20.0;;118.0;;-30.0;;132.0;-88.0;-62.0;;;;-4.0;;12.0;;;-67.0;3.0;154.0;88.0;;;6.66;0.51;0.43;;0.22;1.25;283.0;17.7;1.0;;1886.0;13.6;30.0;143.0;34.2;7.6;132.0;180.0;354.0;20.6;21.4;40.4;100.0;-9.7
2007.0;2146.0;1707.0;338.0;313.0;303.0;191.0;291.0;487.0;1067.0;376.0;885.0;182.0;271.0;-43.0;-204.0;33.0;229.0;438.0;79.57;1394.0;;;;;1394.0;1833.0;;;35.0;15.75;14.59;-11.0;14.1;111.0;8.92;0.69;0.66;278.0;;187.0;;187.0;59.0;129.0;112.0;121.0;111.0;310.0;422.0;;;38.0;580.0;;35.0;5.0;;;336.0;360.0;;108.0;41.0;509.0;;;;0.0;25.0;-4.0;161.0;1067.0;;1067.0;;191.0;35.0;3.0;;-21.0;;27.0;;111.0;61.0;-42.0;;;;-1.0;;14.0;-366.0;-42.0;190.0;9.0;187.0;154.0;;;7.72;0.69;0.82;0.15;0.15;0.66;278.0;14.5;0.8;1.5;2146.0;14.6;35.0;191.0;36.7;8.9;111.0;360.0;182.0;27.7;28.4;105.1;78.3;172.0
2008.0;2359.0;1901.0;381.0;332.0;319.0;221.0;263.0;485.0;1121.0;402.0;880.0;242.0;273.0;-85.0;-205.0;-37.0;184.0;458.0;80.57;1569.0;;;;;1569.0;2027.0;;13.0;49.0;16.15;14.08;-13.0;13.52;98.0;9.38;0.87;0.84;255.0;;151.0;;151.0;70.0;134.0;129.0;175.0;111.0;310.0;421.0;;;40.0;637.0;;41.0;145.0;37.0;;215.0;337.0;;104.0;37.0;478.0;;;;0.0;73.0;-29.0;198.0;1121.0;;1121.0;;221.0;49.0;-4.0;18.0;-29.0;;-28.0;9.0;83.0;18.0;-89.0;;;;4.0;-168.0;;-139.0;-51.0;152.0;-20.0;151.0;187.0;;;9.25;0.87;0.72;0.2;0.35;0.95;255.0;10.8;0.5;2.1;2359.0;14.1;49.0;221.0;30.7;9.4;83.0;337.0;242.0;32.0;29.6;91.5;77.1;102.8
2009.0;2325.0;1831.0;358.0;296.0;291.0;203.0;252.0;514.0;1146.0;430.0;787.0;359.0;285.0;-71.0;-213.0;-0.0;225.0;493.0;78.79;1535.0;;;;;1535.0;2029.0;;5.0;62.0;15.42;12.73;-5.0;12.52;88.0;8.75;0.83;0.81;245.0;;151.0;;151.0;77.0;146.0;140.0;178.0;103.0;312.0;414.0;;;40.0;633.0;;37.0;157.0;40.0;;236.0;238.0;;78.0;41.0;357.0;;;;0.0;160.0;-23.0;223.0;1146.0;;1146.0;;203.0;62.0;-11.0;21.0;1.0;;-2.0;-10.0;84.0;9.0;-60.0;-10.0;;;-2.0;-313.0;;-75.0;-49.0;223.0;-0.0;151.0;151.0;;;9.49;0.83;0.92;0.2;0.24;1.47;245.0;8.5;0.1;2.8;2325.0;12.7;62.0;203.0;30.1;8.7;84.0;238.0;359.0;28.9;25.8;56.6;76.0;54.8
2010.0;2734.0;2175.0;458.0;388.0;380.0;291.0;249.0;596.0;1232.0;471.0;745.0;487.0;380.0;-69.0;-254.0;40.0;312.0;559.0;79.56;888.0;;;;;888.0;1446.0;2.0;10.0;69.0;16.76;14.17;-7.0;13.9;90.0;10.63;1.22;1.17;238.0;;191.0;;191.0;86.0;182.0;137.0;177.0;103.0;311.0;414.0;;;45.0;637.0;;44.0;3.0;15.0;35.0;389.0;175.0;;56.0;44.0;274.0;;;;0.0;257.0;-27.0;257.0;1232.0;;1232.0;;291.0;69.0;-25.0;23.0;41.0;;-32.0;7.0;125.0;-18.0;-68.0;;;;-1.0;-499.0;;-160.0;-54.0;459.0;-17.0;191.0;151.0;;;11.49;1.22;1.31;0.23;0.29;2.05;238.0;10.6;0.5;1.7;2734.0;14.2;69.0;291.0;23.6;10.6;125.0;175.0;487.0;39.1;31.6;59.6;81.5;68.4
2011.0;3455.0;2774.0;641.0;562.0;560.0;413.0;250.0;769.0;1446.0;549.0;886.0;560.0;509.0;-92.0;-338.0;68.0;419.0;680.0;80.31;1075.0;;;;;1075.0;1755.0;7.0;10.0;72.0;18.57;16.28;-2.0;16.2;147.0;11.94;1.75;1.65;235.0;;259.0;;259.0;90.0;248.0;173.0;194.0;105.0;312.0;417.0;;;66.0;677.0;;57.0;2.0;31.0;32.0;458.0;202.0;;72.0;63.0;337.0;;;;0.0;306.0;-38.0;292.0;1446.0;;1446.0;;413.0;72.0;-13.0;24.0;95.0;;-85.0;15.0;220.0;-82.0;-90.0;;-2.0;;0.0;-889.0;;-322.0;-85.0;958.0;-11.0;259.0;191.0;;;14.7;1.76;1.78;0.36;0.38;2.38;235.0;14.1;0.9;1.5;3455.0;16.3;72.0;413.0;26.3;11.9;220.0;202.0;560.0;46.8;39.4;73.6;79.3;97.2
2012.0;4072.0;3260.0;742.0;661.0;651.0;477.0;236.0;964.0;1704.0;717.0;1283.0;421.0;568.0;-125.0;-371.0;75.0;446.0;813.0;80.05;2598.0;;;;;2598.0;3411.0;6.0;17.0;74.0;18.22;16.24;-11.0;15.98;174.0;11.72;2.13;2.02;225.0;;334.0;;334.0;116.0;339.0;175.0;243.0;105.0;311.0;417.0;;;81.0;740.0;;75.0;56.0;16.0;49.0;536.0;431.0;;63.0;72.0;566.0;;;;0.0;148.0;-32.0;304.0;1704.0;;1704.0;;477.0;74.0;-9.0;28.0;27.0;;-82.0;17.0;247.0;-29.0;-122.0;;;;-3.0;-1147.0;;-557.0;-135.0;1467.0;3.0;334.0;259.0;;;18.12;2.12;1.99;0.6;0.54;1.87;225.0;12.6;0.8;2.2;4072.0;16.2;74.0;477.0;26.7;11.7;247.0;431.0;421.0;49.6;39.2;113.4;71.7;155.0
