;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1990.0;629.0;;148.0;;;2.0;5.0;;2538.0;;2467.0;72.0;157.0;-141.0;-16.0;-16.0;157.0;;;;;348.0;348.0;;;526.0;;145.0;;23.48;;185.0;;1.0;0.33;0.45;0.45;5.0;;;;;;;;;;195.0;195.0;;;;;2538.0;;;;;;364.0;;;;364.0;2830.0;;;;-1.0;;73.0;2538.0;;2538.0;;2.0;;;;;;;;;155.0;;;-882.0;741.0;;-22.0;;;;6.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;657.0;;143.0;;;-17.0;5.0;;2695.0;;2391.0;305.0;169.0;-135.0;-35.0;-35.0;169.0;;;;;;;;;148.0;;148.0;;21.71;;202.0;;12.0;-2.57;-0.53;-0.53;5.0;;;;;34.0;;;;;177.0;177.0;;;;;2695.0;;;;;;144.0;;;;144.0;2535.0;;;;-18.0;;322.0;2695.0;;2695.0;;-17.0;;;;;466.0;;-44.0;;185.0;;;-801.0;666.0;-0.0;-247.0;247.0;;;-35.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;704.0;;212.0;;;58.0;58.0;;2890.0;;2532.0;357.0;199.0;-128.0;-62.0;-62.0;199.0;;;;;;;;;146.0;;112.0;20.0;30.1;;223.0;;22.0;8.25;1.0;1.0;58.0;;;;;39.0;;;;;155.0;155.0;;;;;2890.0;;;;;;129.0;;;;129.0;2661.0;;;;35.0;;323.0;2890.0;;2890.0;;58.0;20.0;9.0;;;-5.0;;132.0;;111.0;;;-1148.0;999.0;22.0;-156.0;98.0;;-6.0;1.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;708.0;;202.0;;;77.0;61.0;;3148.0;;2718.0;430.0;166.0;-119.0;-31.0;-31.0;166.0;;;;;;;;;124.0;;88.0;;28.49;;212.0;;36.0;10.91;1.33;1.27;58.0;;;;;41.0;;;;;132.0;132.0;;;;;3148.0;;;;;;112.0;;;;112.0;2829.0;;;;105.0;;325.0;3148.0;;3148.0;;77.0;;-35.0;;;518.0;;;;123.0;;;-946.0;871.0;-44.0;-17.0;;;-7.0;-7.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;712.0;;114.0;;;63.0;60.0;;3286.0;;2874.0;412.0;158.0;-93.0;-88.0;-88.0;158.0;;;;;;;;;51.0;;10.0;20.0;15.97;;185.0;;22.0;8.84;1.08;1.04;58.0;;;;;42.0;;;;;142.0;142.0;;;;;3286.0;;;;;;101.0;;;;101.0;2974.0;;;;159.0;;253.0;3286.0;;3286.0;;63.0;20.0;;;;-1.0;;88.0;;76.0;;;-1129.0;952.0;85.0;-51.0;;;-8.0;-29.0;;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;741.0;;129.0;;;74.0;53.0;;3662.0;;3192.0;470.0;154.0;-36.0;-115.0;-115.0;154.0;;;;;;;;;54.0;;12.0;16.0;17.4;;208.0;;28.0;9.98;1.48;1.39;50.0;;;;;51.0;;;;;130.0;130.0;;;;;3662.0;;;;;;101.0;;;;101.0;3293.0;;;;224.0;;246.0;3662.0;;3662.0;;74.0;16.0;;;;-10.0;;80.0;;64.0;;;-983.0;906.0;41.0;;21.0;-175.0;-9.0;48.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;704.0;;210.0;;101.0;65.0;47.0;;3861.0;3276.0;3376.0;484.0;139.0;-33.0;-102.0;4.0;139.0;;;;;;;;;603.0;;106.0;13.0;29.9;;;14.3;27.0;9.18;1.38;1.38;47.0;;14.0;;14.0;;;;;;119.0;119.0;;;;;3861.0;;34.0;;;3242.0;100.0;;;0.0;100.0;200.0;;;0.0;279.0;;206.0;3860.0;1.0;3861.0;;65.0;13.0;;;-3276.0;-14.0;;75.0;-3276.0;3337.0;;;-989.0;956.0;;-144.0;6.0;;-10.0;46.0;;14.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;747.0;;233.0;;120.0;84.0;47.0;;4132.0;3525.0;3625.0;506.0;104.0;66.0;-184.0;-13.0;104.0;;;;;;;;;627.0;;107.0;11.0;31.25;;;16.02;33.0;11.19;1.82;1.8;46.0;;0.0;;0.0;;;;;;108.0;108.0;;;;;4132.0;;42.0;;;3483.0;100.0;;;0.0;100.0;200.0;;;0.0;349.0;;157.0;4131.0;1.0;4132.0;;84.0;11.0;;;-249.0;4.0;;62.0;-3525.0;259.0;;;-1050.0;1116.0;;;12.0;-92.0;-13.0;-91.0;;0.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;779.0;;226.0;;117.0;85.0;44.0;;4395.0;3799.0;3899.0;497.0;129.0;23.0;-140.0;12.0;129.0;;;;;;;;;663.0;;104.0;5.0;29.04;;;14.98;31.0;10.95;1.97;1.95;43.0;;12.0;87.0;99.0;103.0;;;;;101.0;101.0;;;;;4395.0;;50.0;;;3749.0;100.0;;;0.0;100.0;;;;0.0;420.0;;76.0;4395.0;0.0;4395.0;;85.0;5.0;;;-274.0;-2.0;;75.0;-3799.0;312.0;;;-842.0;865.0;;;2.0;-77.0;-14.0;-51.0;;12.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;775.0;;174.0;;93.0;45.0;42.0;;4254.0;3754.0;3854.0;400.0;148.0;-42.0;-95.0;11.0;148.0;;;;;;;;;682.0;;101.0;-1.0;22.4;;;12.04;29.0;5.74;1.08;1.07;41.0;;23.0;;23.0;;;;;;102.0;102.0;;;;;4254.0;;49.0;;;3705.0;100.0;;;0.0;100.0;;;;0.0;449.0;;;4254.0;;4254.0;;45.0;-1.0;;;45.0;11.0;;76.0;-3754.0;60.0;;;-699.0;675.0;-19.0;-1.0;0.0;-28.0;-16.0;-51.0;;23.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
