;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
1998.0;193.0;12.0;8.0;-11.0;-3.0;-3.0;46.0;;;;;;1.0;4.0;0.0;5.0;-6.0;181.0;6.29;23.0;;11.0;;;11.0;203.0;;;11.0;4.25;-5.47;7.0;-1.69;-0.0;-1.64;-0.07;-0.07;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;11.0;;;-6.0;;2.0;;;-2.0;-7.0;;;6.0;6.0;;;;;0.0;;8.0;3.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;375.0;70.0;47.0;42.0;31.0;28.0;67.0;;;;;;84.0;-43.0;-4.0;37.0;55.0;305.0;18.65;28.0;;11.0;;;16.0;333.0;;;16.0;12.55;11.26;-12.0;8.19;2.0;7.57;0.42;0.42;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;16.0;;;27.0;;3.0;;;13.0;-29.0;;;2.0;-16.0;;2.0;;-6.0;;;45.0;8.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;439.0;68.0;86.0;51.0;66.0;53.0;96.0;;;;;;42.0;-50.0;45.0;37.0;19.0;371.0;15.39;24.0;;4.0;;;20.0;396.0;;;20.0;19.57;11.66;15.0;15.02;13.0;12.15;0.64;0.62;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0;20.0;;;-22.0;;-1.0;;;-9.0;-23.0;-52.0;;10.0;15.0;;5.0;;-12.0;52.0;;77.0;40.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;607.0;105.0;57.0;39.0;30.0;9.0;106.0;;;;;;49.0;-189.0;225.0;66.0;-4.0;502.0;17.29;47.0;;16.0;;;31.0;550.0;1.0;2.0;31.0;9.37;6.35;-9.0;4.91;15.0;1.48;0.09;0.09;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;31.0;;;1.0;;-11.0;;;8.0;-53.0;-159.0;-8.0;;31.0;;179.0;;-16.0;61.0;-19.0;144.0;78.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;765.0;255.0;254.0;159.0;222.0;164.0;165.0;;;;;;222.0;-360.0;166.0;27.0;150.0;511.0;33.29;52.0;;22.0;;;30.0;563.0;1.0;2.0;30.0;33.17;20.79;62.0;28.95;57.0;21.45;0.58;0.53;154.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164.0;30.0;;;8.0;;-9.0;;;19.0;-72.0;-248.0;-15.0;15.0;-40.0;;155.0;;-22.0;33.0;;141.0;114.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1204.0;318.0;201.0;197.0;123.0;86.0;183.0;390.0;2033.0;206.0;862.0;1155.0;176.0;-135.0;-23.0;33.0;43.0;886.0;26.39;115.0;;37.0;;;78.0;1001.0;;;78.0;16.68;16.35;-74.0;10.21;37.0;7.14;0.49;0.47;178.0;;226.0;;226.0;104.0;61.0;-1.0;1335.0;;;;;5.0;304.0;1644.0;;55.0;28.0;;;123.0;324.0;;211.0;122.0;657.0;;;;12.0;267.0;-32.0;908.0;2017.0;16.0;2033.0;;86.0;78.0;;;-4.0;;1.0;;;16.0;-133.0;-120.0;-3.0;;121.0;;177.0;;-130.0;-70.0;14.0;226.0;193.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1410.0;93.0;28.0;-161.0;-134.0;-84.0;254.0;440.0;4824.0;393.0;1489.0;3335.0;-62.0;36.0;7.0;-54.0;-204.0;1317.0;6.58;218.0;;46.0;;;172.0;1535.0;5.0;11.0;150.0;1.96;-11.39;27.0;-9.48;-49.0;-5.94;-0.12;-0.12;254.0;;217.0;;217.0;138.0;85.0;1.0;3569.0;;364.0;364.0;;;450.0;4384.0;;70.0;106.0;;;218.0;448.0;;427.0;221.0;1096.0;;;;26.0;173.0;-191.0;3327.0;4824.0;;4824.0;;-84.0;150.0;;;65.0;;-1.0;;;-193.0;-142.0;;-9.0;164.0;23.0;;21.0;-13.0;-64.0;63.0;-36.0;217.0;270.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1262.0;32.0;-588.0;-497.0;-715.0;-615.0;362.0;589.0;4545.0;428.0;1557.0;2988.0;-211.0;253.0;8.0;50.0;-343.0;1230.0;2.55;427.0;;132.0;;;295.0;1656.0;3.0;10.0;117.0;-46.63;-39.37;-218.0;-56.68;-100.0;-48.72;-1.7;-1.7;362.0;;266.0;;266.0;94.0;86.0;143.0;3262.0;;30.0;30.0;;;663.0;3955.0;;426.0;;;;1.0;408.0;;509.0;212.0;1129.0;;;;31.0;-522.0;62.0;3416.0;4545.0;;4545.0;;-615.0;117.0;;;-22.0;;-7.0;;;310.0;-133.0;;-15.0;379.0;21.0;;;-10.0;-14.0;32.0;-0.0;266.0;216.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1259.0;189.0;16.0;-36.0;-144.0;-155.0;394.0;427.0;4449.0;343.0;1532.0;2916.0;52.0;-246.0;-17.0;-177.0;-219.0;1070.0;15.02;222.0;;56.0;;;166.0;1292.0;5.0;8.0;166.0;1.26;-2.89;-107.0;-11.41;-2.0;-12.33;-0.39;-0.39;394.0;;89.0;;89.0;100.0;92.0;147.0;3296.0;28.0;;28.0;;;697.0;4022.0;;78.0;140.0;;;125.0;393.0;;519.0;277.0;1189.0;;;;32.0;-539.0;4.0;3419.0;4449.0;;4449.0;;-155.0;166.0;;;-32.0;;-13.0;;;73.0;-271.0;-318.0;;367.0;-24.0;;29.0;;-1.0;-44.0;34.0;89.0;266.0;;0.14;22.89;-2.82;-3.99;0.02;4.92;53.01;394.0;-5.3;-0.3;0.1;9029.0;-2.9;1187.0;-1113.0;1.6;-12.3;604.0;2820.0;20907.0;-3.6;-3.4;-5.3;100.7;;0.14
2007.0;1348.0;297.0;-101.0;147.0;-188.0;-296.0;399.0;1338.0;5121.0;764.0;2054.0;3067.0;165.0;-314.0;164.0;11.0;-220.0;1052.0;21.99;89.0;;46.0;;;43.0;1140.0;4.0;7.0;154.0;-7.46;10.88;-335.0;-13.96;34.0;-21.94;-0.74;-0.74;399.0;;100.0;707.0;807.0;136.0;105.0;290.0;3539.0;29.0;5.0;34.0;;;210.0;3783.0;;57.0;438.0;;;269.0;270.0;;514.0;506.0;1290.0;;;;32.0;-823.0;404.0;3454.0;5121.0;;5121.0;;-296.0;154.0;;;-6.0;;-28.0;;;312.0;-384.0;;-5.0;55.0;21.0;;19.0;;-1.0;145.0;-4.0;100.0;89.0;;0.14;23.81;-5.22;-3.88;0.02;6.79;54.14;399.0;-2.5;-0.1;0.1;9489.0;10.9;1086.0;-2082.0;-18.2;-21.9;4037.0;1903.0;21580.0;-6.9;-5.0;-9.6;100.3;;0.142
