;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;5.0;2.0;2.0;1.0;;;7.0;4.0;12.0;1.0;7.0;5.0;1.0;0.0;2.0;3.0;0.0;3.0;41.3;1.0;;0.0;0.0;;1.0;4.0;;-1.0;1.0;32.83;19.57;;;;;;;7.0;;4.0;;4.0;1.0;;-0.0;7.0;;;;;;0.0;8.0;;;;;;1.0;6.0;;;0.0;6.0;;;;1.0;-14.0;-32.0;50.0;12.0;;12.0;;;1.0;;;9.0;;;;3.0;-9.0;-0.0;;;;0.0;;;3.0;;-0.0;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;5.0;3.0;1.0;2.0;1.0;1.0;7.0;5.0;12.0;1.0;7.0;6.0;2.0;-1.0;-1.0;-1.0;1.0;3.0;50.0;1.0;0.0;0.0;0.0;;0.0;4.0;;-1.0;0.0;15.19;27.78;-1.0;18.52;;18.52;0.14;0.14;7.0;;3.0;1.0;4.0;1.0;;;8.0;;;;;;0.0;8.0;;;;;;1.0;5.0;;;0.0;6.0;;;;0.0;-12.0;-33.0;51.0;12.0;;12.0;;1.0;0.0;;;0.0;-0.0;;;4.0;0.0;-0.0;;;;-1.0;;;;;-1.0;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;5.0;2.0;-1.0;-0.0;-1.0;-1.0;7.0;9.0;15.0;3.0;11.0;3.0;0.0;-2.0;5.0;3.0;-0.0;3.0;44.23;2.0;1.0;1.0;1.0;;1.0;5.0;;-1.0;0.0;-10.0;-1.92;-1.0;-11.54;;-9.62;-0.07;-0.07;7.0;;6.0;2.0;8.0;1.0;;;6.0;;;;;;0.0;6.0;;;;;;3.0;3.0;;;5.0;8.0;;;;0.0;-15.0;-13.0;31.0;15.0;;15.0;;-1.0;0.0;;;2.0;0.0;;;5.0;-1.0;-1.0;;;;-1.0;;;;;5.0;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;4.0;2.0;-1.0;-1.0;-1.0;-1.0;7.0;5.0;11.0;1.0;9.0;2.0;-0.0;-1.0;-2.0;-3.0;-1.0;3.0;36.36;2.0;1.0;1.0;1.0;;1.0;5.0;;-0.0;0.0;-14.32;-15.91;-0.0;-22.73;;-15.91;-0.1;-0.1;7.0;;3.0;1.0;4.0;1.0;;0.0;6.0;;;;0.0;;0.0;6.0;;;0.0;;;0.0;3.0;;;5.0;8.0;;;;0.0;-16.0;-0.0;18.0;11.0;0.0;11.0;;-1.0;0.0;;;-1.0;0.0;;;5.0;1.0;-1.0;;;;-0.0;;;;;-2.0;;3.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4.0;1.0;1.0;-0.0;;0.0;7.0;3.0;10.0;1.0;3.0;8.0;1.0;0.0;-2.0;-1.0;-1.0;3.0;22.42;1.0;;1.0;1.0;;1.0;4.0;;;1.0;25.67;-5.98;1.0;;;9.08;0.05;0.05;7.0;;2.0;;2.0;1.0;;;7.0;;;;;;0.0;8.0;;1.0;;;;0.0;1.0;;;0.0;1.0;;;;0.0;-15.0;-14.0;37.0;10.0;;10.0;;0.0;1.0;;;-3.0;;;;2.0;3.0;-2.0;;;2.0;-0.0;;;;;-2.0;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;8.0;4.0;3.0;2.0;;2.0;7.0;4.0;12.0;1.0;2.0;10.0;3.0;-2.0;-1.0;1.0;2.0;4.0;47.73;2.0;;1.0;1.0;;1.0;6.0;0.0;0.0;1.0;33.3;25.72;0.0;;;19.87;0.22;0.22;7.0;;2.0;;2.0;1.0;;;7.0;;;;;;1.0;8.0;;1.0;;;;0.0;0.0;;;0.0;1.0;;;;0.0;-14.0;-15.0;39.0;12.0;;12.0;;2.0;1.0;;;1.0;;;;3.0;-0.0;-2.0;;;;-0.0;;;;;-1.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;8.0;3.0;2.0;0.0;;0.0;8.0;3.0;12.0;1.0;2.0;10.0;2.0;-2.0;-0.0;-0.0;-0.0;5.0;34.34;2.0;;1.0;1.0;;1.0;7.0;0.0;0.0;1.0;19.53;5.08;-0.0;;;2.25;0.02;0.02;7.0;;2.0;;2.0;1.0;;;8.0;;;;;;1.0;9.0;;1.0;;;;0.0;;;;1.0;1.0;;;;0.0;-13.0;-16.0;40.0;12.0;;12.0;;0.0;1.0;;;-1.0;;;;2.0;1.0;-2.0;;;;-0.0;;;;;-0.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;8.0;2.0;1.0;-3.0;;-2.0;7.0;2.0;10.0;1.0;2.0;3.0;1.0;-1.0;;-0.0;-0.0;6.0;20.73;3.0;;;;;3.0;9.0;0.0;0.0;2.0;7.04;-32.63;-2.0;;;-22.66;-0.25;-0.25;7.0;;2.0;;2.0;1.0;;;6.0;;;;;;1.0;7.0;;1.0;;;;0.0;0.0;;;1.0;1.0;;;;0.0;-15.0;-19.0;37.0;5.0;5.0;10.0;;-2.0;2.0;;;-0.0;;;;2.0;0.0;-1.0;;;;-0.0;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;10.0;3.0;2.0;1.0;;1.0;7.0;5.0;12.0;2.0;4.0;4.0;3.0;-1.0;0.0;2.0;2.0;6.0;36.44;2.0;;;;;2.0;8.0;0.0;;1.0;19.21;11.34;-0.0;;;7.0;0.09;0.09;7.0;;3.0;;3.0;2.0;;;7.0;;;;;;1.0;7.0;;1.0;;;;1.0;;;;2.0;2.0;;;;0.0;-14.0;-20.0;38.0;7.0;5.0;12.0;;1.0;1.0;;;1.0;;;;3.0;-0.0;-1.0;;;;-0.0;;;;;0.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1.0;1.0;11.0;-0.0;;10.0;7.0;25.0;26.0;2.0;2.0;14.0;0.0;18.0;-1.0;17.0;-0.0;0.0;86.1;1.0;0.0;;;;1.0;1.0;;;1.0;987.97;-6.81;-0.0;;;920.71;1.39;1.39;7.0;;20.0;0.0;20.0;4.0;;;1.0;;;;;;0.0;1.0;;1.0;;;;2.0;;;;;;;;;0.0;-5.0;-2.0;20.0;16.0;10.0;26.0;;10.0;1.0;;;19.0;;;;22.0;-30.0;-0.0;;;;18.0;;;-1.0;;;;20.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
