;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;487.0;147.0;-9.0;-10.0;-13.0;-11.0;2180.0;;;;;;6.0;-8.0;4.0;4.0;0.0;340.0;30.11;156.0;;152.0;;;4.0;496.0;;;4.0;-1.79;-1.95;-3.0;-2.57;-2.0;-2.24;-0.01;-0.01;2180.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.0;4.0;-4.0;;-3.0;;-5.0;;;20.0;-6.0;;;;-2.0;;;;-1.0;4.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;616.0;197.0;1.0;-1.0;-5.0;-10.0;73.0;;;;;;-11.0;-30.0;43.0;43.0;-20.0;420.0;31.91;198.0;;192.0;;;6.0;617.0;;;6.0;0.15;-0.16;-4.0;-0.83;5.0;-1.66;-0.0;-0.0;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10.0;6.0;-1.0;;286.0;;-7.0;;286.0;-292.0;-9.0;;;;-20.0;;73.0;-1.0;;-28.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1374.0;412.0;56.0;30.0;46.0;29.0;83.0;474.0;629.0;187.0;229.0;400.0;-35.0;-49.0;118.0;118.0;-46.0;962.0;29.99;369.0;;216.0;370.0;;153.0;1331.0;;;8.0;4.07;2.16;16.0;3.35;19.0;2.11;0.23;0.23;83.0;;46.0;;46.0;207.0;181.0;40.0;48.0;78.0;;78.0;30.0;;;155.0;;121.0;7.0;;;60.0;33.0;;;9.0;42.0;;;;0.0;90.0;-1.0;311.0;629.0;;629.0;;29.0;8.0;2.0;;27.0;;-23.0;;313.0;-100.0;-11.0;;;;-38.0;;124.0;-0.0;;-6.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1698.0;510.0;30.0;62.0;13.0;-2.0;138.0;579.0;804.0;266.0;380.0;424.0;-37.0;-55.0;54.0;-38.0;-87.0;1188.0;30.04;499.0;;388.0;448.0;;111.0;1687.0;;;14.0;1.79;3.67;-49.0;0.77;18.0;-0.12;-0.01;-0.01;138.0;;12.0;;12.0;285.0;228.0;55.0;63.0;131.0;;131.0;23.0;;8.0;225.0;;138.0;32.0;;;96.0;105.0;;;9.0;114.0;;;;0.0;100.0;-6.0;331.0;804.0;;804.0;;-2.0;14.0;-4.0;;91.0;;-24.0;;404.0;-136.0;-50.0;;;;-6.0;;4.0;-1.0;-2.0;53.0;;8.0;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1923.0;524.0;56.0;96.0;36.0;16.0;166.0;705.0;962.0;301.0;499.0;463.0;3.0;-49.0;62.0;62.0;-45.0;1399.0;27.25;484.0;;506.0;428.0;;-22.0;1883.0;;;20.0;2.91;5.0;-60.0;1.87;20.0;0.83;0.1;0.1;157.0;;28.0;;28.0;338.0;270.0;68.0;68.0;148.0;;148.0;25.0;;17.0;258.0;;170.0;19.0;;;112.0;180.0;;;18.0;198.0;;;;0.0;119.0;-7.0;350.0;962.0;;962.0;;16.0;20.0;0.0;;25.0;;-35.0;;428.0;-58.0;-47.0;;;;-1.0;;11.0;;-2.0;53.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2285.0;609.0;114.0;119.0;90.0;50.0;166.0;779.0;1204.0;350.0;686.0;518.0;48.0;-164.0;122.0;-2.0;-119.0;1676.0;26.65;503.0;;579.0;489.0;;-76.0;2179.0;;;28.0;5.0;5.22;-29.0;3.94;36.0;2.19;0.31;0.3;162.0;;26.0;;26.0;388.0;286.0;79.0;87.0;295.0;;295.0;24.0;;20.0;425.0;;199.0;42.0;;;110.0;318.0;;;18.0;336.0;;;;0.0;168.0;-22.0;372.0;1204.0;;1204.0;;50.0;28.0;;;-5.0;;12.0;;424.0;-25.0;-167.0;;;;3.0;;13.0;;-147.0;256.0;-8.0;26.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2382.0;648.0;127.0;128.0;97.0;57.0;168.0;788.0;1231.0;365.0;652.0;579.0;153.0;-46.0;-78.0;32.0;123.0;1734.0;27.2;535.0;;520.0;520.0;;15.0;2269.0;;;34.0;5.32;5.36;-31.0;4.07;36.0;2.39;0.34;0.34;165.0;;58.0;;58.0;372.0;277.0;82.0;95.0;292.0;;292.0;17.0;;39.0;443.0;;217.0;4.0;;;144.0;266.0;;;21.0;287.0;;;;0.0;225.0;-37.0;391.0;1231.0;;1231.0;;57.0;34.0;-1.0;;66.0;;5.0;;490.0;-3.0;-30.0;-7.0;;;-10.0;;6.0;;;-84.0;3.0;58.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2558.0;699.0;175.0;148.0;140.0;87.0;174.0;927.0;1385.0;437.0;705.0;681.0;191.0;-55.0;0.0;135.0;145.0;1859.0;27.33;551.0;;552.0;552.0;;-1.0;2410.0;;;36.0;6.83;5.78;-8.0;5.47;52.0;3.4;0.52;0.5;169.0;;193.0;;193.0;364.0;291.0;79.0;118.0;280.0;8.0;288.0;11.0;;41.0;458.0;;263.0;4.0;;;170.0;242.0;;;26.0;268.0;;;;0.0;312.0;-49.0;416.0;1386.0;-0.0;1385.0;;87.0;36.0;0.0;;114.0;;-18.0;;604.0;-46.0;-46.0;-9.0;;;-0.0;;14.0;;;-14.0;-1.0;193.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2825.0;795.0;217.0;197.0;190.0;118.0;179.0;1028.0;1558.0;423.0;697.0;861.0;135.0;-143.0;19.0;7.0;87.0;2030.0;28.14;598.0;;599.0;599.0;;-1.0;2628.0;;;28.0;7.69;6.97;-7.0;6.73;71.0;4.18;0.68;0.66;174.0;;201.0;31.0;232.0;368.0;323.0;104.0;143.0;303.0;8.0;310.0;38.0;;40.0;531.0;;243.0;7.0;;;173.0;243.0;;;31.0;274.0;;;;0.0;430.0;-5.0;435.0;1558.0;0.0;1558.0;;118.0;28.0;0.0;;33.0;;-23.0;;637.0;-45.0;-48.0;-36.0;-55.0;;-4.0;;34.0;;;-15.0;-3.0;201.0;193.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3194.0;908.0;258.0;234.0;223.0;138.0;180.0;1157.0;1819.0;519.0;815.0;1004.0;129.0;-118.0;-48.0;-43.0;90.0;2286.0;28.43;676.0;;693.0;676.0;;-17.0;2962.0;;;37.0;8.07;7.32;-11.0;6.98;83.0;4.32;0.79;0.77;175.0;;157.0;3.0;160.0;467.0;386.0;143.0;154.0;399.0;38.0;437.0;26.0;33.0;14.0;663.0;;278.0;9.0;;31.0;201.0;247.0;;;49.0;296.0;;;;0.0;534.0;25.0;445.0;1819.0;-0.0;1819.0;;138.0;37.0;6.0;;100.0;;-29.0;;737.0;-151.0;-39.0;-118.0;-40.0;80.0;-1.0;;22.0;-62.0;;-9.0;-6.0;157.0;201.0;;;;;;;;;;;;;;;;;;;;;;;;;;
