;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2007.0;32.0;1.0;-13.0;-19.0;-18.0;-15.0;45.0;39.0;114.0;32.0;100.0;14.0;-9.0;-39.0;68.0;19.0;-45.0;31.0;2.95;20.0;;20.0;17.0;2.0;;51.0;0.0;;5.0;-40.79;-58.35;1.0;-55.67;-2.0;-47.44;-0.39;-0.39;45.0;;24.0;;24.0;2.0;1.0;12.0;64.0;2.0;3.0;5.0;;2.0;5.0;76.0;;11.0;5.0;0.0;1.0;15.0;;7.0;1.0;60.0;68.0;;;0.0;0.0;-21.0;-1.0;36.0;114.0;0.0;114.0;;-15.0;5.0;-3.0;2.0;-1.0;0.0;-1.0;-1.0;-2.0;3.0;-36.0;-0.0;;;-3.0;-22.0;10.0;;;80.0;-1.0;24.0;5.0;;0.14;5.2;-2.47;-7.25;;5.74;2.27;45.0;;;;235.0;-58.4;33.0;-112.0;13.2;-47.4;47.0;;103.0;-18.7;-15.5;-108.6;100.0;;0.137
2008.0;112.0;11.0;-10.0;-23.0;-23.0;-20.0;54.0;48.0;210.0;69.0;214.0;-5.0;-2.0;-66.0;71.0;1.0;-71.0;101.0;10.06;34.0;;34.0;28.0;6.0;;135.0;1.0;0.0;13.0;-8.89;-20.11;-0.0;-20.47;-4.0;-17.82;-0.37;-0.37;54.0;;27.0;;27.0;3.0;3.0;16.0;140.0;3.0;3.0;6.0;;7.0;8.0;162.0;;27.0;12.0;1.0;2.0;27.0;4.0;23.0;1.0;118.0;146.0;;;0.0;0.0;-42.0;-2.0;39.0;209.0;1.0;210.0;;-20.0;13.0;-5.0;1.0;-4.0;-1.0;-2.0;-1.0;1.0;13.0;-69.0;-0.0;;;3.0;-32.0;;;-0.0;103.0;-1.0;27.0;25.0;;0.15;14.13;-2.52;-8.95;0.02;8.7;-0.65;54.0;;;;764.0;-20.1;91.0;-136.0;15.3;-17.8;-138.0;28.0;-35.0;-14.0;-11.1;385.2;100.7;;0.147
2009.0;185.0;37.0;31.0;11.0;10.0;6.0;184.0;61.0;232.0;54.0;99.0;131.0;43.0;-38.0;7.0;13.0;5.0;147.0;20.29;26.0;;26.0;18.0;8.0;;173.0;0.0;1.0;21.0;17.05;6.06;-1.0;5.51;3.0;3.38;0.04;0.03;58.0;;40.0;;40.0;3.0;1.0;17.0;151.0;3.0;3.0;6.0;;5.0;9.0;171.0;;21.0;8.0;1.0;6.0;18.0;12.0;30.0;1.0;3.0;46.0;;;;0.0;-36.0;-2.0;168.0;230.0;2.0;232.0;;6.0;21.0;1.0;1.0;6.0;-0.0;2.0;1.0;-0.0;7.0;-39.0;;;;1.0;-39.0;8.0;;-0.0;38.0;-0.0;40.0;27.0;;0.15;21.89;0.74;0.55;0.04;4.6;15.48;58.0;;;;1260.0;6.1;146.0;43.0;25.9;3.4;51.0;80.0;891.0;4.3;4.4;4.8;94.8;-167.1;0.146
2010.0;264.0;85.0;68.0;39.0;42.0;33.0;234.0;215.0;462.0;87.0;139.0;321.0;71.0;-78.0;128.0;120.0;10.0;179.0;32.11;46.0;;46.0;35.0;11.0;;225.0;2.0;0.0;26.0;25.73;14.74;3.0;16.05;9.0;12.41;0.16;0.14;199.0;;161.0;15.0;176.0;4.0;3.0;32.0;216.0;6.0;9.0;15.0;;4.0;12.0;247.0;;43.0;;0.0;10.0;34.0;;43.0;2.0;7.0;52.0;;;;0.0;-5.0;-3.0;329.0;460.0;1.0;462.0;;33.0;26.0;1.0;2.0;-3.0;-1.0;-1.0;1.0;-1.0;12.0;-61.0;-1.0;-65.0;50.0;-1.0;-31.0;145.0;;-0.0;15.0;-2.0;161.0;41.0;;0.15;8.76;1.09;0.32;0.01;2.04;10.66;199.0;4.4;0.2;0.2;1738.0;14.7;172.0;216.0;20.5;12.4;840.0;;2116.0;8.9;9.1;10.2;98.9;-1489.3;0.152
2011.0;357.0;87.0;60.0;17.0;23.0;18.0;246.0;187.0;560.0;126.0;202.0;357.0;73.0;-117.0;2.0;-44.0;-52.0;271.0;24.28;70.0;;70.0;55.0;15.0;;340.0;3.0;0.0;38.0;16.78;4.76;6.0;6.35;4.0;5.1;0.07;0.07;242.0;;124.0;;124.0;6.0;5.0;51.0;333.0;7.0;11.0;18.0;;7.0;16.0;374.0;;66.0;;7.0;22.0;38.0;;64.0;2.0;10.0;76.0;;;;0.0;14.0;-6.0;350.0;559.0;2.0;560.0;;18.0;38.0;-6.0;2.0;6.0;-3.0;-2.0;1.0;14.0;14.0;-124.0;-9.0;-5.0;21.0;-1.0;;;;-1.0;3.0;-3.0;124.0;168.0;;0.16;9.3;0.47;-1.34;0.01;3.24;9.28;242.0;9.1;0.6;0.3;2250.0;4.8;237.0;115.0;17.4;5.1;380.0;;2246.0;4.3;4.0;5.1;97.3;-1.0;0.159
2012.0;518.0;124.0;93.0;35.0;38.0;28.0;247.0;160.0;695.0;185.0;295.0;396.0;115.0;-171.0;3.0;-53.0;-46.0;394.0;23.9;88.0;;85.0;68.0;17.0;4.0;482.0;2.0;0.0;56.0;17.91;6.81;2.0;7.25;9.0;5.42;0.12;0.11;243.0;;72.0;1.0;73.0;8.0;6.0;72.0;474.0;10.0;16.0;27.0;5.0;9.0;21.0;535.0;;100.0;;10.0;32.0;53.0;;16.0;4.0;90.0;110.0;;;;0.0;42.0;-6.0;360.0;691.0;4.0;695.0;;28.0;56.0;-3.0;3.0;6.0;-2.0;-1.0;1.0;15.0;24.0;-161.0;-5.0;-6.0;;-1.0;-0.0;;;;3.0;0.0;72.0;125.0;;0.16;13.25;0.72;-1.18;;4.12;10.13;243.0;4.8;0.3;;3225.0;6.8;348.0;175.0;23.2;5.4;-158.0;;2465.0;5.6;5.3;7.1;100.0;;0.161
2013.0;689.0;163.0;140.0;63.0;64.0;46.0;249.0;172.0;857.0;232.0;389.0;465.0;177.0;-190.0;5.0;-9.0;-1.0;526.0;23.68;100.0;;102.0;79.0;23.0;-2.0;626.0;1.0;0.0;77.0;20.36;9.13;1.0;9.32;17.0;6.71;0.19;0.19;245.0;;66.0;;66.0;12.0;6.0;88.0;600.0;11.0;17.0;28.0;15.0;11.0;30.0;684.0;;112.0;;12.0;49.0;71.0;;20.0;4.0;134.0;158.0;;;;0.0;89.0;-7.0;382.0;855.0;2.0;857.0;;46.0;77.0;-4.0;5.0;23.0;-5.0;1.0;1.0;19.0;30.0;-178.0;-6.0;-9.0;;2.0;-17.0;;;;23.0;-0.0;66.0;74.0;;0.17;17.0;1.14;-0.03;;4.39;11.48;245.0;4.2;0.2;;4169.0;9.1;463.0;280.0;27.0;6.7;-360.0;;2816.0;7.5;7.5;9.9;100.0;;0.165
2014.0;800.0;175.0;160.0;63.0;67.0;50.0;253.0;257.0;996.0;277.0;478.0;518.0;234.0;-171.0;3.0;66.0;83.0;625.0;21.89;112.0;;113.0;83.0;30.0;-0.0;737.0;4.0;0.0;92.0;20.0;7.84;4.0;8.37;18.0;6.19;0.2;0.19;249.0;;130.0;4.0;135.0;17.0;5.0;101.0;629.0;10.0;17.0;27.0;37.0;13.0;32.0;739.0;;103.0;;19.0;83.0;91.0;;25.0;6.0;169.0;200.0;;;;0.0;136.0;-2.0;384.0;996.0;0.0;996.0;;50.0;92.0;-7.0;5.0;63.0;-3.0;1.0;3.0;41.0;31.0;-152.0;0.0;-43.0;23.0;-2.0;-48.0;;;;52.0;-0.0;130.0;64.0;;0.16;19.94;1.23;2.06;;3.78;12.92;249.0;5.2;0.3;;4965.0;7.8;571.0;307.0;27.2;6.2;-124.0;;3217.0;6.9;6.8;9.6;100.0;;0.161
2015.0;889.0;194.0;200.0;93.0;98.0;67.0;256.0;456.0;1185.0;430.0;655.0;528.0;269.0;-239.0;36.0;66.0;169.0;695.0;21.86;102.0;;105.0;78.0;28.0;-4.0;797.0;4.0;1.0;102.0;22.48;10.41;5.0;11.01;30.0;7.56;0.27;0.26;251.0;;191.0;82.0;273.0;17.0;4.0;163.0;586.0;17.0;22.0;39.0;55.0;19.0;30.0;729.0;;90.0;50.0;26.0;109.0;181.0;;61.0;9.0;155.0;225.0;;;;0.0;155.0;9.0;364.0;1183.0;2.0;1185.0;;67.0;102.0;-8.0;8.0;67.0;-1.0;1.0;2.0;33.0;33.0;-100.0;-2.0;-91.0;9.0;-56.0;-44.0;;-17.0;;96.0;-0.0;191.0;125.0;;0.15;23.05;1.74;4.39;;2.59;13.69;251.0;3.5;0.2;;5775.0;10.4;661.0;437.0;30.9;7.6;171.0;;3430.0;9.0;8.3;12.7;100.0;9.8;0.154
2016.0;941.0;231.0;259.0;125.0;155.0;116.0;283.0;601.0;1438.0;427.0;659.0;777.0;295.0;26.0;-36.0;287.0;220.0;710.0;24.57;106.0;;102.0;81.0;21.0;4.0;816.0;10.0;2.0;100.0;27.49;13.32;30.0;16.48;41.0;12.31;0.42;0.41;275.0;;466.0;;466.0;38.0;3.0;94.0;555.0;25.0;49.0;74.0;153.0;25.0;30.0;837.0;;84.0;43.0;26.0;108.0;192.0;;60.0;14.0;158.0;232.0;;;;0.0;261.0;-1.0;517.0;1436.0;2.0;1438.0;;116.0;100.0;5.0;8.0;49.0;-7.0;1.0;9.0;3.0;17.0;-74.0;16.0;-42.0;78.0;47.0;-48.0;;;-40.0;52.0;2.0;466.0;178.0;;0.14;23.76;2.92;5.56;1.0;1.88;19.62;275.0;3.3;0.1;10.4;6539.0;13.3;695.0;805.0;26.6;12.3;1209.0;;5400.0;11.5;11.1;14.9;65.7;18.0;0.144
