;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;3326.0;-79.0;62.0;-79.0;;-139.0;220.0;;;;;;;;;;;3404.0;-2.37;;;;;;;3404.0;;;200.0;1.86;-2.37;;;;-4.17;-0.63;-0.63;220.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-139.0;200.0;;;;;;;;-62.0;-90.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2757.0;;-645.0;-709.0;;-843.0;221.0;;;;;;;;;;;;;3467.0;;;;;3467.0;3467.0;;;198.0;-23.41;-25.73;;;;-30.57;-3.82;-3.82;221.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-843.0;198.0;;;156.0;;;;156.0;489.0;-76.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2661.0;240.0;139.0;66.0;-155.0;-22.0;20.0;769.0;2747.0;612.0;2945.0;-198.0;89.0;-25.0;-93.0;-25.0;19.0;2421.0;9.02;174.0;24.0;;;;150.0;2595.0;;;153.0;5.22;2.49;-221.0;-5.81;9.0;-0.83;-2.0;-2.0;20.0;;23.0;;23.0;396.0;298.0;52.0;1287.0;3.0;40.0;43.0;243.0;;405.0;1978.0;;243.0;170.0;;;200.0;1672.0;;13.0;647.0;2332.0;;;;;-924.0;-131.0;726.0;2747.0;;2747.0;;-22.0;153.0;;;670.0;;1.0;;827.0;-712.0;-70.0;;;;-25.0;-122.0;;;;29.0;4.0;23.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;7081.0;708.0;64.0;177.0;-291.0;-320.0;20.0;2513.0;8737.0;1686.0;8895.0;-188.0;225.0;-909.0;787.0;175.0;32.0;6373.0;10.0;531.0;66.0;;;;466.0;6904.0;;;353.0;0.91;2.49;-467.0;-4.1;31.0;-4.52;-19.7;-19.7;20.0;;198.0;;198.0;1103.0;1039.0;173.0;5079.0;3.0;317.0;320.0;158.0;29.0;638.0;6225.0;;832.0;137.0;;;717.0;5773.0;;235.0;1201.0;7208.0;;;194.0;;-1244.0;61.0;1086.0;8707.0;31.0;8737.0;;-320.0;353.0;-4.0;;520.0;;88.0;;1346.0;-324.0;-193.0;-286.0;;;-623.0;-726.0;;;;1513.0;10.0;198.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;11486.0;1397.0;280.0;400.0;-250.0;-228.0;221.0;3199.0;9437.0;1853.0;9782.0;-382.0;181.0;-230.0;84.0;45.0;-46.0;10089.0;12.16;697.0;83.0;;;;614.0;10786.0;;;537.0;2.44;3.49;-650.0;-2.17;-29.0;-1.98;-1.43;-1.43;221.0;;243.0;;243.0;1540.0;1254.0;162.0;5151.0;;249.0;249.0;;35.0;803.0;6237.0;;1023.0;38.0;;;793.0;6262.0;;218.0;1449.0;7929.0;;;196.0;;-1471.0;181.0;3344.0;9400.0;37.0;9437.0;;-228.0;537.0;-65.0;;-138.0;;-159.0;;1208.0;74.0;-227.0;;;;-3.0;;5.0;;;78.0;11.0;243.0;198.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;12962.0;1752.0;490.0;814.0;62.0;-35.0;221.0;3096.0;8871.0;1888.0;7330.0;1521.0;974.0;-469.0;-603.0;-100.0;635.0;11210.0;13.52;815.0;96.0;677.0;677.0;;42.0;12024.0;;;501.0;3.78;6.28;-752.0;0.48;24.0;-0.27;-0.35;-0.35;221.0;;143.0;;143.0;1483.0;1309.0;161.0;4643.0;;308.0;308.0;176.0;94.0;554.0;5775.0;;1094.0;45.0;;;750.0;4413.0;;258.0;770.0;5442.0;;;288.0;2.0;-1506.0;-43.0;2780.0;8850.0;20.0;8871.0;;-35.0;501.0;-3.0;;55.0;;-97.0;;1264.0;456.0;-339.0;-125.0;;;-6.0;;1492.0;;-11.0;-2084.0;-2.0;143.0;243.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;10624.0;1540.0;647.0;737.0;348.0;230.0;233.0;3337.0;8445.0;2073.0;6679.0;1737.0;893.0;174.0;-961.0;120.0;343.0;9084.0;14.49;783.0;115.0;795.0;795.0;;-128.0;9867.0;;;466.0;6.09;6.93;-389.0;3.27;-49.0;2.16;1.04;0.99;221.0;;263.0;;263.0;1257.0;1520.0;296.0;4059.0;90.0;188.0;278.0;201.0;190.0;380.0;5108.0;;1018.0;188.0;;;867.0;3457.0;;193.0;956.0;4606.0;;;288.0;2.0;-1278.0;-74.0;2798.0;8416.0;29.0;8445.0;;230.0;466.0;-82.0;;-144.0;;-59.0;;1120.0;424.0;-550.0;718.0;;;6.0;;;;-14.0;-947.0;15.0;263.0;143.0;;;48.16;1.04;1.56;0.07;2.49;7.87;221.0;17.8;1.0;0.4;10624.0;6.9;466.0;230.0;-14.1;2.2;1264.0;3457.0;1737.0;3.3;2.1;13.2;93.7;4.2
2007.0;9651.0;1540.0;229.0;536.0;30.0;-172.0;233.0;3095.0;8166.0;1975.0;6313.0;1827.0;-52.0;201.0;-270.0;-109.0;-717.0;8111.0;15.95;822.0;145.0;871.0;871.0;;-194.0;8933.0;;;413.0;2.37;5.56;-506.0;0.31;-12.0;-1.78;-0.78;-0.78;221.0;;154.0;;154.0;1263.0;1452.0;227.0;3763.0;93.0;173.0;266.0;228.0;350.0;465.0;5070.0;;1018.0;69.0;;;888.0;3505.0;;154.0;678.0;4337.0;;;288.0;2.0;-1540.0;245.0;2832.0;8139.0;27.0;8166.0;;-172.0;413.0;-203.0;;515.0;;-74.0;;1635.0;-605.0;-665.0;863.0;-13.0;14.0;1.0;;;;-103.0;-167.0;12.0;154.0;263.0;;;43.69;-0.78;-3.24;0.47;3.01;8.27;221.0;-29.3;-1.7;2.0;9651.0;5.6;413.0;-172.0;-40.1;-1.8;1120.0;3505.0;1827.0;-4.2;-2.3;-9.4;159.7;
2008.0;10215.0;1264.0;1197.0;165.0;669.0;609.0;234.0;3240.0;8058.0;1605.0;6426.0;1610.0;767.0;-489.0;230.0;503.0;349.0;8951.0;12.37;1063.0;154.0;882.0;882.0;;27.0;10014.0;;;398.0;11.72;1.62;504.0;6.55;190.0;5.96;2.62;2.6;232.0;;657.0;;657.0;913.0;1500.0;170.0;3649.0;92.0;153.0;245.0;267.0;284.0;373.0;4818.0;;747.0;205.0;;;653.0;3683.0;;117.0;1021.0;4821.0;;;;2.0;-1031.0;-489.0;3128.0;8036.0;22.0;8058.0;;609.0;398.0;202.0;20.0;694.0;;-119.0;-186.0;2329.0;-1156.0;-418.0;-62.0;;4.0;-431.0;-66.0;;-4.0;-97.0;397.0;-5.0;657.0;154.0;;;44.04;2.63;1.5;0.42;1.8;6.94;232.0;6.2;0.3;2.6;10215.0;1.6;398.0;609.0;28.4;6.0;1635.0;3683.0;1610.0;8.9;9.9;37.8;84.1;28.9
2009.0;7763.0;1068.0;926.0;-71.0;485.0;114.0;238.0;4140.0;8626.0;1811.0;6761.0;1844.0;1104.0;-205.0;184.0;1088.0;915.0;6695.0;13.76;987.0;145.0;860.0;860.0;;-18.0;7682.0;;;442.0;11.93;-0.91;556.0;6.25;370.0;1.47;0.49;0.48;234.0;;1745.0;;1745.0;1019.0;1184.0;192.0;3516.0;94.0;125.0;219.0;250.0;138.0;363.0;4486.0;;755.0;431.0;;;625.0;3786.0;;289.0;875.0;4950.0;;;;2.0;-1015.0;-287.0;3144.0;8605.0;21.0;8626.0;;114.0;442.0;231.0;20.0;-374.0;;351.0;35.0;1955.0;671.0;-189.0;-19.0;;;-186.0;-661.0;;-2.0;-96.0;943.0;5.0;1745.0;657.0;;;33.19;0.49;3.91;0.41;0.81;7.88;234.0;12.7;0.2;6.6;7763.0;-0.9;442.0;114.0;76.3;1.5;2329.0;3786.0;1844.0;1.7;5.6;6.2;15.8;10.7
