;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;42.0;;59.0;;6.0;7.0;19.0;;981.0;;905.0;76.0;14.0;-78.0;69.0;69.0;13.0;;;;;16.0;16.0;;;;81.0;50.0;3.0;141.49;;;15.11;-0.0;15.83;0.35;0.35;19.0;;57.0;;57.0;11.0;;;26.0;;;;;;;;981.0;;;;;;7.0;;;;7.0;912.0;;;;10.0;;65.0;981.0;;981.0;;7.0;3.0;-1.0;;2.0;;;;;3.0;-2.0;;-206.0;163.0;-35.0;-8.0;;;-3.0;80.0;;;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;53.0;;76.0;;10.0;8.0;19.0;;1405.0;;1325.0;80.0;12.0;29.0;-24.0;-24.0;10.0;;;;;21.0;21.0;;;;102.0;63.0;3.0;144.0;;;18.1;2.0;15.24;0.42;0.42;19.0;;76.0;;76.0;15.0;;;34.0;;;;;;;;1405.0;;;;;;25.0;;;;25.0;1350.0;;;;15.0;;65.0;1405.0;;1405.0;;8.0;3.0;-1.0;;-3.0;;;;;5.0;-2.0;;-386.0;363.0;52.0;-1.0;;;-3.0;-21.0;;;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;76.0;;89.0;;16.0;12.0;19.0;;1555.0;;1441.0;114.0;22.0;-111.0;100.0;100.0;18.0;;;;;26.0;26.0;;;;125.0;69.0;4.0;116.97;;;21.58;4.0;16.32;0.64;0.64;19.0;;81.0;;81.0;17.0;;;36.0;;;;;;;;1555.0;;;;;;6.0;;;;6.0;1447.0;;;;22.0;;92.0;1555.0;;1555.0;;12.0;4.0;0.0;;-3.0;;;;;8.0;-4.0;;-483.0;389.0;-17.0;-19.0;;;-4.0;122.0;;;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;94.0;;82.0;;26.0;19.0;24.0;;1735.0;;1607.0;128.0;37.0;-177.0;159.0;159.0;34.0;;;;;29.0;29.0;;;;127.0;52.0;4.0;87.53;;;27.61;7.0;20.47;0.79;0.79;24.0;;104.0;;104.0;15.0;;;35.0;;;;;;;;1735.0;;;;;;5.0;;;;5.0;1612.0;;;;23.0;;105.0;1735.0;;1735.0;;19.0;4.0;-0.0;;-0.0;;;;;14.0;-3.0;;-523.0;385.0;-39.0;;;;-5.0;164.0;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;98.0;;81.0;;32.0;22.0;25.0;;1821.0;;1677.0;144.0;26.0;-112.0;77.0;77.0;22.0;;;;;31.0;31.0;;;;123.0;45.0;4.0;82.8;;;32.55;10.0;22.62;0.89;0.89;25.0;;92.0;;92.0;14.0;;;35.0;;;;;;;;1821.0;;;;;;4.0;;;;4.0;1681.0;;;;25.0;;119.0;1821.0;;1821.0;;22.0;4.0;0.0;;3.0;;;;;-3.0;-4.0;;-256.0;245.0;-101.0;;;;-7.0;84.0;;;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;102.0;;86.0;;32.0;22.0;26.0;;1941.0;1842.0;1771.0;170.0;27.0;-23.0;17.0;17.0;23.0;;;;;35.0;35.0;;;;130.0;48.0;6.0;84.83;;;31.23;10.0;21.48;0.83;0.83;26.0;;116.0;;116.0;17.0;;;35.0;;;;;;;;1941.0;;;;;1842.0;3.0;;;;3.0;;;;;;;170.0;1941.0;;1941.0;;22.0;6.0;-1.0;;-2.0;;;;;1.0;-4.0;;-345.0;334.0;-12.0;-1.0;;;-7.0;25.0;;;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;124.0;;108.0;;40.0;27.0;31.0;;2234.0;2008.0;2010.0;224.0;39.0;-92.0;57.0;57.0;36.0;;;;;41.0;41.0;;;;162.0;61.0;7.0;86.9;;;32.23;13.0;21.7;0.88;0.88;31.0;;126.0;;126.0;19.0;;;39.0;;;;;;;;2234.0;;;;;2008.0;2.0;;;;2.0;4.0;;;;64.0;;160.0;2234.0;;2234.0;;27.0;7.0;-1.0;;1.0;;;;;5.0;-4.0;;-460.0;403.0;-34.0;-1.0;;;-9.0;66.0;;;121.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;133.0;;119.0;;47.0;32.0;31.0;;2290.0;2027.0;2028.0;262.0;43.0;12.0;-59.0;-59.0;38.0;;;;;42.0;42.0;;;;172.0;65.0;7.0;89.04;;;35.14;15.0;23.72;1.03;1.03;31.0;;122.0;;122.0;20.0;;;40.0;;;;;;;;2290.0;;;;;2027.0;1.0;;;-0.0;1.0;;;;;32.0;;230.0;2290.0;;2290.0;;32.0;7.0;-1.0;;-0.0;;;;;6.0;-5.0;;-420.0;545.0;-113.0;-1.0;;;-9.0;-49.0;;;124.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;142.0;;127.0;;48.0;31.0;33.0;;2538.0;2248.0;2249.0;289.0;44.0;-197.0;146.0;146.0;39.0;;;;;47.0;47.0;;;;184.0;72.0;7.0;89.16;;;33.78;17.0;21.53;0.94;0.94;33.0;;115.0;;115.0;21.0;;;43.0;;;;;;;;2538.0;;;;;2248.0;1.0;;;-0.0;1.0;2.0;;;;51.0;;237.0;2538.0;;2538.0;;31.0;7.0;-0.0;;-0.0;;;;;7.0;-5.0;;-475.0;293.0;-15.0;-1.0;;;-11.0;158.0;;;120.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;144.0;;135.0;;44.0;31.0;32.0;2742.0;2815.0;2528.0;2528.0;287.0;33.0;-232.0;247.0;247.0;21.0;;;;;51.0;51.0;;;;194.0;82.0;8.0;93.48;;;30.65;14.0;21.5;0.97;0.96;32.0;;161.0;;161.0;24.0;;2556.0;47.0;;;26.0;;;;73.0;;;;;;2528.0;;;;;;;;;;72.0;;215.0;2815.0;;2815.0;;31.0;8.0;-0.0;;-2.0;;;;;-3.0;-13.0;;-475.0;344.0;-101.0;-1.0;;;-11.0;259.0;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;
