;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (PEN/USD)
2006.0;;;;;;;84.0;;;;;;;;;;;;;;;;;;;;;;;53.63;28.03;;28.03;;19.73;;;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.27;2.22;5.17;0.58;0.56;9.02;84.0;;;;952.0;28.0;54.0;188.0;25.5;19.7;;268.0;762.0;3.8;5.0;24.6;73.9;12.0;
2007.0;;;;;;;89.0;;;;;;;;;;;;;;;;;;;;;;;59.64;31.4;;31.4;;22.36;;;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.04;3.14;4.01;;0.99;14.73;89.0;;;;1243.0;31.4;54.0;278.0;26.9;22.4;;187.0;1304.0;4.2;5.8;21.3;100.0;-75.3;
2008.0;481.0;;297.0;115.0;115.0;80.0;92.0;;5307.0;;4856.0;449.0;161.0;-31.0;182.0;311.0;113.0;;;291.0;;;;;291.0;;518.0;168.0;19.0;61.72;23.92;;23.92;30.0;16.56;0.86;0.86;92.0;;840.0;;840.0;181.0;;;166.0;;;;1211.0;;;;5307.0;174.0;;;;;1066.0;;;;1066.0;5922.0;;;255.0;130.0;-136.0;200.0;5304.0;2.0;5307.0;;80.0;19.0;;;1.0;;;;;60.0;-47.0;;;;15.0;-1030.0;;;-35.0;1247.0;;838.0;526.0;;0.32;16.29;2.7;3.84;1.18;1.61;15.22;92.0;;;;1506.0;23.9;60.0;249.0;26.2;16.6;;3341.0;1407.0;3.9;5.2;17.7;56.1;30.9;0.319
2009.0;680.0;;407.0;230.0;230.0;175.0;92.0;;6331.0;;5705.0;622.0;351.0;-35.0;-120.0;196.0;314.0;;;327.0;;;;;327.0;;687.0;152.0;26.0;59.8;33.81;;33.81;54.0;25.69;1.9;1.9;92.0;;1105.0;;1105.0;192.0;;;185.0;;;;1466.0;;;;6331.0;204.0;;;;;507.0;;;;507.0;6212.0;;;277.0;298.0;-167.0;214.0;6327.0;3.0;6331.0;;175.0;26.0;;;34.0;;;;;116.0;-37.0;;;;2.0;-355.0;;;-43.0;278.0;;1105.0;909.0;;0.35;21.38;5.49;9.87;1.35;1.16;19.56;92.0;;;;1965.0;33.8;76.0;505.0;23.5;25.7;;1465.0;1798.0;4.6;6.0;28.1;75.3;13.7;0.346
2010.0;750.0;;450.0;229.0;249.0;178.0;91.0;;7794.0;;7043.0;747.0;408.0;-28.0;65.0;446.0;377.0;;;381.0;;338.0;338.0;;43.0;;769.0;160.0;42.0;59.96;30.52;20.0;33.16;70.0;23.71;1.95;1.95;91.0;;1601.0;;1601.0;252.0;;;172.0;;;;1298.0;;;;7794.0;188.0;;;;;1906.0;;;;1906.0;8949.0;;;285.0;393.0;-190.0;260.0;7790.0;4.0;7794.0;;178.0;42.0;;;99.0;;;;;90.0;-31.0;;;;-3.0;-879.0;;;-91.0;1035.0;;1583.0;1138.0;;0.36;23.08;5.47;11.61;2.8;0.96;23.0;91.0;;;;2105.0;30.5;118.0;499.0;28.0;23.7;;5352.0;2097.0;3.8;5.2;23.8;48.8;24.2;0.356
2011.0;865.0;;589.0;;343.0;259.0;91.0;;8422.0;;7542.0;875.0;525.0;-26.0;-1259.0;-759.0;499.0;;;416.0;;377.0;377.0;;39.0;;912.0;208.0;38.0;68.0;;;39.66;83.0;29.93;2.86;2.86;91.0;;902.0;;902.0;296.0;;;165.0;;;;1758.0;;;;8422.0;240.0;;;;;1612.0;;;;1612.0;9154.0;;;296.0;559.0;-222.0;241.0;8417.0;5.0;8422.0;;259.0;38.0;;;121.0;;;;;107.0;-26.0;;;;-14.0;-1254.0;;;-108.0;104.0;;889.0;1648.0;;0.37;25.76;7.71;14.86;3.22;0.78;26.04;91.0;;;;2334.0;;104.0;698.0;24.1;29.9;;4348.0;2359.0;5.0;6.5;29.6;58.2;21.7;0.371
2012.0;1200.0;;605.0;324.0;356.0;276.0;90.0;8504.0;10412.0;585.0;9274.0;1131.0;562.0;-45.0;625.0;1142.0;515.0;;;688.0;;483.0;483.0;;204.0;;869.0;211.0;40.0;50.43;26.97;32.0;29.67;78.0;23.01;3.06;3.06;90.0;;2156.0;1189.0;3345.0;2159.0;;3000.0;174.0;;;44.0;1690.0;;;1908.0;12320.0;189.0;396.0;7.0;;;1890.0;;1.0;;1890.0;10580.0;;;313.0;712.0;82.0;25.0;10405.0;7.0;10412.0;;276.0;40.0;;;138.0;-3.0;;6.0;;108.0;-47.0;;;;-14.0;-62.0;;;-146.0;833.0;;2081.0;938.0;;0.39;33.92;7.81;14.55;4.13;1.33;31.97;90.0;;;;3067.0;27.0;101.0;706.0;22.0;23.0;20232.0;4828.0;2890.0;4.5;5.4;24.4;47.1;28.4;0.391
2013.0;1175.0;;596.0;338.0;348.0;259.0;91.0;9878.0;11876.0;695.0;10794.0;1075.0;530.0;-342.0;334.0;522.0;494.0;;;700.0;;476.0;476.0;;224.0;;932.0;211.0;38.0;50.73;28.73;11.0;29.63;87.0;22.07;2.87;2.87;91.0;;2496.0;920.0;3416.0;2239.0;;4224.0;159.0;;;40.0;1799.0;;;1998.0;13873.0;241.0;454.0;;;;1662.0;;0.0;;1662.0;11761.0;;;286.0;777.0;-4.0;17.0;11869.0;7.0;11876.0;;259.0;38.0;;;138.0;-12.0;;;;94.0;-36.0;;-327.0;18.0;-7.0;-5.0;;;-140.0;479.0;;2422.0;1901.0;;0.36;36.32;8.01;15.26;4.33;1.1;33.21;91.0;;;;3288.0;28.7;107.0;726.0;25.1;22.1;25687.0;4649.0;3007.0;3.7;4.7;24.1;46.0;28.4;0.357
2014.0;1312.0;;704.0;421.0;429.0;316.0;109.0;10400.0;13457.0;777.0;12023.0;1396.0;120.0;-841.0;134.0;-586.0;79.0;;;742.0;;510.0;510.0;;231.0;;943.0;254.0;35.0;53.7;32.09;8.0;32.73;100.0;24.08;2.89;2.89;109.0;;1919.0;2767.0;4686.0;2425.0;;3288.0;192.0;;49.0;49.0;2817.0;;;3058.0;16515.0;318.0;459.0;;;;1858.0;4.0;1.0;;1863.0;13109.0;;;321.0;1034.0;47.0;-6.0;13419.0;38.0;13457.0;;316.0;35.0;-8.0;;-331.0;-15.0;;18.0;564.0;107.0;-41.0;;-870.0;100.0;-47.0;-86.0;;;-148.0;369.0;;1816.0;2402.0;;0.33;35.98;8.66;2.17;4.05;1.12;38.3;109.0;;;;3935.0;32.1;105.0;948.0;23.2;24.1;28870.0;5575.0;4190.0;4.1;5.0;22.6;53.2;187.2;0.333
2015.0;1351.0;;756.0;465.0;472.0;360.0;109.0;11840.0;14610.0;822.0;13307.0;1270.0;563.0;-249.0;660.0;974.0;514.0;;;690.0;;510.0;510.0;;180.0;;977.0;260.0;32.0;55.95;34.43;7.0;34.97;103.0;26.65;3.3;3.3;109.0;;2637.0;2357.0;4995.0;2203.0;;4642.0;169.0;;58.0;58.0;2543.0;;;2770.0;17380.0;346.0;476.0;17.0;;;1848.0;17.0;1.0;;1866.0;14351.0;;;282.0;528.0;476.0;-16.0;14577.0;34.0;14610.0;;360.0;32.0;9.0;;-45.0;-17.0;;21.0;1486.0;207.0;-49.0;;-190.0;;-40.0;-74.0;;;-165.0;899.0;;2566.0;1592.0;;0.29;42.38;11.29;16.14;5.17;1.53;39.85;109.0;;;;4622.0;34.4;111.0;1232.0;21.8;26.6;37709.0;6324.0;4346.0;4.1;5.0;28.3;54.2;32.0;0.292
