;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;0.0;;0.0;0.0;0.0;0.0;0.0;66.0;66.0;3.0;16.0;50.0;-0.0;-66.0;66.0;;-0.0;;;;;0.0;;;;0.0;;;;65.01;65.01;;65.01;0.0;43.64;0.3;0.3;0.0;;0.0;66.0;66.0;;;0.0;;;;;;0.0;;0.0;;;1.0;;;2.0;;;;13.0;13.0;;;;0.0;0.0;;50.0;66.0;;66.0;;0.0;;-0.0;;0.0;;;;63.0;-0.0;;;-131.0;66.0;-0.0;;69.0;;;-3.0;;0.0;;;;0.66;0.29;-0.3;;;157.23;0.0;191.6;10.6;;0.0;65.0;;0.0;32.9;43.6;63.0;;50.0;0.1;0.2;0.2;100.0;72340.7
2007.0;;;-1.0;-1.0;3.0;2.0;1.0;70.0;71.0;5.0;18.0;53.0;-2.0;-0.0;3.0;1.0;-2.0;;;1.0;;1.0;;;;1.0;;;0.0;-inf;-inf;4.0;inf;1.0;inf;1.1;1.1;1.0;;1.0;66.0;67.0;3.0;;0.0;;;;;;0.0;0.0;0.0;;;3.0;;;2.0;;;;13.0;13.0;;;;0.0;1.0;;52.0;71.0;;71.0;;2.0;0.0;-0.0;;2.0;;;;65.0;-5.0;;;-723.0;725.0;-3.0;;;;;3.0;;1.0;0.0;;;;1.09;-1.12;;;37.87;1.0;53.3;3.1;;;-inf;0.0;2.0;24.5;inf;65.0;;53.0;-0.9;-1.1;2.9;100.0;
2008.0;2.0;0.0;-1.0;0.0;-5.0;-5.0;1.0;33.0;68.0;17.0;27.0;27.0;-9.0;57.0;-41.0;7.0;-9.0;2.0;18.51;0.0;;0.0;;;0.0;2.0;;;4.0;-35.56;0.23;-5.0;-242.92;0.0;-238.35;-6.1;-6.1;1.0;;8.0;3.0;11.0;14.0;2.0;6.0;7.0;17.0;;17.0;2.0;1.0;7.0;35.0;;2.0;9.0;;;7.0;1.0;;1.0;8.0;9.0;;;;0.0;-4.0;-0.0;31.0;54.0;14.0;68.0;;-5.0;4.0;-1.0;;-50.0;;0.0;;16.0;43.0;-0.0;;-586.0;654.0;-10.0;;;-33.0;;-8.0;-0.0;8.0;1.0;;;2.55;-6.09;-10.02;;0.02;31.89;1.0;-7.1;-0.3;;2.0;0.2;4.0;-5.0;-1.4;-238.3;16.0;1.0;27.0;-14.2;-9.5;-19.1;100.0;
2009.0;35.0;8.0;4.0;2.0;2.0;-1.0;1.0;19.0;52.0;9.0;14.0;24.0;-8.0;3.0;-0.0;-6.0;-11.0;27.0;23.09;6.0;;5.0;;;1.0;33.0;1.0;2.0;1.0;10.3;6.53;-1.0;4.9;2.0;-1.48;-0.5;-0.5;1.0;;2.0;;2.0;12.0;2.0;3.0;7.0;17.0;;17.0;0.0;1.0;7.0;32.0;;0.0;5.0;0.0;;4.0;1.0;;1.0;2.0;5.0;;;;0.0;-5.0;-5.0;33.0;38.0;14.0;52.0;;-1.0;1.0;0.0;0.0;-5.0;-3.0;-1.0;-1.0;10.0;-4.0;-2.0;0.0;;4.0;1.0;-4.0;0.0;;;4.0;-1.0;2.0;8.0;;;35.02;-0.52;-10.51;;2.47;23.38;1.0;-22.6;-0.3;;35.0;6.5;1.0;-1.0;88.7;-1.5;10.0;1.0;24.0;1.1;7.4;-2.2;100.0;
2010.0;18.0;2.0;-6.0;-4.0;-8.0;-5.0;1.0;11.0;35.0;8.0;9.0;25.0;-3.0;-2.0;4.0;-1.0;-4.0;16.0;12.44;6.0;;6.0;;;1.0;22.0;0.0;1.0;0.0;-35.15;-22.3;-4.0;-44.24;-3.0;-26.76;-4.2;-4.2;1.0;;1.0;;1.0;8.0;0.0;2.0;2.0;6.0;;6.0;9.0;4.0;3.0;24.0;;2.0;6.0;;;1.0;;;;1.0;1.0;;;;0.0;-9.0;-3.0;37.0;34.0;1.0;35.0;;-5.0;0.0;-3.0;0.0;-7.0;-5.0;2.0;2.0;3.0;12.0;-1.0;;-1.0;;-0.0;;2.0;;;2.0;-0.0;1.0;2.0;;;15.51;-4.15;-3.6;;1.04;21.47;1.0;-2.7;-0.1;;18.0;-22.3;0.0;-5.0;39.3;-26.8;3.0;;25.0;-15.7;-19.6;-19.3;100.0;
2011.0;4.0;0.0;-14.0;-8.0;-17.0;-20.0;2.0;7.0;18.0;7.0;11.0;7.0;-3.0;-0.0;3.0;1.0;-3.0;4.0;3.91;0.0;;7.0;;;-7.0;4.0;0.0;1.0;1.0;-342.67;-194.13;-9.0;-415.07;4.0;-496.84;-13.4;-13.4;2.0;;2.0;;2.0;3.0;0.0;2.0;1.0;0.0;;0.0;7.0;;3.0;12.0;;1.0;5.0;;;0.0;;;;4.0;4.0;;;;0.0;-30.0;-3.0;39.0;18.0;1.0;18.0;;-20.0;1.0;4.0;;-3.0;-0.0;0.0;-1.0;-0.0;16.0;-0.0;;-0.0;;0.0;-0.0;4.0;;;-0.0;0.0;2.0;1.0;;;2.7;-13.4;-1.93;;0.19;4.41;2.0;-0.3;-0.0;;4.0;-194.1;1.0;-20.0;-24.2;-496.8;-0.0;;7.0;-167.2;-84.1;-303.6;100.0;
2012.0;4.0;-1.0;-6.0;-8.0;-8.0;-8.0;3.0;5.0;25.0;4.0;9.0;15.0;-5.0;5.0;-1.0;-1.0;-5.0;5.0;-14.73;6.0;;5.0;;;1.0;11.0;0.0;1.0;1.0;-133.32;-178.87;-0.0;-184.47;0.0;-184.59;-2.7;-2.7;3.0;;1.0;;1.0;2.0;0.0;3.0;8.0;1.0;4.0;5.0;6.0;-0.0;1.0;20.0;;0.0;2.0;;;2.0;;;1.0;4.0;5.0;;;;0.0;-37.0;-3.0;55.0;24.0;1.0;25.0;;-8.0;1.0;0.0;-0.0;1.0;1.0;0.0;-1.0;1.0;1.0;-0.0;3.0;;0.0;2.0;-1.0;;;;;-0.0;1.0;2.0;;;1.44;-2.66;-1.73;;0.0;5.1;3.0;-1.0;-0.1;;4.0;-178.9;1.0;-8.0;-2.2;-184.6;1.0;;15.0;-34.1;-27.2;-52.2;100.0;
2013.0;8.0;2.0;-2.0;-2.0;-3.0;-2.0;7.0;4.0;19.0;2.0;4.0;14.0;0.0;-0.0;0.0;1.0;-0.0;6.0;19.09;4.0;;3.0;;;1.0;10.0;0.0;0.0;1.0;-18.98;-30.93;-0.0;-32.78;-0.0;-28.05;-0.32;-0.32;7.0;;1.0;;1.0;1.0;0.0;2.0;8.0;;;1.0;5.0;0.0;1.0;15.0;;1.0;0.0;;;1.0;2.0;;;1.0;2.0;;;;0.0;-40.0;-2.0;56.0;19.0;1.0;19.0;;-2.0;1.0;-0.0;1.0;2.0;0.0;-0.0;0.0;2.0;-0.0;-0.0;;;0.0;-0.0;;;;;0.0;-0.0;1.0;1.0;;;1.15;-0.32;-0.02;;0.05;2.07;7.0;-5.0;-0.3;;8.0;-30.9;1.0;-2.0;13.9;-28.0;2.0;2.0;14.0;-11.2;-11.7;-15.6;100.0;
2014.0;2.0;0.0;-2.0;-3.0;-3.0;-3.0;8.0;4.0;18.0;1.0;4.0;14.0;-2.0;0.0;2.0;-0.0;-2.0;2.0;16.79;3.0;;2.0;;;1.0;5.0;0.0;0.0;1.0;-88.81;-111.2;-1.0;-133.85;;-132.97;-0.37;-0.37;8.0;;1.0;;1.0;1.0;1.0;2.0;8.0;;0.0;0.0;5.0;0.0;0.0;14.0;;0.0;0.0;;;0.0;2.0;;;1.0;3.0;;;;0.0;-43.0;-2.0;58.0;17.0;1.0;18.0;;-3.0;1.0;;0.0;0.0;0.0;-0.0;-0.0;3.0;0.0;-0.0;;;;0.0;-0.0;2.0;;;;-0.0;1.0;1.0;;;0.28;-0.37;-0.21;;0.0;1.66;8.0;-2.7;-0.1;;2.0;-111.2;1.0;-3.0;;-133.0;3.0;2.0;14.0;-16.9;-15.9;-22.2;100.0;
2015.0;8.0;1.0;-4.0;-4.0;-5.0;-5.0;15.0;4.0;20.0;2.0;6.0;14.0;-3.0;-1.0;3.0;-0.0;-3.0;7.0;7.55;5.0;;4.0;;;1.0;12.0;0.0;0.0;1.0;-46.11;-56.54;-0.0;-60.91;0.0;-60.08;-0.31;-0.31;15.0;;1.0;;1.0;1.0;1.0;2.0;8.0;1.0;0.0;1.0;6.0;0.0;0.0;16.0;;0.0;1.0;;;1.0;2.0;;;1.0;3.0;;;;0.0;-47.0;-2.0;63.0;20.0;1.0;20.0;;-5.0;1.0;0.0;1.0;-1.0;0.0;1.0;-0.0;2.0;1.0;-0.0;0.0;;;-1.0;-0.0;3.0;;;0.0;-0.0;1.0;1.0;;;0.52;-0.31;-0.18;;0.01;0.96;15.0;-1.2;-0.1;;8.0;-56.5;1.0;-5.0;-0.1;-60.1;2.0;2.0;14.0;-24.9;-21.8;-32.4;100.0;
