;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;0.0;1.0;-4.0;-6.0;;-6.0;3.0;;;;;;-3.0;-12.0;28.0;13.0;-3.0;-0.0;120.33;6.0;4.0;;;;2.0;6.0;;;1.0;-941.61;-1248.54;;;;-1164.0;-1.96;-1.96;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.0;1.0;;;1.0;;;;;0.0;-0.0;;-16.0;4.0;;;28.0;;;;;21.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1.0;2.0;-11.0;-23.0;;-19.0;27.0;129.0;133.0;3.0;9.0;124.0;-14.0;6.0;103.0;95.0;-18.0;-0.0;130.41;25.0;14.0;4.0;4.0;;7.0;25.0;;;7.0;-871.68;-1774.9;;;;-1421.31;-0.69;-0.69;27.0;;116.0;1.0;117.0;;;12.0;3.0;;0.0;0.0;;;0.0;4.0;;1.0;0.0;;;2.0;1.0;;;5.0;6.0;;;;0.0;-25.0;-0.0;149.0;133.0;;133.0;;-19.0;7.0;;;126.0;;;;126.0;-129.0;-3.0;;-10.0;20.0;;;102.0;;;1.0;;116.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3.0;2.0;-17.0;-30.0;-25.0;-25.0;59.0;96.0;123.0;5.0;16.0;107.0;-11.0;-102.0;1.0;-112.0;-26.0;1.0;76.0;32.0;21.0;12.0;12.0;;-0.0;33.0;;;8.0;-681.48;-1212.76;6.0;-992.0;;-992.0;-0.41;-0.41;59.0;;4.0;86.0;91.0;1.0;1.0;4.0;26.0;;;;;;0.0;26.0;;2.0;;;10.0;-7.0;1.0;;;10.0;11.0;;;;0.0;-50.0;-15.0;171.0;123.0;;123.0;;-25.0;8.0;;;-35.0;;-1.0;;92.0;41.0;-15.0;;-167.0;80.0;;;1.0;;;-0.0;;4.0;116.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;10.0;7.0;-31.0;-42.0;-40.0;-40.0;62.0;73.0;122.0;14.0;50.0;72.0;-26.0;-3.0;26.0;-2.0;-52.0;4.0;65.0;48.0;27.0;14.0;14.0;;8.0;52.0;;;10.0;-308.0;-418.55;2.0;-403.0;;-403.0;-0.66;-0.66;62.0;;2.0;52.0;54.0;4.0;2.0;13.0;48.0;;1.0;1.0;;;;49.0;;2.0;1.0;;10.0;2.0;26.0;;;10.0;36.0;;;;0.0;-90.0;-3.0;164.0;122.0;-0.0;122.0;;-40.0;10.0;;;-33.0;;-1.0;;59.0;38.0;-27.0;;-117.0;142.0;-1.0;;1.0;;;25.0;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;28.0;18.0;-20.0;-27.0;-27.0;-27.0;64.0;40.0;99.0;8.0;52.0;47.0;-18.0;28.0;0.0;10.0;-20.0;10.0;64.29;45.0;23.0;21.0;21.0;;1.0;55.0;;;7.0;-70.25;-95.08;-0.0;-96.79;;-96.79;-0.42;-0.42;64.0;;13.0;20.0;33.0;5.0;2.0;1.0;46.0;;1.0;1.0;12.0;;;59.0;;2.0;1.0;;;6.0;25.0;;;19.0;44.0;;;;0.0;-118.0;-1.0;165.0;99.0;0.0;99.0;;-27.0;7.0;;;-26.0;;0.0;;32.0;28.0;-2.0;;-2.0;32.0;-0.0;;1.0;;;-1.0;;12.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;51.0;37.0;-1.0;-6.0;-6.0;-6.0;72.0;84.0;95.0;19.0;23.0;72.0;-20.0;57.0;5.0;42.0;-23.0;13.0;73.72;43.0;22.0;26.0;26.0;;-4.0;56.0;;;5.0;-2.18;-10.9;-1.0;-12.06;0.0;-12.25;-0.09;-0.09;72.0;;55.0;12.0;67.0;12.0;4.0;1.0;9.0;;3.0;3.0;;;;11.0;;3.0;;;;16.0;;;;4.0;4.0;;;;0.0;-124.0;-0.0;196.0;95.0;0.0;95.0;;-6.0;5.0;;;33.0;;-2.0;;65.0;-51.0;-3.0;;-7.0;26.0;41.0;;31.0;-0.0;;-26.0;0.0;55.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;185.0;125.0;48.0;38.0;43.0;40.0;98.0;194.0;301.0;34.0;53.0;247.0;39.0;-161.0;109.0;-12.0;24.0;59.0;67.85;87.0;33.0;54.0;54.0;;;147.0;;;6.0;26.18;20.48;5.0;23.09;3.0;21.65;0.45;0.41;89.0;;38.0;92.0;131.0;40.0;20.0;3.0;26.0;2.0;11.0;13.0;68.0;;-0.0;107.0;;10.0;0.0;;3.0;20.0;;;7.0;12.0;19.0;;;;0.0;-105.0;11.0;340.0;301.0;;301.0;;40.0;6.0;-1.0;;102.0;;-10.0;;160.0;-108.0;-15.0;-50.0;-239.0;144.0;;;108.0;;;1.0;0.0;38.0;51.0;;;2.07;0.45;0.27;;0.17;2.78;89.0;34.4;1.9;;185.0;20.5;6.0;40.0;6.2;21.7;160.0;;247.0;15.0;14.2;16.2;100.0;-453.9
2007.0;367.0;232.0;-288.0;-301.0;-304.0;-287.0;108.0;563.0;988.0;166.0;576.0;412.0;56.0;-68.0;148.0;137.0;32.0;135.0;63.22;533.0;74.0;101.0;101.0;;358.0;668.0;;;16.0;-78.43;-82.12;-2.0;-82.74;-16.0;-78.33;-2.57;-2.57;108.0;;175.0;211.0;386.0;83.0;54.0;40.0;46.0;229.0;58.0;287.0;;;92.0;425.0;;24.0;0.0;;;141.0;400.0;;80.0;-70.0;410.0;;;;1.0;-383.0;1.0;792.0;988.0;-0.0;988.0;;-287.0;16.0;-11.0;;237.0;;-27.0;;397.0;102.0;-24.0;72.0;-598.0;483.0;0.0;;129.0;-252.0;;271.0;-0.0;175.0;38.0;;;3.39;-2.65;0.29;;0.23;3.8;108.0;-8.2;-0.5;;367.0;-82.1;16.0;-287.0;5.3;-78.3;397.0;400.0;412.0;-34.9;-30.7;-69.8;100.0;
2008.0;573.0;357.0;102.0;80.0;73.0;39.0;134.0;870.0;1327.0;386.0;529.0;849.0;88.0;-277.0;338.0;152.0;-8.0;216.0;62.3;277.0;100.0;148.0;148.0;;29.0;493.0;;;29.0;17.73;14.04;-8.0;12.68;33.0;6.87;0.43;0.38;117.0;;327.0;313.0;640.0;133.0;73.0;23.0;89.0;214.0;48.0;261.0;56.0;;51.0;458.0;;29.0;400.0;;;-43.0;400.0;;78.0;-336.0;142.0;;;;1.0;-353.0;2.0;1197.0;1377.0;-50.0;1327.0;;39.0;29.0;39.0;;86.0;;-20.0;;483.0;-105.0;-96.0;-25.0;-569.0;412.0;;;390.0;-71.0;;18.0;4.0;327.0;175.0;;;4.91;0.34;-0.07;;0.82;7.26;117.0;106.4;5.0;;573.0;14.0;29.0;39.0;45.8;6.9;483.0;400.0;849.0;4.0;5.3;4.6;100.0;4086.4
