;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;1.0;-4.0;-5.0;-5.0;;-5.0;2.0;7.0;9.0;1.0;2.0;7.0;-5.0;-1.0;9.0;;-5.0;5.0;-487.5;1.0;;1.0;;;0.0;6.0;;;0.0;-625.0;-650.0;;;;-662.5;-4.06;-4.06;2.0;;7.0;;7.0;;;0.0;2.0;;;;;;-0.0;2.0;;1.0;;;;0.0;1.0;;;;1.0;;;;;-16.0;-1.0;24.0;9.0;;9.0;;-5.0;0.0;;;0.0;;;;6.0;0.0;-1.0;;;;;;9.0;;;-0.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1.0;-6.0;-8.0;-8.0;;-8.0;6.0;12.0;15.0;2.0;3.0;12.0;-7.0;-5.0;13.0;;-9.0;7.0;-610.0;2.0;;1.0;;;1.0;9.0;;;1.0;-760.0;-820.0;;;;-830.0;-1.46;-1.46;6.0;;9.0;;9.0;;;3.0;3.0;;;;;;0.0;4.0;;2.0;;;;1.0;1.0;;;;1.0;;;;;-23.0;-1.0;36.0;15.0;;15.0;;-8.0;1.0;;;3.0;;;;9.0;-3.0;-2.0;;-17.0;14.0;;;14.0;;;-0.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;3.0;-6.0;-8.0;-9.0;-9.0;-9.0;7.0;41.0;44.0;2.0;2.0;42.0;-8.0;-23.0;39.0;;-9.0;10.0;-179.41;3.0;;1.0;;;1.0;12.0;;;1.0;-223.53;-252.94;-0.0;-255.88;0.0;-258.82;-1.28;-1.28;7.0;;16.0;;16.0;;;25.0;3.0;;;;;;;3.0;;1.0;;;;1.0;1.0;;;;1.0;;;;;-32.0;-2.0;76.0;44.0;;44.0;;-9.0;1.0;;;30.0;;;;40.0;-31.0;-1.0;;-35.0;13.0;;;39.0;;;-0.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;3.0;4.0;-14.0;-15.0;;-15.0;10.0;58.0;62.0;2.0;3.0;59.0;-14.0;3.0;32.0;;-16.0;-1.0;148.15;19.0;;18.0;;;1.0;18.0;;;1.0;-518.52;-566.67;;;;-566.67;-1.58;-1.58;10.0;;38.0;;38.0;;;20.0;4.0;;;;;;;4.0;;2.0;;;;1.0;1.0;;;-0.0;1.0;;;;;-47.0;-2.0;108.0;62.0;;62.0;;-15.0;1.0;;;16.0;;;;56.0;-16.0;-2.0;;-96.0;101.0;-0.0;;32.0;;;-0.0;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;2.0;3.0;-17.0;-19.0;;-19.0;11.0;35.0;47.0;5.0;6.0;41.0;-15.0;-14.0;1.0;;-24.0;-2.0;200.0;22.0;;20.0;;;2.0;20.0;;;2.0;-994.12;-1088.24;;;;-1094.12;-1.76;-1.76;11.0;;10.0;;10.0;;;26.0;11.0;;;;;;1.0;11.0;;3.0;;;;2.0;;;;1.0;1.0;;;;;-65.0;-5.0;111.0;47.0;;47.0;;-19.0;2.0;;;-25.0;;;;30.0;27.0;-8.0;;-63.0;57.0;-0.0;;0.0;;;1.0;;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1.0;-17.0;-22.0;-24.0;;-24.0;11.0;22.0;38.0;5.0;8.0;30.0;-22.0;-2.0;16.0;;-29.0;18.0;-1888.89;7.0;;5.0;;;2.0;24.0;;;2.0;-2411.11;-2611.11;;;;-2633.33;-2.09;-2.09;11.0;;2.0;;2.0;;;20.0;17.0;;;;;;0.0;17.0;;2.0;;;;3.0;;;;4.0;4.0;;;;;-89.0;-7.0;126.0;38.0;;38.0;;-24.0;2.0;;;-14.0;;;;17.0;14.0;-8.0;;-36.0;41.0;;;13.0;;;3.0;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;-13.0;-17.0;-19.0;;-20.0;13.0;3.0;17.0;5.0;7.0;10.0;-17.0;19.0;-1.0;;-17.0;13.0;-2580.0;6.0;;3.0;;;3.0;20.0;;;3.0;-3300.0;-3860.0;;;;-3980.0;-1.58;-1.58;13.0;;3.0;;3.0;;;0.0;14.0;;;;;;0.0;14.0;;2.0;1.0;;;1.0;2.0;;;0.0;2.0;;;;;109.0;-10.0;;17.0;;17.0;;-20.0;3.0;;;-18.0;;;;-1.0;18.0;-1.0;;-11.0;31.0;;;;;;-1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1.0;7.0;-11.0;-11.0;;-17.0;14.0;3.0;9.0;2.0;6.0;3.0;-9.0;;8.0;;-9.0;-6.0;1300.0;17.0;10.0;2.0;;;6.0;11.0;;;6.0;-2100.0;-2180.0;-2.0;;;-3300.0;-1.15;-1.15;14.0;;3.0;;3.0;;;0.0;4.0;;;;;;1.0;6.0;;1.0;0.0;;;1.0;4.0;;;0.0;4.0;;;;;-126.0;-10.0;139.0;9.0;;9.0;;-17.0;6.0;;;2.0;;;;1.0;-0.0;;;;;;;0.0;;;8.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;2.0;-8.0;-9.0;;-9.0;19.0;2.0;6.0;2.0;2.0;5.0;-8.0;;7.0;;-8.0;-2.0;475.0;11.0;7.0;2.0;;;2.0;10.0;;;2.0;-1875.0;-2300.0;0.0;;;-2250.0;-0.7;-0.7;18.0;;2.0;;2.0;;;1.0;3.0;;;;;;1.0;4.0;;1.0;0.0;;;1.0;0.0;;;;0.0;;;;;-141.0;-12.0;157.0;6.0;;6.0;;-9.0;2.0;;;-1.0;;;;0.0;0.0;-0.0;;;;0.0;;0.0;;;7.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1.0;2.0;-7.0;-8.0;;-8.0;24.0;4.0;6.0;2.0;2.0;4.0;-6.0;0.0;6.0;;-6.0;-1.0;283.33;9.0;7.0;2.0;;;1.0;8.0;;;1.0;-1083.33;-1283.33;;;;-1266.67;-0.34;-0.34;24.0;;2.0;;2.0;1.0;;1.0;2.0;;;;;;0.0;2.0;;1.0;0.0;;;1.0;;;;0.0;0.0;;;;;-149.0;-13.0;166.0;6.0;;6.0;;-8.0;1.0;;;2.0;;;;2.0;-1.0;;;;;0.0;;6.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
