;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
2008.0;;;-2.0;-2.0;-2.0;-2.0;3.0;1.0;3.0;0.0;0.0;3.0;-1.0;-0.0;2.0;0.0;-1.0;;;2.0;0.0;1.0;1.0;;0.0;2.0;0.0;;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.6;-0.6;3.0;;1.0;;1.0;0.0;;0.0;0.0;;1.0;1.0;1.0;;;2.0;;0.0;;;;0.0;;;;;;;;;;-34.0;-2.0;;3.0;0.0;3.0;;-2.0;0.0;;;-0.0;;;;;0.0;-0.0;;;;;;2.0;;;-0.0;;1.0;1.0;;0.96;;-0.62;-0.51;;0.0;0.87;3.0;;;;;-inf;0.0;-2.0;;-inf;1.0;;3.0;-73.1;-68.2;-71.7;100.0;;0.958
2009.0;;;-1.0;-2.0;-2.0;-2.0;3.0;1.0;2.0;1.0;1.0;1.0;-2.0;-0.0;1.0;-0.0;-2.0;;;2.0;1.0;1.0;1.0;;0.0;2.0;0.0;;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.61;-0.61;3.0;;1.0;;1.0;0.0;;0.0;0.0;;0.0;0.0;0.0;;;1.0;;0.0;0.0;;;0.0;;;;;;;;;;-31.0;-2.0;;2.0;-0.0;2.0;;-2.0;0.0;;;0.0;;;;;1.0;-0.0;;;;0.0;;1.0;;;0.0;;1.0;1.0;;0.81;;-0.97;-0.62;;0.0;0.6;3.0;;;;;-inf;0.0;-3.0;;-inf;1.0;;2.0;-98.9;-72.0;-162.5;100.0;;0.807
2010.0;0.0;0.0;-9.0;-7.0;-10.0;-10.0;6.0;14.0;16.0;2.0;2.0;14.0;-5.0;-8.0;18.0;4.0;-6.0;;100.0;7.0;4.0;3.0;3.0;;0.0;7.0;;2.0;0.0;-1969.84;-1506.55;-4.0;-2321.62;;-2321.57;-1.72;-1.72;6.0;;13.0;;13.0;0.0;;1.0;0.0;;0.0;0.0;0.0;;1.0;2.0;;1.0;1.0;;;0.0;;;;0.0;0.0;;;;;-43.0;;;16.0;-0.0;16.0;;-10.0;0.0;;0.0;1.0;;;;0.0;4.0;-0.0;;;;-8.0;;;;;18.0;;5.0;1.0;;0.84;0.09;-2.05;-1.11;;0.02;2.83;6.0;;;;1.0;-1506.6;0.0;-12.0;;-2321.6;15.0;;17.0;-61.8;-54.5;-72.4;100.0;;0.84
2011.0;;;-15.0;-15.0;-23.0;-23.0;7.0;61.0;62.0;3.0;3.0;59.0;-10.0;-0.0;54.0;43.0;-11.0;;;16.0;10.0;6.0;6.0;;0.0;16.0;1.0;7.0;0.0;-inf;-inf;-7.0;-inf;;-inf;-3.38;-3.38;7.0;;49.0;11.0;60.0;0.0;0.0;1.0;0.0;;0.0;0.0;;;;1.0;;2.0;;;;1.0;;;;0.0;0.0;;;;;-86.0;-0.0;;62.0;;62.0;;-23.0;0.0;;11.0;0.0;;-0.0;;-1.0;1.0;-0.0;;;;;;52.0;;;2.0;;49.0;6.0;;1.07;;-3.15;-1.46;;0.01;8.23;7.0;;;;;-inf;0.0;-21.0;;-inf;55.0;;55.0;-25.6;-24.5;-38.3;100.0;;1.072
2012.0;2.0;2.0;-20.0;-19.0;-20.0;-20.0;12.0;42.0;43.0;5.0;5.0;38.0;-20.0;-12.0;2.0;-30.0;-20.0;;100.0;23.0;15.0;8.0;8.0;;0.0;23.0;3.0;;0.0;-1287.07;-1213.95;-2.0;-1311.89;;-1311.89;-1.66;-1.66;12.0;;17.0;22.0;39.0;1.0;0.0;2.0;0.0;;0.0;0.0;;;;1.0;;3.0;;;;2.0;;;;0.0;0.0;;;;;-102.0;0.0;;43.0;;43.0;;-20.0;0.0;;0.0;0.0;;0.0;;0.0;-0.0;-1.0;;-22.0;10.0;;;2.0;;;-0.0;;17.0;47.0;;1.02;0.12;-1.62;-1.6;;0.05;3.02;12.0;-9.8;-0.7;;2.0;-1213.9;0.0;-20.0;;-1311.9;36.0;;37.0;-53.7;-47.9;-53.7;100.0;;1.023
2013.0;;3.0;-15.0;-14.0;-14.0;-14.0;11.0;29.0;30.0;3.0;3.0;27.0;-15.0;11.0;7.0;5.0;-15.0;;inf;16.0;13.0;4.0;4.0;;-1.0;16.0;1.0;;0.0;-inf;-inf;-0.0;-inf;0.0;-inf;-1.29;-1.29;11.0;;20.0;7.0;27.0;0.0;;1.0;1.0;;0.0;0.0;;;;1.0;;3.0;;0.0;;0.0;;;;0.0;0.0;;;;130.0;-105.0;2.0;;30.0;;30.0;;-14.0;0.0;;0.0;0.0;;0.0;;-1.0;-1.0;-0.0;;-7.0;19.0;;;7.0;;;-1.0;1.0;20.0;16.0;;0.91;;-1.41;-1.53;;0.05;2.7;11.0;-5.8;-0.3;;;-inf;0.0;-15.0;-0.6;-inf;28.0;;29.0;-56.8;-50.4;-52.1;100.0;;0.914
2014.0;;2.0;-14.0;-13.0;-13.0;-13.0;12.0;23.0;24.0;3.0;3.0;21.0;-13.0;-1.0;6.0;-7.0;-14.0;;inf;14.0;11.0;4.0;4.0;;-1.0;14.0;1.0;;0.0;-inf;-inf;;-inf;0.0;-inf;-1.02;-1.02;12.0;;13.0;8.0;22.0;0.0;;1.0;1.0;;0.0;0.0;;;;1.0;;2.0;;0.0;;1.0;;;;0.0;0.0;;;;141.0;-121.0;2.0;;24.0;;24.0;;-13.0;0.0;;0.0;-0.0;;;;0.0;-1.0;-0.0;;-8.0;8.0;;;6.0;;;-0.0;1.0;13.0;21.0;;0.94;;-1.09;-1.17;;0.01;1.84;12.0;-3.5;-0.2;;;-inf;0.0;-13.0;-0.1;-inf;22.0;;23.0;-65.8;-58.5;-59.1;100.0;;0.943
2015.0;;1.0;-24.0;-11.0;-25.0;-25.0;16.0;6.0;24.0;3.0;5.0;19.0;-6.0;-9.0;9.0;-6.0;-6.0;;inf;11.0;7.0;4.0;4.0;;0.0;11.0;0.0;0.0;1.0;-inf;-inf;-14.0;-inf;-0.0;-inf;-1.55;-1.55;16.0;;5.0;;5.0;1.0;;0.0;0.0;0.0;17.0;17.0;;;;18.0;;2.0;1.0;0.0;;1.0;;;1.0;0.0;1.0;;;;139.0;-124.0;4.0;-0.0;24.0;;24.0;;-25.0;1.0;;1.0;4.0;;;;0.0;13.0;-0.0;-16.0;;7.0;;-0.0;6.0;;;3.0;1.0;5.0;11.0;;0.77;;-2.01;-0.49;;0.0;1.54;16.0;-2.3;-0.1;;;-inf;1.0;-32.0;0.4;-inf;4.0;;25.0;-122.7;-105.9;-130.2;100.0;;0.77
2016.0;0.0;;-46.0;-46.0;-47.0;-46.0;23.0;16.0;32.0;1.0;5.0;26.0;-8.0;0.0;19.0;11.0;-8.0;;;46.0;5.0;41.0;41.0;;0.0;46.0;0.0;0.0;1.0;-34958.13;-35117.79;-1.0;-36101.39;-1.0;-35426.72;-2.05;-2.05;23.0;;16.0;;16.0;0.0;;0.0;0.0;0.0;15.0;16.0;;;;16.0;;0.0;;0.0;;1.0;4.0;;1.0;0.0;4.0;;;;145.0;-166.0;47.0;;32.0;;32.0;;-46.0;1.0;;37.0;-2.0;;;;0.0;1.0;-0.0;;;;0.0;-1.0;10.0;;;10.0;-0.0;16.0;5.0;;0.74;0.01;-2.75;-0.5;;0.0;1.57;23.0;-1.1;-0.1;;0.0;-35117.8;2.0;-62.0;1.9;-35426.7;20.0;5.0;35.0;-150.9;-148.5;-175.6;100.0;;0.745
2017.0;;;-6.0;-7.0;-8.0;-7.0;21.0;12.0;27.0;2.0;6.0;20.0;-7.0;-0.0;-0.0;-7.0;-7.0;;;7.0;6.0;3.0;3.0;;-2.0;7.0;0.0;;1.0;-inf;-inf;-1.0;-inf;-1.0;-inf;-0.34;-0.34;21.0;;9.0;;9.0;2.0;;1.0;0.0;0.0;15.0;15.0;;;;15.0;;1.0;;;;1.0;4.0;;;0.0;4.0;;;;150.0;-178.0;48.0;;27.0;;27.0;;-7.0;1.0;;1.0;-2.0;;;;-1.0;0.0;-0.0;;;;;;0.0;;;-0.0;-0.0;9.0;16.0;;0.77;;-0.45;-0.41;;0.0;1.27;21.0;-4.8;-0.2;;;-inf;2.0;-9.0;7.3;-inf;13.0;6.0;27.0;-29.0;-28.9;-35.3;100.0;;0.769
