;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;0.0;-inf;;-inf;-0.04;-0.04;0.0;;;;;;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;0.0;0.0;;-0.0;;;;0.0;;;;-0.0;-0.0;;;;;;;0.0;;;0.0;;0.0;;;;;-0.04;-0.03;;;-0.05;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;87.7;-116.4;87.7;100.0;
2011.0;;;-0.0;-0.0;-0.0;-0.0;1.0;;;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;-0.0;-inf;;-inf;-0.08;-0.08;1.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;0.0;0.0;-0.0;;;-0.0;;;;0.0;;;;-0.0;-0.0;;;;;;;0.0;;;-0.0;;;0.0;;;;-0.08;-0.08;;;-0.01;1.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;800.0;-800.0;800.0;100.0;
2012.0;1.0;1.0;-4.0;-4.0;-4.0;-4.0;1.0;1.0;1.0;3.0;4.0;-2.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;56.18;4.0;;4.0;4.0;;0.0;5.0;0.0;0.0;0.0;-423.39;-424.87;-0.0;-460.67;;-460.67;-3.2;-3.2;1.0;;;;;1.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;2.0;0.0;0.0;;1.0;0.0;;;;0.0;;;;;-12.0;-0.0;9.0;1.0;-0.0;1.0;;-4.0;0.0;;;-3.0;-1.0;-0.0;0.0;-3.0;6.0;-0.0;;;;-0.0;-0.0;0.0;;;1.0;;0.0;0.0;;;0.71;-3.27;-0.79;;0.02;-1.82;1.0;-7.5;-0.5;;1.0;-424.9;0.0;-4.0;;-460.7;-3.0;0.0;-2.0;179.4;-305.1;179.4;100.0;
2013.0;0.0;0.0;-1.0;-1.0;-3.0;-3.0;2.0;0.0;0.0;2.0;3.0;-3.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;57.95;2.0;;2.0;1.0;0.0;;2.0;;2.0;0.0;-438.0;-407.78;-2.0;-972.27;;-972.27;-2.0;-2.0;2.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;;2.0;0.0;0.0;;0.0;0.0;;;1.0;1.0;;;;0.0;-15.0;-0.0;12.0;0.0;0.0;0.0;;-3.0;0.0;;;1.0;1.0;-0.0;0.0;-2.0;2.0;-0.0;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;0.2;-1.94;-0.23;;0.02;-1.71;2.0;-3.6;-0.2;;0.0;-407.8;0.0;-3.0;;-972.3;-2.0;0.0;-3.0;101.4;-352.8;113.2;100.0;
2014.0;0.0;0.0;-16.0;-1.0;-17.0;-17.0;2.0;0.0;1.0;3.0;3.0;-3.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;35.56;1.0;;1.0;1.0;0.0;;1.0;0.0;1.0;0.0;-8719.89;-615.69;-16.0;-9517.09;;-9517.09;-6.8;-6.8;2.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;;2.0;1.0;0.0;;0.0;0.0;;;0.0;0.0;;;;0.0;-32.0;;29.0;1.0;0.0;1.0;;-17.0;0.0;;;-1.0;0.0;-0.0;-0.0;-3.0;17.0;-0.0;;;;;-0.0;0.0;-1.0;;1.0;;0.0;0.0;;;0.07;-6.87;-0.3;;0.01;-1.06;2.0;-0.8;-0.0;;0.0;-615.7;0.0;-17.0;;-9517.1;-3.0;0.0;-3.0;607.1;-3089.9;648.0;100.0;
2015.0;0.0;-0.0;-2.0;-1.0;-5.0;-5.0;3.0;0.0;0.0;2.0;5.0;-5.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;-3.8;1.0;;1.0;1.0;0.0;;2.0;;3.0;0.0;-1517.47;-987.33;-4.0;-4194.55;;-4194.55;-1.4;-1.4;3.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;2.0;0.0;;;0.0;3.0;;;;3.0;;;;0.0;-37.0;;32.0;0.0;0.0;0.0;;-5.0;0.0;;;1.0;0.0;0.0;0.0;-2.0;3.0;-0.0;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;0.03;-1.43;-0.23;;0.0;-1.5;3.0;-2.0;-0.1;;0.0;-987.3;0.0;-5.0;;-4194.5;-2.0;3.0;-5.0;100.0;-1579.4;95.1;100.0;
2016.0;0.0;0.0;-2.0;-1.0;-3.0;-3.0;4.0;0.0;0.0;2.0;2.0;-2.0;-0.0;;0.0;-0.0;-0.0;0.0;51.14;1.0;;1.0;1.0;0.0;;1.0;;1.0;0.0;-655.33;-186.99;-3.0;-964.59;;-964.59;-0.8;-0.8;4.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;2.0;0.0;;;0.0;;;;;;;;;0.0;-40.0;-0.0;38.0;0.0;;0.0;;-3.0;0.0;;;-0.0;-0.0;0.0;0.0;-2.0;3.0;;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;0.08;-0.82;-0.09;;;-0.54;4.0;-2.8;-0.1;;0.0;-187.0;0.0;-3.0;;-964.6;-2.0;;-2.0;102.9;-2391.3;150.8;100.0;
2017.0;0.0;0.0;0.0;0.0;-0.0;-0.0;7.0;0.0;0.0;2.0;2.0;-2.0;0.0;;-0.0;0.0;0.0;0.0;66.93;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;2.34;0.91;-0.0;-109.28;;-109.28;-0.04;-0.04;7.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;2.0;1.0;;;0.0;;;;;;;;;0.0;-40.0;-0.0;38.0;0.0;;0.0;;-0.0;0.0;;;-0.0;0.0;-0.0;0.0;-2.0;0.0;;;;;;-0.0;;;;;;0.0;0.0;;;0.03;-0.04;0.01;;;-0.3;7.0;-34.2;-1.4;;0.0;0.9;0.0;-0.0;;-109.3;-2.0;;-2.0;-0.1;2.0;12.0;100.0;
2018.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;3.0;3.0;5.0;1.0;2.0;3.0;-1.0;-0.0;2.0;0.0;-2.0;1.0;27.37;1.0;;0.0;0.0;;1.0;2.0;0.0;0.0;0.0;-39.1;-49.32;0.0;-44.31;0.0;-49.13;-0.2;-0.2;3.0;;2.0;;2.0;1.0;;1.0;1.0;;;;0.0;;0.0;2.0;;1.0;0.0;;;0.0;2.0;;;;2.0;;;;0.0;-1.0;-0.0;4.0;5.0;-0.0;5.0;;-1.0;0.0;;;5.0;0.0;;0.0;2.0;-5.0;-1.0;0.0;;;0.0;;2.0;;;;;0.0;0.0;;;0.51;-0.25;-0.55;;0.2;0.96;3.0;-11.5;-0.5;;1.0;-49.3;0.0;-1.0;-14.3;-49.1;2.0;2.0;3.0;-16.6;-11.7;-26.3;100.0;
2019.0;5.0;2.0;-9.0;-10.0;-10.0;-10.0;62.0;3.0;14.0;7.0;7.0;7.0;-2.0;-8.0;9.0;-1.0;-9.0;3.0;48.19;7.0;;5.0;4.0;1.0;2.0;15.0;0.0;0.0;1.0;-178.47;-205.54;0.0;-201.64;;-199.12;-0.16;-0.16;62.0;;0.0;;0.0;0.0;;3.0;7.0;1.0;2.0;3.0;0.0;;1.0;12.0;;1.0;5.0;0.0;;1.0;;;;-0.0;-0.0;;;;0.0;-11.0;-0.0;18.0;14.0;0.0;14.0;;-10.0;1.0;;0.0;-6.0;-0.0;;0.0;-4.0;13.0;-6.0;-1.0;;;-0.0;;6.0;;;3.0;;1.0;2.0;;;0.08;-0.16;-0.14;;0.1;0.12;62.0;-22.2;-0.9;;5.0;-205.5;1.0;-10.0;;-199.1;-4.0;;7.0;-129.2;-65.5;-131.7;100.0;
