;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;;;;;;;0.0;;;0.0;0.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;;;;;;;;;;;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;;-0.0;;;;;0.0;;;;0.0;;;;-inf;-inf;;;;-inf;-0.11;-0.11;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;0.0;0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.44;-0.44;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;;-0.0;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.44;-0.44;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.49;-0.02;;;-2.56;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;38.6;-656.1;19.3;100.0;
2007.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;;-0.0;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.88;-0.88;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.74;-0.01;;;-3.57;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;20.7;-384.5;20.7;100.0;
2008.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;;-0.0;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.88;-0.88;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.45;-0.19;;;-4.22;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;10.8;-4613.3;10.8;100.0;
2009.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;0.0;0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.37;-0.37;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;-0.37;0.01;;;-4.59;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;8.1;-1581.3;8.1;100.0;
2010.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.88;-0.88;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.48;-0.46;;;-5.07;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;9.5;-475.1;9.5;100.0;
2011.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;;;0.0;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-1.21;-1.21;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-1.21;-0.48;;;-6.28;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;12.4;-14925.0;19.3;100.0;
2012.0;3.0;2.0;-2.0;-2.0;-2.0;-2.0;0.0;0.0;1.0;2.0;5.0;-4.0;-1.0;-0.0;1.0;-0.0;-1.0;1.0;64.11;3.0;;3.0;2.0;1.0;0.0;4.0;;;0.0;-71.56;-61.1;-0.0;-72.6;;-72.6;-21.0;-21.0;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;1.0;;1.0;0.0;2.0;;;1.0;2.0;;;;0.0;-6.0;-1.0;2.0;1.0;;1.0;;-2.0;0.0;;0.0;-2.0;-0.0;;;-2.0;3.0;-0.0;;;;0.0;-0.0;0.0;;;1.0;;0.0;0.0;;;29.12;-21.14;-12.79;;0.57;-45.61;0.0;-18.6;-1.3;;3.0;-61.1;0.0;-2.0;;-72.6;-2.0;2.0;-4.0;100.2;-386.3;46.4;100.0;
2013.0;2.0;1.0;-2.0;-2.0;-2.0;-2.0;0.0;0.0;1.0;2.0;3.0;-3.0;-2.0;-0.0;3.0;0.0;-2.0;1.0;62.34;3.0;;3.0;2.0;1.0;0.0;4.0;;;0.0;-135.97;-126.82;-0.0;-137.67;;-137.67;-17.5;-17.5;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;;1.0;;0.0;1.0;1.0;;;0.0;2.0;;;;0.0;-8.0;-1.0;5.0;1.0;;1.0;;-2.0;0.0;;;1.0;0.0;;;-1.0;-1.0;-0.0;;;;;-0.0;3.0;;;0.0;;0.0;0.0;;;12.01;-16.54;-19.18;;0.17;-21.96;0.0;-3.7;-0.2;;2.0;-126.8;0.0;-2.0;;-137.7;-1.0;1.0;-3.0;182.8;-406.8;75.3;100.0;
2014.0;1.0;1.0;-2.0;-1.0;-2.0;-2.0;0.0;0.0;0.0;4.0;5.0;-4.0;-1.0;0.0;1.0;-0.0;-1.0;0.0;79.74;3.0;;3.0;2.0;1.0;0.0;3.0;;;0.0;-109.32;-94.08;-0.0;-110.95;;-110.95;-12.0;-12.0;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;1.0;;1.0;2.0;1.0;;;0.0;1.0;;;;0.0;-9.0;-1.0;6.0;0.0;;0.0;;-2.0;0.0;;;-2.0;0.0;;;-3.0;3.0;-0.0;;;;0.0;-0.0;;;;1.0;;0.0;0.0;;;10.83;-12.02;-7.62;;0.03;-31.02;0.0;-1.7;-0.1;;1.0;-94.1;0.0;-2.0;;-111.0;-3.0;1.0;-4.0;49.7;-427.9;38.8;100.0;
2015.0;2.0;2.0;-4.0;-2.0;-4.0;-4.0;0.0;1.0;1.0;2.0;3.0;-2.0;-1.0;-0.0;2.0;1.0;-1.0;0.0;79.36;3.0;;3.0;3.0;1.0;0.0;4.0;;;0.0;-167.3;-66.57;-2.0;-167.8;;-167.8;-13.15;-13.15;0.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;;0.0;;1.0;1.0;1.0;;;0.0;1.0;;;;0.0;-13.0;-1.0;12.0;1.0;;1.0;;-4.0;0.0;;0.0;3.0;-0.0;;;-1.0;0.0;-0.0;;;;;-0.0;1.0;;;1.0;;1.0;0.0;;;7.84;-13.15;-2.1;;0.02;-6.1;0.0;-2.6;-0.1;;2.0;-66.6;0.0;-4.0;;-167.8;-1.0;1.0;-2.0;518.3;-276.6;215.5;100.0;
2016.0;3.0;2.0;-1.0;-1.0;-2.0;-2.0;0.0;1.0;1.0;2.0;3.0;-2.0;-1.0;-0.0;1.0;-0.0;-1.0;1.0;72.72;3.0;;3.0;2.0;1.0;0.0;4.0;;0.0;0.0;-52.25;-52.66;-0.0;-60.59;;-60.59;-4.5;-4.5;0.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;;0.0;;1.0;1.0;1.0;;;0.0;1.0;;;;0.0;-15.0;-1.0;14.0;1.0;;1.0;;-2.0;0.0;;0.0;-0.0;-0.0;;;-1.0;0.0;-0.0;;;;;-0.0;1.0;;;1.0;;1.0;1.0;;;7.81;-4.73;-3.81;;0.02;-5.89;0.0;-9.7;-0.4;;3.0;-52.7;0.0;-2.0;;-60.6;-1.0;1.0;-2.0;149.3;-121.3;80.4;100.0;
