;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;29.0;16.0;7.0;7.0;6.0;4.0;6.0;17.0;31.0;11.0;20.0;11.0;;;;;;13.0;53.82;9.0;;8.0;;;1.0;22.0;;;1.0;23.26;22.57;-1.0;19.44;2.0;12.85;0.64;0.64;6.0;;1.0;;1.0;7.0;8.0;0.0;5.0;;6.0;6.0;;;3.0;14.0;;;;;;11.0;6.0;;1.0;2.0;9.0;;;;;2.0;-2.0;11.0;31.0;;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;36.0;19.0;10.0;9.0;9.0;6.0;2.0;26.0;41.0;8.0;12.0;29.0;3.0;-1.0;3.0;3.0;2.0;17.0;52.22;10.0;;9.0;;;1.0;27.0;;;1.0;27.22;25.0;-0.0;24.17;3.0;15.83;0.94;0.94;2.0;;6.0;;6.0;7.0;13.0;1.0;5.0;;6.0;6.0;;;4.0;15.0;;3.0;;;;5.0;0.0;;2.0;2.0;4.0;;;;;8.0;-2.0;24.0;41.0;;41.0;;6.0;1.0;0.0;;-5.0;;-5.0;;18.0;0.0;-1.0;;;;;;;-2.0;;5.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;46.0;24.0;13.0;11.0;12.0;8.0;2.0;29.0;46.0;7.0;9.0;37.0;7.0;-3.0;-2.0;-2.0;6.0;22.0;51.87;13.0;;12.0;;;1.0;35.0;;;1.0;28.35;24.18;1.0;25.93;4.0;17.14;1.01;1.01;2.0;;9.0;;9.0;7.0;13.0;1.0;6.0;;6.0;6.0;;;5.0;17.0;;2.0;;;;6.0;1.0;;1.0;0.0;2.0;;;;;16.0;-3.0;24.0;46.0;;46.0;;8.0;1.0;-1.0;;4.0;;0.0;;22.0;-5.0;-2.0;;;;-1.0;;;;;-2.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;54.0;29.0;15.0;12.0;13.0;9.0;2.0;40.0;62.0;10.0;14.0;48.0;-8.0;-5.0;8.0;8.0;-12.0;25.0;54.24;17.0;;15.0;;;2.0;42.0;;;2.0;28.04;22.69;1.0;24.54;4.0;16.79;1.16;1.16;2.0;;5.0;;5.0;13.0;9.0;14.0;11.0;;7.0;7.0;;;4.0;21.0;;4.0;;;;7.0;0.0;;1.0;2.0;3.0;;;;;25.0;-4.0;27.0;62.0;;62.0;;9.0;2.0;0.0;;8.0;;-1.0;;30.0;-27.0;-4.0;;;;-1.0;;1.0;;;7.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;96.0;48.0;27.0;23.0;24.0;17.0;2.0;101.0;132.0;14.0;16.0;116.0;20.0;-60.0;46.0;46.0;16.0;48.0;49.79;25.0;8.0;14.0;;;3.0;73.0;;;3.0;28.5;23.7;1.0;25.05;7.0;17.33;4.12;4.05;2.0;;9.0;;9.0;20.0;22.0;50.0;14.0;;9.0;9.0;;;8.0;31.0;;6.0;;;;7.0;;;1.0;2.0;3.0;;;;;41.0;-4.0;78.0;132.0;;132.0;;17.0;3.0;;;58.0;;-5.0;;88.0;-58.0;-4.0;;-49.0;;-7.0;;1.0;;;44.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;135.0;68.0;41.0;32.0;35.0;25.0;2.0;121.0;166.0;16.0;19.0;147.0;-11.0;34.0;25.0;25.0;-22.0;67.0;50.11;36.0;11.0;19.0;;;6.0;103.0;;;6.0;30.44;23.39;4.0;26.28;11.0;18.19;5.1;4.95;2.0;;57.0;;57.0;34.0;28.0;2.0;24.0;;10.0;10.0;;;11.0;45.0;;8.0;;;;8.0;;;1.0;2.0;3.0;;;;;66.0;-7.0;88.0;166.0;;166.0;;25.0;6.0;-1.0;;17.0;;-6.0;;105.0;-57.0;-12.0;;-65.0;114.0;-4.0;;5.0;-0.0;;20.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;278.0;122.0;68.0;56.0;56.0;39.0;3.0;201.0;356.0;35.0;38.0;317.0;-21.0;-133.0;131.0;131.0;-152.0;156.0;43.87;66.0;23.0;31.0;;;12.0;222.0;;;12.0;24.54;20.09;1.0;20.27;18.0;13.91;14.1;14.1;3.0;;34.0;;34.0;71.0;93.0;2.0;56.0;;64.0;64.0;;;35.0;155.0;;20.0;;;;16.0;;;;3.0;3.0;;;;;104.0;-17.0;230.0;356.0;;356.0;;39.0;12.0;-2.0;;60.0;;-29.0;;165.0;-130.0;-131.0;;;;-3.0;;131.0;;;;-0.0;;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;282.0;107.0;38.0;37.0;24.0;17.0;3.0;203.0;385.0;32.0;46.0;339.0;-20.0;-28.0;17.0;17.0;-47.0;175.0;37.97;70.0;23.0;34.0;34.0;;13.0;245.0;;;13.0;13.31;13.13;-13.0;8.62;8.0;5.89;5.7;5.7;3.0;;3.0;;3.0;92.0;106.0;2.0;78.0;;61.0;61.0;;;43.0;182.0;;13.0;1.0;;;18.0;11.0;;;3.0;14.0;;;;;121.0;-28.0;245.0;385.0;;385.0;;17.0;13.0;-2.0;;5.0;;-14.0;;170.0;-53.0;-27.0;;;;-1.0;;5.0;;;12.0;-1.0;;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;386.0;171.0;101.0;78.0;84.0;57.0;3.0;302.0;490.0;63.0;74.0;416.0;75.0;-18.0;13.0;13.0;57.0;215.0;44.23;93.0;33.0;43.0;43.0;;17.0;308.0;;;17.0;26.17;20.08;6.0;21.69;27.0;14.74;19.35;19.2;3.0;;72.0;;72.0;107.0;120.0;3.0;69.0;;68.0;68.0;;;50.0;187.0;;33.0;1.0;;;29.0;10.0;;;1.0;11.0;;;;;178.0;-34.0;271.0;490.0;;490.0;;57.0;17.0;0.0;;69.0;;-13.0;;240.0;-69.0;-18.0;;;;-1.0;;14.0;;;-1.0;-0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
