;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;465.0;221.0;172.0;135.0;112.0;70.0;29.0;241.0;807.0;205.0;506.0;301.0;238.0;-49.0;-196.0;-3.0;188.0;244.0;47.46;103.0;3.0;40.0;40.0;;60.0;330.0;;;60.0;36.9;29.01;-23.0;24.06;42.0;15.14;2.42;2.42;29.0;;27.0;;27.0;121.0;89.0;5.0;116.0;;361.0;361.0;;;89.0;566.0;;79.0;71.0;;;56.0;230.0;;22.0;49.0;300.0;;;;;40.0;-31.0;292.0;807.0;;807.0;;70.0;60.0;2.0;;108.0;;-6.0;;36.0;-1.0;-50.0;;;;1.0;;;-13.0;;-183.0;4.0;27.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;517.0;190.0;144.0;90.0;75.0;43.0;28.0;256.0;850.0;207.0;533.0;316.0;109.0;-3.0;-81.0;11.0;100.0;327.0;36.76;117.0;4.0;45.0;45.0;;68.0;425.0;;;68.0;27.81;17.36;-14.0;14.57;33.0;8.24;1.54;1.52;28.0;;37.0;;37.0;151.0;64.0;4.0;105.0;;402.0;402.0;;;87.0;594.0;;79.0;80.0;;;48.0;233.0;;36.0;57.0;326.0;;;;0.0;83.0;-39.0;273.0;850.0;;850.0;;43.0;68.0;15.0;;13.0;;32.0;;49.0;-30.0;-8.0;;;;5.0;;;-6.0;;-75.0;-14.0;37.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;422.0;165.0;116.0;59.0;36.0;18.0;26.0;189.0;701.0;131.0;401.0;300.0;134.0;-11.0;-115.0;1.0;127.0;258.0;39.02;125.0;3.0;42.0;42.0;;80.0;364.0;;;80.0;27.44;13.9;-23.0;8.45;17.0;4.33;0.73;0.7;25.0;;38.0;;38.0;92.0;56.0;3.0;83.0;;340.0;340.0;;;89.0;512.0;;64.0;43.0;;;24.0;180.0;;41.0;49.0;269.0;;;;0.0;101.0;-29.0;228.0;701.0;;701.0;;18.0;80.0;5.0;;8.0;;5.0;;57.0;22.0;-7.0;;;;-4.0;;;-14.0;;-101.0;-8.0;38.0;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;419.0;189.0;107.0;59.0;20.0;6.0;25.0;238.0;789.0;255.0;492.0;296.0;90.0;-78.0;-1.0;5.0;82.0;231.0;44.97;-41.0;5.0;57.0;57.0;;-104.0;378.0;;;87.0;25.48;14.15;-40.0;4.72;14.0;1.34;0.23;0.22;24.0;;43.0;;43.0;137.0;55.0;3.0;67.0;;392.0;392.0;;;91.0;550.0;;76.0;87.0;;;92.0;146.0;;40.0;51.0;237.0;;;;0.0;106.0;-10.0;199.0;789.0;;789.0;;6.0;87.0;-1.0;;-74.0;;4.0;;-17.0;72.0;-8.0;-59.0;;;-11.0;;1.0;-4.0;;2.0;-6.0;43.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;441.0;192.0;108.0;105.0;74.0;52.0;25.0;172.0;748.0;188.0;381.0;363.0;100.0;-52.0;-74.0;-20.0;89.0;249.0;43.51;70.0;6.0;;;;64.0;352.0;;;32.0;24.38;23.81;-31.0;16.85;23.0;11.81;2.21;2.08;24.0;;27.0;;27.0;84.0;56.0;6.0;57.0;353.0;51.0;404.0;;;116.0;576.0;;65.0;59.0;;;64.0;102.0;;42.0;49.0;193.0;;;;0.0;158.0;-38.0;242.0;743.0;5.0;748.0;;52.0;32.0;2.0;;1.0;;4.0;;-16.0;13.0;-11.0;-6.0;;;-35.0;;0.0;-0.0;-1.0;-73.0;6.0;23.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;443.0;199.0;101.0;98.0;77.0;52.0;25.0;179.0;742.0;113.0;305.0;430.0;85.0;-19.0;-53.0;19.0;77.0;244.0;44.87;91.0;5.0;;;;87.0;345.0;;;26.0;22.75;22.18;-21.0;17.45;23.0;11.69;2.17;2.06;24.0;;46.0;;46.0;72.0;57.0;5.0;49.0;;390.0;390.0;;;124.0;563.0;;53.0;2.0;;2.0;56.0;103.0;;39.0;51.0;192.0;;;;0.0;209.0;-23.0;244.0;735.0;7.0;742.0;;52.0;26.0;5.0;;82.0;;2.0;;66.0;-79.0;-8.0;-6.0;;;-6.0;;3.0;-1.0;-1.0;-54.0;7.0;46.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;497.0;213.0;51.0;41.0;32.0;6.0;26.0;200.0;791.0;169.0;345.0;446.0;62.0;-89.0;8.0;-13.0;53.0;284.0;42.87;160.0;10.0;;;;150.0;455.0;;;24.0;10.2;8.21;-9.0;6.44;20.0;1.25;0.25;0.24;25.0;;33.0;;33.0;84.0;77.0;5.0;72.0;;381.0;381.0;;;138.0;591.0;;50.0;30.0;;;90.0;94.0;;44.0;37.0;175.0;;;;0.0;214.0;-13.0;245.0;790.0;0.0;791.0;;6.0;24.0;-1.0;;-36.0;;-11.0;;30.0;69.0;-10.0;-80.0;;;0.0;;6.0;-5.0;-2.0;9.0;6.0;33.0;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;565.0;200.0;-91.0;-98.0;-118.0;-124.0;25.0;240.0;675.0;141.0;361.0;314.0;44.0;-28.0;16.0;36.0;36.0;365.0;35.43;256.0;11.0;;;;245.0;663.0;;;29.0;-16.08;-17.3;-20.0;-20.91;4.0;-21.9;-5.0;-5.0;25.0;;69.0;;69.0;65.0;97.0;10.0;67.0;;243.0;243.0;;;125.0;436.0;;55.0;15.0;;2.0;70.0;130.0;;42.0;48.0;220.0;;;;0.0;88.0;-18.0;244.0;675.0;0.0;675.0;;-124.0;29.0;-5.0;;69.0;;-20.0;;99.0;75.0;-8.0;-22.0;;;3.0;;1.0;-3.0;-2.0;18.0;4.0;69.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;532.0;187.0;59.0;32.0;32.0;11.0;25.0;305.0;569.0;143.0;344.0;225.0;36.0;5.0;-7.0;33.0;29.0;345.0;35.09;150.0;11.0;;;;139.0;500.0;;;27.0;11.13;6.0;-0.0;5.98;20.0;2.14;0.47;0.45;24.0;;102.0;;102.0;78.0;120.0;5.0;67.0;164.0;30.0;194.0;;2.0;2.0;264.0;;50.0;15.0;;2.0;76.0;133.0;;22.0;46.0;201.0;;;;0.0;98.0;-110.0;237.0;569.0;0.0;569.0;;11.0;27.0;-2.0;;63.0;;-21.0;;162.0;-64.0;-8.0;;;3.0;10.0;;3.0;-16.0;-2.0;7.0;-1.0;102.0;69.0;;;22.04;0.47;1.19;0.08;0.31;9.32;24.0;29.5;1.6;0.6;532.0;6.0;27.0;11.0;64.2;2.1;162.0;133.0;225.0;2.7;5.6;5.1;83.3;50.3
2007.0;602.0;197.0;79.0;48.0;48.0;30.0;25.0;256.0;551.0;161.0;280.0;272.0;48.0;-41.0;-85.0;-78.0;7.0;405.0;32.77;147.0;14.0;;;;133.0;555.0;;;31.0;13.11;7.95;-0.0;7.92;18.0;4.9;1.23;1.19;24.0;;24.0;;24.0;94.0;133.0;5.0;66.0;152.0;42.0;194.0;;;35.0;295.0;;51.0;20.0;;0.0;90.0;61.0;;8.0;50.0;119.0;;;;0.0;122.0;-73.0;222.0;551.0;;551.0;;30.0;31.0;-5.0;;-67.0;;-12.0;;95.0;59.0;-41.0;;;;;;4.0;-20.0;-2.0;-67.0;0.0;24.0;102.0;;;25.18;1.23;0.31;0.09;1.7;11.35;24.0;20.4;1.2;0.4;602.0;8.0;31.0;30.0;38.2;4.9;95.0;61.0;272.0;7.6;8.7;10.9;92.5;247.9
2008.0;641.0;186.0;48.0;44.0;19.0;13.0;24.0;257.0;494.0;188.0;265.0;229.0;14.0;-8.0;-17.0;-10.0;5.0;454.0;29.1;137.0;15.0;;;;122.0;597.0;1.0;6.0;23.0;7.53;6.81;-25.0;2.95;6.0;1.95;0.53;0.51;24.0;;14.0;;14.0;90.0;138.0;15.0;54.0;148.0;28.0;177.0;;7.0;1.0;238.0;;55.0;73.0;;0.0;60.0;;1.0;;76.0;77.0;;;;0.0;132.0;-120.0;218.0;494.0;;494.0;;13.0;23.0;-1.0;4.0;-27.0;2.0;-9.0;;69.0;3.0;-9.0;;;;-8.0;-20.0;2.0;-11.0;-3.0;14.0;;14.0;24.0;;;27.15;0.53;0.22;0.11;0.39;9.72;24.0;30.2;1.4;0.7;641.0;6.8;23.0;13.0;33.3;2.0;69.0;;229.0;5.5;5.1;5.5;80.0;209.4
2009.0;599.0;186.0;43.0;21.0;18.0;6.0;25.0;283.0;543.0;180.0;386.0;158.0;87.0;-7.0;-27.0;55.0;80.0;412.0;31.11;164.0;16.0;;;;147.0;578.0;0.0;6.0;18.0;7.18;3.46;-2.0;3.06;12.0;1.07;0.27;0.26;24.0;;69.0;;69.0;90.0;121.0;4.0;51.0;146.0;24.0;170.0;;37.0;3.0;260.0;;50.0;15.0;6.0;0.0;115.0;41.0;1.0;;164.0;206.0;;5.0;;0.0;137.0;-201.0;222.0;543.0;;543.0;;6.0;18.0;-2.0;2.0;35.0;2.0;19.0;;103.0;29.0;-7.0;;;;-7.0;-76.0;0.0;;-1.0;50.0;1.0;69.0;14.0;;;25.32;0.27;3.39;0.05;0.3;6.67;24.0;34.2;0.5;0.5;599.0;3.5;18.0;6.0;65.0;1.1;103.0;41.0;158.0;2.4;4.5;4.1;81.3;1.2
