;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;14.0;4.0;-3.0;-3.0;;-3.0;5.0;;11.0;;18.0;-7.0;;;;;;10.0;28.11;7.0;2.0;5.0;5.0;;;16.0;;;;-19.48;-20.11;;;;-19.48;-0.5;-0.5;5.0;;7.0;;7.0;;;;;;;;;;;;11.0;;;;;;;;;;;18.0;;;;;;;11.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;15.0;-2.0;-11.0;-11.0;;-11.0;5.0;;9.0;;12.0;-33.0;;;;;;17.0;-13.09;9.0;2.0;2.0;;2.0;5.0;26.0;;;;-72.71;-72.92;;;;-72.71;-2.0;-2.0;5.0;;3.0;;3.0;;;;;;;;;;;;9.0;;;;;;;;;;;12.0;;;;;;;-21.0;29.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;54.0;17.0;-7.0;-7.0;;-7.0;9.0;;28.0;;26.0;-53.0;;;;;;37.0;31.26;24.0;4.0;13.0;;13.0;8.0;62.0;;;;-13.64;-13.61;;;;-13.64;-0.79;-0.79;9.0;;5.0;;5.0;;;;;;;;;;;;28.0;;;;;;;;;;;26.0;;;;;;;-27.0;55.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;95.0;27.0;2.0;0.0;0.0;0.0;19.0;42.0;45.0;32.0;69.0;-24.0;9.0;-3.0;9.0;15.0;6.0;68.0;28.78;27.0;6.0;;;;21.0;95.0;;;2.0;2.06;0.47;-0.0;0.38;0.0;0.23;0.01;0.01;10.0;;19.0;;19.0;14.0;8.0;0.0;4.0;;;;;;0.0;4.0;;20.0;;;1.0;11.0;;;;38.0;38.0;;;;0.0;-27.0;-0.0;3.0;45.0;;45.0;;0.0;2.0;;;7.0;;4.0;;81.0;0.0;-3.0;;;;;;11.0;;;-1.0;;19.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;142.0;48.0;5.0;2.0;3.0;3.0;14.0;118.0;125.0;37.0;37.0;88.0;-9.0;-6.0;71.0;57.0;-14.0;94.0;33.58;46.0;12.0;;;;34.0;140.0;;;3.0;3.85;1.49;1.0;1.96;0.0;1.84;0.13;0.11;12.0;;76.0;;76.0;24.0;16.0;2.0;7.0;;;;;;;7.0;;24.0;;;1.0;13.0;;;;;;;;;0.0;-24.0;-3.0;115.0;125.0;;125.0;;3.0;3.0;;;4.0;;-8.0;;84.0;-18.0;-6.0;;;;;;1.0;;;70.0;;76.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;189.0;70.0;10.0;0.0;4.0;4.0;26.0;125.0;135.0;40.0;40.0;95.0;1.0;-72.0;1.0;-70.0;-7.0;119.0;36.93;70.0;17.0;53.0;19.0;34.0;;189.0;;;6.0;5.41;0.02;4.0;2.06;0.0;1.9;0.15;0.14;24.0;;6.0;65.0;70.0;31.0;21.0;3.0;11.0;;;;;;;11.0;;28.0;;;0.0;12.0;;;;;;;;;0.0;-21.0;-2.0;118.0;135.0;-0.0;135.0;;4.0;6.0;;;4.0;;-5.0;;88.0;-13.0;-7.0;;-174.0;109.0;;;1.0;;;0.0;;6.0;76.0;;;8.04;0.15;-0.29;;0.32;4.04;24.0;157.5;8.7;;189.0;0.0;6.0;4.0;7.8;1.9;84.0;;95.0;3.8;2.9;3.8;100.0;15.2
2007.0;249.0;83.0;6.0;-3.0;1.0;9.0;26.0;147.0;169.0;59.0;59.0;110.0;-16.0;35.0;1.0;21.0;-26.0;167.0;33.16;85.0;17.0;66.0;21.0;45.0;2.0;252.0;;;5.0;2.35;-1.06;3.0;0.2;-9.0;3.65;0.37;0.36;24.0;;27.0;17.0;43.0;50.0;45.0;8.0;16.0;;;;3.0;;4.0;23.0;;45.0;;;2.0;13.0;;;;;;;;;0.0;-12.0;-1.0;122.0;169.0;-0.0;169.0;;9.0;5.0;-10.0;;-3.0;;-24.0;;84.0;-17.0;-10.0;;-53.0;101.0;-3.0;;1.0;;;0.0;;27.0;6.0;;;10.28;0.38;-1.07;;0.43;4.55;24.0;46.7;2.7;;249.0;-1.1;5.0;9.0;-1711.6;3.7;88.0;;110.0;8.9;0.3;8.3;100.0;5.3
2008.0;308.0;93.0;8.0;0.0;1.0;1.0;26.0;124.0;164.0;40.0;44.0;120.0;19.0;-8.0;3.0;14.0;4.0;214.0;30.36;93.0;18.0;76.0;29.0;47.0;-0.0;307.0;;;7.0;2.67;0.06;1.0;0.36;0.0;0.26;0.03;0.03;25.0;;41.0;;41.0;38.0;35.0;11.0;23.0;5.0;4.0;10.0;3.0;;5.0;40.0;;20.0;;;3.0;17.0;;;;4.0;4.0;;;;0.0;-11.0;-0.0;131.0;164.0;0.0;164.0;;1.0;7.0;-2.0;;12.0;;11.0;;97.0;1.0;-15.0;-10.0;-30.0;47.0;;;1.0;;;2.0;;41.0;27.0;;;12.48;0.03;0.17;;0.6;4.85;25.0;455.2;21.2;;308.0;0.1;7.0;1.0;33.5;0.3;84.0;;120.0;0.6;0.7;0.7;100.0;-23.5
2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.94;0.13;1.42;;0.2;5.33;25.0;142.7;6.9;;299.0;1.8;8.0;3.0;37.5;1.1;97.0;;133.0;2.4;2.7;2.5;100.0;
2010.0;299.0;91.0;13.0;5.0;5.0;3.0;26.0;159.0;200.0;62.0;66.0;133.0;41.0;-13.0;3.0;31.0;36.0;207.0;30.54;86.0;15.0;71.0;30.0;41.0;0.0;293.0;;;8.0;4.49;1.82;-0.0;1.81;2.0;1.11;0.13;0.13;25.0;;72.0;5.0;77.0;37.0;32.0;13.0;20.0;8.0;4.0;12.0;3.0;;6.0;41.0;;31.0;;;4.0;28.0;;;;4.0;4.0;;;;0.0;-8.0;-0.0;141.0;200.0;0.0;200.0;;3.0;8.0;-3.0;8.0;34.0;1.0;2.0;11.0;131.0;-9.0;-5.0;-3.0;-5.0;;;;;;;3.0;;72.0;41.0;;;15.79;1.0;1.44;;0.5;6.89;25.0;30.5;1.9;;401.0;8.3;8.0;26.0;24.9;6.4;131.0;;175.0;14.3;13.4;14.6;100.0;
