;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;13.0;;13.0;;4.0;2.0;4.0;248.0;377.0;;344.0;33.0;3.0;-29.0;33.0;8.0;3.0;;;;;6.0;6.0;0.0;;;18.0;9.0;0.0;101.34;;;30.02;1.0;19.18;0.54;0.54;4.0;;12.0;;12.0;2.0;;234.0;4.0;;0.0;0.0;125.0;;;129.0;506.0;0.0;;;;;27.0;;;;27.0;370.0;;;;32.0;1.0;;377.0;;377.0;;2.0;0.0;-0.0;;1.0;;;-0.0;;-0.0;-1.0;;-73.0;54.0;-9.0;-10.0;;;;43.0;;12.0;4.0;;;2.79;0.54;0.66;;0.11;7.4;4.0;;;;13.0;;0.0;2.0;36.1;19.2;248.0;27.0;33.0;2.1;3.3;7.2;100.0;
2010.0;15.0;;11.0;;4.0;3.0;4.0;255.0;385.0;;347.0;37.0;2.0;-10.0;3.0;-5.0;2.0;;;;;7.0;7.0;0.0;;;18.0;7.0;0.0;73.04;;;26.95;1.0;17.74;0.6;0.6;4.0;;7.0;;7.0;2.0;;246.0;4.0;;0.0;0.0;126.0;;;130.0;515.0;0.0;;;;;23.0;;;;23.0;370.0;;;;34.0;3.0;;385.0;;385.0;;3.0;0.0;-1.0;;-1.0;;;-0.0;;1.0;-0.0;;-107.0;110.0;-12.0;-4.0;;;;7.0;;7.0;12.0;;;3.36;0.6;0.36;;0.07;8.29;4.0;;;;15.0;;0.0;3.0;34.2;17.7;255.0;23.0;37.0;1.8;2.8;7.2;100.0;
2011.0;16.0;;10.0;;4.0;3.0;4.0;316.0;511.0;;471.0;39.0;5.0;-74.0;123.0;54.0;5.0;;;;;8.0;7.0;0.0;;;17.0;5.0;0.0;60.95;;;26.82;1.0;17.95;0.63;0.63;4.0;;61.0;;61.0;2.0;;254.0;4.0;;0.0;0.0;190.0;;;195.0;706.0;0.0;;;;;23.0;;;;23.0;494.0;;;;37.0;2.0;;511.0;;511.0;;3.0;0.0;-0.0;;1.0;0.0;;-0.0;;2.0;-0.0;;-171.0;105.0;-8.0;-13.0;;;;136.0;;61.0;7.0;;;3.51;0.63;1.07;;0.07;8.77;4.0;17.9;1.1;;16.0;;0.0;3.0;33.1;18.0;316.0;23.0;39.0;1.2;1.8;7.2;100.0;
2012.0;18.0;;6.0;;2.0;1.0;4.0;283.0;511.0;;425.0;87.0;6.0;-51.0;-8.0;-52.0;5.0;;;;;12.0;12.0;0.0;;;18.0;4.0;0.0;34.44;;;10.93;1.0;7.81;0.32;0.32;4.0;;8.0;;8.0;2.0;;273.0;4.0;;0.0;0.0;223.0;;;228.0;739.0;0.0;;;;;75.0;;;;75.0;500.0;;;0.0;39.0;5.0;43.0;511.0;;511.0;;1.0;0.0;-1.0;0.0;1.0;-0.0;;-0.0;;5.0;-1.0;;-199.0;170.0;-22.0;-505.0;39.0;;;458.0;;8.0;61.0;;;4.04;0.32;1.23;;0.16;19.53;4.0;40.1;2.7;;18.0;;0.0;1.0;28.5;7.8;283.0;75.0;87.0;0.8;1.1;1.6;100.0;-722.5
2013.0;19.0;;9.0;;6.0;4.0;4.0;342.0;548.0;;466.0;82.0;6.0;-45.0;38.0;-2.0;6.0;;;;;9.0;9.0;0.0;;;18.0;3.0;0.0;49.16;;;30.44;2.0;19.58;0.86;0.86;4.0;;7.0;201.0;208.0;2.0;;133.0;4.0;;1.0;1.0;201.0;;;206.0;753.0;0.0;;;;;88.0;;;;88.0;553.0;;;0.0;39.0;-0.0;43.0;548.0;;548.0;;4.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;1.0;-0.0;;-160.0;173.0;-58.0;-576.0;;-3.0;;616.0;;7.0;8.0;;;4.38;0.86;1.32;;0.09;18.92;4.0;18.2;1.1;;19.0;;0.0;4.0;35.7;19.6;342.0;88.0;82.0;1.0;1.6;4.5;100.0;58.8
2014.0;19.0;;9.0;;5.0;3.0;4.0;361.0;551.0;;469.0;82.0;6.0;1.0;-2.0;6.0;5.0;;;;;10.0;9.0;0.0;;;19.0;3.0;0.0;47.67;;;28.58;2.0;18.61;0.84;0.84;4.0;;13.0;185.0;198.0;2.0;;162.0;5.0;;1.0;1.0;185.0;;;190.0;742.0;0.0;;;;;57.0;;;;57.0;526.0;;;0.0;38.0;1.0;43.0;551.0;;551.0;;3.0;0.0;0.0;0.0;0.0;-0.0;;0.0;-0.0;2.0;-1.0;;-73.0;91.0;-15.0;-427.0;;-5.0;-0.0;430.0;;13.0;7.0;;;4.51;0.84;1.27;0.1;0.3;19.84;4.0;19.8;1.1;0.6;19.0;;0.0;3.0;34.9;18.6;361.0;57.0;82.0;1.0;1.5;4.2;88.1;95.9
2015.0;19.0;;9.0;;5.0;3.0;4.0;388.0;564.0;;483.0;80.0;5.0;-13.0;9.0;0.0;5.0;;;;;10.0;9.0;0.0;;;19.0;3.0;0.0;46.42;;;27.06;2.0;17.34;0.83;0.83;4.0;;13.0;171.0;184.0;2.0;;202.0;5.0;;1.0;1.0;171.0;;;176.0;740.0;0.0;;;;;58.0;;;;58.0;541.0;;;0.0;35.0;1.0;44.0;564.0;;564.0;;3.0;0.0;-0.0;1.0;0.0;0.0;;-0.0;0.0;1.0;-0.0;;-49.0;62.0;-27.0;-268.0;;-5.0;-0.0;282.0;;13.0;13.0;;;4.81;0.83;1.33;0.1;0.03;20.49;4.0;20.3;1.0;0.6;19.0;;0.0;3.0;35.9;17.3;388.0;58.0;80.0;0.9;1.5;4.1;87.7;102.5
2016.0;21.0;;9.0;;6.0;4.0;4.0;469.0;596.0;;512.0;84.0;5.0;-38.0;26.0;-7.0;5.0;;;;;10.0;10.0;0.0;;;20.0;3.0;0.0;44.06;;;26.38;2.0;16.86;0.96;0.95;4.0;;7.0;121.0;128.0;2.0;;339.0;5.0;;0.0;0.0;121.0;;;126.0;722.0;0.0;;;;;67.0;;;;67.0;579.0;;;0.0;37.0;2.0;45.0;596.0;;596.0;;4.0;0.0;-0.0;1.0;-0.0;-0.0;;-0.0;0.0;1.0;-0.0;;-25.0;77.0;-89.0;-258.0;;-1.0;-0.0;285.0;;6.0;13.0;;;5.67;0.96;1.37;0.13;0.06;22.5;4.0;19.5;0.9;0.7;21.0;;0.0;4.0;36.1;16.9;469.0;67.0;84.0;1.0;1.5;4.2;86.4;37.3
2017.0;22.0;;10.0;;6.0;4.0;4.0;467.0;585.0;;502.0;84.0;6.0;8.0;-12.0;1.0;4.0;;;;;11.0;10.0;0.0;;;21.0;4.0;0.0;45.11;;;27.57;2.0;17.45;1.06;1.06;4.0;;10.0;112.0;121.0;2.0;;345.0;6.0;;1.0;1.0;112.0;;;118.0;704.0;0.0;;;;;54.0;;;;54.0;555.0;;;0.0;39.0;-0.0;45.0;585.0;;585.0;;4.0;0.0;-0.0;1.0;1.0;0.0;;-0.0;0.0;0.0;-2.0;;-73.0;79.0;3.0;-104.0;;-1.0;-1.0;94.0;;8.0;6.0;;;6.1;1.06;1.21;0.16;0.46;22.8;4.0;18.5;0.8;0.8;22.0;;0.0;4.0;36.7;17.4;467.0;54.0;84.0;1.1;1.7;4.7;85.0;44.0
2018.0;22.0;;10.0;;4.0;2.0;4.0;502.0;639.0;;557.0;82.0;5.0;-61.0;53.0;-3.0;-0.0;;;;;11.0;10.0;0.0;;;23.0;5.0;0.0;47.32;;;20.67;3.0;8.05;0.47;0.47;4.0;;7.0;126.0;133.0;2.0;;368.0;10.0;;1.0;1.0;126.0;;;137.0;776.0;0.0;;;;;68.0;;;;68.0;625.0;;;0.0;39.0;-3.0;46.0;639.0;;639.0;;2.0;0.0;1.0;1.0;0.0;-0.0;;0.0;-0.0;0.0;-5.0;;-39.0;20.0;-37.0;-126.0;;-1.0;-1.0;181.0;;5.0;8.0;;;5.9;0.48;-0.0;0.2;1.33;22.32;4.0;45.7;1.8;0.9;22.0;;0.0;2.0;61.1;8.0;502.0;68.0;82.0;0.6;1.5;2.1;58.0;-13187.5
2019.0;22.0;;14.0;;5.0;4.0;4.0;566.0;724.0;;641.0;82.0;6.0;-27.0;76.0;55.0;5.0;;;;;12.0;11.0;1.0;;;27.0;9.0;1.0;65.05;;;22.02;1.0;16.15;1.02;1.01;3.0;;63.0;146.0;209.0;2.0;;355.0;11.0;;1.0;1.0;146.0;;;158.0;882.0;1.0;;;;;24.0;;;;24.0;665.0;;;0.0;35.0;1.0;47.0;724.0;;724.0;;4.0;1.0;0.0;1.0;1.0;-0.0;;1.0;0.0;0.0;-1.0;;-42.0;27.0;-11.0;-155.0;;-6.0;-1.0;238.0;;60.0;5.0;;;6.34;1.02;1.35;0.25;0.32;23.72;3.0;20.6;0.9;1.2;22.0;;1.0;4.0;26.7;16.1;566.0;24.0;82.0;1.4;1.9;4.3;75.6;151.2
2020.0;23.0;;15.0;;6.0;4.0;3.0;562.0;736.0;4.0;653.0;83.0;7.0;-34.0;1.0;-26.0;7.0;;;;;12.0;12.0;0.0;;;27.0;9.0;1.0;66.1;;;25.5;2.0;18.4;1.37;1.35;3.0;;36.0;162.0;199.0;2.0;;361.0;10.0;;1.0;1.0;162.0;;;173.0;909.0;1.0;3.0;;;;35.0;;;;35.0;684.0;;;0.0;31.0;4.0;47.0;736.0;;736.0;;4.0;1.0;-0.0;1.0;2.0;0.0;;-0.0;0.0;-0.0;-0.0;;-52.0;41.0;-23.0;-93.0;;-7.0;-1.0;103.0;;33.0;60.0;;;7.43;1.37;2.17;0.3;0.05;26.6;3.0;13.3;0.4;1.7;23.0;;1.0;4.0;27.9;18.4;559.0;35.0;83.0;1.4;2.0;5.1;77.9;124.6
2021.0;26.0;;12.0;;7.0;5.0;3.0;597.0;797.0;3.0;712.0;85.0;7.0;-36.0;58.0;29.0;7.0;;;;;13.0;13.0;0.0;;;24.0;4.0;1.0;46.34;;;27.95;2.0;20.25;1.76;1.74;3.0;;65.0;190.0;255.0;2.0;;340.0;10.0;;1.0;1.0;190.0;;;201.0;998.0;0.0;3.0;;;;25.0;;;;25.0;734.0;;;0.0;36.0;2.0;48.0;797.0;;797.0;;5.0;1.0;-0.0;1.0;-0.0;0.0;;-0.0;0.0;1.0;-0.0;;-80.0;48.0;-4.0;-87.0;;;-1.0;146.0;;63.0;33.0;;;8.69;1.76;2.17;0.3;0.09;28.08;3.0;12.7;0.4;1.3;26.0;;1.0;5.0;27.6;20.2;593.0;25.0;85.0;1.1;1.4;6.3;83.0;13.8
