;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;3.0;3.0;-16.0;-16.0;-17.0;-17.0;22.0;20.0;20.0;3.0;3.0;17.0;-19.0;6.0;15.0;2.0;-19.0;;100.0;20.0;15.0;4.0;4.0;;;20.0;0.0;0.0;0.0;-523.31;-526.09;-0.0;-531.04;0.0;-532.1;-0.75;-0.75;22.0;;19.0;;19.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;2.0;1.0;;;;;;;;;0.0;-31.0;-3.0;51.0;20.0;;20.0;;-17.0;0.0;;0.0;-3.0;0.0;;-1.0;-0.0;;-0.0;;-12.0;18.0;;;;;;15.0;;16.0;14.0;;;0.14;-0.75;-0.85;;0.0;-0.0;22.0;;;;3.0;-526.1;0.0;-17.0;-0.2;-532.1;-0.0;;-0.0;74194.3;-402073.9;75071.6;100.0;
2013.0;3.0;3.0;-26.0;-26.0;-27.0;-27.0;17.0;38.0;38.0;7.0;7.0;32.0;-23.0;1.0;41.0;20.0;-23.0;;100.0;29.0;23.0;6.0;6.0;;;29.0;0.0;1.0;0.0;-957.76;-959.69;-1.0;-981.01;0.0;-981.67;-1.56;-1.56;17.0;;35.0;2.0;37.0;0.0;;1.0;0.0;;;;;;0.0;0.0;;3.0;;;;3.0;;;;;;;;;0.0;-58.0;;89.0;38.0;;38.0;;-27.0;0.0;;0.0;31.0;-0.0;;3.0;31.0;-28.0;-0.0;;;2.0;;;44.0;-4.0;;1.0;;35.0;16.0;;;0.16;-1.56;-1.31;;0.0;1.83;17.0;;;;3.0;-959.7;0.0;-27.0;-0.1;-981.7;31.0;;32.0;-83.0;-68.2;-85.0;100.0;
2014.0;1.0;1.0;-31.0;-31.0;-31.0;-31.0;29.0;131.0;131.0;11.0;11.0;121.0;-23.0;-67.0;116.0;26.0;-23.0;;100.0;32.0;21.0;10.0;10.0;;;32.0;0.0;0.0;0.0;-5310.45;-5367.52;0.0;-5316.09;0.0;-5316.37;-1.07;-1.07;29.0;;61.0;68.0;130.0;0.0;;1.0;0.0;;;;;;0.0;0.0;;2.0;;;;9.0;;;;;;;;;0.0;-88.0;-0.0;209.0;131.0;;131.0;;-31.0;0.0;;4.0;89.0;0.0;;-1.0;120.0;-85.0;-0.0;;-104.0;37.0;;;116.0;;;-0.0;;61.0;35.0;;;0.02;-1.07;-0.8;;0.0;4.21;29.0;-15.3;-0.8;;1.0;-5367.5;0.0;-31.0;-0.0;-5316.4;120.0;;121.0;-25.5;-23.4;-25.5;100.0;
2015.0;0.0;0.0;-105.0;-106.0;-105.0;-105.0;36.0;483.0;484.0;6.0;8.0;476.0;-102.0;-362.0;450.0;-14.0;-103.0;;100.0;106.0;88.0;18.0;18.0;;;106.0;1.0;;0.0;-114543.93;-115815.85;1.0;-114696.75;0.0;-114698.5;-2.91;-2.91;36.0;;47.0;428.0;475.0;0.0;;8.0;1.0;;;;;;0.0;1.0;;2.0;;;;5.0;;;;2.0;2.0;;;;0.0;-193.0;-1.0;670.0;484.0;;484.0;;-105.0;0.0;;11.0;357.0;0.0;;-0.0;477.0;-365.0;-1.0;;-514.0;153.0;;;450.0;;;-0.0;;47.0;61.0;;;0.0;-2.91;-2.86;;0.02;13.2;36.0;-11.6;-0.6;;0.0;-115815.9;0.0;-105.0;-0.0;-114698.5;477.0;;476.0;-21.9;-21.6;-22.0;100.0;
2016.0;0.0;;-115.0;-118.0;-115.0;-116.0;43.0;388.0;389.0;11.0;13.0;376.0;-91.0;92.0;0.0;1.0;-91.0;;;119.0;94.0;25.0;25.0;;;119.0;3.0;0.0;0.0;-34812.9;-35759.96;3.0;-34883.55;1.0;-35205.79;-2.69;-2.69;43.0;;49.0;335.0;384.0;0.0;;4.0;1.0;;;;;;0.0;1.0;;4.0;;;;7.0;;;;3.0;3.0;;;;0.0;-309.0;-0.0;685.0;389.0;;389.0;;-116.0;0.0;;15.0;-99.0;-0.0;;2.0;378.0;110.0;-0.0;;-396.0;488.0;;-125.0;;;;125.0;;49.0;47.0;;;0.01;-2.69;-2.11;;0.0;8.68;43.0;-11.2;-0.5;;0.0;-35760.0;0.0;-116.0;-0.9;-35205.8;378.0;;376.0;-30.8;-29.7;-31.0;100.0;
2017.0;0.0;;-99.0;-103.0;-99.0;-98.0;46.0;469.0;471.0;14.0;17.0;454.0;-80.0;-93.0;162.0;-11.0;-81.0;;;103.0;79.0;24.0;24.0;;;103.0;4.0;;0.0;-40116.17;-41832.65;4.0;-40203.17;-1.0;-39771.64;-2.12;-2.12;46.0;;38.0;427.0;464.0;;;5.0;1.0;;;;;1.0;0.0;2.0;;6.0;;;;8.0;;;;3.0;3.0;;;;0.0;-407.0;-1.0;862.0;471.0;;471.0;;-98.0;0.0;;15.0;77.0;0.0;;2.0;455.0;-75.0;-1.0;;-521.0;429.0;;;162.0;;;0.0;;38.0;49.0;;;0.01;-2.12;-1.76;;0.02;9.84;46.0;-6.7;-0.3;;0.0;-41832.6;0.0;-98.0;1.1;-39771.6;455.0;;454.0;-21.4;-21.0;-21.5;100.0;
2018.0;;;-162.0;-162.0;-155.0;-155.0;55.0;355.0;357.0;36.0;39.0;318.0;-118.0;135.0;1.0;17.0;-119.0;;;162.0;132.0;30.0;30.0;;;162.0;7.0;;0.0;-inf;-inf;7.0;-inf;0.0;-inf;-2.84;-2.84;55.0;;55.0;293.0;348.0;;;8.0;1.0;;;;;1.0;0.0;2.0;;14.0;;;;22.0;;;;3.0;3.0;;;;0.0;-562.0;-1.0;881.0;357.0;;357.0;;-155.0;0.0;;17.0;-136.0;;;8.0;319.0;155.0;-0.0;;-271.0;406.0;;;;;;1.0;;55.0;38.0;;;;-2.84;-2.17;;0.01;5.81;55.0;-6.7;-0.3;;;-inf;0.0;-155.0;-0.0;-inf;319.0;;318.0;-50.6;-45.4;-48.8;100.0;
2019.0;0.0;;-147.0;-154.0;-148.0;-148.0;55.0;230.0;251.0;36.0;56.0;195.0;-128.0;177.0;3.0;53.0;-129.0;;;154.0;89.0;65.0;65.0;;;154.0;6.0;;0.0;-242923.89;-254090.46;6.0;-243711.05;0.0;-243713.69;-2.68;-2.68;55.0;;108.0;116.0;224.0;;;6.0;21.0;;;;;0.0;0.0;21.0;;7.0;3.0;;;26.0;;;;20.0;20.0;;23.0;;0.0;-710.0;0.0;905.0;251.0;;251.0;;-148.0;0.0;;21.0;-125.0;;;-7.0;194.0;124.0;-1.0;;-81.0;259.0;;;;;;3.0;;108.0;55.0;;;0.0;-2.68;-2.33;;0.01;3.53;55.0;-4.6;-0.2;;0.0;-254090.5;0.0;-148.0;-0.0;-243713.7;194.0;;195.0;-68.7;-58.8;-75.8;100.0;
2020.0;23.0;21.0;-226.0;-231.0;-227.0;-227.0;70.0;691.0;717.0;37.0;60.0;657.0;-230.0;-480.0;664.0;-46.0;-230.0;2.0;91.59;252.0;66.0;;;;186.0;254.0;4.0;;1.0;-1005.13;-1026.28;4.0;-1007.48;0.0;-1007.54;-3.23;-3.23;70.0;;60.0;597.0;657.0;11.0;7.0;16.0;26.0;;;;;;0.0;26.0;;6.0;6.0;;;26.0;;;;24.0;24.0;;29.0;;0.0;-937.0;0.0;1593.0;717.0;;717.0;;-227.0;1.0;;24.0;460.0;-11.0;-7.0;-2.0;654.0;-488.0;-0.0;;-756.0;276.0;;;653.0;;;11.0;;61.0;108.0;;;0.32;-3.23;-3.27;;0.0;9.34;70.0;-7.1;-0.2;;23.0;-1026.3;1.0;-227.0;-0.0;-1007.5;654.0;;657.0;-33.4;-31.6;-34.6;100.0;
