;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;48.0;10.0;-13.0;-6.0;-12.0;-13.0;15.0;;;;;;;;;;;38.0;20.68;16.0;1.0;15.0;;;;54.0;;;;-26.98;-13.0;-6.0;-25.77;;-26.98;-0.86;-0.86;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;50.0;19.0;1.0;4.0;-2.0;1.0;18.0;;54.0;;57.0;-3.0;;;;;;31.0;37.95;15.0;2.0;12.0;;;1.0;45.0;;;;1.75;8.61;-7.0;-4.6;;1.75;0.05;0.05;18.0;;1.0;;1.0;;;;;;;;;;;;54.0;;;;;;;;;;;57.0;;;;-23.0;;20.0;54.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;64.0;27.0;13.0;10.0;10.0;6.0;57.0;27.0;55.0;31.0;51.0;4.0;16.0;-2.0;-11.0;3.0;13.0;37.0;41.55;16.0;2.0;14.0;;;0.0;54.0;;;3.0;19.89;16.05;-1.0;15.09;3.0;9.12;0.11;0.1;55.0;;4.0;;4.0;17.0;5.0;2.0;9.0;1.0;4.0;6.0;3.0;6.0;3.0;27.0;;8.0;14.0;;;9.0;10.0;;;10.0;20.0;;;;2.0;-18.0;-2.0;22.0;55.0;;55.0;;6.0;3.0;2.0;;4.0;;4.0;;;-0.0;-2.0;;;;-2.0;-4.0;0.0;;;-8.0;0.0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;78.0;36.0;19.0;18.0;16.0;11.0;58.0;33.0;59.0;30.0;44.0;15.0;18.0;-3.0;-14.0;1.0;15.0;42.0;46.25;18.0;2.0;16.0;;;-0.0;60.0;;;4.0;24.78;23.44;-2.0;20.79;4.0;14.4;0.2;0.19;56.0;;5.0;;5.0;20.0;6.0;2.0;9.0;;7.0;7.0;;6.0;5.0;26.0;;11.0;7.0;;4.0;9.0;10.0;;;4.0;14.0;;;;2.0;-8.0;-2.0;23.0;59.0;0.0;59.0;;11.0;4.0;1.0;;0.0;;-1.0;;;1.0;-2.0;;;;-1.0;;1.0;;-1.0;-14.0;0.0;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;90.0;43.0;23.0;20.0;21.0;14.0;20.0;90.0;117.0;29.0;41.0;76.0;18.0;-5.0;41.0;54.0;13.0;48.0;47.17;23.0;3.0;20.0;20.0;;-0.0;70.0;;;4.0;25.84;22.11;1.0;23.09;5.0;15.98;0.73;0.71;20.0;;58.0;;58.0;23.0;7.0;2.0;10.0;3.0;3.0;6.0;1.0;0.0;10.0;27.0;;10.0;3.0;;;15.0;6.0;;;5.0;12.0;;;;2.0;4.0;-3.0;73.0;116.0;0.0;117.0;;14.0;4.0;0.0;;-2.0;;-0.0;;;2.0;-4.0;;;;-1.0;;50.0;;-3.0;-6.0;-0.0;58.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;104.0;50.0;30.0;25.0;27.0;19.0;23.0;107.0;145.0;33.0;48.0;97.0;18.0;-30.0;-8.0;-15.0;6.0;54.0;48.22;25.0;3.0;23.0;18.0;5.0;-0.0;79.0;;;4.0;28.92;23.76;2.0;25.55;7.0;18.54;0.83;0.82;23.0;;44.0;16.0;60.0;30.0;12.0;6.0;19.0;5.0;3.0;7.0;1.0;1.0;10.0;38.0;;15.0;0.0;;5.0;13.0;6.0;;;9.0;15.0;;;;2.0;20.0;3.0;72.0;145.0;-0.0;145.0;;19.0;4.0;1.0;;-6.0;;-4.0;;;0.0;-12.0;-2.0;-56.0;41.0;-0.0;;0.0;-1.0;-4.0;-4.0;5.0;44.0;58.0;;;4.49;0.83;0.26;0.16;0.52;4.18;23.0;18.8;1.0;1.0;104.0;23.8;4.0;19.0;24.8;18.5;73.0;6.0;97.0;17.5;17.9;19.9;80.8;74.9
2007.0;125.0;57.0;81.0;72.0;74.0;52.0;23.0;163.0;217.0;52.0;67.0;150.0;13.0;-19.0;-13.0;-15.0;3.0;68.0;45.83;35.0;3.0;31.0;31.0;;1.0;52.0;;;8.0;64.57;58.09;1.0;59.05;21.0;41.27;2.21;2.2;23.0;;29.0;10.0;38.0;28.0;14.0;83.0;24.0;10.0;9.0;18.0;2.0;2.0;7.0;54.0;;13.0;0.0;;;39.0;6.0;;;9.0;15.0;;;;2.0;66.0;14.0;68.0;217.0;0.0;217.0;;52.0;8.0;1.0;;-13.0;;-4.0;;;-34.0;-10.0;-9.0;-7.0;14.0;-8.0;;0.0;-5.0;-5.0;-3.0;4.0;29.0;44.0;;;5.35;2.21;0.13;0.21;0.42;6.42;23.0;5.9;0.3;1.6;125.0;58.1;8.0;52.0;28.5;41.3;110.0;6.0;150.0;31.6;33.5;34.4;90.6;317.4
2008.0;133.0;64.0;34.0;26.0;24.0;15.0;21.0;92.0;158.0;32.0;48.0;110.0;27.0;5.0;-53.0;-16.0;10.0;69.0;47.96;38.0;0.0;37.0;37.0;;0.0;109.0;;1.0;10.0;25.32;19.35;-2.0;18.02;8.0;11.24;0.69;0.69;21.0;;13.0;35.0;48.0;27.0;13.0;5.0;27.0;10.0;7.0;17.0;6.0;2.0;15.0;66.0;;12.0;0.0;;;20.0;6.0;;;11.0;17.0;;;;2.0;52.0;12.0;43.0;158.0;0.0;158.0;;15.0;10.0;-2.0;;2.0;1.0;2.0;-1.0;;1.0;-17.0;59.0;-51.0;13.0;-17.0;-0.0;;-24.0;-29.0;;5.0;13.0;29.0;;;6.19;0.7;0.48;1.36;0.79;5.11;21.0;15.3;0.7;12.8;133.0;19.4;10.0;15.0;33.1;11.2;60.0;6.0;110.0;12.4;14.9;13.6;-95.6;517.0
2009.0;121.0;61.0;38.0;24.0;26.0;18.0;21.0;109.0;186.0;36.0;56.0;130.0;38.0;13.0;-4.0;48.0;22.0;61.0;49.92;35.0;0.0;35.0;27.0;8.0;-0.0;97.0;;0.0;13.0;31.44;20.08;2.0;21.42;7.0;14.99;0.87;0.87;21.0;;61.0;9.0;70.0;25.0;9.0;5.0;42.0;10.0;5.0;15.0;12.0;1.0;6.0;77.0;;14.0;0.0;;6.0;17.0;6.0;;;13.0;19.0;;;;2.0;67.0;18.0;43.0;186.0;0.0;186.0;;18.0;13.0;1.0;;6.0;1.0;1.0;2.0;4.0;-0.0;-16.0;;-36.0;64.0;-16.0;-0.0;;;-4.0;;2.0;61.0;13.0;;;5.79;0.87;1.05;0.18;0.75;6.21;21.0;10.8;0.2;1.9;121.0;20.1;13.0;18.0;27.3;15.0;73.0;6.0;130.0;12.5;13.8;14.0;79.5;17.0
2010.0;148.0;73.0;31.0;31.0;16.0;9.0;21.0;106.0;188.0;57.0;78.0;111.0;33.0;-15.0;-34.0;-14.0;15.0;75.0;49.12;42.0;1.0;40.0;40.0;0.0;1.0;117.0;;0.0;16.0;21.17;20.75;-15.0;10.89;6.0;5.89;1.0;1.0;21.0;;47.0;7.0;53.0;31.0;10.0;11.0;46.0;10.0;4.0;15.0;13.0;1.0;8.0;82.0;;11.0;0.0;;5.0;42.0;0.0;;;20.0;20.0;;;;2.0;44.0;23.0;42.0;188.0;-0.0;188.0;;9.0;16.0;-1.0;;8.0;-5.0;-0.0;-1.0;;2.0;-18.0;;-3.0;6.0;-17.0;-0.0;;;-32.0;-2.0;1.0;47.0;61.0;;;7.05;0.41;0.72;1.51;0.87;5.28;21.0;35.7;1.7;10.2;148.0;20.7;16.0;9.0;39.1;5.9;49.0;0.0;111.0;7.2;8.2;7.9;-263.4;208.9
