;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2000.0;5876.0;;3136.0;;1171.0;944.0;5562.0;34467.0;35664.0;2858.0;31979.0;3686.0;;;;;;;;;;1688.0;1566.0;122.0;;;4565.0;1965.0;;53.36;;;19.92;227.0;16.06;0.17;0.17;5562.0;;7502.0;;7502.0;5818.0;;21147.0;1197.0;;;0.0;;;;1197.0;;;2858.0;;;;2187.0;;;;2187.0;31307.0;;;1538.0;1923.0;;224.0;35664.0;;35664.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5321.0;;3102.0;;872.0;798.0;5492.0;29487.0;31256.0;3381.0;27460.0;3796.0;3139.0;-4679.0;1032.0;-506.0;2818.0;;;;;1516.0;1516.0;;;;4660.0;1942.0;287.0;58.3;;;16.39;74.0;15.0;0.15;0.15;5458.0;;4039.0;;4039.0;;;25448.0;1206.0;;;564.0;;;;1770.0;;;3381.0;;;;3479.0;;;;3479.0;27557.0;;;1689.0;1674.0;;433.0;31256.0;;31256.0;;798.0;287.0;-65.0;;1688.0;;;;;431.0;-322.0;-96.0;-2540.0;653.0;-2695.0;-1584.0;;;-278.0;2894.0;;6522.0;7028.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4518.0;;2934.0;;779.0;799.0;6727.0;18285.0;23776.0;2643.0;20548.0;3122.0;1869.0;-3658.0;863.0;-926.0;1651.0;;;;;1146.0;1146.0;;;;4112.0;1953.0;199.0;64.94;;;17.24;-17.0;17.68;0.12;0.12;6727.0;;3436.0;;3436.0;;;14849.0;786.0;;;367.0;4338.0;;;5491.0;29267.0;;2643.0;;;;3445.0;;;;3445.0;21350.0;;;1275.0;1451.0;424.0;-28.0;23670.0;106.0;23776.0;;799.0;199.0;-162.0;;130.0;;;;;903.0;-218.0;-9.0;-1033.0;;-2616.0;-1611.0;;;-230.0;2704.0;;3332.0;4258.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;6461.0;;4160.0;;1640.0;1130.0;6897.0;26253.0;35886.0;4284.0;30909.0;4804.0;1822.0;-181.0;-182.0;1461.0;1600.0;;;;;1730.0;1730.0;;;;5542.0;2135.0;385.0;64.39;;;25.39;510.0;17.5;0.17;0.16;6857.0;;5319.0;;5319.0;;;20935.0;929.0;;;571.0;8133.0;;;9633.0;45519.0;;4284.0;;;;5206.0;;;;5206.0;31831.0;;;1734.0;2477.0;609.0;-16.0;35713.0;173.0;35886.0;;1130.0;385.0;2.0;;-102.0;;;;;406.0;-221.0;-551.0;-645.0;1062.0;-47.0;-2934.0;;;-321.0;3074.0;;7236.0;5776.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;7546.0;;5170.0;;2374.0;1744.0;6876.0;32714.0;43540.0;4653.0;36856.0;6293.0;804.0;-4615.0;1397.0;-2414.0;610.0;;;;;2205.0;2205.0;;;;5925.0;2477.0;319.0;68.51;;;31.46;630.0;23.11;0.25;0.25;6858.0;;6028.0;;6028.0;;;26686.0;969.0;;;1011.0;8846.0;;;10826.0;54366.0;;4653.0;;;;5551.0;;;;5551.0;37754.0;;;3146.0;2508.0;628.0;11.0;43149.0;391.0;43540.0;;1744.0;319.0;212.0;;-1751.0;;;;;280.0;-194.0;-293.0;-2193.0;2613.0;-4742.0;-3109.0;;;-448.0;4954.0;;5498.0;7912.0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;10437.0;;7340.0;;3160.0;2331.0;6826.0;45850.0;59598.0;7451.0;51163.0;7831.0;2292.0;-7291.0;5258.0;259.0;2037.0;;;;;2643.0;2643.0;;;;8902.0;3731.0;448.0;70.33;;;30.27;830.0;22.33;0.34;0.34;6785.0;;9218.0;;9218.0;;;36632.0;1063.0;;;1454.0;11231.0;;;13748.0;73346.0;;7451.0;;;;6328.0;;;;6328.0;50040.0;;1701.0;;4144.0;355.0;;58994.0;604.0;59598.0;;2331.0;448.0;174.0;;-1683.0;;;;;1022.0;-255.0;-68.0;-927.0;1179.0;-7476.0;-2555.0;;;-797.0;8610.0;;6499.0;6241.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;14598.0;;9543.0;;3869.0;2753.0;6901.0;66321.0;90004.0;14469.0;76533.0;12803.0;1674.0;-7752.0;8154.0;2076.0;1416.0;;;;;3718.0;3718.0;;;;13086.0;5108.0;566.0;65.37;;;26.5;1116.0;18.86;0.4;0.4;6863.0;;12088.0;;12088.0;;;54232.0;1340.0;;;3066.0;19278.0;;;23683.0;113687.0;;14469.0;;;;8415.0;;;;8415.0;70479.0;;;;6246.0;668.0;;89336.0;668.0;90004.0;;2753.0;566.0;265.0;;-4035.0;;;;;2125.0;-258.0;1459.0;-5029.0;4583.0;-8765.0;-2059.0;;;-817.0;11030.0;;9177.0;7100.0;;0.47;4.54;0.86;0.44;0.25;0.08;3.99;6863.0;5.9;0.3;5.1;31186.0;;1209.0;5881.0;28.8;18.9;110771.0;17977.0;27351.0;8.5;10.0;21.5;70.3;57.6;0.468
2007.0;21306.0;;14707.0;;6496.0;4205.0;7288.0;112394.0;151409.0;26810.0;130790.0;19859.0;2027.0;-17830.0;27866.0;12062.0;1640.0;;;;;4571.0;4571.0;;;;19179.0;7284.0;911.0;69.03;;;30.49;2307.0;19.74;0.58;0.58;7244.0;;20353.0;;20353.0;;;92041.0;1535.0;;;4189.0;33291.0;;;39016.0;190425.0;;26810.0;;;;16041.0;;;;16041.0;120021.0;;;;10464.0;1611.0;;150649.0;760.0;151409.0;;4205.0;911.0;874.0;;-5635.0;;;;;1670.0;-386.0;;-7481.0;6267.0;-16616.0;-4741.0;;;-1280.0;33887.0;;23101.0;11039.0;;0.56;5.24;1.03;0.4;0.31;0.09;4.88;7244.0;6.9;0.4;4.4;37924.0;;1622.0;7485.0;35.5;19.7;152338.0;28554.0;35350.0;7.2;9.2;21.2;69.6;78.0;0.562
2008.0;15743.0;;13815.0;;1531.0;2095.0;7199.0;126429.0;173394.0;23448.0;158001.0;14855.0;-5478.0;-34702.0;42697.0;2517.0;-6052.0;;;;;6860.0;6860.0;;;;20584.0;11451.0;845.0;87.76;;;9.73;-576.0;13.31;0.29;0.29;7167.0;;27820.0;;27820.0;;;98609.0;1281.0;183.0;2884.0;3067.0;42617.0;;;46965.0;220359.0;;23448.0;;;;16274.0;;;;16274.0;150828.0;;4269.0;;6918.0;1116.0;;172856.0;538.0;173394.0;;2095.0;845.0;-1302.0;-78.0;-10891.0;;;;-10561.0;3853.0;-574.0;-160.0;-11398.0;8632.0;-31354.0;-4505.0;;-699.0;-1257.0;49158.0;;12112.0;9594.0;;0.43;5.08;0.68;-1.95;0.41;0.19;4.8;7167.0;11.0;0.5;5.5;36442.0;;1957.0;4849.0;-37.6;13.3;238383.0;37672.0;34387.0;11.9;7.5;14.1;40.0;-32.3;0.432
2009.0;48493.0;;34263.0;;13460.0;8081.0;9922.0;250340.0;343697.0;48189.0;296634.0;39744.0;32576.0;-3179.0;-7930.0;21468.0;31146.0;;;;;15514.0;15514.0;;1945.0;;41632.0;18287.0;2819.0;70.66;;;27.76;5077.0;16.66;0.58;0.58;9922.0;;62137.0;;62137.0;8238.0;;179965.0;2623.0;8440.0;12948.0;21388.0;69346.0;;;93356.0;437053.0;1765.0;46312.0;;111.0;;33835.0;;;;33835.0;282280.0;;13888.0;25817.0;6417.0;538.0;-6915.0;336378.0;7319.0;343697.0;;8081.0;2819.0;1935.0;355.0;13937.0;;;;13937.0;5451.0;-1431.0;127.0;-5024.0;8183.0;-5489.0;-9725.0;;-4.0;-2170.0;3969.0;;37552.0;16084.0;;0.57;8.52;1.42;5.47;0.38;0.25;6.98;9922.0;4.6;0.1;5.8;84526.0;;4913.0;14085.0;37.7;16.7;352365.0;58976.0;69277.0;6.8;9.3;20.3;73.1;7.0;0.574
