;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1983.0;196.0;24.0;-8.0;-15.0;-11.0;-6.0;79.0;47.0;90.0;35.0;56.0;34.0;;;;;;172.0;12.24;38.0;;39.0;39.0;;-1.0;210.0;;4.0;;-4.08;-7.65;4.0;-5.61;-6.0;-3.06;-0.08;-0.08;79.0;;2.0;2.0;4.0;37.0;;6.0;19.0;6.0;;6.0;5.0;14.0;-1.0;43.0;;6.0;8.0;;;21.0;8.0;;;13.0;21.0;;;;8.0;;-18.0;44.0;90.0;;90.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984.0;178.0;20.0;-19.0;-15.0;-21.0;-9.0;79.0;79.0;111.0;71.0;87.0;24.0;;;;;;158.0;11.24;35.0;;35.0;35.0;;;193.0;;;;-10.67;-8.43;-6.0;-11.8;-10.0;-5.06;-0.11;-0.11;79.0;;5.0;3.0;8.0;42.0;;29.0;15.0;3.0;;3.0;5.0;12.0;-3.0;32.0;;10.0;26.0;;;35.0;4.0;;;12.0;16.0;;;;9.0;;-19.0;34.0;111.0;;111.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985.0;221.0;37.0;7.0;3.0;4.0;2.0;73.0;65.0;98.0;58.0;71.0;27.0;;;;;;183.0;16.83;34.0;;31.0;31.0;;3.0;218.0;;;3.0;3.08;1.27;1.0;1.63;2.0;0.91;0.03;0.03;73.0;;8.0;;8.0;54.0;;3.0;17.0;;3.0;3.0;;;12.0;33.0;;;15.0;;;43.0;2.0;;;11.0;13.0;;;;;18.0;-20.0;29.0;98.0;;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;208.0;34.0;4.0;3.0;2.0;1.0;72.0;46.0;76.0;38.0;49.0;27.0;18.0;-2.0;-11.0;5.0;16.0;173.0;16.57;32.0;;29.0;29.0;;3.0;205.0;;;3.0;2.07;1.25;-1.0;0.77;1.0;0.43;0.01;0.01;72.0;;13.0;;13.0;31.0;;2.0;17.0;;2.0;2.0;;;12.0;30.0;;;6.0;;;32.0;1.0;;;10.0;11.0;;;;;19.0;-21.0;29.0;76.0;;76.0;;1.0;3.0;0.0;;14.0;23.0;;3.0;8.0;0.0;-2.0;;;;0.0;;;-1.0;;-10.0;1.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;320.0;39.0;9.0;4.0;7.0;4.0;74.0;90.0;117.0;64.0;86.0;31.0;-0.0;-5.0;18.0;14.0;-4.0;281.0;12.24;35.0;;33.0;33.0;;2.0;316.0;;;2.0;2.72;1.28;2.0;2.03;3.0;1.09;0.05;0.05;74.0;;27.0;;27.0;1.0;;63.0;16.0;;2.0;2.0;;;10.0;27.0;;;13.0;;;51.0;12.0;;1.0;9.0;23.0;;;;;22.0;-20.0;28.0;117.0;;117.0;;4.0;2.0;2.0;;19.0;-24.0;;-6.0;27.0;-27.0;-3.0;;;;-2.0;;;;;18.0;1.0;19.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;757.0;62.0;14.0;10.0;11.0;7.0;78.0;145.0;180.0;123.0;143.0;38.0;21.0;-10.0;-10.0;1.0;17.0;695.0;8.21;52.0;;49.0;49.0;;3.0;747.0;;;3.0;1.87;1.32;1.0;1.45;4.0;0.87;0.09;0.09;78.0;;30.0;;30.0;113.0;;1.0;20.0;;6.0;6.0;;;10.0;36.0;;;5.0;;;117.0;9.0;;3.0;9.0;20.0;;;;;22.0;-22.0;38.0;180.0;;180.0;;7.0;3.0;2.0;;-5.0;-58.0;;-44.0;22.0;15.0;-4.0;;;;-6.0;;;0.0;;-11.0;-0.0;28.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;794.0;76.0;22.0;15.0;18.0;10.0;85.0;173.0;213.0;140.0;154.0;59.0;-9.0;-5.0;10.0;10.0;-16.0;718.0;9.55;61.0;;57.0;57.0;;4.0;779.0;;;4.0;2.73;1.85;3.0;2.22;7.0;1.29;0.12;0.12;85.0;;24.0;;24.0;140.0;;9.0;22.0;;6.0;6.0;;;12.0;40.0;;59.0;10.0;;;71.0;6.0;;1.0;8.0;14.0;;;;;32.0;-25.0;52.0;213.0;;213.0;;10.0;4.0;-2.0;;11.0;;;;33.0;-32.0;-7.0;;-0.0;2.0;0.0;;9.0;;;1.0;-0.0;;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;882.0;94.0;30.0;22.0;25.0;14.0;90.0;202.0;254.0;163.0;171.0;83.0;2.0;-4.0;-3.0;-3.0;-3.0;788.0;10.66;72.0;;67.0;67.0;;6.0;860.0;;;6.0;3.44;2.47;3.0;2.81;10.0;1.63;0.16;0.16;90.0;;20.0;;20.0;166.0;;16.0;29.0;;10.0;10.0;;;13.0;51.0;;66.0;17.0;;;79.0;;;1.0;6.0;8.0;;;;;46.0;-30.0;67.0;254.0;;254.0;;14.0;6.0;-4.0;;7.0;;;;40.0;-20.0;-6.0;;;1.0;1.0;;1.0;;;-4.0;1.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;1036.0;118.0;42.0;32.0;35.0;20.0;95.0;207.0;260.0;146.0;153.0;107.0;32.0;-8.0;-13.0;-13.0;24.0;919.0;11.35;85.0;;78.0;78.0;;7.0;1004.0;;;7.0;4.05;3.12;3.0;3.39;15.0;1.97;0.21;0.21;95.0;;32.0;;32.0;155.0;;20.0;31.0;;10.0;10.0;;;13.0;54.0;;51.0;;;;95.0;;;2.0;6.0;7.0;;;;;65.0;-35.0;78.0;260.0;;260.0;;20.0;7.0;-4.0;;21.0;;;;61.0;-12.0;-9.0;;;2.0;-1.0;;5.0;;;-17.0;-1.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1106.0;127.0;54.0;39.0;46.0;27.0;96.0;258.0;317.0;172.0;177.0;140.0;-2.0;-14.0;7.0;7.0;-14.0;979.0;11.49;89.0;;81.0;81.0;;8.0;1068.0;;;8.0;4.84;3.48;7.0;4.15;19.0;2.4;0.28;0.28;96.0;;23.0;;23.0;201.0;;34.0;35.0;;9.0;9.0;;;14.0;59.0;;60.0;;;;111.0;;;1.0;5.0;5.0;;;;;89.0;-39.0;90.0;317.0;;317.0;;27.0;8.0;-4.0;;26.0;;;;87.0;-59.0;-12.0;;-15.0;12.0;1.0;;7.0;;;;0.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
