;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;1157.0;245.0;57.0;100.0;6.0;0.0;80.0;72.0;865.0;185.0;814.0;51.0;37.0;-72.0;21.0;21.0;-27.0;912.0;21.2;145.0;;95.0;;;50.0;1057.0;;;50.0;4.88;8.63;-94.0;0.54;6.0;0.03;0.01;0.01;80.0;;1.0;;1.0;23.0;31.0;17.0;519.0;;97.0;97.0;;;177.0;793.0;;34.0;;;;151.0;629.0;;;;629.0;;;;;13.0;-90.0;128.0;865.0;;865.0;;0.0;50.0;-6.0;;-12.0;;-5.0;;-114.0;5.0;-64.0;;;;-8.0;;50.0;;;-29.0;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1219.0;266.0;26.0;111.0;39.0;-42.0;87.0;106.0;916.0;168.0;669.0;247.0;66.0;-80.0;33.0;33.0;-10.0;954.0;21.78;155.0;;104.0;;;51.0;1108.0;;;51.0;2.12;9.11;-72.0;3.17;17.0;-3.43;-0.32;-0.32;87.0;;20.0;;20.0;37.0;34.0;16.0;543.0;;95.0;95.0;;;171.0;809.0;;38.0;;;;129.0;501.0;;;;501.0;;;;;-29.0;-123.0;399.0;916.0;;916.0;;-42.0;51.0;0.0;;52.0;;-3.0;;-61.0;5.0;-77.0;;;;-3.0;;242.0;-4.0;;-205.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1232.0;161.0;-67.0;-17.0;-66.0;-98.0;76.0;94.0;890.0;203.0;751.0;139.0;26.0;-59.0;18.0;18.0;-21.0;1071.0;13.04;178.0;;124.0;;;54.0;1249.0;;;54.0;-5.41;-1.4;-49.0;-5.37;-22.0;-7.96;-0.64;-0.64;76.0;;5.0;;5.0;30.0;41.0;18.0;547.0;;196.0;196.0;;;54.0;797.0;;37.0;;;;167.0;501.0;;17.0;30.0;548.0;;;;;-127.0;-165.0;431.0;890.0;;890.0;;-98.0;54.0;-24.0;;-49.0;;-6.0;;-110.0;143.0;-46.0;;;;-12.0;;;-11.0;;28.0;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1053.0;102.0;6.0;-33.0;-33.0;-40.0;77.0;108.0;740.0;140.0;640.0;100.0;29.0;53.0;-51.0;-51.0;-63.0;951.0;9.71;136.0;;101.0;78.0;;35.0;1087.0;;;43.0;0.57;-3.16;;-3.16;3.0;-3.76;-0.52;-0.52;77.0;;36.0;;36.0;31.0;25.0;15.0;439.0;;91.0;91.0;57.0;5.0;41.0;633.0;;37.0;;;;103.0;448.0;;;52.0;500.0;;;;0.0;-167.0;-136.0;402.0;740.0;;740.0;;-40.0;43.0;5.0;;77.0;;0.0;;-33.0;-55.0;-92.0;;;;145.0;;1.0;;;-51.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1019.0;115.0;-30.0;-69.0;-69.0;-69.0;78.0;98.0;663.0;132.0;631.0;31.0;34.0;-26.0;-8.0;-8.0;7.0;904.0;11.31;184.0;;110.0;78.0;;74.0;1087.0;;;38.0;-2.96;-6.72;;-6.72;1.0;-6.77;-0.89;-0.89;78.0;;36.0;;36.0;25.0;22.0;14.0;434.0;;95.0;95.0;;10.0;27.0;565.0;;32.0;;;;100.0;440.0;;;59.0;499.0;;;;0.0;-236.0;-156.0;423.0;663.0;;663.0;;-69.0;38.0;5.0;;-1.0;;3.0;;-34.0;61.0;-27.0;;;;1.0;;0.0;;;-8.0;;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1063.0;144.0;64.0;25.0;25.0;20.0;79.0;97.0;654.0;147.0;602.0;51.0;84.0;-31.0;-47.0;-47.0;51.0;919.0;13.51;118.0;;72.0;72.0;;46.0;1038.0;;;39.0;6.06;2.39;;2.39;5.0;1.89;0.26;0.26;79.0;;42.0;;42.0;13.0;21.0;21.0;433.0;;90.0;90.0;;7.0;27.0;557.0;;29.0;;;;118.0;396.0;;;59.0;455.0;;;;0.0;-216.0;-178.0;444.0;654.0;-0.0;654.0;;20.0;39.0;-2.0;;-17.0;;2.0;;-51.0;44.0;-33.0;;;;3.0;;0.0;;;-47.0;;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1072.0;166.0;84.0;45.0;45.0;34.0;80.0;100.0;682.0;193.0;594.0;88.0;100.0;-63.0;-50.0;-50.0;40.0;906.0;15.49;121.0;;80.0;80.0;;40.0;1027.0;;;40.0;7.84;4.22;;4.22;10.0;3.18;0.43;0.43;80.0;;29.0;;29.0;11.0;18.0;43.0;459.0;;89.0;89.0;;0.0;34.0;582.0;;40.0;;;;154.0;346.0;;;55.0;401.0;;;;0.0;-182.0;-201.0;470.0;682.0;;682.0;;34.0;40.0;-7.0;;-42.0;;3.0;;-93.0;75.0;-60.0;;;;-4.0;;2.0;;;-52.0;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1224.0;229.0;142.0;105.0;105.0;67.0;80.0;82.0;744.0;226.0;607.0;137.0;151.0;-121.0;-48.0;-48.0;39.0;995.0;18.71;125.0;;92.0;92.0;;33.0;1120.0;;;42.0;11.62;8.54;;8.54;33.0;5.45;0.85;0.83;78.0;;10.0;;10.0;14.0;18.0;41.0;532.0;;90.0;90.0;;2.0;37.0;661.0;;52.0;;;;174.0;320.0;;;61.0;381.0;;;;0.0;-115.0;-228.0;480.0;744.0;;744.0;;67.0;42.0;1.0;;-50.0;;0.0;;-143.0;91.0;-111.0;;;;-10.0;;2.0;-20.0;;-31.0;;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1457.0;314.0;169.0;121.0;121.0;77.0;79.0;97.0;834.0;229.0;616.0;218.0;157.0;-143.0;-13.0;1.0;22.0;1143.0;21.55;193.0;;164.0;164.0;;28.0;1336.0;;;48.0;11.61;8.33;;8.33;45.0;5.25;1.0;0.97;76.0;;11.0;;11.0;9.0;20.0;57.0;607.0;;88.0;88.0;;8.0;33.0;736.0;;44.0;;;;185.0;304.0;;;83.0;387.0;;;;0.0;-38.0;-251.0;507.0;834.0;;834.0;;77.0;48.0;6.0;;12.0;;-2.0;;-132.0;15.0;-134.0;;;;-9.0;;4.0;;;-17.0;;11.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1633.0;332.0;180.0;123.0;123.0;100.0;79.0;99.0;907.0;209.0;591.0;316.0;142.0;-123.0;-23.0;-4.0;15.0;1302.0;20.3;209.0;;183.0;183.0;;26.0;1511.0;;;57.0;10.99;7.52;;7.52;23.0;6.14;1.31;1.27;77.0;;7.0;;7.0;14.0;26.0;53.0;679.0;;85.0;85.0;;13.0;30.0;807.0;;53.0;;;;155.0;283.0;;;99.0;382.0;;;;0.0;62.0;-289.0;543.0;907.0;-0.0;907.0;;100.0;57.0;4.0;;23.0;;-6.0;;-109.0;-42.0;-127.0;;;;4.0;;4.0;-6.0;;-21.0;;7.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
