;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;233.0;33.0;20.0;20.0;16.0;10.0;94.0;;;;;;8.0;-2.0;-6.0;-6.0;6.0;200.0;14.19;13.0;;9.0;;;4.0;213.0;;;4.0;8.68;8.43;-4.0;6.88;6.0;4.43;0.11;0.11;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;4.0;;;-6.0;;4.0;;;0.0;-2.0;;;;;;;;;-6.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;173.0;22.0;10.0;7.0;5.0;3.0;80.0;;;;;;17.0;-7.0;-9.0;-9.0;9.0;152.0;12.42;15.0;;10.0;;;5.0;166.0;;;5.0;5.6;3.87;-2.0;2.89;2.0;1.85;0.04;0.04;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;5.0;0.0;;;;0.0;;;8.0;-8.0;;;;0.0;;;;;-9.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;335.0;37.0;20.0;17.0;13.0;8.0;101.0;;;;;;-11.0;-25.0;37.0;37.0;-37.0;298.0;11.05;20.0;;14.0;;;7.0;318.0;;;7.0;6.04;4.99;-3.0;4.0;5.0;2.42;0.08;0.08;101.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;7.0;0.0;;;;-13.0;;;-26.0;-26.0;;;;1.0;;14.0;;;23.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;376.0;34.0;15.0;8.0;5.0;3.0;130.0;;;;;;-14.0;-15.0;30.0;30.0;-30.0;342.0;8.97;25.0;;16.0;;;10.0;367.0;;;10.0;3.86;2.24;-3.0;1.33;2.0;0.69;0.03;0.02;87.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;10.0;-1.0;;;;-23.0;;;-26.0;-15.0;;;;0.0;;1.0;1.0;;28.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;560.0;48.0;22.0;17.0;10.0;7.0;122.0;;;;;;-13.0;-25.0;42.0;42.0;-39.0;511.0;8.61;32.0;2.0;18.0;;;12.0;543.0;;;12.0;3.95;2.95;-6.0;1.81;3.0;1.3;0.07;0.06;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;12.0;2.0;;;;-37.0;;;-35.0;-26.0;;;;0.0;;1.0;;;42.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;863.0;73.0;56.0;45.0;38.0;24.0;146.0;227.0;300.0;112.0;176.0;124.0;100.0;-27.0;-5.0;68.0;73.0;790.0;8.46;28.0;2.0;26.0;26.0;;;818.0;;;18.0;6.51;5.26;-7.0;4.41;14.0;2.81;0.17;0.17;145.0;;73.0;;73.0;85.0;65.0;4.0;71.0;;;;;;2.0;73.0;;79.0;3.0;;;31.0;57.0;;3.0;4.0;64.0;;;;;67.0;-57.0;114.0;300.0;;300.0;;24.0;18.0;-3.0;;116.0;;27.0;;116.0;-55.0;-27.0;;;;0.0;;40.0;;;-45.0;;73.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;978.0;121.0;105.0;82.0;80.0;53.0;153.0;266.0;406.0;169.0;224.0;182.0;69.0;-93.0;-4.0;-28.0;-24.0;857.0;12.36;39.0;3.0;36.0;36.0;;;896.0;;;25.0;10.75;8.37;-2.0;8.2;28.0;5.37;0.34;0.34;153.0;;46.0;;46.0;117.0;96.0;7.0;140.0;;;;;;0.0;140.0;;126.0;3.0;;;41.0;50.0;;4.0;2.0;56.0;;;;;120.0;-77.0;139.0;406.0;;406.0;;53.0;25.0;-2.0;;;;-31.0;;116.0;-6.0;-94.0;;;;0.0;;4.0;;;-7.0;;46.0;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1277.0;162.0;118.0;85.0;82.0;57.0;154.0;290.0;527.0;187.0;278.0;248.0;98.0;-162.0;41.0;-22.0;-1.0;1116.0;12.67;56.0;4.0;52.0;52.0;;;1171.0;;;36.0;9.21;6.66;-3.0;6.42;25.0;4.45;0.38;0.37;149.0;;23.0;;23.0;126.0;123.0;18.0;225.0;;;;;;12.0;236.0;;133.0;8.0;;;46.0;82.0;;8.0;2.0;92.0;;;;;177.0;-100.0;171.0;527.0;;527.0;;57.0;36.0;-5.0;;-18.0;;11.0;;97.0;30.0;-100.0;;;;-62.0;;3.0;;;39.0;;23.0;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2000.0;228.0;196.0;141.0;140.0;92.0;164.0;588.0;921.0;331.0;375.0;546.0;107.0;-174.0;157.0;91.0;-43.0;1773.0;11.38;86.0;4.0;81.0;81.0;;1.0;1859.0;;;56.0;9.78;7.06;-2.0;6.97;48.0;4.57;0.58;0.56;157.0;;114.0;27.0;141.0;229.0;192.0;27.0;314.0;;;;;;19.0;333.0;;263.0;8.0;;;59.0;33.0;;9.0;2.0;44.0;;;;0.0;268.0;-142.0;419.0;921.0;;921.0;;92.0;56.0;5.0;;6.0;;-68.0;;104.0;-51.0;-150.0;;-27.0;;3.0;;205.0;;;-48.0;;114.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3558.0;358.0;312.0;213.0;213.0;146.0;187.0;1387.0;2018.0;692.0;748.0;1270.0;35.0;-336.0;513.0;212.0;35.0;3200.0;10.07;140.0;5.0;133.0;133.0;;3.0;3340.0;;;99.0;8.77;5.98;-0.0;5.98;67.0;4.09;0.81;0.78;179.0;;338.0;;338.0;523.0;478.0;49.0;587.0;;;;;;43.0;631.0;;594.0;8.0;;;90.0;25.0;;28.0;3.0;56.0;;;;0.0;427.0;-257.0;1100.0;2018.0;;2018.0;;146.0;99.0;14.0;;153.0;;-256.0;;257.0;-377.0;;-370.0;;27.0;6.0;;543.0;;;-30.0;;338.0;126.0;;;;;;;;;;;;;;;;;;;;;;;;;;
