;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;;-0.0;23.0;;;0.0;0.0;-0.0;;;;;;;;;;0.0;;;;0.0;;;;-inf;-inf;;;;-inf;-0.0;-0.0;23.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;;;;;;-0.0;;;;0.0;;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;;-0.0;23.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;;;0.0;;;;0.0;;;;-inf;-inf;;;;-inf;-0.0;-0.0;23.0;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;;0.0;-0.0;;;;;;;0.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-0.0;-0.0;;-0.0;28.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;;-0.0;-0.0;;;;;0.0;;;;0.0;;;;-inf;-inf;;;;-inf;-0.0;-0.0;28.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;35.0;7.0;7.0;5.0;5.0;5.0;16.0;43.0;56.0;42.0;43.0;13.0;7.0;-17.0;10.0;0.0;3.0;27.0;21.52;2.0;;2.0;;;;30.0;;1.0;1.0;21.08;14.95;-1.0;13.42;-0.0;14.49;0.31;0.31;16.0;;1.0;;1.0;13.0;3.0;25.0;12.0;;0.0;0.0;;0.0;;13.0;;6.0;35.0;;;1.0;;;0.0;;0.0;;;;0.0;5.0;1.0;;56.0;;56.0;;5.0;1.0;-0.0;;0.0;;2.0;;0.0;1.0;-4.0;-12.0;;;-1.0;;;;;10.0;1.0;1.0;1.0;;;;-0.0;-0.0;;;-0.0;20.0;-42630.3;-2455.7;;;-inf;;-0.0;;-inf;-0.0;;-0.0;;-502.5;25.8;100.0;
2007.0;35.0;7.0;7.0;5.0;5.0;5.0;16.0;43.0;56.0;42.0;43.0;13.0;7.0;-17.0;10.0;0.0;3.0;27.0;21.52;2.0;;2.0;;;;30.0;;1.0;1.0;21.08;14.95;-1.0;13.42;-0.0;14.49;0.31;0.31;16.0;;1.0;;1.0;13.0;3.0;25.0;12.0;;0.0;0.0;;0.0;;13.0;;6.0;35.0;;;1.0;;;0.0;;0.0;;;;0.0;5.0;1.0;;56.0;;56.0;;5.0;1.0;-0.0;;0.0;;2.0;;0.0;1.0;-4.0;-12.0;;;-1.0;;;;;10.0;1.0;1.0;1.0;;;2.16;0.31;0.19;;0.26;0.81;16.0;13.6;0.8;;35.0;15.0;1.0;5.0;-8.0;14.5;0.0;;13.0;47.5;10.5;38.6;100.0;
2008.0;41.0;10.0;9.0;6.0;5.0;5.0;20.0;37.0;70.0;51.0;51.0;18.0;15.0;-22.0;6.0;-1.0;6.0;31.0;23.7;3.0;1.0;479.0;2.0;477.0;-477.0;34.0;;2.0;2.0;21.94;15.9;-2.0;11.36;-0.0;12.1;0.25;0.25;20.0;;0.0;;0.0;21.0;3.0;13.0;23.0;;9.0;9.0;;;0.0;32.0;;10.0;39.0;;;2.0;;;;;;;;;0.0;10.0;1.0;7.0;70.0;-0.0;70.0;;5.0;2.0;0.0;;-14.0;4.0;0.0;3.0;-14.0;23.0;-9.0;-0.0;-19.0;6.0;0.0;-33.0;;;;39.0;-0.0;0.0;1.0;;;2.03;0.25;0.31;;0.45;0.92;20.0;15.4;0.7;;41.0;15.9;2.0;5.0;-0.2;12.1;-14.0;;18.0;37.6;9.9;26.6;100.0;
2009.0;34.0;8.0;7.0;2.0;1.0;1.0;21.0;30.0;64.0;42.0;42.0;22.0;-9.0;6.0;2.0;0.0;-14.0;26.0;24.26;6.0;2.0;1026.0;3.0;1023.0;-1022.0;32.0;0.0;2.0;3.0;19.37;6.74;-1.0;3.85;0.0;2.96;0.05;0.05;20.0;;0.0;;0.0;18.0;5.0;7.0;23.0;;11.0;11.0;;;0.0;34.0;;6.0;34.0;0.0;;2.0;;;;;;;;;0.0;11.0;2.0;9.0;64.0;0.0;64.0;;1.0;3.0;-0.0;;2.0;-7.0;-2.0;-5.0;-12.0;-15.0;-5.0;;-10.0;21.0;-1.0;-56.0;;;;59.0;1.0;0.0;0.0;;;1.69;0.05;-0.68;;0.26;1.1;20.0;38.5;0.5;;34.0;6.7;3.0;1.0;23.1;3.0;-12.0;;22.0;10.9;4.9;4.6;100.0;
2010.0;43.0;10.0;7.0;3.0;-1.0;-1.0;22.0;74.0;110.0;56.0;65.0;44.0;4.0;-26.0;29.0;8.0;1.0;33.0;22.38;6.0;2.0;1124.0;3.0;1121.0;-1120.0;40.0;1.0;3.0;5.0;16.4;7.51;-4.0;-1.17;0.0;-2.33;-0.04;-0.04;22.0;;8.0;0.0;8.0;43.0;6.0;18.0;24.0;;11.0;11.0;0.0;;0.0;35.0;;7.0;47.0;0.0;;1.0;;;;9.0;9.0;;;;0.0;10.0;3.0;31.0;110.0;0.0;110.0;;-1.0;5.0;-0.0;;31.0;-2.0;-0.0;2.0;19.0;-30.0;-4.0;;-0.0;;-22.0;-71.0;;;;99.0;-0.0;8.0;0.0;;;1.93;-0.05;0.04;;0.16;2.01;22.0;-100.9;-4.9;;43.0;7.5;5.0;-1.0;-80.0;-2.3;19.0;;44.0;7.8;2.1;-2.2;100.0;
2011.0;40.0;9.0;16.0;3.0;10.0;9.0;29.0;70.0;112.0;53.0;56.0;56.0;13.0;-22.0;4.0;-5.0;2.0;31.0;22.89;6.0;2.0;5.0;3.0;1.0;-1.0;37.0;2.0;2.0;5.0;40.65;7.55;7.0;24.13;1.0;22.64;0.33;0.32;27.0;;2.0;0.0;3.0;53.0;7.0;7.0;31.0;;11.0;11.0;0.0;;0.0;42.0;;6.0;36.0;0.0;;10.0;;;0.0;4.0;4.0;;;;0.0;19.0;5.0;32.0;112.0;0.0;112.0;;9.0;5.0;0.0;;-1.0;5.0;-1.0;-2.0;18.0;-0.0;-10.0;;;;-12.0;-42.0;;;;47.0;-0.0;2.0;8.0;;;1.47;0.33;0.08;;0.38;2.04;27.0;8.9;0.5;;40.0;7.6;5.0;9.0;6.2;22.6;18.0;;56.0;18.3;10.4;16.3;100.0;
