;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;810.95;808.81;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;53.0;;83.0;;24.0;16.0;70.0;;;;;;21.0;-219.0;135.0;-63.0;17.0;;;;;17.0;16.0;1.0;;;106.0;54.0;4.0;155.15;;;45.65;8.0;30.83;0.23;0.23;70.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0;4.0;-0.0;;-1.0;1.0;;-1.0;;2.0;-4.0;;-628.0;404.0;10.0;-10.0;0.0;-3.0;;146.0;;97.0;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;54.0;;56.0;;9.0;4.0;70.0;938.0;1996.0;;1701.0;296.0;9.0;123.0;97.0;229.0;6.0;;;;;19.0;18.0;1.0;;;96.0;45.0;2.0;104.21;;;17.32;5.0;7.56;0.06;0.06;70.0;;115.0;;115.0;8.0;;815.0;20.0;32.0;;32.0;1007.0;;;1058.0;3055.0;;;;;;76.0;;;;76.0;1777.0;;;0.0;274.0;8.0;14.0;1996.0;;1996.0;;4.0;2.0;-1.0;;1.0;1.0;;-0.0;;3.0;-4.0;-94.0;-417.0;554.0;84.0;-36.0;0.0;;;133.0;;326.0;97.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;48.0;;53.0;;19.0;13.0;70.0;579.0;1937.0;;1643.0;294.0;15.0;-243.0;-57.0;-286.0;7.0;;;;;19.0;18.0;1.0;;;79.0;32.0;2.0;109.51;;;38.75;6.0;26.81;0.18;0.18;70.0;;39.0;;39.0;10.0;;529.0;27.0;82.0;;82.0;1249.0;;;1358.0;3294.0;;;;;;94.0;;;;94.0;1737.0;;;0.0;283.0;10.0;0.0;1937.0;;1937.0;;13.0;2.0;1.0;;-3.0;-1.0;;-0.0;;3.0;-8.0;;-688.0;449.0;4.0;-12.0;;;;-46.0;;39.0;326.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;62.0;;59.0;;27.0;19.0;98.0;728.0;2107.0;;1602.0;505.0;20.0;-76.0;156.0;100.0;10.0;;;;;23.0;22.0;1.0;;;82.0;30.0;2.0;96.22;;;43.22;8.0;30.72;0.2;0.2;98.0;;140.0;;140.0;10.0;;578.0;35.0;82.0;;82.0;1262.0;;;1379.0;3486.0;;;;;;62.0;;;;62.0;1663.0;;;7.0;302.0;5.0;191.0;2107.0;;2107.0;;19.0;2.0;0.0;;4.0;-1.0;;-0.0;;-6.0;-10.0;;-218.0;205.0;-52.0;-3.0;197.0;;;-38.0;;140.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;54.0;;53.0;;12.0;10.0;98.0;972.0;2008.0;;1517.0;491.0;15.0;183.0;-108.0;90.0;12.0;;;;;29.0;28.0;1.0;;;89.0;39.0;3.0;98.26;;;22.01;2.0;17.79;0.1;0.1;98.0;;230.0;;230.0;9.0;;733.0;36.0;82.0;;82.0;917.0;;;1036.0;3043.0;;;;;;61.0;;;;61.0;1578.0;;;7.0;307.0;-0.0;177.0;2008.0;;2008.0;;10.0;3.0;-0.0;5.0;-2.0;2.0;;0.0;-0.0;0.0;-3.0;;-116.0;452.0;-150.0;-1.0;;-19.0;;-88.0;;230.0;140.0;;;0.55;0.1;0.13;;0.03;5.02;98.0;106.6;5.9;;54.0;;3.0;10.0;19.2;17.8;972.0;61.0;491.0;2.0;2.5;2.0;100.0;154.3
2007.0;48.0;;56.0;;2.0;2.0;96.0;1067.0;1917.0;;1455.0;463.0;13.0;13.0;-93.0;-67.0;11.0;;;;;29.0;28.0;2.0;;;96.0;50.0;4.0;117.98;;;4.53;0.0;4.06;0.02;0.02;96.0;;163.0;;163.0;8.0;;896.0;35.0;;;82.0;733.0;;;850.0;2768.0;;;;;;28.0;;;;28.0;1483.0;;;7.0;305.0;-23.0;174.0;1917.0;;1917.0;;2.0;4.0;-2.0;;1.0;;;;;8.0;-1.0;;-105.0;278.0;-159.0;-33.0;;;;-60.0;;163.0;230.0;;;0.5;0.02;0.12;;0.01;4.84;96.0;485.8;28.0;;48.0;;4.0;2.0;10.3;4.1;1067.0;28.0;463.0;2.5;2.7;0.4;100.0;
2008.0;49.0;;62.0;;8.0;6.0;95.0;1202.0;2083.0;;1612.0;471.0;16.0;-194.0;146.0;-32.0;15.0;;;;;26.0;25.0;1.0;;;97.0;51.0;3.0;125.89;;;16.07;2.0;12.08;0.07;0.07;95.0;;132.0;;132.0;9.0;;1061.0;35.0;;;82.0;764.0;;;881.0;2964.0;;;;;;218.0;;;;218.0;1830.0;;;7.0;307.0;-14.0;171.0;2083.0;;2083.0;;6.0;3.0;-2.0;;2.0;;;;;7.0;-1.0;;-233.0;203.0;-163.0;-10.0;;;;156.0;;132.0;163.0;;;0.52;0.06;0.16;;0.02;4.97;95.0;135.4;6.3;;49.0;;3.0;6.0;24.8;12.1;1202.0;218.0;471.0;2.1;2.8;1.3;100.0;
2009.0;55.0;;57.0;;11.0;6.0;94.0;1291.0;2125.0;;1648.0;477.0;20.0;43.0;17.0;80.0;18.0;;;;;30.0;30.0;1.0;;;98.0;44.0;2.0;103.2;;;19.9;5.0;11.57;0.07;0.07;94.0;;212.0;;212.0;8.0;;1071.0;35.0;82.0;;82.0;716.0;;;834.0;2959.0;;;;;;210.0;;;;210.0;1858.0;;;7.0;310.0;8.0;151.0;2125.0;;2125.0;;6.0;2.0;1.0;7.0;3.0;;;-0.0;;2.0;-2.0;;-77.0;141.0;-18.0;-8.0;;-14.0;-3.0;42.0;;212.0;132.0;;;0.59;0.07;0.19;0.04;0.02;5.07;94.0;113.6;1.6;0.5;55.0;;2.0;6.0;41.8;11.6;1291.0;210.0;477.0;1.5;2.6;1.3;45.5;97.9
2010.0;59.0;;50.0;;12.0;7.0;94.0;1233.0;2340.0;;1854.0;486.0;13.0;-233.0;190.0;-30.0;11.0;;;;;31.0;30.0;1.0;;;93.0;36.0;2.0;83.82;;;19.79;5.0;11.45;0.07;0.07;94.0;;181.0;;181.0;8.0;;1043.0;35.0;82.0;;82.0;990.0;;;1107.0;3447.0;;;;;;210.0;;4.0;;214.0;2068.0;;;7.0;313.0;17.0;149.0;2340.0;;2340.0;;7.0;2.0;-0.0;6.0;-5.0;;;0.0;;3.0;-1.0;;-490.0;230.0;28.0;;;-9.0;-4.0;202.0;;181.0;212.0;;;0.63;0.07;0.12;0.04;0.01;5.18;94.0;93.0;4.5;0.6;59.0;;2.0;7.0;42.1;11.5;1233.0;210.0;486.0;1.2;2.1;1.4;45.8;108.5
2011.0;73.0;;47.0;;12.0;8.0;93.0;1543.0;2904.0;;2416.0;488.0;29.0;-13.0;26.0;41.0;27.0;;;;;36.0;35.0;1.0;;;100.0;32.0;2.0;63.98;;;16.64;4.0;10.76;0.09;0.09;93.0;;223.0;;223.0;10.0;;1311.0;40.0;109.0;;109.0;1213.0;;;1361.0;4265.0;;;;;;248.0;;2.0;;249.0;2666.0;;;7.0;317.0;15.0;148.0;2904.0;;2904.0;;8.0;2.0;1.0;3.0;0.0;;;-0.0;;14.0;-2.0;-25.0;-608.0;542.0;79.0;-17.0;;-4.0;-3.0;50.0;;223.0;181.0;;;0.79;0.08;0.29;0.03;0.02;5.27;93.0;79.7;4.9;0.5;73.0;;2.0;8.0;35.3;10.8;1543.0;248.0;488.0;1.0;1.5;1.6;60.6;27.8
2012.0;72.0;;39.0;;8.0;5.0;92.0;1511.0;2937.0;;2445.0;492.0;37.0;-118.0;14.0;-67.0;36.0;;;;;38.0;36.0;1.0;;;99.0;28.0;3.0;53.98;;;10.86;3.0;7.02;0.06;0.06;92.0;;156.0;;156.0;8.0;;1347.0;39.0;109.0;;109.0;1278.0;;;1426.0;4363.0;;;;;;250.0;;7.0;;257.0;2702.0;;;7.0;320.0;24.0;141.0;2937.0;;2937.0;;5.0;3.0;0.0;2.0;3.0;;;-0.0;-1.0;24.0;-2.0;;-549.0;463.0;-30.0;-0.0;;-8.0;-3.0;26.0;;156.0;223.0;;;0.79;0.06;0.39;0.04;0.02;5.36;92.0;124.7;8.4;0.5;72.0;;3.0;5.0;35.3;7.0;1511.0;250.0;492.0;0.8;1.2;1.0;31.9;33.5
2013.0;83.0;;34.0;;9.0;7.0;91.0;2490.0;3145.0;;2678.0;468.0;30.0;-284.0;226.0;-29.0;29.0;;;;;39.0;38.0;1.0;;;88.0;22.0;3.0;40.54;;;10.59;2.0;7.87;0.07;0.07;91.0;;127.0;300.0;427.0;8.0;;2054.0;37.0;109.0;;109.0;510.0;;;656.0;3801.0;;;;;;288.0;;;;288.0;2965.0;;;7.0;326.0;-4.0;138.0;3145.0;;3145.0;;7.0;3.0;0.0;2.0;1.0;0.0;;-0.0;-2.0;17.0;-1.0;;-503.0;34.0;185.0;-219.0;;-4.0;;449.0;;127.0;156.0;;;0.91;0.07;0.32;;0.01;5.12;91.0;104.4;6.1;;83.0;;3.0;7.0;25.7;7.9;2490.0;288.0;468.0;0.7;1.0;1.4;100.0;15.0
2014.0;82.0;;39.0;;14.0;10.0;91.0;2737.0;3510.0;;3015.0;495.0;26.0;-246.0;228.0;8.0;22.0;;;;;40.0;39.0;1.0;;;96.0;22.0;3.0;47.8;;;17.58;4.0;12.43;0.12;0.12;91.0;;135.0;408.0;543.0;9.0;;2185.0;40.0;109.0;;109.0;624.0;;;773.0;4283.0;;;;;;512.0;;;;512.0;3528.0;;;7.0;336.0;-2.0;153.0;3510.0;;3510.0;;10.0;3.0;0.0;2.0;0.0;-1.0;;0.0;-3.0;11.0;-4.0;9.0;-168.0;57.0;-141.0;-800.0;1.0;-4.0;;1030.0;;135.0;127.0;;;0.9;0.11;0.25;;0.04;5.45;91.0;90.3;5.0;;82.0;;3.0;10.0;29.3;12.4;2737.0;512.0;495.0;0.7;1.0;2.1;100.0;11.8
2015.0;89.0;;33.0;;4.0;6.0;92.0;3449.0;4237.0;;3070.0;1167.0;21.0;-525.0;710.0;205.0;18.0;;;;;44.0;42.0;1.0;;;106.0;25.0;3.0;37.18;;;4.92;-1.0;6.36;0.06;0.06;92.0;;340.0;421.0;761.0;10.0;;2678.0;39.0;109.0;;109.0;641.0;;;788.0;5025.0;;;;;;571.0;;;;571.0;3641.0;;;1.0;342.0;-8.0;832.0;4237.0;;4237.0;;6.0;3.0;-3.0;3.0;-3.0;-1.0;;0.0;-3.0;15.0;-2.0;0.0;-63.0;47.0;-508.0;-1600.0;708.0;;;1602.0;;340.0;135.0;;;0.97;0.06;0.2;;0.02;12.73;92.0;180.9;9.0;;89.0;;3.0;6.0;-29.1;6.4;3449.0;571.0;1167.0;0.9;0.7;0.5;100.0;-3838.2
2016.0;106.0;;58.0;;23.0;16.0;90.0;3796.0;4500.0;;3352.0;1148.0;39.0;-422.0;242.0;-141.0;37.0;;;;;48.0;46.0;2.0;;;127.0;32.0;3.0;54.55;;;21.38;7.0;14.97;0.18;0.18;90.0;;199.0;390.0;589.0;11.0;;3196.0;38.0;109.0;;109.0;557.0;;;704.0;5204.0;;;;;;614.0;;;;614.0;3967.0;;;1.0;351.0;-17.0;813.0;4500.0;;4500.0;;16.0;3.0;-2.0;3.0;-7.0;-1.0;;0.0;-6.0;26.0;-2.0;;-12.0;86.0;-493.0;-1658.0;;-22.0;-7.0;1929.0;;199.0;340.0;;;1.18;0.18;0.41;0.08;0.02;12.81;90.0;74.5;3.4;0.6;106.0;;3.0;16.0;30.0;15.0;3796.0;614.0;1148.0;0.8;1.2;1.4;54.7;79.6
2017.0;114.0;;67.0;;27.0;19.0;85.0;4081.0;4818.0;31.0;3761.0;1057.0;39.0;-454.0;294.0;-121.0;34.0;;;;;54.0;51.0;3.0;;;139.0;37.0;3.0;58.74;;;24.07;9.0;16.33;0.22;0.22;85.0;;78.0;444.0;523.0;12.0;;3546.0;40.0;109.0;;109.0;589.0;;;737.0;5556.0;;31.0;;;;806.0;;;;806.0;4537.0;;;1.0;361.0;1.0;694.0;4818.0;;4818.0;;19.0;3.0;-2.0;7.0;-7.0;-1.0;;0.0;-5.0;19.0;-4.0;;-173.0;152.0;-428.0;-2103.0;;-126.0;-8.0;2531.0;;78.0;199.0;;;1.35;0.22;0.41;0.1;0.05;12.5;85.0;67.3;2.9;0.7;114.0;;3.0;19.0;32.2;16.3;4050.0;806.0;1057.0;0.9;1.3;1.8;55.5;389.3
2018.0;135.0;;88.0;;34.0;20.0;83.0;4992.0;6580.0;29.0;5311.0;1269.0;45.0;-1.0;7.0;51.0;37.0;;;;;61.0;58.0;3.0;;;171.0;50.0;4.0;65.2;;;25.27;14.0;14.56;0.24;0.24;83.0;;129.0;725.0;854.0;19.0;;4119.0;56.0;211.0;6.0;217.0;1315.0;;;1588.0;8168.0;;29.0;;;;1199.0;;;;1199.0;6481.0;;;1.0;359.0;19.0;890.0;6580.0;;6580.0;;20.0;4.0;7.0;9.0;-4.0;-2.0;;1.0;-5.0;10.0;-8.0;30.0;-312.0;427.0;-139.0;-2520.0;;-144.0;-21.0;2692.0;;129.0;78.0;;;1.63;0.24;0.45;0.25;0.1;15.36;83.0;57.0;2.3;1.8;135.0;;4.0;20.0;42.4;14.6;4963.0;1199.0;1269.0;0.7;1.3;1.5;-4.9;446.8
2019.0;169.0;;144.0;;56.0;42.0;91.0;5071.0;6635.0;9.0;5508.0;1127.0;40.0;-149.0;19.0;-90.0;34.0;;;;;71.0;68.0;3.0;;;237.0;82.0;5.0;85.0;;;33.2;14.0;24.96;0.46;0.46;91.0;;39.0;714.0;753.0;19.0;;4298.0;57.0;211.0;5.0;216.0;1291.0;;;1564.0;8199.0;;9.0;;;;1322.0;;;;1322.0;6821.0;;;1.0;367.0;3.0;757.0;6635.0;;6635.0;;42.0;5.0;5.0;9.0;-4.0;-1.0;;4.0;-6.0;-17.0;-6.0;;-181.0;210.0;-171.0;-3141.0;;-143.0;-35.0;3338.0;;39.0;129.0;;;1.85;0.46;0.37;0.38;0.07;12.38;91.0;28.9;1.2;2.9;169.0;;5.0;42.0;24.8;25.0;5062.0;1322.0;1127.0;1.6;2.1;3.7;17.5;525.2
2020.0;169.0;;147.0;;57.0;45.0;84.0;5068.0;6758.0;6.0;5674.0;1084.0;20.0;85.0;37.0;142.0;14.0;;;;;68.0;65.0;3.0;;;233.0;84.0;6.0;86.9;;;33.86;12.0;26.6;0.55;0.55;84.0;;181.0;1386.0;1567.0;17.0;;3484.0;57.0;211.0;4.0;215.0;1418.0;;;1691.0;8449.0;;6.0;;;;1173.0;;;;1173.0;6841.0;;;1.0;388.0;1.0;694.0;6758.0;;6758.0;;45.0;6.0;1.0;8.0;-27.0;2.0;;-5.0;-6.0;-13.0;-6.0;;-489.0;384.0;197.0;-3508.0;;-71.0;-24.0;3640.0;;181.0;39.0;;;2.02;0.54;0.17;0.29;0.07;12.96;84.0;17.2;0.5;3.1;169.0;;6.0;45.0;21.5;26.6;5062.0;1173.0;1084.0;1.6;2.1;4.1;46.4;685.3
2021.0;206.0;;141.0;;84.0;63.0;82.0;5298.0;7284.0;;6241.0;1043.0;75.0;-84.0;-105.0;-113.0;70.0;;;;;76.0;74.0;2.0;;;234.0;50.0;7.0;68.47;;;40.98;21.0;30.66;0.77;0.77;82.0;;68.0;1677.0;1745.0;19.0;;3534.0;56.0;211.0;4.0;215.0;1715.0;;;1986.0;9270.0;;;;;;686.0;;;;686.0;6927.0;;;1.0;408.0;6.0;628.0;7284.0;;7284.0;;63.0;7.0;4.0;8.0;6.0;-0.0;;-1.0;-6.0;-12.0;-5.0;4.0;-931.0;622.0;226.0;-2848.0;;-120.0;-29.0;2892.0;;68.0;181.0;;;2.5;0.77;0.85;0.35;0.07;12.66;82.0;16.0;0.5;2.8;206.0;;7.0;63.0;25.2;30.7;5298.0;686.0;1043.0;1.4;1.8;6.1;54.7;212.2
