;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;908.0;;126.0;908.0;;126.0;98.0;;974.0;;663.0;311.0;;;;;;;;;;;;;;;;;;13.86;100.0;;;;13.86;1.28;1.28;98.0;;;;;;;;;;;;;;;;974.0;;;;;;;;;;;663.0;;;;;;311.0;974.0;;974.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;922.0;;130.0;922.0;;130.0;98.0;;893.0;;547.0;347.0;;;;;;;;;;;;;;;;;;14.12;100.0;;;;14.12;1.33;1.33;98.0;;;;;;;;;;;;;;;;893.0;;;;;;;;;;;547.0;;;;;;347.0;893.0;;893.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;835.0;;155.0;835.0;;155.0;98.0;;910.0;;532.0;379.0;;;;;;;;;;;;;;;;;;18.5;100.0;;;;18.5;1.58;1.58;98.0;;;;;;;;;;;;;;;;910.0;;;;;;;;;;;532.0;;;;;;379.0;910.0;;910.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;875.0;;66.0;875.0;;66.0;98.0;;989.0;;673.0;316.0;111.0;-35.0;-94.0;-94.0;111.0;;;;;;;;;;;;;7.59;100.0;;;;7.59;0.68;0.68;98.0;;;;;;;;;;;;;;;;989.0;;;;;;;;;;;673.0;;;;;;316.0;989.0;;989.0;;66.0;;;;;;;;;45.0;;;;;-35.0;;;;;-94.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1008.0;269.0;174.0;132.0;99.0;88.0;98.0;523.0;1122.0;192.0;962.0;159.0;108.0;-35.0;-62.0;15.0;72.0;739.0;26.68;136.0;;129.0;129.0;;8.0;876.0;2.0;35.0;39.0;17.21;13.14;-33.0;9.85;12.0;8.68;0.9;0.9;98.0;;56.0;;56.0;157.0;266.0;44.0;435.0;;;;;7.0;157.0;599.0;;167.0;0.0;;;25.0;556.0;;120.0;94.0;770.0;;;;0.0;;-901.0;1060.0;1121.0;1.0;1122.0;;88.0;39.0;36.0;;332.0;;-26.0;;332.0;-387.0;-35.0;;;;-0.0;;;;-7.0;-55.0;5.0;56.0;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1129.0;262.0;161.0;115.0;65.0;315.0;98.0;496.0;1353.0;213.0;882.0;471.0;151.0;-40.0;-109.0;5.0;112.0;866.0;23.24;147.0;;149.0;149.0;;-2.0;1014.0;2.0;53.0;44.0;14.28;10.19;-50.0;5.72;-250.0;27.9;3.21;3.21;98.0;;61.0;;61.0;194.0;234.0;7.0;467.0;;;;;238.0;153.0;858.0;;170.0;14.0;;;29.0;519.0;;60.0;90.0;669.0;;;;0.0;-463.0;-127.0;1061.0;1353.0;0.0;1353.0;;315.0;44.0;-263.0;;-49.0;;48.0;;283.0;104.0;-39.0;;;;-1.0;;;;-49.0;-60.0;3.0;61.0;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1197.0;327.0;226.0;175.0;138.0;71.0;98.0;525.0;1299.0;205.0;889.0;410.0;98.0;-40.0;-45.0;11.0;54.0;870.0;27.31;152.0;;151.0;151.0;;1.0;1021.0;2.0;45.0;44.0;18.91;14.65;-37.0;11.54;67.0;5.93;0.72;0.72;98.0;;72.0;;72.0;186.0;260.0;8.0;419.0;;;;;214.0;141.0;774.0;;166.0;1.0;;;39.0;464.0;;53.0;166.0;684.0;;;;0.0;-441.0;-211.0;1062.0;1299.0;0.0;1299.0;;71.0;44.0;26.0;;38.0;;-48.0;;320.0;-81.0;-43.0;;;0.0;4.0;;;;-49.0;4.0;-2.0;72.0;61.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1279.0;311.0;169.0;143.0;81.0;82.0;98.0;563.0;1422.0;179.0;973.0;448.0;72.0;-51.0;-35.0;-9.0;21.0;969.0;24.27;167.0;;164.0;164.0;;3.0;1136.0;4.0;43.0;44.0;13.19;11.19;-62.0;6.36;-1.0;6.41;0.83;0.83;98.0;;63.0;;63.0;204.0;287.0;9.0;462.0;;;;;264.0;132.0;859.0;;89.0;1.0;;;90.0;535.0;;47.0;211.0;794.0;;;;0.0;-406.0;-207.0;1062.0;1421.0;0.0;1422.0;;82.0;44.0;-28.0;;63.0;;-6.0;;383.0;-89.0;-51.0;;;;0.0;;;;-49.0;14.0;5.0;63.0;72.0;;;13.07;0.84;0.21;0.5;0.52;4.58;98.0;18.4;1.0;3.3;1279.0;11.2;44.0;82.0;-0.8;6.4;383.0;535.0;448.0;10.1;8.8;18.3;40.3;233.2
2007.0;1310.0;251.0;136.0;85.0;48.0;-67.0;98.0;622.0;1455.0;225.0;1044.0;411.0;90.0;-47.0;-40.0;9.0;43.0;1059.0;19.19;167.0;;;;;167.0;1225.0;3.0;39.0;49.0;10.4;6.48;-37.0;3.66;115.0;-5.09;-0.68;-0.68;98.0;;72.0;;72.0;227.0;313.0;9.0;527.0;;;;;169.0;138.0;833.0;;106.0;16.0;;;103.0;590.0;;48.0;181.0;820.0;;;;1.0;-528.0;-123.0;;1455.0;;1455.0;;-67.0;49.0;105.0;;14.0;;6.0;;397.0;-11.0;-47.0;;;;-0.0;;;;-49.0;9.0;6.0;72.0;63.0;;;13.37;-0.68;0.44;0.5;0.48;4.19;98.0;-19.6;-1.1;3.7;1310.0;6.5;49.0;-67.0;239.0;-5.1;397.0;590.0;411.0;-9.9;6.0;-16.2;173.5;
2008.0;1317.0;221.0;100.0;47.0;6.0;9.0;98.0;590.0;1359.0;204.0;1041.0;318.0;3.0;-68.0;10.0;-59.0;-65.0;1096.0;16.75;173.0;;167.0;167.0;;6.0;1270.0;1.0;42.0;51.0;7.56;3.58;-41.0;0.46;-3.0;0.68;0.09;0.09;98.0;;14.0;;14.0;179.0;385.0;12.0;486.0;;;;;166.0;117.0;769.0;;128.0;1.0;;;75.0;638.0;;36.0;163.0;836.0;;;;1.0;-568.0;-177.0;1062.0;1359.0;;1359.0;;9.0;51.0;-11.0;;-12.0;;-94.0;;385.0;-35.0;-68.0;;;;;;;;-49.0;59.0;-4.0;14.0;72.0;;;13.44;0.09;-0.67;0.5;0.69;3.24;98.0;94.3;4.4;5.8;1317.0;3.6;51.0;9.0;-50.0;0.7;385.0;638.0;318.0;6.3;3.5;2.8;-444.4;-74.9
