;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010.0;;;-0.0;-0.0;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.03;-0.03;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;;;;0.0;;;0.0;0.0;;;;;;;;0.0;;;;-0.0;0.0;;;;;-0.03;;;;;0.0;;;;;-inf;;-0.0;;-inf;;;;;;;;
2011.0;;;-0.0;-0.0;;-0.0;1.0;0.0;0.0;;;0.0;-0.0;;;-0.0;-0.0;;;;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.12;-0.12;1.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-0.0;-0.0;0.0;;0.0;0.0;;-0.0;;;;-0.0;-0.0;;-0.0;0.0;0.0;;;;;;;;;;;-0.0;0.0;0.0;;;;-0.07;;;;;1.0;;;;;-inf;;-0.0;;-inf;;;;;;;;
2012.0;;;;;;;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;;;;;;;;;;;;;;;;;-7.18;-7.18;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;;;;-0.0;0.0;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.07;-0.02;;;0.17;0.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;;-42.4;-43.0;100.0;
2012.0;;;;;;;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;;;;;;;;;;;;;;;;;-7.18;-7.18;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;;;;-0.0;0.0;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;;-0.12;;;0.03;0.0;;;;;;;;;;0.0;;0.0;;;;100.0;
2013.0;;;-6.0;-6.0;-8.0;-8.0;1.0;4.0;4.0;0.0;5.0;-1.0;-6.0;;10.0;4.0;-6.0;;;6.0;2.0;4.0;4.0;;;6.0;0.0;0.0;;-inf;-inf;-2.0;-inf;;-inf;-11.2;-11.2;1.0;;4.0;;4.0;0.0;;0.0;;;;;;;;;;0.0;;;;0.0;0.0;;;5.0;5.0;;;;0.0;-16.0;0.0;15.0;4.0;;4.0;;-8.0;;;2.0;4.0;;;-1.0;4.0;-3.0;;;;;;;10.0;;;;;4.0;0.0;;;;-11.18;-0.02;;;-0.01;1.0;-1.4;-0.1;;;-inf;;-8.0;;-inf;-0.0;;-0.0;76831.1;-350750.8;101229.4;100.0;
2014.0;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.65;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.69;;;-0.1;8.0;inf;inf;;;;;;;;4.0;0.0;-1.0;;;;100.0;
2015.0;;;-5.0;-5.0;-5.0;-5.0;1.0;3.0;3.0;1.0;2.0;1.0;-4.0;;1.0;-3.0;-4.0;;;5.0;3.0;2.0;2.0;;;5.0;0.0;0.0;;-inf;-inf;-0.0;-inf;;-inf;-5.2;-5.2;1.0;;2.0;;2.0;0.0;;1.0;;;;;;;;;;1.0;;;;0.0;;;;1.0;1.0;;;0.0;0.0;-23.0;0.0;24.0;3.0;;3.0;;-5.0;;;0.0;-2.0;;;1.0;2.0;3.0;;;;;;;;;-0.0;1.0;;2.0;5.0;;;;-5.04;-4.05;0.01;;0.54;1.0;-1.6;-0.1;0.1;;-inf;;-5.0;;-inf;2.0;;1.0;-274.3;-183.4;-936.9;100.1;
2016.0;;;-4.0;-6.0;-9.0;-9.0;1.0;6.0;6.0;1.0;1.0;5.0;-5.0;-0.0;10.0;4.0;-5.0;;;6.0;3.0;3.0;3.0;;;6.0;0.0;;0.0;-inf;-inf;-3.0;-inf;;-inf;-8.1;-8.1;1.0;;6.0;;6.0;0.0;;0.0;;;;0.0;;;;0.0;;1.0;;;;0.0;;;;1.0;1.0;;;7.0;0.0;-32.0;0.0;30.0;6.0;;6.0;;-9.0;0.0;;0.0;4.0;;;-0.0;6.0;-1.0;-0.0;;;;-0.0;;2.0;;-0.0;7.0;;6.0;2.0;;;;-8.1;-4.72;0.01;0.02;4.44;1.0;-5.2;-0.2;0.0;;-inf;0.0;-9.0;;-inf;6.0;;5.0;-62.2;-56.1;-182.5;100.1;
2017.0;;;-9.0;-8.0;-8.0;-8.0;1.0;8.0;8.0;1.0;1.0;7.0;-8.0;-0.0;8.0;0.0;-8.0;;;8.0;5.0;3.0;3.0;;;8.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-7.4;-7.4;1.0;;7.0;;7.0;0.0;;1.0;;;;0.0;;;;0.0;;1.0;;;;0.0;;;;0.0;0.0;;;6.0;0.0;-41.0;0.0;41.0;8.0;;8.0;;-8.0;0.0;;0.0;1.0;;;1.0;7.0;-1.0;-0.0;;;;-0.0;;8.0;;-0.0;1.0;;7.0;6.0;;;;-6.71;-6.67;0.01;0.02;5.46;1.0;-3.7;-0.2;0.0;;-inf;0.0;-8.0;;-inf;7.0;;7.0;-129.6;-108.2;-122.9;100.1;
2018.0;;;-11.0;-11.0;-11.0;-11.0;2.0;7.0;7.0;2.0;2.0;5.0;-10.0;-0.0;9.0;-1.0;-10.0;;;11.0;7.0;4.0;4.0;;;11.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-5.42;-5.42;2.0;;6.0;;6.0;0.0;;1.0;;;;0.0;;;;0.0;;1.0;;;;0.0;;;;0.0;0.0;;;6.0;0.0;-52.0;0.0;51.0;7.0;;7.0;;-11.0;0.0;;1.0;-1.0;;;0.0;5.0;2.0;-0.0;;;;-0.0;;9.0;;-0.0;0.0;;6.0;7.0;;;;-5.34;-4.73;0.0;0.01;2.61;2.0;-1.6;-0.1;0.0;;-inf;0.0;-11.0;;-inf;5.0;;5.0;-205.6;-158.0;-204.9;100.1;
2019.0;;;-9.0;-8.0;-8.0;-8.0;3.0;4.0;4.0;2.0;2.0;2.0;-6.0;;4.0;-2.0;-6.0;;;8.0;4.0;5.0;5.0;;;8.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-3.16;-3.16;3.0;;4.0;;4.0;0.0;;0.0;;;;0.0;;;;0.0;;2.0;;;;0.0;;;;;;;;5.0;0.0;-61.0;0.0;58.0;4.0;;4.0;;-8.0;0.0;;1.0;-3.0;;;0.0;2.0;4.0;;;;;;;3.0;;-0.0;1.0;;4.0;6.0;;;;-3.13;-2.46;0.0;;0.76;3.0;-0.7;-0.0;0.1;;-inf;0.0;-8.0;;-inf;2.0;;2.0;-441.6;-215.2;-409.1;100.1;
