;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2004.0;3.0;2.0;7.0;1.0;7.0;7.0;33.0;;808.0;;15.0;793.0;-786.0;;786.0;-0.0;-786.0;1.0;58.24;0.0;;0.0;0.0;;0.0;2.0;;-1.0;;254.79;41.38;6.0;276.25;0.0;259.77;0.2;0.2;33.0;;;;;3.0;;;;;;;805.0;4.0;;;808.0;9.0;;;;1.0;;;;1.0;;15.0;;;;;7.0;786.0;808.0;;808.0;;7.0;;4.0;;-418.0;;;;;-378.0;;;;;;;;829.0;;-43.0;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;11.0;-8.0;90.0;-10.0;86.0;90.0;34.0;;1331.0;64.0;324.0;1007.0;-385.0;;385.0;;-385.0;18.0;-71.33;2.0;;1.0;1.0;;1.0;20.0;;4.0;;850.05;-90.92;96.0;812.68;-4.0;847.49;2.63;2.63;34.0;;;;;1.0;;;;;;;1323.0;56.0;3.0;;1331.0;4.0;;;;60.0;260.0;;;;260.0;;;;;;45.0;963.0;1331.0;;1331.0;;90.0;;52.0;;493.0;;;5.0;;-1019.0;;;;;;;;156.0;-27.0;255.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;12.0;-36.0;201.0;-38.0;202.0;218.0;38.0;;1724.0;225.0;545.0;1178.0;-31.0;;31.0;;-31.0;48.0;-301.52;3.0;;2.0;2.0;;0.0;50.0;;-1.0;;1700.42;-325.0;241.0;1709.46;-15.0;1837.16;5.72;5.72;38.0;;;;;6.0;;;;;;;1711.0;195.0;4.0;;1724.0;12.0;17.0;;;197.0;320.0;;;;320.0;;;;;;193.0;986.0;1724.0;-0.0;1724.0;;218.0;;139.0;;-164.0;;;-8.0;;-224.0;;;;;;;;;-46.0;77.0;;;;;;0.31;5.72;-0.81;1.21;;30.96;38.0;4.7;0.3;4.5;12.0;-325.0;;218.0;-7.5;1837.2;-225.0;320.0;1178.0;14.4;11.7;18.5;78.8;-150.0
2007.0;18.0;-40.0;52.0;-44.0;86.0;100.0;43.0;;2240.0;360.0;865.0;1375.0;-360.0;;360.0;;-360.0;59.0;-220.91;3.0;;3.0;3.0;;1.0;62.0;;-34.0;;285.77;-239.52;129.0;469.13;-14.0;544.66;2.3;2.3;43.0;;;;;33.0;;;;;;;2201.0;241.0;6.0;;2240.0;8.0;97.0;;;254.0;505.0;;;;505.0;;;;;;400.0;976.0;2240.0;0.0;2240.0;;100.0;;46.0;;67.0;;;3.0;;-572.0;;;;;;;;156.0;-59.0;263.0;;;;;;0.42;2.3;-8.33;1.36;;31.81;43.0;14.0;0.8;4.2;18.0;-239.5;;100.0;-16.1;544.7;-360.0;505.0;1375.0;3.2;2.3;7.2;40.8;27.0
2008.0;18.0;-41.0;-597.0;-50.0;-600.0;-581.0;44.0;;1052.0;22.0;326.0;726.0;369.0;;-369.0;;369.0;58.0;-228.84;10.0;;2.0;2.0;;7.0;68.0;;3.0;;-3366.7;-283.3;-550.0;-3385.72;-19.0;-3281.21;-13.16;-13.16;44.0;;;;;1.0;;;;;;;1045.0;;5.0;;1052.0;5.0;;;;17.0;304.0;;;;304.0;;;;;;-182.0;908.0;1052.0;-0.0;1052.0;;-581.0;;-340.0;;1296.0;;;4.0;;-6.0;;;;;;;;;-67.0;-302.0;;;;;;0.4;-13.16;8.35;1.53;;16.44;44.0;-1.9;-0.1;6.1;18.0;-283.3;;-581.0;3.1;-3281.2;-22.0;304.0;726.0;-56.1;-56.7;-80.1;111.6;
2009.0;14.0;-22.0;345.0;-24.0;326.0;335.0;52.0;;1601.0;118.0;488.0;1113.0;-117.0;;117.0;;-117.0;37.0;-154.1;2.0;;1.0;1.0;;1.0;39.0;;19.0;;2401.88;-169.96;351.0;2268.15;-9.0;2331.08;6.5;6.5;52.0;;;;;2.0;;;;;;;1597.0;98.0;3.0;;1601.0;11.0;;;;108.0;370.0;;;;370.0;;;;0.0;;153.0;960.0;1601.0;;1601.0;;335.0;;197.0;;-769.0;;;-6.0;;120.0;;;;;;;;121.0;-69.0;65.0;;;;;;0.28;6.5;-2.27;1.33;;21.58;52.0;3.1;0.0;6.5;14.0;-170.0;;335.0;-2.8;2331.1;-118.0;370.0;1113.0;23.9;21.6;30.1;79.5;44.4
2010.0;19.0;-36.0;461.0;-42.0;480.0;495.0;68.0;;3026.0;420.0;1040.0;1986.0;-621.0;;622.0;1.0;-621.0;55.0;-187.23;6.0;;5.0;5.0;;1.0;61.0;;-19.0;;2412.46;-219.53;522.0;2510.99;-16.0;2592.57;7.23;7.23;68.0;;1.0;;1.0;3.0;;;;;;;3015.0;391.0;7.0;;3026.0;15.0;;;;405.0;620.0;;;;620.0;;;;0.0;;599.0;1387.0;3026.0;;3026.0;;495.0;;293.0;;-1479.0;;;-5.0;;70.0;;;;;;;;466.0;-89.0;245.0;;1.0;;;;0.28;7.23;-9.07;1.29;;29.0;68.0;3.6;0.2;5.0;19.0;-219.5;;495.0;-3.3;2592.6;-420.0;620.0;1986.0;18.3;15.2;24.9;82.1;60.7
2011.0;24.0;-58.0;64.0;-73.0;129.0;152.0;75.0;;3589.0;525.0;1300.0;2290.0;-249.0;;303.0;53.0;-249.0;81.0;-244.41;15.0;;14.0;14.0;;1.0;96.0;;-65.0;;272.08;-309.73;202.0;547.98;-23.0;645.43;2.02;2.02;75.0;;54.0;;54.0;2.0;;;;;;;3524.0;486.0;10.0;;3589.0;21.0;;;;504.0;775.0;;;;775.0;;;;0.0;;660.0;1629.0;3589.0;;3589.0;;152.0;;95.0;;-491.0;;;-6.0;;-5.0;;;;;;;;192.0;-115.0;226.0;;54.0;1.0;;;0.31;2.02;-3.32;1.53;;30.48;75.0;14.4;0.9;5.3;24.0;-309.7;;152.0;-17.8;645.4;-525.0;775.0;2290.0;2.5;1.8;6.6;24.2;30.9
2012.0;33.0;-64.0;189.0;-84.0;246.0;271.0;88.0;;4498.0;713.0;1603.0;2895.0;-511.0;;464.0;-48.0;-511.0;97.0;-194.75;21.0;;20.0;20.0;;1.0;117.0;;-56.0;;578.01;-257.97;330.0;749.97;-26.0;828.92;3.07;3.07;88.0;;6.0;;6.0;7.0;;;;;;;4474.0;654.0;11.0;;4498.0;20.0;19.0;;;674.0;890.0;;;;890.0;;;;0.0;;805.0;2090.0;4498.0;;4498.0;;271.0;;168.0;;-1007.0;;;1.0;;56.0;;;;;;;;423.0;-149.0;190.0;;6.0;54.0;;;0.37;3.07;-5.78;1.69;;32.74;88.0;9.9;0.7;5.6;33.0;-258.0;;271.0;-10.5;828.9;-713.0;890.0;2895.0;5.5;4.2;9.4;45.0;53.5
2013.0;40.0;-76.0;1513.0;-100.0;706.0;736.0;95.0;;6257.0;1120.0;2813.0;3444.0;-594.0;;588.0;-6.0;-594.0;116.0;-189.7;24.0;;24.0;24.0;;-0.0;140.0;;806.0;;3781.25;-250.35;806.0;1765.45;-30.0;1841.18;7.78;7.78;95.0;;0.0;;0.0;11.0;;;;;;;6232.0;1074.0;15.0;;6257.0;22.0;;;;1098.0;1693.0;;;;1693.0;;;;0.0;;1396.0;2048.0;6257.0;;6257.0;;736.0;;420.0;;-750.0;;;-3.0;;-1000.0;;;;;;;;452.0;-191.0;326.0;;0.0;6.0;;;0.42;7.78;-6.27;2.01;;36.38;95.0;4.6;0.3;5.6;40.0;-250.3;;736.0;-4.3;1841.2;-1120.0;1693.0;3444.0;30.7;24.2;21.4;74.1;44.1
2014.0;49.0;-97.0;1089.0;-120.0;484.0;523.0;107.0;;7496.0;1460.0;3470.0;4027.0;-370.0;;371.0;1.0;-370.0;147.0;-197.89;23.0;;25.0;25.0;;-3.0;169.0;;604.0;;2211.33;-243.71;604.0;983.81;-39.0;1062.32;4.87;4.87;107.0;;2.0;;2.0;29.0;;;;;;;7449.0;1399.0;17.0;;7496.0;26.0;;;;1434.0;2010.0;;;;2010.0;;;;0.0;;1676.0;2351.0;7496.0;;7496.0;;523.0;;325.0;;-571.0;;;-4.0;;-647.0;;;;;;;;378.0;-243.0;236.0;;2.0;0.0;;;0.46;4.87;-3.45;2.26;;37.52;107.0;7.8;0.4;6.0;49.0;-243.7;;523.0;-8.0;1062.3;-1460.0;2010.0;4027.0;19.5;14.5;13.0;53.6;36.5
2015.0;73.0;-65.0;-3280.0;-91.0;-1685.0;-1653.0;112.0;;4108.0;472.0;1967.0;2142.0;893.0;;-747.0;146.0;893.0;138.0;-90.22;25.0;;27.0;27.0;;-2.0;163.0;;-1595.0;;-4521.45;-125.23;-1595.0;-2323.34;-32.0;-2278.69;-14.82;-14.82;112.0;;148.0;;148.0;22.0;;;;;;;3927.0;428.0;12.0;;4108.0;22.0;;;;450.0;1495.0;;;;1495.0;;;;0.0;;-215.0;2356.0;4108.0;;4108.0;;-1653.0;;-971.0;;661.0;;;4.0;;2857.0;;;;;;;;-31.0;-261.0;-455.0;;148.0;2.0;;;0.65;-14.82;8.01;2.34;;19.2;112.0;-2.0;-0.1;8.0;73.0;-125.2;;-1653.0;1.9;-2278.7;-472.0;1495.0;2142.0;-88.5;-79.8;-77.2;115.8;
2016.0;11.0;-76.0;929.0;-99.0;415.0;254.0;113.0;;3924.0;633.0;1743.0;2181.0;455.0;;-601.0;-147.0;455.0;87.0;-664.27;24.0;;23.0;23.0;;1.0;111.0;;514.0;;8143.2;-870.54;514.0;3636.33;161.0;2222.44;2.24;2.24;113.0;;1.0;;1.0;42.0;;;;;;;3872.0;595.0;9.0;;3924.0;23.0;;;;610.0;1110.0;;;;1110.0;;;;0.0;;57.0;2124.0;3924.0;;3924.0;;254.0;;167.0;;260.0;;;-1.0;;-225.0;;;;;;;;-204.0;-224.0;-173.0;;1.0;148.0;;;0.1;2.24;4.02;1.99;;19.3;113.0;7.9;0.4;11.2;11.0;-870.5;;254.0;38.9;2222.4;-633.0;1110.0;2181.0;17.3;23.7;11.6;11.5;94.2
2017.0;21.0;-62.0;-415.0;-77.0;-246.0;-159.0;115.0;;3399.0;534.0;1573.0;1826.0;267.0;;-266.0;1.0;267.0;83.0;-296.49;16.0;;4.0;4.0;;12.0;98.0;0.0;-169.0;;-1990.5;-367.97;-169.0;-1179.24;-87.0;-763.19;-1.37;-1.37;115.0;;2.0;;2.0;5.0;;;;;;;3391.0;494.0;1.0;;3399.0;16.0;;15.0;;518.0;1039.0;;;;1039.0;;;;0.0;;-163.0;1989.0;3399.0;;3399.0;;-159.0;;;;-56.0;;;;;483.0;;;;;;-20.0;;;-203.0;-43.0;;2.0;1.0;;;0.18;-1.39;2.33;1.77;;15.92;115.0;-13.5;-0.6;9.5;21.0;-368.0;;-159.0;35.3;-763.2;-534.0;1039.0;1826.0;-9.4;-12.2;-8.7;227.9;
2018.0;25.0;-54.0;365.0;-69.0;53.0;229.0;119.0;;3484.0;286.0;1418.0;2066.0;189.0;;-189.0;;189.0;79.0;-210.84;16.0;;3.0;3.0;;12.0;94.0;;122.0;;1435.26;-270.11;122.0;208.51;14.0;900.61;2.29;2.29;119.0;;2.0;;2.0;13.0;;;;;;;3467.0;260.0;1.0;;3484.0;14.0;;1.0;;272.0;1132.0;;;;1132.0;;;;0.0;;-115.0;2181.0;3484.0;;3484.0;;229.0;;;;-279.0;;;;;239.0;;;;;;-32.0;;;-196.0;38.0;;2.0;2.0;;;0.21;1.93;1.6;1.65;;17.41;119.0;9.2;0.4;9.3;25.0;-270.1;;229.0;26.9;900.6;-286.0;1132.0;2066.0;8.3;10.5;11.1;14.3;103.5
