;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;;;-0.0;-0.0;;-0.0;10.0;;0.0;;0.0;-0.0;-0.0;-0.0;0.0;0.0;-0.0;;;;;0.0;0.0;;;0.0;;;0.0;-inf;-inf;;;;-inf;-0.01;-0.01;10.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;;;;0.0;;;;-0.0;;;0.0;0.0;0.0;;-0.0;0.0;;;;;;;;-0.0;;;;;-0.0;;;;;0.0;;;;;;;-0.01;;;;-0.01;10.0;;;;;-inf;0.0;-0.0;;-inf;;;-0.0;;-40.4;100.0;;
2008.0;;;-2.0;-2.0;-2.0;-2.0;3.0;5.0;7.0;0.0;0.0;7.0;-1.0;-2.0;8.0;8.0;-3.0;;;2.0;;2.0;2.0;;-0.0;2.0;0.0;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.76;-0.76;3.0;;5.0;;5.0;;;;2.0;;;;;;;2.0;;;;;;0.0;;;;;;;;;7.0;-2.0;1.0;1.0;7.0;-0.0;7.0;;-2.0;;;;0.0;;;;;2.0;-2.0;;;;;;8.0;;;0.0;-0.0;5.0;;;;;-0.78;-0.02;;;2.57;3.0;-1.9;-0.1;;;-inf;;-2.0;;-inf;5.0;;7.0;-30.2;-29.8;-30.2;100.0;
2009.0;;;-3.0;-3.0;-3.0;-3.0;11.0;6.0;11.0;1.0;1.0;11.0;-2.0;-2.0;5.0;1.0;-4.0;;;3.0;;3.0;3.0;;1.0;3.0;0.0;0.0;;-inf;-inf;1.0;-inf;;-inf;-0.28;-0.28;11.0;;1.0;5.0;6.0;;;0.0;5.0;;;;;;;5.0;;;;;;1.0;;;;;;;;;13.0;-5.0;;3.0;11.0;0.0;11.0;;-3.0;;;1.0;-0.0;;;;;-0.0;-2.0;;;;;;6.0;-0.0;;-0.0;0.0;6.0;5.0;;;;-0.26;-0.25;;0.2;0.95;11.0;-15.4;-0.2;;;-inf;;-3.0;;-inf;6.0;;11.0;-27.4;-25.7;-27.4;100.0;
2010.0;;;-5.0;-5.0;-5.0;-5.0;16.0;15.0;25.0;1.0;1.0;24.0;-3.0;-5.0;16.0;8.0;-8.0;;;5.0;;5.0;5.0;;0.0;5.0;0.0;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.29;-0.29;16.0;;1.0;13.0;14.0;;;0.0;11.0;;;;;;;11.0;;;;;;1.0;;;;;;;;;29.0;-11.0;;6.0;25.0;0.0;25.0;;-5.0;;;2.0;-0.0;;;;;0.0;-5.0;;;;;;17.0;-1.0;;;-0.0;14.0;6.0;;;;-0.31;-0.25;;0.14;1.49;16.0;-19.3;-0.9;;;-inf;;-5.0;;-inf;14.0;;24.0;-20.7;-20.2;-20.7;100.0;
2011.0;;;-6.0;-6.0;-6.0;-6.0;18.0;11.0;36.0;1.0;1.0;36.0;-4.0;-8.0;8.0;-3.0;-12.0;;;6.0;;6.0;6.0;;-0.0;6.0;0.0;;;-inf;-inf;-0.0;-inf;;-inf;-0.29;-0.29;18.0;;2.0;8.0;11.0;0.0;;0.0;25.0;;;;;;;25.0;;;;;;1.0;;;;;;;;;44.0;-16.0;;7.0;36.0;-0.0;36.0;;-6.0;;;2.0;-0.0;;;;;0.0;-8.0;;;;;;8.0;;;;0.0;11.0;14.0;;;;-0.31;-0.45;;0.3;1.94;18.0;-13.9;-0.9;;;-inf;;-6.0;;-inf;11.0;;36.0;-15.9;-15.6;-15.9;100.0;
2012.0;;;-8.0;-8.0;-8.0;-8.0;20.0;4.0;13.0;0.0;0.0;13.0;-7.0;-0.0;;-7.0;-8.0;;;8.0;4.0;4.0;4.0;;;8.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.4;-0.4;20.0;;1.0;3.0;3.0;;;0.0;10.0;;;;;;;10.0;;;;;;0.0;;;;;;;;;45.0;-40.0;0.0;8.0;13.0;-0.0;13.0;;-8.0;0.0;;1.0;-0.0;;;;;0.0;-0.0;;;;;;;;;;0.0;3.0;11.0;;;;-0.4;-0.57;;0.39;0.64;20.0;-2.7;-0.2;;;-inf;0.0;-8.0;;-inf;3.0;;13.0;-62.6;-61.2;-62.7;100.0;
2013.0;;;-7.0;-5.0;-1.0;-1.0;20.0;12.0;16.0;1.0;2.0;14.0;-4.0;-4.0;17.0;8.0;-8.0;;;5.0;3.0;4.0;4.0;;-2.0;7.0;0.0;;0.0;-inf;-inf;4.0;-inf;;-inf;0.02;0.02;20.0;;11.0;;11.0;;;0.0;4.0;;;;;;0.0;4.0;;;0.0;;;0.0;1.0;;;0.0;1.0;;;;45.0;-40.0;-0.0;8.0;16.0;0.0;16.0;;-1.0;0.0;;0.0;0.0;;;;;-3.0;-4.0;;;;;-0.0;;;;17.0;-0.0;11.0;3.0;;;;-0.06;-0.38;;0.02;0.67;20.0;-14.8;-0.9;;;-inf;0.0;-1.0;;-inf;11.0;1.0;14.0;-44.1;-42.4;-9.6;100.0;
2014.0;;;-7.0;-7.0;-8.0;-8.0;22.0;8.0;24.0;2.0;3.0;21.0;-5.0;-12.0;13.0;-4.0;-17.0;;;7.0;3.0;4.0;4.0;;-0.0;7.0;0.0;;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.05;-0.05;22.0;;7.0;;7.0;0.0;0.0;0.0;16.0;;;;;;0.0;17.0;;;0.0;;;2.0;1.0;;;0.0;1.0;;0.0;;53.0;-41.0;-0.0;9.0;24.0;;24.0;;-8.0;0.0;;1.0;-0.0;;-0.0;;;1.0;-12.0;;;0.0;-0.0;-0.0;;;;13.0;-0.0;7.0;11.0;;;;-0.35;-0.39;;0.19;0.97;22.0;-8.3;-0.5;;;-inf;0.0;-8.0;;-inf;6.0;1.0;21.0;-29.4;-27.1;-35.8;100.0;
2015.0;;;-6.0;-7.0;-8.0;-8.0;27.0;7.0;69.0;6.0;8.0;61.0;-7.0;-4.0;10.0;-2.0;-11.0;;;7.0;3.0;4.0;4.0;;;7.0;0.0;;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.3;-0.3;27.0;;6.0;;6.0;1.0;0.0;0.0;61.0;;;;;;0.0;61.0;;;3.0;;;3.0;1.0;;;0.0;1.0;;0.0;;99.0;-48.0;-1.0;11.0;69.0;;69.0;;-8.0;0.0;;1.0;-1.0;;-0.0;;;1.0;-4.0;;;;0.0;-0.0;;;;10.0;-1.0;6.0;7.0;;;;-0.28;-0.64;;0.44;2.29;27.0;-7.5;-0.4;;;-inf;0.0;-8.0;;-inf;1.0;1.0;61.0;-10.6;-9.6;-12.4;100.0;
