;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;441.0;125.0;33.0;27.0;19.0;11.0;45.0;163.0;263.0;82.0;149.0;115.0;;;;;;315.0;28.44;99.0;;84.0;;;15.0;414.0;;;15.0;7.58;6.08;-8.0;4.27;8.0;2.43;0.24;0.24;45.0;;4.0;;4.0;61.0;97.0;1.0;94.0;;;;;;7.0;101.0;;;;;;82.0;58.0;;9.0;;67.0;;;;;88.0;-83.0;109.0;263.0;;263.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;430.0;138.0;48.0;39.0;33.0;17.0;52.0;157.0;275.0;82.0;147.0;128.0;;;;;;291.0;32.22;100.0;;85.0;;;15.0;391.0;;;15.0;11.22;9.03;-6.0;7.75;16.0;4.0;0.33;0.33;52.0;;2.0;;2.0;60.0;92.0;3.0;100.0;;;;;;18.0;118.0;;;;;;82.0;52.0;;14.0;;66.0;;;;;101.0;-87.0;114.0;275.0;;275.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;453.0;146.0;51.0;41.0;35.0;22.0;51.0;169.0;286.0;89.0;152.0;134.0;;;;;;307.0;32.22;105.0;;88.0;;;17.0;412.0;;;17.0;11.27;9.09;-7.0;7.63;13.0;4.81;0.43;0.43;51.0;;4.0;;4.0;69.0;95.0;2.0;98.0;;;;;;19.0;118.0;;;;;;89.0;50.0;;14.0;;63.0;;;;;91.0;-98.0;141.0;286.0;;286.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;492.0;155.0;53.0;43.0;35.0;22.0;49.0;172.0;290.0;93.0;152.0;138.0;34.0;-17.0;-18.0;;15.0;338.0;31.41;112.0;;94.0;;;18.0;449.0;;;18.0;10.75;8.72;-8.0;7.13;13.0;4.45;0.45;0.45;49.0;;3.0;;3.0;69.0;99.0;1.0;98.0;;;;;;20.0;117.0;;;;;;93.0;45.0;;14.0;-0.0;59.0;;;;;104.0;-109.0;143.0;290.0;;290.0;;22.0;18.0;0.0;;-7.0;;-5.0;;79.0;1.0;-18.0;;;;1.0;;;-10.0;-9.0;1.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;505.0;160.0;47.0;43.0;28.0;16.0;32.0;183.0;309.0;107.0;180.0;129.0;35.0;-25.0;-12.0;;11.0;345.0;31.73;117.0;;98.0;;;19.0;462.0;;;19.0;9.21;8.6;-16.0;5.49;12.0;3.19;0.34;0.34;32.0;;1.0;;1.0;69.0;110.0;4.0;101.0;;;;;;24.0;126.0;;33.0;;;;74.0;60.0;;13.0;;73.0;;;;;111.0;-116.0;133.0;309.0;;309.0;;16.0;19.0;-4.0;;-4.0;;-10.0;;76.0;7.0;-24.0;;;;-1.0;;2.0;-9.0;-9.0;4.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;501.0;170.0;54.0;42.0;34.0;21.0;46.0;168.0;287.0;75.0;148.0;139.0;50.0;-16.0;-30.0;;36.0;330.0;34.01;128.0;;108.0;;;20.0;459.0;;;20.0;10.71;8.39;-8.0;6.75;13.0;4.24;0.46;0.46;46.0;;5.0;;5.0;63.0;95.0;5.0;98.0;;;;;;21.0;119.0;;24.0;;;;51.0;57.0;;8.0;8.0;73.0;;;;;122.0;-128.0;145.0;287.0;;287.0;;21.0;20.0;1.0;;18.0;;15.0;;94.0;-10.0;-14.0;;;;-2.0;;1.0;-2.0;-9.0;-20.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;556.0;196.0;75.0;60.0;54.0;32.0;46.0;172.0;290.0;75.0;131.0;159.0;67.0;-22.0;-43.0;;50.0;359.0;35.34;137.0;;116.0;;;21.0;496.0;;;21.0;13.51;10.74;-6.0;9.7;22.0;5.83;0.71;0.71;46.0;;7.0;;7.0;65.0;93.0;7.0;100.0;;;;;;18.0;118.0;;27.0;;;;49.0;40.0;;7.0;9.0;55.0;;;;;145.0;-140.0;154.0;290.0;;290.0;;32.0;21.0;-2.0;;3.0;;4.0;;97.0;12.0;-17.0;;-5.0;;0.0;;3.0;-7.0;-10.0;-30.0;-0.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;631.0;225.0;96.0;78.0;74.0;46.0;46.0;188.0;302.0;62.0;110.0;192.0;62.0;-20.0;-33.0;;43.0;406.0;35.66;147.0;;125.0;;;22.0;553.0;;;22.0;15.24;12.37;-4.0;11.78;28.0;7.33;1.01;1.01;46.0;;17.0;;17.0;68.0;95.0;9.0;99.0;;;;;;15.0;114.0;;26.0;;;;35.0;35.0;;5.0;9.0;49.0;;;;;180.0;-151.0;163.0;302.0;;302.0;;46.0;22.0;0.0;;30.0;;-3.0;;127.0;-36.0;-19.0;;;;-1.0;;1.0;-4.0;-11.0;-18.0;-0.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;722.0;255.0;121.0;101.0;98.0;60.0;45.0;238.0;355.0;74.0;119.0;237.0;61.0;-30.0;-17.0;;32.0;467.0;35.26;154.0;;131.0;131.0;;22.0;621.0;;;22.0;16.7;13.95;-3.0;13.59;38.0;8.3;1.31;1.31;45.0;;30.0;;30.0;81.0;118.0;9.0;102.0;;;;;;16.0;118.0;;31.0;1.0;;;42.0;33.0;;3.0;8.0;44.0;;;;;226.0;-163.0;174.0;355.0;;355.0;;60.0;22.0;-0.0;;37.0;;-21.0;;164.0;-58.0;-29.0;;;;-1.0;;5.0;-8.0;-13.0;-1.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;795.0;271.0;138.0;117.0;115.0;71.0;45.0;250.0;380.0;61.0;103.0;277.0;47.0;-37.0;-32.0;;10.0;525.0;34.03;154.0;;131.0;131.0;;23.0;679.0;;;23.0;17.29;14.65;-2.0;14.44;44.0;8.87;1.57;1.57;45.0;;8.0;;8.0;88.0;142.0;11.0;113.0;;;;;;17.0;130.0;;26.0;1.0;;;33.0;32.0;;2.0;8.0;42.0;;;;;281.0;-169.0;166.0;380.0;;380.0;;71.0;23.0;-2.0;;26.0;;-24.0;;189.0;-70.0;-37.0;;;;-0.0;;3.0;-18.0;-17.0;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
