;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;1950.0;170.0;56.0;80.0;26.0;-14.0;71.0;;;;;;113.0;-215.0;128.0;24.0;67.0;1780.0;8.73;91.0;;;;;91.0;1871.0;;;43.0;2.86;4.08;-54.0;1.34;27.0;-0.71;-0.2;-0.2;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14.0;43.0;;;58.0;;3.0;;;26.0;-46.0;-172.0;;;3.0;-104.0;;;;231.0;-3.0;55.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;3148.0;311.0;173.0;170.0;115.0;60.0;95.0;818.0;1715.0;981.0;1502.0;214.0;156.0;-196.0;18.0;-23.0;-35.0;2837.0;9.87;141.0;;83.0;83.0;;59.0;2978.0;;;59.0;5.51;5.39;-55.0;3.65;55.0;1.9;0.63;0.63;95.0;;32.0;;32.0;580.0;127.0;80.0;354.0;;500.0;500.0;;;43.0;897.0;;657.0;86.0;;;239.0;419.0;;25.0;76.0;520.0;;;;;-49.0;-150.0;413.0;1715.0;;1715.0;;60.0;59.0;-0.0;;-163.0;;-32.0;;-163.0;201.0;-191.0;;;;-5.0;;104.0;;;-86.0;-1.0;32.0;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;4714.0;479.0;249.0;245.0;157.0;92.0;105.0;1207.0;3061.0;1276.0;2481.0;580.0;135.0;-988.0;842.0;2.0;-859.0;4236.0;10.15;234.0;;139.0;139.0;;95.0;4470.0;;;95.0;5.29;5.19;-88.0;3.34;63.0;1.94;0.87;0.87;105.0;;34.0;;34.0;832.0;196.0;145.0;643.0;;1098.0;1098.0;;;113.0;1854.0;;787.0;97.0;;;392.0;1038.0;;37.0;130.0;1205.0;;;;;42.0;-218.0;755.0;3061.0;;3061.0;;92.0;95.0;-2.0;;94.0;;-27.0;;-69.0;-144.0;-994.0;;;;6.0;;282.0;;;560.0;13.0;34.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;6249.0;732.0;399.0;376.0;253.0;152.0;128.0;1347.0;3817.0;1499.0;2798.0;1019.0;463.0;-682.0;202.0;-8.0;-220.0;5517.0;11.71;356.0;;210.0;210.0;;146.0;5873.0;;;146.0;6.39;6.01;-122.0;4.05;102.0;2.43;1.19;1.19;128.0;;26.0;;26.0;910.0;200.0;212.0;866.0;;1448.0;1448.0;;;155.0;2469.0;;961.0;19.0;;;520.0;1055.0;;50.0;194.0;1299.0;;;;;194.0;-310.0;1135.0;3817.0;;3817.0;;152.0;146.0;-1.0;;-83.0;;31.0;;-152.0;249.0;-683.0;;;;1.0;;250.0;;;-48.0;9.0;26.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;7343.0;952.0;535.0;481.0;351.0;207.0;136.0;1615.0;4459.0;1854.0;3252.0;1207.0;449.0;-520.0;39.0;39.0;-71.0;6391.0;12.97;471.0;;287.0;287.0;;184.0;6862.0;;;184.0;7.28;6.55;-130.0;4.78;143.0;2.82;1.56;1.52;132.0;;13.0;;13.0;1066.0;231.0;305.0;939.0;;1692.0;1692.0;;;213.0;2844.0;;1187.0;47.0;;;621.0;1063.0;;62.0;273.0;1398.0;;;;;401.0;-442.0;1247.0;4459.0;;4459.0;;207.0;184.0;;;-87.0;;-10.0;;-239.0;145.0;-520.0;;;;0.0;;8.0;;;31.0;18.0;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;9059.0;1032.0;429.0;475.0;209.0;116.0;136.0;2198.0;5677.0;2498.0;4377.0;1300.0;285.0;-678.0;384.0;17.0;-394.0;8028.0;11.39;557.0;;337.0;337.0;;220.0;8584.0;;;220.0;4.74;5.25;-266.0;2.31;94.0;1.27;0.86;0.85;134.0;;30.0;;30.0;1374.0;350.0;445.0;1182.0;;2020.0;2020.0;;;277.0;3479.0;;1601.0;99.0;;;798.0;1463.0;;39.0;377.0;1880.0;;;;;505.0;-594.0;1389.0;5677.0;;5677.0;;116.0;220.0;;;-60.0;;-60.0;;-300.0;11.0;-680.0;;;;2.0;;3.0;-18.0;;399.0;26.0;30.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;12429.0;1534.0;772.0;709.0;431.0;257.0;135.0;3154.0;8718.0;3487.0;7252.0;1465.0;560.0;-2538.0;2038.0;77.0;-2310.0;10895.0;12.34;825.0;;484.0;484.0;;341.0;11720.0;;;341.0;6.21;5.7;-278.0;3.47;174.0;2.07;1.92;1.9;134.0;;107.0;;107.0;1866.0;577.0;604.0;1970.0;;3211.0;3211.0;;;383.0;5563.0;;2245.0;167.0;;;1075.0;3325.0;;17.0;423.0;3765.0;;;;1.0;762.0;-684.0;1387.0;8718.0;;8718.0;;257.0;341.0;;;-34.0;;-57.0;;-333.0;-4.0;-2870.0;;;;332.0;;8.0;-15.0;;2046.0;17.0;107.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;14073.0;1752.0;864.0;835.0;472.0;275.0;132.0;2828.0;8376.0;3372.0;6775.0;1601.0;753.0;-225.0;-524.0;-8.0;431.0;12320.0;12.45;917.0;;525.0;525.0;;392.0;13237.0;;;392.0;6.14;5.94;-363.0;3.35;197.0;1.95;2.1;2.08;130.0;;99.0;;99.0;1639.0;539.0;551.0;1891.0;;3267.0;3267.0;;;390.0;5548.0;;2174.0;228.0;;;970.0;2852.0;;;551.0;3403.0;;;;1.0;1037.0;-788.0;1352.0;8376.0;;8376.0;;275.0;392.0;;;-210.0;;1.0;;-544.0;297.0;-322.0;-12.0;;;109.0;;2.0;-78.0;;-448.0;-12.0;99.0;107.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;13625.0;1035.0;487.0;430.0;103.0;26.0;132.0;2367.0;7579.0;3183.0;6020.0;1559.0;830.0;-201.0;-646.0;-11.0;563.0;12590.0;7.6;604.0;;514.0;514.0;;90.0;13194.0;;;392.0;3.58;3.16;-328.0;0.76;69.0;0.19;0.2;0.2;128.0;;88.0;;88.0;1393.0;440.0;446.0;1716.0;;3140.0;3140.0;;;357.0;5212.0;;1983.0;193.0;;;1007.0;2294.0;;;543.0;2837.0;;;;1.0;1063.0;-940.0;1435.0;7579.0;;7579.0;;26.0;392.0;;;-272.0;;76.0;;-816.0;684.0;-267.0;;;;66.0;;10.0;;;-656.0;6.0;88.0;99.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;14425.0;1260.0;471.0;743.0;481.0;13.0;137.0;2508.0;7483.0;3045.0;5821.0;1662.0;545.0;-259.0;-296.0;4.0;273.0;13164.0;8.74;517.0;;517.0;517.0;;;13682.0;;;301.0;3.27;5.15;-263.0;3.33;157.0;0.09;0.1;0.1;130.0;;92.0;;92.0;1508.0;490.0;418.0;1711.0;;2860.0;2860.0;;;404.0;4975.0;;1966.0;41.0;;;1038.0;2133.0;;;643.0;2776.0;;;;1.0;1076.0;-246.0;832.0;7483.0;;7483.0;;13.0;301.0;;;279.0;;-34.0;;-538.0;-47.0;-273.0;-15.0;;;29.0;;47.0;;;-343.0;14.0;92.0;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;
