;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;907.0;378.0;108.0;89.0;80.0;48.0;44.0;313.0;557.0;144.0;356.0;201.0;69.0;-32.0;-47.0;-47.0;31.0;528.0;41.73;290.0;;262.0;262.0;;28.0;818.0;;;28.0;11.93;9.78;-9.0;8.85;32.0;5.29;1.09;1.09;44.0;;10.0;;10.0;126.0;155.0;22.0;184.0;;39.0;39.0;;;20.0;244.0;;55.0;18.0;;;71.0;195.0;;7.0;11.0;212.0;;;;;177.0;-260.0;284.0;557.0;;557.0;;48.0;28.0;32.0;;-43.0;;-7.0;;169.0;4.0;-37.0;;;;5.0;;374.0;-416.0;-8.0;3.0;1.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1032.0;428.0;129.0;108.0;100.0;62.0;94.0;357.0;618.0;169.0;282.0;335.0;66.0;-45.0;-20.0;-20.0;17.0;605.0;41.41;320.0;;290.0;290.0;;30.0;924.0;;;30.0;12.52;10.46;-8.0;9.65;38.0;5.96;0.66;0.66;94.0;;10.0;;10.0;141.0;183.0;23.0;206.0;;39.0;39.0;;;16.0;261.0;;54.0;30.0;;;85.0;94.0;;7.0;13.0;114.0;;;;;229.0;-285.0;392.0;618.0;;618.0;;62.0;30.0;3.0;;19.0;;-26.0;;189.0;-48.0;-48.0;;;;3.0;;81.0;;-9.0;-92.0;-0.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1109.0;452.0;147.0;112.0;118.0;74.0;99.0;383.0;647.0;170.0;255.0;392.0;108.0;-17.0;-61.0;-61.0;68.0;657.0;40.76;340.0;;310.0;310.0;;30.0;997.0;;;30.0;13.29;10.13;6.0;10.63;44.0;6.7;0.75;0.75;99.0;;41.0;;41.0;151.0;171.0;21.0;201.0;;37.0;37.0;;;25.0;264.0;;58.0;13.0;;;98.0;64.0;;4.0;18.0;86.0;;;;;290.0;-261.0;362.0;647.0;;647.0;;74.0;30.0;-3.0;;25.0;;10.0;;214.0;-18.0;-40.0;;;;22.0;;;-27.0;-12.0;-22.0;1.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1159.0;469.0;164.0;135.0;135.0;85.0;99.0;434.0;712.0;185.0;275.0;437.0;89.0;-58.0;-25.0;-25.0;52.0;690.0;40.47;334.0;;306.0;306.0;;28.0;1024.0;;;28.0;14.11;11.64;0.0;11.66;50.0;7.37;0.86;0.86;99.0;;47.0;;47.0;163.0;179.0;45.0;202.0;;35.0;35.0;;;42.0;279.0;;53.0;12.0;;;120.0;54.0;;11.0;25.0;91.0;;;;;360.0;-270.0;348.0;712.0;;712.0;;85.0;28.0;1.0;;35.0;;-18.0;;249.0;-61.0;-37.0;;-66.0;44.0;1.0;;;;-14.0;-11.0;0.0;;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1187.0;485.0;175.0;147.0;147.0;94.0;98.0;437.0;783.0;195.0;292.0;491.0;122.0;-78.0;-53.0;-53.0;30.0;702.0;40.89;338.0;;310.0;310.0;;28.0;1039.0;;;28.0;14.76;12.42;-0.0;12.39;53.0;7.9;0.96;0.95;98.0;;39.0;;39.0;168.0;186.0;44.0;260.0;;36.0;36.0;;;51.0;346.0;;61.0;14.0;;;121.0;47.0;;23.0;27.0;97.0;;;;;432.0;-292.0;350.0;783.0;;783.0;;94.0;28.0;10.0;;-7.0;;-6.0;;242.0;-3.0;-92.0;;-1.0;11.0;5.0;;;-23.0;-20.0;-11.0;1.0;;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1086.0;401.0;143.0;148.0;114.0;74.0;91.0;427.0;775.0;216.0;324.0;452.0;81.0;-27.0;-84.0;-30.0;18.0;685.0;36.91;253.0;;224.0;224.0;;29.0;938.0;;;29.0;13.19;13.63;-34.0;10.51;40.0;6.8;0.81;0.81;91.0;;9.0;;9.0;170.0;192.0;56.0;271.0;;33.0;33.0;;;45.0;349.0;;65.0;28.0;;;124.0;47.0;;29.0;32.0;108.0;;;;5.0;484.0;-280.0;243.0;775.0;;775.0;;74.0;29.0;1.0;;-32.0;;-30.0;;210.0;9.0;-63.0;;-2.0;2.0;36.0;;;-76.0;-22.0;14.0;-1.0;9.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1059.0;390.0;156.0;139.0;122.0;78.0;85.0;416.0;790.0;248.0;343.0;447.0;121.0;-52.0;-65.0;3.0;86.0;669.0;36.82;251.0;;216.0;216.0;;35.0;920.0;;;35.0;14.77;13.12;-17.0;11.49;44.0;7.38;0.92;0.92;85.0;;11.0;;11.0;153.0;184.0;67.0;269.0;;41.0;41.0;;;64.0;374.0;;63.0;55.0;;;130.0;39.0;;29.0;27.0;95.0;;;;5.0;537.0;-291.0;196.0;790.0;;790.0;;78.0;35.0;-2.0;;-42.0;;6.0;;168.0;53.0;-35.0;-19.0;;0.0;2.0;;;-42.0;-24.0;1.0;-1.0;11.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;979.0;307.0;152.0;117.0;116.0;84.0;85.0;384.0;781.0;201.0;283.0;499.0;120.0;-36.0;-72.0;12.0;84.0;672.0;31.4;190.0;;190.0;190.0;;;862.0;;;36.0;15.55;11.97;-1.0;11.85;32.0;8.54;0.98;0.98;85.0;;23.0;;23.0;154.0;165.0;42.0;271.0;;40.0;40.0;;;86.0;397.0;;68.0;13.0;;;120.0;24.0;;32.0;26.0;82.0;;;;5.0;595.0;-311.0;210.0;781.0;;781.0;;84.0;36.0;17.0;;16.0;;19.0;;184.0;-32.0;-37.0;-4.0;;;5.0;;;-1.0;-25.0;-46.0;0.0;23.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;994.0;300.0;87.0;92.0;88.0;29.0;86.0;524.0;901.0;192.0;472.0;429.0;104.0;-38.0;88.0;153.0;76.0;694.0;30.18;209.0;;198.0;198.0;;10.0;903.0;;;37.0;8.79;9.21;-4.0;8.85;21.0;2.94;0.34;0.34;85.0;;176.0;5.0;181.0;154.0;165.0;25.0;272.0;;17.0;17.0;;18.0;71.0;377.0;;64.0;14.0;;;113.0;174.0;;1.0;105.0;281.0;;;;5.0;597.0;-132.0;-41.0;901.0;;901.0;;29.0;37.0;9.0;;149.0;;7.0;;332.0;-121.0;-28.0;-8.0;-5.0;;2.0;;3.0;-12.0;-25.0;122.0;-1.0;176.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1041.0;281.0;107.0;68.0;69.0;55.0;83.0;555.0;929.0;213.0;450.0;479.0;96.0;-36.0;-69.0;-6.0;61.0;760.0;26.97;212.0;;211.0;211.0;;2.0;972.0;;;38.0;10.27;6.56;1.0;6.65;15.0;5.24;0.66;0.66;83.0;;171.0;5.0;176.0;168.0;174.0;39.0;282.0;;17.0;17.0;;7.0;67.0;373.0;;77.0;4.0;;;131.0;169.0;;22.0;46.0;237.0;;;;5.0;624.0;-77.0;-73.0;929.0;;929.0;;55.0;38.0;14.0;;10.0;;11.0;;342.0;-21.0;-35.0;-4.0;;;3.0;;7.0;-42.0;-27.0;-7.0;4.0;171.0;176.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1334.0;362.0;150.0;103.0;108.0;81.0;83.0;638.0;1059.0;263.0;482.0;577.0;51.0;-58.0;-17.0;-21.0;-5.0;971.0;27.17;259.0;;257.0;257.0;;2.0;1230.0;;;42.0;11.25;7.75;4.0;8.08;27.0;6.04;0.98;0.97;82.0;;93.0;51.0;143.0;219.0;236.0;39.0;316.0;;28.0;28.0;;1.0;76.0;422.0;;111.0;3.0;;;148.0;164.0;;18.0;37.0;219.0;;;;5.0;673.0;-59.0;-42.0;1059.0;;1059.0;;81.0;42.0;9.0;;32.0;;-48.0;;375.0;-113.0;-56.0;-12.0;;6.0;4.0;;23.0;-4.0;-27.0;-8.0;3.0;93.0;114.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1601.0;437.0;196.0;150.0;154.0;122.0;84.0;677.0;1161.0;294.0;509.0;652.0;117.0;-69.0;-28.0;15.0;67.0;1164.0;27.29;287.0;;285.0;285.0;;2.0;1451.0;;;42.0;12.23;9.36;4.0;9.61;32.0;7.64;1.47;1.45;83.0;;108.0;;108.0;242.0;276.0;51.0;341.0;;65.0;65.0;;;79.0;485.0;;122.0;8.0;;;164.0;158.0;;18.0;40.0;215.0;;;;5.0;765.0;-91.0;-26.0;1161.0;;1161.0;;122.0;42.0;-2.0;;8.0;;-32.0;;383.0;-54.0;-50.0;-78.0;-15.0;70.0;4.0;;21.0;-13.0;-30.0;-7.0;-4.0;108.0;93.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1972.0;552.0;284.0;233.0;238.0;175.0;86.0;829.0;1395.0;338.0;542.0;853.0;119.0;-90.0;-18.0;12.0;43.0;1420.0;28.01;316.0;;316.0;316.0;;;1735.0;;;46.0;14.4;11.81;5.0;12.08;63.0;8.88;2.06;2.04;85.0;;120.0;;120.0;299.0;351.0;59.0;390.0;35.0;42.0;77.0;;;99.0;565.0;;142.0;47.0;;;149.0;114.0;;27.0;62.0;203.0;;;;5.0;906.0;-55.0;-3.0;1395.0;;1395.0;;175.0;46.0;4.0;;108.0;;-57.0;;491.0;-215.0;-76.0;-26.0;;;12.0;;14.0;-0.0;-32.0;1.0;1.0;120.0;108.0;;;23.15;2.05;0.5;0.38;0.89;10.02;85.0;13.2;0.7;1.4;1972.0;11.8;46.0;175.0;26.5;8.9;491.0;114.0;853.0;16.6;17.1;20.5;81.6;44.0
2007.0;2281.0;648.0;339.0;278.0;287.0;203.0;87.0;970.0;1645.0;312.0;558.0;1087.0;250.0;-80.0;-78.0;97.0;188.0;1633.0;28.39;370.0;;370.0;370.0;;;2003.0;;;51.0;14.85;12.17;10.0;12.59;84.0;8.89;2.37;2.33;86.0;;217.0;;217.0;344.0;344.0;64.0;430.0;43.0;51.0;94.0;;;152.0;676.0;;152.0;1.0;;;159.0;117.0;;37.0;92.0;246.0;;;;5.0;1068.0;16.0;-2.0;1645.0;;1645.0;;203.0;51.0;-4.0;;167.0;;36.0;;658.0;-167.0;-62.0;-19.0;;;1.0;;9.0;-15.0;-38.0;-33.0;5.0;217.0;120.0;;;26.61;2.37;2.2;0.44;0.72;12.68;86.0;14.5;0.8;1.3;2281.0;12.2;51.0;203.0;29.4;8.9;658.0;117.0;1087.0;15.2;17.5;18.6;81.4;23.7
2008.0;2479.0;720.0;369.0;295.0;300.0;212.0;86.0;1025.0;1719.0;357.0;723.0;995.0;257.0;-116.0;-68.0;67.0;185.0;1759.0;29.05;405.0;;405.0;405.0;;;2164.0;9.0;12.0;57.0;14.88;11.92;4.0;12.09;88.0;8.56;2.49;2.46;85.0;;284.0;;284.0;299.0;347.0;94.0;428.0;36.0;65.0;101.0;92.0;47.0;25.0;694.0;;124.0;51.0;13.0;;182.0;92.0;;9.0;267.0;367.0;;;;;1237.0;-218.0;;1719.0;;1719.0;;212.0;57.0;7.0;5.0;10.0;30.0;-28.0;-27.0;668.0;-34.0;-72.0;-44.0;;;-72.0;-14.0;;-42.0;-43.0;32.0;-7.0;284.0;217.0;;;29.07;2.49;2.17;0.5;0.85;11.67;85.0;13.3;0.6;1.5;2479.0;11.9;57.0;212.0;29.2;8.6;668.0;92.0;995.0;16.2;18.2;21.3;79.9;46.0
2009.0;1729.0;456.0;152.0;93.0;86.0;49.0;85.0;1024.0;1705.0;298.0;620.0;1072.0;250.0;-64.0;-89.0;104.0;212.0;1273.0;26.38;333.0;;333.0;333.0;;;1606.0;3.0;9.0;57.0;8.77;5.38;-6.0;5.0;38.0;2.81;0.57;0.57;85.0;;388.0;;388.0;274.0;256.0;106.0;460.0;40.0;82.0;121.0;52.0;26.0;22.0;682.0;;100.0;36.0;22.0;;162.0;88.0;;17.0;217.0;322.0;;;;;1239.0;-149.0;;1692.0;13.0;1705.0;;49.0;57.0;-7.0;5.0;57.0;61.0;128.0;-30.0;726.0;89.0;-38.0;-25.0;-0.0;;-38.0;-67.0;;-0.0;-46.0;24.0;6.0;388.0;284.0;;;20.4;0.57;2.5;0.54;0.45;12.65;85.0;37.8;0.5;2.5;1729.0;5.4;57.0;49.0;43.8;2.8;726.0;88.0;1072.0;3.8;5.6;4.5;5.7;21.8
2010.0;2070.0;564.0;249.0;186.0;187.0;130.0;85.0;1083.0;1784.0;336.0;634.0;1133.0;157.0;-69.0;-110.0;-22.0;96.0;1506.0;27.24;377.0;;378.0;378.0;;-0.0;1884.0;2.0;7.0;57.0;12.04;9.01;1.0;9.04;55.0;6.29;1.54;1.53;84.0;;366.0;;366.0;322.0;292.0;103.0;479.0;46.0;81.0;127.0;53.0;22.0;21.0;701.0;;147.0;13.0;22.0;;175.0;85.0;;20.0;194.0;299.0;;;;;1321.0;-142.0;;1768.0;16.0;1784.0;;130.0;57.0;4.0;8.0;21.0;-48.0;-29.0;47.0;747.0;-65.0;-61.0;-19.0;;;-51.0;-58.0;;-40.0;-47.0;36.0;-0.0;366.0;388.0;;;24.53;1.54;1.14;0.56;0.72;13.43;84.0;18.0;0.9;2.0;2070.0;9.0;57.0;130.0;29.3;6.3;747.0;85.0;1133.0;9.5;10.9;11.5;63.6;90.3
2011.0;2695.0;737.0;392.0;297.0;301.0;217.0;85.0;1219.0;1977.0;471.0;784.0;1177.0;194.0;-131.0;-63.0;-5.0;128.0;1958.0;27.34;440.0;;440.0;440.0;;;2398.0;3.0;7.0;84.0;14.55;11.01;5.0;11.18;84.0;8.06;2.6;2.56;84.0;;361.0;;361.0;386.0;373.0;99.0;470.0;65.0;94.0;160.0;55.0;58.0;15.0;758.0;;176.0;101.0;22.0;;193.0;2.0;;18.0;293.0;312.0;;;;;1484.0;-248.0;;1960.0;16.0;1977.0;;217.0;84.0;15.0;7.0;1.0;-68.0;-52.0;9.0;748.0;-131.0;-66.0;-66.0;;;-65.0;-16.0;;-37.0;-52.0;42.0;-4.0;361.0;366.0;;;32.2;2.6;1.53;0.62;0.79;14.06;84.0;13.6;0.8;1.8;2695.0;11.0;84.0;217.0;28.0;8.1;748.0;2.0;1177.0;14.9;15.7;18.5;76.1;69.6
