;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2000.0;;;;;;;;;18633.0;106.0;57664.0;-39031.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18633.0;;106.0;;;;;;;;;57558.0;;;;;;;18633.0;;18633.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;7027.0;;-540.0;-540.0;-540.0;-541.0;3921.0;;26187.0;;53569.0;-27401.0;;;;;;;;;;;;;;835.0;;;;-7.69;-7.69;1.0;-7.68;0.0;-7.7;-0.14;-0.14;3921.0;;;;;;;;;;;;;;;;26187.0;;;;;;;770.0;;;;53569.0;;;528.0;;;;26168.0;19.0;26187.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;8976.0;;-424.0;-424.0;-424.0;-426.0;3917.0;;37903.0;;67247.0;-29383.0;;;;;;;;;;;;;;201.0;;;;-4.72;-4.72;-0.0;-4.72;2.0;-4.74;-0.11;-0.11;3917.0;;1755.0;;1755.0;212.0;;;;;;;10692.0;;;;37903.0;;;;;;;1548.0;;;;67247.0;;;556.0;-30111.0;;173.0;37864.0;40.0;37903.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;9529.0;;732.0;-32.0;-32.0;-173.0;4095.0;;39709.0;;32090.0;7542.0;4652.0;-12704.0;11445.0;3393.0;4381.0;;;;;829.0;829.0;;;9561.0;;;762.0;7.68;-0.33;;-0.33;143.0;-1.81;-0.04;-0.04;4079.0;;5148.0;;5148.0;338.0;;;1451.0;;;;9824.0;;;;39709.0;;;;;;;;445.0;;;32090.0;;;3233.0;4309.0;;;39632.0;77.0;39709.0;;-173.0;762.0;126.0;;3910.0;17.0;;5274.0;-3821.0;27.0;-271.0;;-10282.0;5299.0;-7450.0;-0.0;2985.0;;;8460.0;;5148.0;1755.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;9278.0;;1978.0;1148.0;1148.0;866.0;5311.0;;52387.0;;44261.0;8037.0;3976.0;-14560.0;8723.0;-1860.0;3859.0;;;;;795.0;795.0;;;8130.0;;;836.0;21.32;12.37;;12.37;275.0;9.34;0.16;0.16;5311.0;;3288.0;;3288.0;473.0;;;1480.0;;;;20235.0;;;;52387.0;;;;;;;;528.0;;;44261.0;;;3233.0;4804.0;;;52298.0;90.0;52387.0;;866.0;836.0;266.0;;4227.0;-303.0;;4044.0;;-2219.0;-117.0;;-15040.0;3592.0;-2995.0;;;;;8723.0;;3288.0;5148.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;12168.0;;2506.0;1426.0;1426.0;1160.0;5320.0;;69287.0;;59222.0;9959.0;3943.0;-11317.0;7523.0;103.0;3760.0;;;;;897.0;897.0;;;10742.0;;;1080.0;20.59;11.72;;11.72;266.0;9.54;0.22;0.22;5316.0;;3476.0;;3476.0;614.0;;;1575.0;;;;36563.0;;;;69287.0;;;;;;;4291.0;989.0;;;59222.0;;;3316.0;6643.0;;;69180.0;107.0;69287.0;;1160.0;1080.0;170.0;;1465.0;384.0;;5349.0;-6500.0;68.0;-184.0;;-19903.0;7689.0;1081.0;;;;;7523.0;-46.0;3476.0;3372.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;18871.0;;4711.0;3280.0;3280.0;2569.0;5322.0;;97919.0;;79890.0;17891.0;10293.0;-18067.0;10672.0;2839.0;9949.0;;;;;1196.0;1196.0;;;15591.0;;;1431.0;24.96;17.38;;17.38;711.0;13.61;0.48;0.48;5322.0;;6432.0;;6432.0;777.0;;;1866.0;;;;58079.0;;;;97919.0;4477.0;;108.0;;;;5300.0;2437.0;;;79890.0;;;3621.0;4359.0;;9911.0;97781.0;138.0;97919.0;;2569.0;1431.0;602.0;;8379.0;1145.0;;7268.0;-4371.0;-2687.0;-344.0;-777.0;-22679.0;6940.0;-1208.0;;3562.0;;-172.0;7282.0;-60.0;6432.0;3593.0;;0.13;27.68;3.77;14.59;0.25;0.5;26.24;5322.0;2.2;0.1;3.0;147311.0;17.4;11171.0;20051.0;21.7;13.6;;;139665.0;2.6;3.4;14.4;93.3;-34.1;0.128
2007.0;26199.0;;8203.0;6158.0;6214.0;5347.0;5635.0;;127824.0;;99451.0;28133.0;16819.0;-18963.0;-1195.0;-3408.0;16384.0;;;;;1615.0;1615.0;;;19985.0;;;1989.0;31.31;23.51;56.0;23.72;867.0;20.41;0.94;0.94;5635.0;;3466.0;;3466.0;851.0;;;2296.0;;;;87387.0;;;;127824.0;9919.0;;1138.0;;;;6613.0;3393.0;;;99451.0;;;3869.0;8544.0;;15720.0;127584.0;240.0;127824.0;;5347.0;1989.0;;;11868.0;4270.0;;6208.0;-4301.0;-2386.0;-435.0;;-30524.0;11291.0;706.0;;;;-6.0;-1189.0;-69.0;3466.0;6874.0;;0.14;33.96;6.93;21.24;0.01;0.56;36.47;5635.0;3.0;0.2;0.0;191372.0;23.5;14531.0;39060.0;13.9;20.4;;;205500.0;4.2;4.9;19.0;99.9;0.0;0.137
2008.0;24454.0;;3521.0;3310.0;3343.0;3119.0;5355.0;;153172.0;;126553.0;26483.0;12429.0;-22939.0;11838.0;1285.0;12014.0;;;;;1775.0;1775.0;;;21111.0;;;198.0;14.4;13.53;33.0;13.67;204.0;12.76;0.55;0.55;5355.0;;4997.0;33465.0;38462.0;943.0;;;2661.0;;;;130095.0;;;;153172.0;4249.0;;245.0;;;;10920.0;1843.0;;;126553.0;;;4144.0;9823.0;;12516.0;153036.0;135.0;153172.0;;3119.0;198.0;;;3790.0;;;;-1375.0;5322.0;-414.0;;-25020.0;12174.0;-9678.0;;;;-1754.0;13592.0;-42.0;4997.0;3711.0;;0.15;31.15;3.97;15.3;2.23;0.53;33.73;5355.0;4.5;0.2;12.4;166811.0;13.5;1349.0;21277.0;6.1;12.8;;;180649.0;2.0;2.2;11.8;43.8;14.6;0.147
2009.0;49706.0;;6321.0;6013.0;6116.0;4817.0;5653.0;;179647.0;;148475.0;30922.0;21931.0;-23990.0;2368.0;309.0;21515.0;;;;;2742.0;2742.0;;;43590.0;;;229.0;12.72;12.1;103.0;12.3;1276.0;9.69;0.85;0.85;5653.0;;5303.0;50540.0;55843.0;999.0;;;2559.0;;;;163374.0;;;;179647.0;838.0;;564.0;;;9863.0;;2397.0;;12260.0;160735.0;;;4141.0;11723.0;;15058.0;179397.0;250.0;179647.0;;4817.0;229.0;;;2396.0;;;;2396.0;14490.0;-416.0;;-43669.0;32529.0;-12371.0;;;;-952.0;3321.0;-1.0;5303.0;4993.0;;0.15;60.02;5.82;25.98;1.15;0.5;37.34;5653.0;3.4;0.0;5.9;339290.0;12.1;1560.0;32881.0;20.9;9.7;;67326.0;211072.0;2.7;3.4;15.6;80.2;4.4;0.146
2010.0;58532.0;;6466.0;5952.0;6221.0;5101.0;5653.0;;213985.0;;182056.0;31661.0;27094.0;-20622.0;-4654.0;1768.0;26358.0;;;;;3077.0;3077.0;;;52311.0;;;273.0;11.05;10.17;269.0;10.63;1092.0;8.72;0.9;0.9;5653.0;;7259.0;66988.0;74248.0;1103.0;;;2874.0;;;;192141.0;;;;213985.0;1255.0;;5.0;;;10645.0;;1786.0;;12431.0;194487.0;;;4288.0;12126.0;;15248.0;213717.0;268.0;213985.0;;5101.0;273.0;;;332.0;;;;1981.0;21387.0;-736.0;;-37273.0;27238.0;-9851.0;;;;-3001.0;-1653.0;-49.0;7259.0;5491.0;;0.15;68.25;5.95;30.74;3.5;0.86;36.92;5653.0;3.7;0.2;16.0;385838.0;10.2;1802.0;33626.0;17.6;8.7;;70171.0;208710.0;2.4;2.9;16.1;41.2;11.4;0.152
2011.0;58936.0;;3676.0;;3260.0;2913.0;5653.0;;251683.0;;220953.0;30434.0;21285.0;-21228.0;1270.0;1292.0;20514.0;;;;;;;;;55676.0;;139.0;303.0;6.24;;494.0;5.53;321.0;4.94;0.52;0.52;5653.0;;8896.0;82754.0;91650.0;1311.0;;;3215.0;;;;221476.0;;;;251683.0;1899.0;;119.0;;;11091.0;;231.0;;11322.0;232275.0;;;4491.0;12695.0;;13248.0;251388.0;295.0;251683.0;;2913.0;303.0;;;-2882.0;;;;-147.0;20951.0;-771.0;;-39454.0;24764.0;-6537.0;;;;-1797.0;3066.0;-35.0;8896.0;7604.0;;0.16;65.61;3.24;22.84;2.0;0.86;33.88;5653.0;5.0;0.3;12.4;370899.0;;1909.0;18331.0;9.9;4.9;;69797.0;191530.0;1.2;1.3;9.6;38.3;8.8;0.159
2012.0;59623.0;;2453.0;1760.0;1760.0;1775.0;5653.0;136171.0;304776.0;;268968.0;35484.0;21215.0;-32711.0;13657.0;2161.0;20366.0;;;;;3737.0;3737.0;;;57863.0;;413.0;313.0;4.11;2.95;;2.95;-49.0;2.98;0.31;0.31;5653.0;;11147.0;81280.0;92427.0;2560.0;;41185.0;3585.0;;1016.0;1016.0;164004.0;;;168605.0;473381.0;3106.0;;68.0;;;10911.0;;1257.0;;12168.0;281137.0;;;4537.0;12903.0;18045.0;;304452.0;324.0;304776.0;;1775.0;313.0;;;-2341.0;;;;-712.0;21468.0;-850.0;-215.0;-47966.0;26013.0;-9694.0;;;;-1043.0;14700.0;;11147.0;8986.0;;0.16;65.72;1.96;22.45;1.15;0.94;39.11;5653.0;7.1;0.5;8.3;371485.0;3.0;1949.0;11061.0;-2.8;3.0;848420.0;67981.0;221085.0;0.7;0.7;5.0;41.2;5.1;0.161
2013.0;69034.0;;5826.0;4349.0;4865.0;4091.0;5653.0;145346.0;325930.0;;289159.0;36399.0;11282.0;-9950.0;-9269.0;-7950.0;10667.0;;;;;4098.0;4098.0;;;64169.0;;666.0;335.0;8.44;6.3;516.0;7.05;734.0;5.93;0.73;0.73;5653.0;;3524.0;81200.0;84724.0;3090.0;;57532.0;3865.0;;1021.0;1021.0;175698.0;;;180584.0;506514.0;4098.0;;63.0;;;11231.0;;813.0;;12044.0;301203.0;;;4669.0;15719.0;16010.0;;325557.0;372.0;325930.0;;4091.0;335.0;;;3775.0;;;;3849.0;3081.0;-615.0;-394.0;-57225.0;44229.0;4055.0;;;;-654.0;-8615.0;-13.0;3524.0;11473.0;;0.17;73.92;4.38;11.42;0.7;0.66;38.98;5653.0;3.2;0.2;5.0;417883.0;6.3;2026.0;24765.0;15.1;5.9;879816.0;67985.0;220331.0;1.4;1.7;11.2;84.0;6.1;0.165
2014.0;71007.0;;7563.0;6509.0;6509.0;5189.0;5653.0;159944.0;361922.0;;315633.0;45772.0;12606.0;-11157.0;2691.0;4141.0;11792.0;;;;;4097.0;4097.0;;;64499.0;;761.0;342.0;10.65;9.17;;9.17;1271.0;7.31;0.92;0.92;5653.0;;7577.0;97873.0;105450.0;2974.0;;51520.0;4084.0;;989.0;989.0;196905.0;;;201978.0;563900.0;4436.0;;124.0;;;11376.0;;3121.0;;14497.0;330130.0;;;4553.0;17711.0;23508.0;;361405.0;517.0;361922.0;;5189.0;342.0;;;6015.0;;;;6658.0;1059.0;-813.0;-914.0;-69008.0;53050.0;6527.0;-2.0;;;-1366.0;4059.0;2.0;7577.0;3436.0;;0.16;77.97;5.7;12.95;1.5;0.89;50.26;5653.0;2.6;0.1;10.3;440766.0;9.2;2124.0;32211.0;19.5;7.3;992826.0;70612.0;284121.0;1.6;2.0;11.3;73.7;11.6;0.161
2015.0;78147.0;;7977.0;7073.0;7073.0;5344.0;5653.0;147160.0;377041.0;;326804.0;49664.0;-2897.0;10325.0;-2990.0;4476.0;-4188.0;;;;;4229.0;4229.0;;;71074.0;;665.0;314.0;10.21;9.05;;9.05;1655.0;6.84;0.94;0.94;5653.0;;11719.0;118659.0;130378.0;3741.0;;13041.0;4154.0;;924.0;924.0;224802.0;;;229880.0;606921.0;5034.0;;902.0;;;10878.0;;2611.0;;13489.0;340292.0;;;4353.0;18950.0;25161.0;1200.0;376467.0;573.0;377041.0;;5344.0;314.0;;;-4497.0;;;;10854.0;-4057.0;-1291.0;479.0;-88724.0;69886.0;29975.0;;;;-1770.0;-1220.0;37.0;11719.0;7243.0;;0.15;89.77;6.14;-4.81;2.03;1.48;57.05;5653.0;3.3;0.2;10.1;507449.0;9.1;2036.0;34699.0;23.4;6.8;955587.0;70637.0;322492.0;1.6;2.0;10.8;66.9;-42.3;0.154
2016.0;77818.0;;4351.0;3431.0;3431.0;2752.0;5653.0;139679.0;388091.0;;343821.0;43691.0;12821.0;-15067.0;902.0;-1302.0;12057.0;;;;;4584.0;4584.0;;;74388.0;;686.0;300.0;5.59;4.41;;4.41;613.0;3.54;0.47;0.47;5653.0;;9648.0;110288.0;119936.0;2238.0;;17504.0;4373.0;;843.0;843.0;243197.0;;;248413.0;636504.0;6152.0;;269.0;;;7795.0;;1118.0;;8913.0;352733.0;;;4067.0;17636.0;20867.0;1121.0;387512.0;579.0;388091.0;;2752.0;300.0;;;7150.0;;;;17911.0;2619.0;-764.0;-9378.0;-102261.0;81883.0;15454.0;-4317.0;;;-1764.0;6983.0;41.0;9648.0;10950.0;;0.14;95.66;3.38;14.82;2.17;0.94;53.71;5653.0;3.6;0.2;17.8;540781.0;4.4;2083.0;19127.0;17.9;3.5;970664.0;54168.0;303621.0;0.9;1.0;6.3;35.9;14.6;0.144
2017.0;98884.0;;7380.0;6405.0;6405.0;4957.0;5653.0;157178.0;445360.0;;395360.0;49327.0;30892.0;-26694.0;-7008.0;-2837.0;29414.0;;;;;5526.0;5526.0;;;92479.0;;707.0;344.0;7.46;6.48;;6.48;1371.0;5.01;0.87;0.87;5653.0;;7468.0;124610.0;132077.0;4725.0;;20376.0;6564.0;;953.0;953.0;280664.0;;;288181.0;733541.0;7759.0;;1059.0;;;2889.0;;749.0;;3637.0;398997.0;;;4344.0;21395.0;22390.0;1197.0;444687.0;673.0;445360.0;;4957.0;344.0;;;17872.0;;;;5989.0;7719.0;-1478.0;-5734.0;-156280.0;104469.0;32330.0;-5841.0;;;-1101.0;-66.0;-28.0;7468.0;10305.0;;0.15;113.81;5.71;33.85;1.27;1.7;56.77;5653.0;2.7;0.1;8.2;643355.0;6.5;2240.0;32253.0;21.4;5.0;1022631.0;18794.0;320933.0;1.2;1.6;10.0;77.8;3.7;0.154
