;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;1.0;1.0;-1.0;0.0;0.0;-1.0;14.0;0.0;2.0;1.0;1.0;1.0;0.0;;-0.0;0.0;0.0;0.0;80.95;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-192.63;24.43;-0.0;23.81;;-203.17;-0.09;-0.09;14.0;;0.0;;0.0;0.0;;;0.0;;2.0;2.0;;;;2.0;;;0.0;;;0.0;;;;;;;;;0.0;-2.0;0.0;3.0;2.0;-0.0;2.0;;-1.0;0.0;;;1.0;;;;-1.0;1.0;;;;;;;;;;-0.0;-0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;1.0;0.0;0.0;0.0;0.0;25.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;-0.0;0.0;0.0;1.0;57.72;1.0;;0.0;1.0;;0.0;1.0;;;0.0;20.57;17.09;0.0;20.33;;20.33;0.02;0.01;15.0;;0.0;;0.0;0.0;;;0.0;;2.0;2.0;;;;2.0;;1.0;0.0;;;-0.0;0.0;;;;0.0;;;;0.0;-2.0;-0.0;3.0;2.0;0.0;2.0;;0.0;0.0;;;0.0;;;;-0.0;-0.0;;;;;0.0;;0.0;;;-0.0;-0.0;0.0;0.0;;;0.08;0.02;0.03;;;0.09;15.0;;;;1.0;17.1;0.0;0.0;;20.3;-0.0;0.0;1.0;15.6;11.4;18.4;100.0;-12.4
2004.0;4.0;2.0;1.0;0.0;1.0;1.0;17.0;1.0;3.0;1.0;1.0;2.0;1.0;-0.0;-0.0;1.0;1.0;2.0;45.17;1.0;;1.0;1.0;;0.0;3.0;;;0.0;14.31;12.27;0.0;14.2;;14.2;0.03;0.03;15.0;;1.0;;1.0;0.0;;;0.0;;2.0;2.0;;;;2.0;;1.0;;;;;;;;;;;;;0.0;-1.0;;3.0;3.0;-0.0;3.0;;1.0;0.0;;;1.0;;;;0.0;-0.0;-0.0;;;;-0.0;;0.0;;;-0.0;0.0;1.0;0.0;;;0.24;0.03;0.06;;0.0;0.13;15.0;;;;4.0;12.3;0.0;1.0;;14.2;0.0;;2.0;25.8;19.1;25.8;100.0;-13.7
2005.0;6.0;2.0;0.0;0.0;0.0;0.0;17.0;2.0;4.0;1.0;1.0;3.0;1.0;-0.0;0.0;1.0;1.0;4.0;32.41;2.0;;2.0;2.0;;0.0;5.0;;;0.0;6.27;2.21;0.0;6.07;;6.07;0.02;0.02;17.0;;2.0;;2.0;0.0;;-0.0;0.0;;2.0;2.0;;;0.0;2.0;;1.0;;;;;;;;;;;;;0.0;-1.0;;4.0;4.0;0.0;4.0;;0.0;0.0;;;1.0;;;;1.0;-0.0;-0.0;;-0.0;;;;0.0;;;;;2.0;1.0;;;0.35;0.02;0.04;;0.0;0.16;17.0;;;;6.0;2.2;0.0;0.0;;6.1;1.0;;3.0;13.3;9.8;13.3;100.0;-50.5
2006.0;8.0;2.0;0.0;0.0;0.0;0.0;18.0;2.0;4.0;1.0;1.0;3.0;0.0;-0.0;;0.0;0.0;6.0;24.76;2.0;;2.0;2.0;;0.0;8.0;0.0;;0.0;5.04;1.35;0.0;4.86;;4.86;0.02;0.02;18.0;;2.0;;2.0;0.0;;;0.0;;2.0;2.0;;;0.0;2.0;;1.0;;;;;;;;;;;;;0.0;-1.0;;4.0;4.0;0.0;4.0;;0.0;0.0;;;0.0;;;;1.0;-0.0;-0.0;;-0.0;;-0.0;;;;;;;2.0;2.0;;;0.47;0.02;0.03;;0.0;0.17;18.0;47.7;2.6;;8.0;1.3;0.0;0.0;;4.9;1.0;;3.0;13.2;10.0;13.2;100.0;
2007.0;9.0;2.0;-2.0;-1.0;-2.0;-2.0;19.0;8.0;10.0;2.0;2.0;8.0;-1.0;0.0;6.0;5.0;-1.0;7.0;22.69;4.0;;4.0;4.0;;0.0;11.0;0.0;;0.0;-21.98;-16.52;-1.0;-22.25;;-22.25;-0.11;-0.11;19.0;;7.0;;7.0;0.0;;0.0;0.0;;2.0;2.0;;;-0.0;2.0;;;;;;2.0;;;;0.0;0.0;;;;0.0;-3.0;-0.0;10.0;10.0;-0.0;10.0;;-2.0;0.0;;;5.0;;;;6.0;-3.0;-0.0;;;0.0;;;6.0;;;0.0;;7.0;2.0;;;0.48;-0.11;-0.06;;0.01;0.4;19.0;-15.8;-0.9;;9.0;-16.5;0.0;-2.0;;-22.2;6.0;;8.0;-26.0;-21.1;-26.3;100.0;
2008.0;9.0;2.0;-10.0;-8.0;-10.0;-10.0;22.0;2.0;8.0;5.0;6.0;2.0;-5.0;-2.0;1.0;-6.0;-7.0;8.0;17.95;10.0;;9.0;10.0;;1.0;19.0;0.0;;0.0;-104.04;-85.47;-2.0;-107.16;-0.0;-106.73;-0.46;-0.46;22.0;;2.0;;2.0;0.0;0.0;0.0;1.0;3.0;2.0;5.0;;0.0;-0.0;6.0;;1.0;;;;4.0;;;;0.0;0.0;;;;0.0;-13.0;-0.0;15.0;8.0;-0.0;8.0;;-10.0;0.0;;2.0;-9.0;0.0;-0.0;;-3.0;12.0;-2.0;;;;-1.0;;1.0;;;;;2.0;7.0;;;0.43;-0.46;-0.32;;0.1;0.1;22.0;-4.4;-0.2;;9.0;-85.5;0.0;-10.0;0.4;-106.7;-3.0;;2.0;-373.4;-125.3;-442.9;100.0;
2009.0;8.0;2.0;-4.0;-4.0;-4.0;-4.0;24.0;1.0;3.0;2.0;3.0;-0.0;-4.0;3.0;;-1.0;-5.0;6.0;25.36;6.0;;6.0;6.0;;1.0;14.0;0.0;0.0;0.0;-48.88;-55.2;0.0;-53.35;-0.0;-52.69;-0.17;-0.17;24.0;;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;-0.0;1.0;;;0.0;;;2.0;;;;0.0;0.0;;;;0.0;-17.0;-0.0;17.0;3.0;-0.0;3.0;;-4.0;0.0;;2.0;2.0;-0.0;0.0;;-1.0;-4.0;-1.0;;;;3.0;;;;;;;0.0;2.0;;;0.32;-0.17;-0.2;;0.03;-0.01;24.0;-1.6;-0.0;;8.0;-55.2;0.0;-4.0;2.0;-52.7;-1.0;;-0.0;-1513.7;-150.9;2268.1;100.0;
2010.0;4.0;1.0;-1.0;-2.0;-2.0;-1.0;30.0;1.0;2.0;2.0;2.0;-0.0;-1.0;1.0;1.0;;-2.0;3.0;29.98;4.0;;4.0;4.0;;0.0;7.0;;-0.0;0.0;-33.66;-61.18;1.0;-36.86;-0.0;-35.63;-0.05;-0.05;30.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;-0.0;1.0;;;0.0;;;2.0;0.0;;;0.0;0.0;;;;0.0;-18.0;-0.0;18.0;2.0;;2.0;;-1.0;0.0;-0.0;;-0.0;1.0;-0.0;;-1.0;0.0;-0.0;;;;1.0;;;1.0;;0.0;;0.0;0.0;;;0.14;-0.05;-0.05;;0.01;-0.01;30.0;-2.9;-0.1;;4.0;-61.2;0.0;-1.0;2.0;-35.6;-1.0;0.0;-0.0;1489.6;-80.9;426.5;100.0;
2011.0;6.0;;-1.0;-1.0;-1.0;-1.0;32.0;1.0;1.0;2.0;2.0;-1.0;-0.0;;;0.0;-0.0;;;6.0;;1.0;1.0;;5.0;6.0;;-0.0;;-13.45;-10.91;-0.0;-11.92;-0.0;-11.92;-0.02;-0.02;32.0;;0.0;;0.0;;;0.0;0.0;0.0;1.0;1.0;;0.0;-0.0;1.0;;;0.0;;;2.0;0.0;;;0.0;0.0;;;;0.0;-19.0;-0.0;18.0;1.0;;1.0;;-1.0;;;;-0.0;0.0;0.0;;-2.0;1.0;;;;;;;;;;;;0.0;0.0;;;0.18;-0.02;-0.01;;;-0.03;32.0;-2.8;-0.2;;6.0;-10.9;;-1.0;4.4;-11.9;-2.0;0.0;-1.0;94.7;-54.0;74.6;100.0;
