;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;1.0;;-2.0;-2.0;-2.0;-2.0;0.0;;;;;;-2.0;-0.0;3.0;0.0;-2.0;;;3.0;;;;;3.0;3.0;0.0;0.0;0.0;-222.7;-239.72;0.0;-230.6;0.0;-230.81;-32.3;-32.3;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;0.0;;;0.0;;;;;0.0;-0.0;;;;-0.0;;2.0;-0.0;;0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;9.0;4.0;-4.0;-2.0;-2.0;-4.0;0.0;;;;;;-1.0;-0.0;1.0;0.0;-4.0;5.0;44.47;6.0;;;;;6.0;10.0;0.0;0.0;0.0;-41.22;-21.3;-0.0;-26.02;0.0;-50.91;-38.0;-38.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.0;0.0;-0.0;;;;;;;4.0;-3.0;-3.0;;;3.0;-0.0;1.0;;;1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;16.0;11.0;4.0;3.0;2.0;3.0;0.0;5.0;10.0;5.0;5.0;5.0;1.0;-0.0;-1.0;-0.0;1.0;5.0;66.94;8.0;;7.0;7.0;;1.0;13.0;0.0;1.0;1.0;23.19;18.77;-1.0;13.91;-1.0;17.98;13.3;13.3;0.0;;0.0;;0.0;4.0;;1.0;1.0;;4.0;4.0;;;0.0;5.0;;0.0;4.0;;;1.0;;;0.0;;0.0;;;;0.0;-1.0;;6.0;10.0;;10.0;;3.0;1.0;-1.0;;0.0;;;;0.0;-2.0;-0.0;;;;;-2.0;0.0;;;1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;15.0;9.0;4.0;2.0;3.0;2.0;0.0;4.0;9.0;3.0;3.0;6.0;4.0;-0.0;-3.0;0.0;4.0;6.0;57.58;7.0;;6.0;6.0;;1.0;13.0;0.0;1.0;1.0;27.96;13.74;1.0;20.17;1.0;12.01;7.6;7.6;0.0;;1.0;;1.0;3.0;;1.0;0.0;;4.0;4.0;;;0.0;4.0;;0.0;1.0;;;1.0;0.0;;0.0;;0.0;;;;0.0;1.0;-0.0;5.0;9.0;;9.0;;2.0;1.0;0.0;;1.0;;;;2.0;-0.0;-0.0;;;;-0.0;;;-0.0;;-3.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;13.0;9.0;4.0;3.0;3.0;4.0;0.0;4.0;11.0;1.0;1.0;9.0;1.0;-0.0;-1.0;0.0;1.0;4.0;71.2;6.0;;6.0;6.0;;1.0;10.0;0.0;0.0;1.0;31.17;23.59;0.0;26.08;-0.0;27.93;15.2;15.2;0.0;;1.0;;1.0;4.0;;0.0;0.0;;5.0;5.0;;;1.0;6.0;;0.0;0.0;;;1.0;0.0;;0.0;;0.0;;;;0.0;5.0;-0.0;5.0;11.0;;11.0;;4.0;1.0;0.0;;1.0;;;;3.0;-5.0;-0.0;;;;-0.0;;;;;-1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;31.0;22.0;11.0;9.0;10.0;8.0;0.0;11.0;22.0;5.0;5.0;17.0;5.0;-3.0;-0.0;2.0;4.0;8.0;72.84;13.0;;;;;13.0;22.0;0.0;0.0;1.0;35.09;29.98;1.0;32.38;2.0;25.75;34.2;34.2;0.0;;2.0;;2.0;7.0;;2.0;1.0;;4.0;4.0;;;7.0;11.0;;0.0;0.0;;;4.0;;;0.0;;0.0;;;0.0;0.0;13.0;-4.0;8.0;22.0;;22.0;;8.0;1.0;-1.0;;4.0;;;;7.0;-6.0;-1.0;;;;-2.0;;;-0.0;;-0.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;57.0;32.0;16.0;13.0;14.0;9.0;0.0;14.0;29.0;2.0;3.0;26.0;5.0;-2.0;-1.0;1.0;4.0;25.0;56.69;20.0;;;;;20.0;44.0;;;2.0;27.8;22.22;1.0;24.14;5.0;15.67;36.1;36.1;0.0;;4.0;;4.0;10.0;;1.0;1.0;;3.0;3.0;;;11.0;15.0;;1.0;0.0;;;1.0;;;1.0;;1.0;;;0.0;0.0;20.0;-6.0;11.0;29.0;;29.0;;9.0;2.0;2.0;;6.0;;;;12.0;-14.0;-0.0;;;;-2.0;;0.0;;-1.0;;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;25.0;21.0;2.0;-1.0;-1.0;-1.0;0.0;16.0;25.0;2.0;2.0;24.0;7.0;-0.0;-2.0;5.0;7.0;4.0;84.21;22.0;;;;;22.0;26.0;;;3.0;6.63;-3.3;-0.0;-4.55;-0.0;-2.45;-1.9;-1.9;0.0;;8.0;;8.0;5.0;;3.0;0.0;;5.0;5.0;;;4.0;9.0;;1.0;;;;1.0;;;;;;;;0.0;0.0;18.0;-3.0;9.0;25.0;;25.0;;-1.0;3.0;-1.0;;2.0;;;;15.0;4.0;-0.0;;;;-0.0;;0.0;-1.0;-1.0;0.0;;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;37.0;29.0;2.0;2.0;-1.0;-1.0;0.0;18.0;27.0;4.0;4.0;22.0;2.0;-1.0;-0.0;1.0;2.0;8.0;78.12;27.0;;;;;27.0;35.0;0.0;;3.0;4.53;5.76;-3.0;-3.69;-0.0;-2.85;-3.8;-3.8;0.0;;7.0;2.0;9.0;7.0;;2.0;0.0;;6.0;6.0;;1.0;1.0;8.0;;1.0;;;;4.0;;;;;;;;0.0;0.0;15.0;-3.0;10.0;27.0;;27.0;;-1.0;3.0;-1.0;;-1.0;;;;14.0;3.0;-1.0;;-0.0;;;;;-0.0;;;;7.0;6.0;;;155.86;-4.44;6.73;;3.5;94.57;0.0;-40.9;-2.3;;37.0;5.8;3.0;-1.0;22.9;-2.8;14.0;;22.0;-4.7;-5.1;-4.7;100.0;
2007.0;26.0;22.0;7.0;3.0;4.0;2.0;0.0;14.0;40.0;2.0;2.0;38.0;2.0;-2.0;-0.0;-1.0;1.0;4.0;84.04;19.0;;;;;19.0;23.0;0.0;;3.0;25.31;12.63;0.0;13.7;2.0;6.66;6.46;6.27;0.0;;6.0;;6.0;7.0;;1.0;0.0;12.0;7.0;19.0;;5.0;2.0;26.0;;1.0;;;;1.0;;;;;;;;0.0;0.0;17.0;-2.0;22.0;40.0;;40.0;;2.0;3.0;2.0;;-3.0;;;;11.0;-2.0;-1.0;-4.0;;3.0;;;;-0.0;-0.0;;;6.0;6.0;;;97.97;6.52;2.31;0.01;4.25;140.25;0.0;21.7;1.2;0.0;26.0;12.6;3.0;2.0;51.4;6.7;11.0;;38.0;4.7;9.0;4.7;99.9;49.8
