;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;31.0;15.0;1.0;;1.0;;50.0;;;;;;;;;;;16.0;48.39;14.0;;;;;14.0;30.0;;1.0;;3.23;;;3.23;;;0.01;0.01;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;178.0;84.0;2.0;4.0;3.0;1.0;129.0;;;;;;;;;;;94.0;47.19;80.0;;72.0;72.0;;8.0;174.0;;-1.0;;1.12;2.25;-1.0;1.69;2.0;0.56;0.01;0.01;129.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;226.0;107.0;7.0;5.0;-0.0;-1.0;140.0;;;;;;-3.0;-8.0;15.0;15.0;-3.0;119.0;47.28;102.0;;22.0;;22.0;80.0;222.0;;;8.0;3.23;2.04;-5.0;-0.11;1.0;-0.39;-0.01;-0.01;140.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;8.0;;;;;;;17.0;-10.0;;;;;-8.0;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;250.0;118.0;12.0;13.0;8.0;4.0;154.0;74.0;227.0;57.0;67.0;160.0;12.0;-4.0;-11.0;-3.0;9.0;133.0;47.09;105.0;;64.0;40.0;25.0;41.0;237.0;;;8.0;4.84;5.24;-5.0;3.26;;1.69;0.03;0.03;141.0;;2.0;;2.0;;;72.0;;;;;;;153.0;153.0;;;;;;57.0;;;;10.0;10.0;20.0;;;;;;160.0;227.0;-0.0;227.0;;4.0;8.0;1.0;;;;;;17.0;-1.0;-3.0;;;;-0.0;;;;;-11.0;;-3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;287.0;133.0;-27.0;21.0;18.0;-39.0;155.0;74.0;177.0;24.0;56.0;121.0;18.0;-7.0;-12.0;-1.0;11.0;155.0;46.17;112.0;;107.0;;;5.0;266.0;;;5.0;-9.27;7.26;-3.0;6.36;7.0;-13.55;-0.28;-0.28;141.0;;1.0;;1.0;19.0;54.0;1.0;40.0;;49.0;49.0;;12.0;1.0;102.0;;5.0;6.0;;1.0;11.0;28.0;;;4.0;32.0;;;;0.0;-34.0;0.0;154.0;177.0;;177.0;;-39.0;5.0;1.0;;34.0;;-1.0;;51.0;17.0;-7.0;;;;0.0;;0.0;-0.0;;-12.0;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;328.0;154.0;30.0;26.0;24.0;15.0;146.0;96.0;203.0;22.0;29.0;174.0;21.0;-12.0;7.0;15.0;12.0;174.0;46.87;128.0;;122.0;;;5.0;302.0;;;5.0;9.02;7.95;-2.0;7.36;10.0;4.44;0.11;0.1;130.0;;16.0;;16.0;23.0;54.0;3.0;44.0;;51.0;51.0;;9.0;4.0;107.0;;7.0;2.0;;2.0;11.0;2.0;;;5.0;8.0;;;;0.0;-19.0;2.0;192.0;203.0;;203.0;;15.0;5.0;2.0;;24.0;;1.0;;74.0;-25.0;-9.0;-3.0;;;0.0;;60.0;-23.0;;-30.0;;16.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;425.0;198.0;41.0;35.0;34.0;21.0;179.0;107.0;288.0;30.0;84.0;204.0;26.0;-88.0;47.0;-14.0;0.0;227.0;46.52;163.0;;156.0;;;7.0;390.0;;;7.0;9.59;8.22;-1.0;7.97;13.0;4.84;0.13;0.12;160.0;;2.0;;2.0;28.0;74.0;3.0;71.0;;100.0;100.0;;5.0;5.0;181.0;;8.0;0.0;;3.0;18.0;50.0;;;5.0;55.0;;;;0.0;1.0;1.0;201.0;288.0;;288.0;;21.0;7.0;3.0;;4.0;;-5.0;;78.0;-9.0;-26.0;-62.0;-1.0;;0.0;;5.0;;;43.0;;2.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;547.0;258.0;60.0;53.0;52.0;31.0;196.0;151.0;439.0;48.0;98.0;341.0;38.0;-126.0;90.0;2.0;11.0;290.0;47.06;205.0;;196.0;;;9.0;494.0;;;9.0;11.01;9.67;-1.0;9.44;21.0;5.64;0.17;0.16;176.0;;3.0;;3.0;40.0;104.0;5.0;97.0;;182.0;182.0;;2.0;7.0;288.0;;15.0;1.0;;3.0;27.0;46.0;;;5.0;51.0;;;;1.0;32.0;1.0;307.0;439.0;;439.0;;31.0;9.0;2.0;;26.0;;-9.0;;104.0;-29.0;-26.0;-104.0;;0.0;4.0;;100.0;;;-10.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;789.0;358.0;85.0;77.0;73.0;44.0;222.0;184.0;564.0;61.0;163.0;401.0;52.0;-111.0;59.0;1.0;16.0;432.0;45.29;280.0;;269.0;;;12.0;712.0;;;12.0;10.76;9.78;-4.0;9.23;28.0;5.62;0.21;0.2;211.0;;4.0;;4.0;49.0;125.0;6.0;127.0;246.0;0.0;246.0;;;7.0;381.0;;19.0;8.0;;4.0;30.0;92.0;;2.0;8.0;102.0;;;;1.0;76.0;1.0;323.0;564.0;;564.0;;44.0;12.0;4.0;;19.0;;-9.0;;122.0;-26.0;-36.0;-73.0;;1.0;-2.0;;6.0;;;53.0;;4.0;3.0;;;3.73;0.21;0.08;;0.17;1.9;211.0;25.5;1.4;;789.0;9.8;12.0;44.0;39.0;5.6;122.0;92.0;401.0;8.8;12.9;11.1;100.0;-38.6
2007.0;1127.0;506.0;126.0;123.0;108.0;66.0;240.0;553.0;1693.0;164.0;843.0;850.0;54.0;-906.0;922.0;70.0;16.0;621.0;44.88;383.0;;366.0;;;17.0;1004.0;;;18.0;11.21;10.89;-14.0;9.61;42.0;5.85;0.29;0.28;227.0;;74.0;;74.0;126.0;320.0;33.0;217.0;826.0;75.0;901.0;;;21.0;1139.0;;69.0;17.0;;5.0;73.0;642.0;;26.0;12.0;679.0;;;;1.0;142.0;1.0;706.0;1693.0;;1693.0;;66.0;18.0;4.0;;267.0;;-35.0;;389.0;-301.0;-38.0;-868.0;;;1.0;;362.0;-1.0;;561.0;0.0;74.0;4.0;;;4.96;0.29;0.07;;0.17;3.74;227.0;24.8;1.4;;1127.0;10.9;18.0;66.0;39.1;5.8;389.0;642.0;850.0;4.3;6.4;7.8;100.0;-2257.5
