;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;3.0;2.0;1.0;1.0;1.0;0.0;1.0;;;;;;0.0;;-0.0;-0.0;0.0;0.0;85.71;2.0;;2.0;;;;2.0;;;;25.0;25.0;;25.0;0.0;14.29;0.29;0.29;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;-0.0;-1.0;;;;0.0;;;;;;-0.0;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5.0;4.0;1.0;1.0;1.0;0.0;2.0;11.0;12.0;4.0;4.0;9.0;1.0;;6.0;7.0;0.0;0.0;93.33;3.0;;3.0;3.0;;0.0;4.0;;;-0.0;15.56;17.78;;17.78;0.0;8.89;0.19;0.19;2.0;;7.0;;7.0;3.0;;1.0;0.0;;1.0;1.0;;;0.0;2.0;;;;;;4.0;;;;;;;;;;1.0;-0.0;8.0;12.0;;12.0;;0.0;-0.0;;;7.0;-1.0;;-0.0;7.0;-7.0;-0.0;;;;;;;-0.0;;7.0;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;6.0;5.0;-0.0;-0.0;0.0;-0.0;3.0;11.0;13.0;5.0;5.0;8.0;0.0;-0.0;;-0.0;-0.0;1.0;77.2;5.0;;5.0;3.0;2.0;;6.0;0.0;;0.0;-3.28;-4.03;0.0;2.78;0.0;-6.82;-0.15;-0.15;3.0;;7.0;;7.0;2.0;1.0;0.0;0.0;;1.0;1.0;;;0.0;2.0;;0.0;;;;4.0;;;;;;;;;0.0;1.0;-0.0;8.0;13.0;;13.0;;-0.0;0.0;-0.0;;-0.0;-1.0;;0.0;7.0;1.0;-0.0;;;;;;;;;;;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;6.0;4.0;-0.0;-1.0;-0.0;-0.0;3.0;11.0;13.0;5.0;5.0;8.0;-0.0;-4.0;;-4.0;-0.0;2.0;73.12;5.0;;5.0;3.0;2.0;0.0;6.0;0.0;;0.0;-1.48;-10.84;0.0;-3.6;-0.0;-2.1;-0.04;-0.04;3.0;;3.0;4.0;7.0;2.0;2.0;0.0;0.0;;1.0;1.0;;;0.0;1.0;;0.0;;;;4.0;;;;;;;;;0.0;0.0;-0.0;8.0;13.0;;13.0;;-0.0;0.0;-0.0;;-0.0;-1.0;;0.0;7.0;-0.0;-0.0;;-4.0;0.0;;;;;;;;3.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;7.0;5.0;-1.0;-1.0;-0.0;-1.0;3.0;12.0;14.0;7.0;7.0;7.0;0.0;-3.0;0.0;-3.0;0.0;2.0;73.51;5.0;;5.0;3.0;2.0;-0.0;7.0;0.0;;0.0;-17.08;-9.09;0.0;-5.41;-0.0;-16.74;-0.3;-0.3;3.0;;0.0;7.0;7.0;3.0;2.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;;1.0;;0.0;;6.0;;;0.0;;0.0;;;;0.0;-1.0;0.0;8.0;14.0;;14.0;;-1.0;0.0;-0.0;;-1.0;-1.0;;-0.0;6.0;2.0;-0.0;-0.0;-7.0;4.0;;;0.0;;;;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;9.0;7.0;2.0;0.0;2.0;2.0;3.0;13.0;14.0;6.0;6.0;8.0;1.0;0.0;0.0;1.0;0.0;2.0;76.69;7.0;;7.0;3.0;3.0;0.0;9.0;0.0;;0.0;22.69;4.62;1.0;20.77;0.0;17.6;0.55;0.53;3.0;;1.0;8.0;9.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;;;0.0;1.0;;1.0;;0.0;;6.0;;;0.0;;0.0;;;;0.0;0.0;0.0;8.0;14.0;;14.0;;2.0;0.0;1.0;;1.0;-1.0;;-0.0;7.0;-3.0;-0.0;-0.0;-9.0;8.0;1.0;;0.0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6.0;5.0;1.0;-0.0;0.0;1.0;3.0;13.0;14.0;5.0;5.0;9.0;-0.0;3.0;-0.0;2.0;-0.0;1.0;84.83;5.0;;5.0;3.0;3.0;;6.0;0.0;;0.0;20.69;-6.9;1.0;2.96;0.0;17.4;0.34;0.32;3.0;;4.0;6.0;10.0;1.0;1.0;0.0;0.0;;0.0;0.0;;;0.0;1.0;;0.0;;1.0;;5.0;;;;;;;;;0.0;0.0;0.0;8.0;14.0;;14.0;;1.0;0.0;0.0;;1.0;-1.0;;-0.0;8.0;-3.0;-0.0;2.0;-10.0;11.0;0.0;;0.0;;-1.0;0.0;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;4.0;4.0;-0.0;-1.0;-0.0;-1.0;3.0;10.0;10.0;4.0;4.0;6.0;-1.0;3.0;-2.0;1.0;-1.0;1.0;85.17;5.0;;5.0;3.0;2.0;;5.0;0.0;;0.0;-9.57;-21.79;1.0;-10.25;;-11.49;-0.16;-0.16;3.0;;4.0;3.0;7.0;1.0;1.0;0.0;0.0;;0.0;0.0;;;0.0;1.0;;0.0;;0.0;;3.0;;;;;;;;;0.0;-1.0;-0.0;8.0;10.0;;10.0;;-1.0;0.0;-0.0;;-2.0;0.0;0.0;0.0;6.0;2.0;-0.0;;-14.0;17.0;0.0;;0.0;;-2.0;;;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;0.0;0.0;-0.0;-1.0;-1.0;-0.0;3.0;7.0;8.0;1.0;1.0;7.0;-0.0;0.0;-0.0;-1.0;-0.0;0.0;18.48;1.0;;1.0;1.0;0.0;0.0;1.0;0.0;;0.0;-55.97;-476.58;0.0;-386.62;;-74.99;-0.05;-0.05;3.0;;4.0;3.0;7.0;0.0;;0.0;0.0;0.0;;0.0;;;0.0;1.0;;0.0;0.0;0.0;;1.0;0.0;;0.0;0.0;0.0;;;;0.0;-2.0;-0.0;9.0;8.0;0.0;8.0;;-0.0;0.0;;;1.0;-0.0;;0.0;7.0;-1.0;-0.0;-0.0;-3.0;3.0;0.0;;0.0;;-0.0;;;4.0;4.0;;;0.07;-0.05;-0.15;0.1;0.01;2.23;3.0;-34.3;-1.9;5.3;0.0;-476.6;0.0;-0.0;;-75.0;7.0;0.0;7.0;-2.4;-2.1;-2.5;280.5;
2007.0;0.0;0.0;-0.0;-1.0;-0.0;-0.0;3.0;7.0;7.0;0.0;0.0;7.0;-0.0;-3.0;;-3.0;-0.0;0.0;77.69;1.0;;1.0;1.0;0.0;0.0;1.0;0.0;;0.0;-72.48;-268.46;0.0;-100.06;-0.0;-14.34;-0.01;-0.01;3.0;;1.0;1.0;1.0;4.0;;1.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;0.0;0.0;;;;;;;;;0.0;-2.0;-0.0;9.0;7.0;;7.0;;-0.0;0.0;;;0.0;-0.0;;-0.0;7.0;-1.0;-0.0;-0.0;-2.0;4.0;-5.0;;;;;;;1.0;4.0;;;0.07;-0.01;-0.15;;0.0;2.13;3.0;-153.1;-8.8;;0.0;-268.5;0.0;-0.0;82.5;-14.3;7.0;;7.0;-0.5;-3.0;-0.5;100.0;
