;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;2.0;;10.0;;3.0;2.0;6.0;;;;;;;;;;;;;;;;;;;;14.0;7.0;;472.45;;;143.64;1.0;96.18;0.33;0.33;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2.0;;8.0;;3.0;2.0;6.0;;238.0;4.0;214.0;24.0;;;;;;;;;;;;;;;13.0;5.0;;412.11;;;165.55;1.0;111.47;0.35;0.35;6.0;;16.0;;16.0;;;;;;;;53.0;;;;238.0;;4.0;;;;;;;;;210.0;;;;;;;238.0;;238.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2.0;;7.0;;2.0;2.0;6.0;;304.0;12.0;279.0;25.0;;;;;;;;;;;;;;;13.0;5.0;;335.02;;;108.59;1.0;72.7;0.24;0.24;6.0;;17.0;;17.0;;;;;;;;83.0;;;;304.0;;12.0;;;;;;;;;267.0;;;;;;;304.0;;304.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2.0;;9.0;;3.0;2.0;6.0;;330.0;12.0;303.0;27.0;4.0;-33.0;24.0;-5.0;3.0;;;;;4.0;4.0;;;;15.0;5.0;1.0;421.1;;;143.84;1.0;101.73;0.34;0.34;6.0;;12.0;;12.0;1.0;;;7.0;;;;102.0;;;;330.0;;12.0;;;;44.0;;;;44.0;336.0;;;;26.0;1.0;;330.0;;330.0;;2.0;1.0;-0.0;;-0.0;;;;-12.0;1.0;-1.0;;-45.0;26.0;-14.0;-2.0;;;;26.0;;12.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;11.0;;10.0;;3.0;2.0;6.0;;334.0;11.0;306.0;28.0;3.0;-5.0;2.0;0.0;1.0;;;;;5.0;4.0;0.0;;;16.0;6.0;1.0;88.34;;;26.43;1.0;18.05;0.36;0.36;6.0;;11.0;;11.0;1.0;;;8.0;;;;96.0;;;;334.0;;11.0;;;;37.0;;;;37.0;332.0;;;;28.0;-0.0;;334.0;;334.0;;2.0;1.0;0.0;;1.0;;;;-11.0;-1.0;-2.0;;-21.0;25.0;-8.0;-5.0;;;;7.0;;12.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;12.0;;11.0;;3.0;2.0;8.0;;354.0;11.0;300.0;54.0;5.0;-15.0;17.0;7.0;4.0;;;;;5.0;5.0;0.0;;;18.0;8.0;1.0;99.07;;;23.67;1.0;15.77;0.24;0.24;8.0;;10.0;;10.0;1.0;;;7.0;;;;108.0;;;;354.0;;11.0;;;;33.0;;;;33.0;323.0;;;0.0;30.0;-4.0;28.0;354.0;;354.0;;2.0;1.0;-0.0;;1.0;;;;-11.0;2.0;-0.0;;-30.0;20.0;-4.0;-8.0;;;-0.0;25.0;;19.0;12.0;;;1.52;0.24;0.56;0.01;0.03;7.09;8.0;45.9;2.5;0.1;12.0;;1.0;2.0;33.4;15.8;-11.0;33.0;54.0;2.1;3.0;3.4;95.5;1.9
2007.0;11.0;;12.0;;2.0;2.0;6.0;;358.0;19.0;304.0;53.0;1.0;-12.0;2.0;-9.0;1.0;;;;;5.0;5.0;0.0;;;19.0;9.0;1.0;103.8;;;19.74;0.0;15.81;0.29;0.29;6.0;;10.0;;10.0;1.0;;;7.0;;;;106.0;;;;358.0;;19.0;;;;38.0;;;;38.0;324.0;;;0.0;32.0;-4.0;25.0;358.0;;358.0;;2.0;1.0;0.0;;-8.0;;;;-19.0;7.0;-0.0;;-15.0;17.0;-13.0;-10.0;;;-0.0;12.0;;10.0;19.0;;;1.83;0.29;0.18;0.06;0.04;8.53;6.0;38.4;2.2;0.5;11.0;;1.0;2.0;19.9;15.8;-19.0;38.0;53.0;2.7;3.2;3.4;81.0;30.1
2008.0;14.0;;11.0;;2.0;1.0;6.0;;408.0;6.0;354.0;54.0;4.0;-32.0;46.0;19.0;3.0;;;;;5.0;5.0;0.0;2.0;;20.0;9.0;1.0;80.91;;;13.19;0.0;10.7;0.24;0.24;6.0;;11.0;;11.0;2.0;;;8.0;;;;113.0;;;;408.0;;6.0;;;;46.0;;;;46.0;395.0;;;0.0;33.0;1.0;21.0;408.0;;408.0;;1.0;1.0;-0.0;0.0;13.0;;;;-6.0;-10.0;-2.0;-0.0;-26.0;19.0;-23.0;-28.0;;-2.0;-0.0;76.0;;29.0;10.0;;;2.27;0.24;0.43;0.08;0.3;8.97;6.0;37.0;1.7;0.9;14.0;;1.0;1.0;18.9;10.7;-6.0;46.0;54.0;2.1;2.6;2.7;67.1;77.4
2009.0;14.0;;11.0;;3.0;2.0;6.0;;426.0;7.0;370.0;55.0;3.0;-25.0;15.0;-7.0;2.0;;;;;7.0;7.0;0.0;;;20.0;8.0;1.0;80.07;;;20.3;1.0;15.24;0.37;0.37;6.0;;15.0;;15.0;2.0;;;8.0;;;;118.0;;;;426.0;;7.0;;;;36.0;;;;36.0;400.0;;;0.0;34.0;1.0;20.0;426.0;;426.0;;2.0;1.0;-0.0;0.0;-1.0;;;;-7.0;1.0;-0.0;;-38.0;33.0;-20.0;-14.0;;-1.0;-0.0;31.0;;22.0;29.0;;;2.4;0.37;0.38;0.08;0.05;9.4;6.0;19.7;0.3;1.1;14.0;;1.0;2.0;24.9;15.2;-7.0;36.0;55.0;1.9;2.5;3.9;78.5;52.7
2010.0;17.0;;10.0;;3.0;3.0;6.0;;479.0;5.0;424.0;55.0;5.0;-45.0;51.0;11.0;3.0;;;;;8.0;7.0;0.0;;;20.0;6.0;1.0;60.56;;;20.02;0.0;17.83;0.53;0.53;6.0;;23.0;;23.0;2.0;;;9.0;;;;154.0;;;;479.0;;5.0;;;;34.0;;;;34.0;453.0;;;0.0;37.0;-1.0;19.0;479.0;;479.0;;3.0;1.0;0.0;0.0;2.0;;;;-5.0;-1.0;-2.0;;-78.0;41.0;-6.0;-13.0;;-2.0;-1.0;67.0;;34.0;22.0;;;2.95;0.53;0.57;0.09;0.28;9.55;6.0;15.5;0.7;1.1;17.0;;1.0;3.0;10.9;17.8;-5.0;34.0;55.0;1.8;2.0;5.5;82.6;65.7
