;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;149.0;31.0;-13.0;;;-17.0;6.0;73.0;98.0;30.0;92.0;6.0;;;;;;118.0;20.95;;;28.0;;;;149.0;;;4.0;-8.63;;-8.0;;;-11.11;-2.59;-2.59;6.0;;1.0;;1.0;25.0;44.0;3.0;20.0;;;;;;5.0;26.0;;;;;;30.0;62.0;;;;62.0;123.0;;;;-13.0;-21.0;39.0;98.0;;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;169.0;37.0;6.0;8.0;4.0;3.0;8.0;79.0;107.0;29.0;83.0;24.0;;;;;;132.0;22.12;29.0;;27.0;;;2.0;161.0;;;2.0;3.37;4.85;-5.0;2.07;1.0;1.54;0.32;0.31;8.0;;1.0;;1.0;32.0;42.0;4.0;21.0;;;;;;6.0;28.0;;;;;;29.0;51.0;;1.0;;52.0;106.0;;;;-10.0;-22.0;56.0;107.0;;107.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;170.0;37.0;1.0;5.0;-2.0;-2.0;6.0;83.0;113.0;29.0;109.0;3.0;;;;;;133.0;21.7;32.0;;29.0;;;3.0;165.0;;;3.0;0.41;2.65;-7.0;-1.36;-1.0;-1.0;-0.59;-0.59;6.0;;0.0;;0.0;31.0;46.0;6.0;22.0;;3.0;3.0;;;5.0;30.0;;;;;;29.0;61.0;;;;61.0;141.0;;;;-14.0;-25.0;42.0;113.0;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;219.0;;4.0;12.0;4.0;2.0;6.0;;546.0;;540.0;6.0;;;;;;;;;;;;;;207.0;;;;1.87;5.56;-8.0;1.87;3.0;0.68;-0.05;-0.05;6.0;;;;;;;;;;;;;;;;546.0;;;;;;54.0;;;;54.0;594.0;;;;-12.0;;18.0;546.0;;546.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;213.0;60.0;-3.0;-3.0;5.0;4.0;8.0;129.0;662.0;151.0;637.0;25.0;-6.0;-114.0;102.0;;-21.0;153.0;28.16;62.0;;55.0;;;7.0;215.0;;;-7.0;-1.22;-1.18;7.0;2.12;1.0;1.88;0.25;0.24;8.0;;6.0;;6.0;69.0;42.0;12.0;50.0;;26.0;26.0;;;458.0;533.0;;17.0;;;;134.0;44.0;;;;44.0;530.0;;;;-11.0;-32.0;68.0;662.0;;662.0;;4.0;-7.0;;;-18.0;-24.0;6.0;-3.0;-22.0;16.0;-15.0;;-178.0;97.0;-18.0;;;;-2.0;104.0;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;197.0;57.0;-19.0;-10.0;-10.0;-11.0;7.0;156.0;650.0;100.0;636.0;14.0;26.0;18.0;-1.0;;10.0;139.0;29.15;67.0;;58.0;;;9.0;207.0;;;-9.0;-9.87;-5.09;-0.0;-5.24;0.0;-5.44;-1.77;-1.77;7.0;;49.0;;49.0;57.0;41.0;9.0;60.0;;24.0;24.0;;;410.0;494.0;;17.0;;;;83.0;57.0;;;;57.0;593.0;;;;-22.0;-38.0;73.0;650.0;;650.0;;-11.0;-9.0;;;78.0;16.0;1.0;-0.0;56.0;-32.0;-16.0;;-243.0;257.0;21.0;;;;-2.0;1.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;234.0;107.0;-10.0;40.0;-1.0;-1.0;7.0;110.0;606.0;28.0;595.0;11.0;35.0;-66.0;5.0;;32.0;127.0;45.86;68.0;;58.0;;;10.0;195.0;;;-10.0;-4.44;16.91;-41.0;-0.38;0.0;-0.47;-0.37;-0.37;7.0;;23.0;;23.0;32.0;41.0;14.0;59.0;;22.0;22.0;;;415.0;496.0;;18.0;;;;10.0;56.0;;;;56.0;624.0;;;;-25.0;-44.0;79.0;606.0;;606.0;;-1.0;-10.0;;;25.0;26.0;3.0;1.0;82.0;21.0;-4.0;;-115.0;1.0;52.0;;;;-2.0;7.0;;;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;247.0;112.0;-2.0;39.0;10.0;9.0;9.0;482.0;582.0;97.0;564.0;19.0;24.0;26.0;-40.0;;19.0;135.0;45.5;73.0;;61.0;;;12.0;207.0;;;-12.0;-0.85;15.96;-30.0;3.97;1.0;3.77;0.72;0.51;8.0;;33.0;;33.0;363.0;48.0;37.0;58.0;;20.0;20.0;;;22.0;100.0;;19.0;;;;78.0;131.0;;;;131.0;597.0;;;;-17.0;-50.0;86.0;582.0;;582.0;;9.0;-12.0;;;303.0;2.0;-6.0;-0.0;385.0;-276.0;-5.0;;-57.0;87.0;1.0;;;;-2.0;-38.0;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;277.0;109.0;7.0;36.0;13.0;12.0;21.0;469.0;598.0;149.0;522.0;75.0;-19.0;-13.0;10.0;;-29.0;168.0;39.26;73.0;;66.0;;;7.0;241.0;;;-7.0;2.46;12.91;-22.0;4.81;1.0;4.48;0.59;0.59;21.0;;12.0;;12.0;376.0;48.0;33.0;66.0;;22.0;22.0;;;41.0;129.0;;23.0;;;;126.0;30.0;;;;30.0;404.0;;;;-8.0;-50.0;133.0;598.0;;598.0;;12.0;-7.0;;;-65.0;-12.0;2.0;-1.0;320.0;40.0;-11.0;;-87.0;57.0;27.0;;;;-3.0;13.0;;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;250.0;58.0;24.0;7.0;0.0;24.0;19.0;111.0;221.0;49.0;131.0;91.0;7.0;-19.0;14.0;-0.0;-9.0;192.0;23.22;51.0;;49.0;49.0;;2.0;243.0;;;;9.51;2.89;-7.0;0.11;-1.0;9.79;1.18;1.12;18.0;;3.0;;3.0;43.0;59.0;6.0;74.0;;;;;;37.0;110.0;;29.0;10.0;;;9.0;82.0;;;0.0;82.0;;;;1.0;13.0;-60.0;136.0;221.0;;221.0;;24.0;;;;-258.0;;-14.0;;62.0;240.0;-16.0;;-3.0;;-16.0;;;-5.0;-4.0;23.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
