;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;342.0;113.0;49.0;41.0;42.0;23.0;55.0;158.0;233.0;52.0;86.0;147.0;;;;;;229.0;33.07;72.0;;66.0;;;7.0;301.0;;;7.0;14.19;11.88;1.0;12.2;19.0;6.73;0.42;0.42;55.0;;16.0;;16.0;104.0;35.0;3.0;57.0;;;;;;18.0;75.0;;;;;;52.0;25.0;;10.0;;34.0;;;;;139.0;-41.0;49.0;233.0;;233.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;420.0;139.0;54.0;45.0;45.0;25.0;55.0;187.0;270.0;72.0;105.0;165.0;;;;;;281.0;33.14;95.0;;86.0;;;9.0;375.0;;;9.0;12.86;10.64;0.0;10.71;20.0;5.88;0.45;0.45;55.0;;23.0;;23.0;114.0;46.0;5.0;74.0;;;;;;10.0;83.0;;;;;;72.0;23.0;;10.0;;33.0;;;;;157.0;-50.0;59.0;270.0;;270.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;487.0;149.0;56.0;43.0;42.0;27.0;55.0;219.0;337.0;72.0;158.0;179.0;;;;;;338.0;30.59;106.0;;91.0;;;14.0;444.0;;;14.0;11.54;8.89;-1.0;8.63;16.0;5.44;0.48;0.48;55.0;;17.0;;17.0;131.0;67.0;5.0;84.0;;26.0;26.0;;;7.0;117.0;;;;;;72.0;76.0;;9.0;;85.0;;;;;162.0;-55.0;72.0;337.0;;337.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;553.0;169.0;58.0;49.0;44.0;28.0;54.0;236.0;349.0;77.0;155.0;194.0;;;;;;384.0;30.55;121.0;;107.0;;;14.0;505.0;;;14.0;10.41;8.77;-5.0;7.95;17.0;4.97;0.51;0.51;54.0;;18.0;;18.0;143.0;66.0;9.0;80.0;;26.0;26.0;;;8.0;113.0;;;;;;77.0;71.0;;7.0;;78.0;;;;;181.0;-67.0;80.0;349.0;;349.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;592.0;176.0;59.0;50.0;46.0;28.0;53.0;240.0;362.0;70.0;147.0;215.0;18.0;-19.0;-11.0;-11.0;-4.0;417.0;29.66;125.0;;112.0;;;14.0;542.0;;;14.0;10.01;8.51;-5.0;7.7;17.0;4.78;0.53;0.53;53.0;;7.0;;7.0;154.0;70.0;10.0;89.0;;25.0;25.0;;;8.0;122.0;;19.0;;;;51.0;69.0;;8.0;;77.0;;;;;190.0;-70.0;95.0;362.0;;362.0;;28.0;14.0;;;-24.0;;-4.0;;170.0;-0.0;-22.0;;;3.0;0.0;;2.0;-0.0;-10.0;-3.0;0.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;608.0;173.0;52.0;43.0;38.0;23.0;54.0;238.0;363.0;65.0;134.0;229.0;38.0;-17.0;-16.0;-16.0;17.0;436.0;28.37;129.0;;115.0;;;14.0;565.0;;;14.0;8.62;7.12;-5.0;6.32;15.0;3.85;0.43;0.43;54.0;;13.0;;13.0;154.0;60.0;11.0;96.0;;24.0;24.0;;;6.0;125.0;;16.0;;;;50.0;62.0;;6.0;;69.0;;;;;204.0;-78.0;104.0;363.0;;363.0;;23.0;14.0;;;3.0;;9.0;;173.0;-2.0;-21.0;;;3.0;2.0;;3.0;-1.0;-10.0;-7.0;0.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;620.0;181.0;55.0;44.0;40.0;25.0;55.0;254.0;377.0;69.0;130.0;246.0;36.0;-10.0;-17.0;-17.0;24.0;438.0;29.25;138.0;;123.0;;;15.0;576.0;;;15.0;8.83;7.02;-4.0;6.44;15.0;4.05;0.46;0.46;55.0;;22.0;;22.0;161.0;58.0;14.0;93.0;;23.0;23.0;;;7.0;123.0;;18.0;;;;51.0;56.0;;5.0;;61.0;;;;;221.0;-92.0;118.0;377.0;;377.0;;25.0;15.0;-5.0;;12.0;;3.0;;185.0;-10.0;-12.0;;;2.0;1.0;;4.0;-0.0;-11.0;-10.0;-0.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;684.0;192.0;59.0;47.0;45.0;27.0;55.0;279.0;401.0;78.0;138.0;263.0;35.0;-13.0;-15.0;-15.0;22.0;492.0;28.04;145.0;;131.0;;;14.0;637.0;;;14.0;8.68;6.84;-2.0;6.62;18.0;3.99;0.5;0.5;55.0;;29.0;;29.0;175.0;61.0;15.0;90.0;;22.0;22.0;;;10.0;122.0;;20.0;;;;58.0;55.0;;5.0;-0.0;60.0;;;;;237.0;-92.0;119.0;401.0;;401.0;;27.0;14.0;-2.0;;17.0;;-3.0;;202.0;-22.0;-12.0;;;;-1.0;;4.0;-3.0;-11.0;-5.0;-0.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;805.0;225.0;76.0;60.0;58.0;38.0;55.0;296.0;430.0;72.0;139.0;291.0;28.0;-20.0;-10.0;-10.0;11.0;580.0;27.95;165.0;;151.0;151.0;;14.0;745.0;;;14.0;9.38;7.49;-2.0;7.22;23.0;4.73;0.69;0.69;55.0;;26.0;;26.0;183.0;67.0;19.0;94.0;;21.0;21.0;;;20.0;135.0;;22.0;3.0;;;47.0;53.0;;7.0;9.0;68.0;;;;;263.0;-92.0;120.0;430.0;;430.0;;38.0;14.0;;;23.0;;-7.0;;224.0;-47.0;-18.0;;;;-3.0;;5.0;-3.0;-12.0;-1.0;-0.0;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;850.0;221.0;77.0;62.0;62.0;36.0;55.0;325.0;504.0;88.0;180.0;324.0;40.0;-20.0;-19.0;-19.0;21.0;629.0;26.0;159.0;;159.0;159.0;;-0.0;788.0;;;15.0;9.08;7.34;-0.0;7.29;26.0;4.27;0.67;0.67;54.0;;8.0;19.0;27.0;193.0;81.0;24.0;117.0;42.0;;42.0;;7.0;13.0;178.0;;29.0;;;;59.0;76.0;;;16.0;92.0;;;;19.0;278.0;-1.0;29.0;504.0;;504.0;;36.0;15.0;-3.0;;13.0;;-4.0;;237.0;-22.0;-19.0;;;;-1.0;;2.0;-13.0;-12.0;4.0;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
